date,open,high,low,close,volume
2023-03-27,5950.0,5975.0,5875.0,5875.0,32493100
2023-03-28,5900.0,5925.0,5850.0,5850.0,42944400
2023-03-29,5850.0,6050.0,5850.0,5950.0,81945000
2023-03-30,5975.0,5975.0,5900.0,5900.0,40174400
2023-03-31,5950.0,6025.0,5925.0,6000.0,40364100
2023-04-03,6050.0,6100.0,5975.0,6000.0,44636200
2023-04-04,6025.0,6050.0,5950.0,6025.0,35612700
2023-04-05,6025.0,6050.0,5975.0,6000.0,27556300
2023-04-06,6000.0,6000.0,5925.0,5925.0,32964500
2023-04-10,5950.0,5975.0,5875.0,5975.0,40039500
2023-04-11,5950.0,6100.0,5925.0,6075.0,37545800
2023-04-12,6150.0,6300.0,6125.0,6250.0,126817700
2023-04-13,6225.0,6275.0,6175.0,6250.0,35138600
2023-04-14,6275.0,6300.0,6200.0,6200.0,45556300
2023-04-17,6200.0,6275.0,6200.0,6225.0,33965200
2023-04-18,6275.0,6475.0,6275.0,6425.0,101792500
2023-04-26,6625.0,6700.0,6500.0,6700.0,182919200
2023-04-27,6675.0,6725.0,6625.0,6700.0,45762900
2023-04-28,6700.0,6750.0,6675.0,6750.0,64976400
2023-05-02,6775.0,6775.0,6600.0,6675.0,62972600
2023-05-03,6700.0,6725.0,6550.0,6625.0,106341300
2023-05-04,6600.0,6625.0,6550.0,6600.0,132167800
2023-05-05,6150.0,6150.0,6150.0,6150.0,82270600
2023-05-08,6150.0,6175.0,6050.0,6125.0,95087500
2023-05-09,6125.0,6325.0,6075.0,6325.0,96938100
2023-05-10,6350.0,6425.0,6300.0,6325.0,52404700
2023-05-11,6350.0,6350.0,6175.0,6250.0,39596900
2023-05-12,6225.0,6275.0,6175.0,6225.0,67576500
2023-05-15,6275.0,6350.0,6175.0,6350.0,42039400
2023-05-16,6350.0,6400.0,6250.0,6275.0,19445400
2023-05-17,6350.0,6350.0,6275.0,6325.0,29480000
2023-05-19,6400.0,6550.0,6350.0,6475.0,75548600
2023-05-22,6525.0,6650.0,6425.0,6600.0,63793800
2023-05-23,6600.0,6650.0,6550.0,6600.0,49261900
2023-05-24,6575.0,6675.0,6500.0,6675.0,54136600
2023-05-25,6700.0,6700.0,6525.0,6600.0,43564900
2023-05-26,6600.0,6600.0,6525.0,6600.0,25356200
2023-05-29,6625.0,6625.0,6475.0,6600.0,27939400
2023-05-30,6575.0,6600.0,6500.0,6500.0,23340800
2023-05-31,6500.0,6600.0,6450.0,6450.0,154796300
2023-06-05,6525.0,7000.0,6500.0,6825.0,200252000
2023-06-06,6800.0,6925.0,6750.0,6800.0,65282100
2023-06-07,6800.0,6850.0,6675.0,6800.0,81991400
2023-06-08,6725.0,6775.0,6700.0,6775.0,32704900
2023-06-09,6750.0,6800.0,6700.0,6800.0,24893400
2023-06-12,6800.0,6800.0,6675.0,6775.0,37558000
2023-06-13,6775.0,6825.0,6750.0,6750.0,23911800
2023-06-14,6750.0,6900.0,6750.0,6900.0,34146100
2023-06-15,6900.0,6900.0,6825.0,6875.0,16414000
2023-06-16,6850.0,6875.0,6775.0,6850.0,63892800
2023-06-19,6800.0,6875.0,6775.0,6875.0,12514200
2023-06-20,6825.0,6850.0,6775.0,6800.0,24394300
2023-06-21,6775.0,6975.0,6750.0,6925.0,37629300
2023-06-22,6875.0,6900.0,6775.0,6775.0,51199300
2023-06-23,6775.0,6825.0,6700.0,6775.0,32156800
2023-06-26,6800.0,6900.0,6775.0,6800.0,31726400
2023-06-27,6800.0,6850.0,6775.0,6775.0,36422700
2023-07-03,6775.0,6825.0,6750.0,6825.0,37348600
2023-07-04,6825.0,6825.0,6700.0,6775.0,20047800
2023-07-05,6775.0,6775.0,6700.0,6775.0,34751800
2023-07-06,6775.0,6800.0,6750.0,6800.0,35473800
2023-07-07,6775.0,6825.0,6750.0,6825.0,28755500
2023-07-10,6825.0,6825.0,6775.0,6775.0,15301300
2023-07-11,6775.0,6800.0,6750.0,6800.0,32949200
2023-07-12,6775.0,6825.0,6750.0,6775.0,29210200
2023-07-13,6775.0,6825.0,6750.0,6800.0,31298400
2023-07-14,6775.0,6825.0,6700.0,6750.0,56060600
2023-07-17,6750.0,6775.0,6675.0,6675.0,41698600
2023-07-18,6675.0,6700.0,6475.0,6575.0,68904700
2023-07-20,6575.0,6575.0,6450.0,6525.0,64069100
2023-07-21,6500.0,6525.0,6375.0,6450.0,64037700
2023-07-24,6400.0,6600.0,6400.0,6550.0,40830500
2023-07-25,6600.0,6625.0,6500.0,6500.0,23958900
2023-07-26,6575.0,6625.0,6500.0,6600.0,38599800
2023-07-27,6600.0,6600.0,6500.0,6525.0,27816700
