date,open,high,low,close,volume
2023-03-27,8825.0,8825.0,8700.0,8700.0,110692800
2023-03-28,8800.0,8800.0,8675.0,8675.0,98296600
2023-03-29,8675.0,8800.0,8625.0,8800.0,101068200
2023-03-30,8900.0,8900.0,8800.0,8825.0,118912100
2023-03-31,8825.0,8850.0,8725.0,8750.0,97146900
2023-04-03,8825.0,8825.0,8750.0,8800.0,60288900
2023-04-04,8825.0,8825.0,8650.0,8775.0,60975800
2023-04-05,8775.0,8800.0,8725.0,8725.0,36922100
2023-04-06,8700.0,8775.0,8700.0,8750.0,45489400
2023-04-10,8725.0,8800.0,8700.0,8800.0,32996000
2023-04-11,8825.0,8825.0,8750.0,8825.0,44554300
2023-04-12,8900.0,8900.0,8825.0,8900.0,91903600
2023-04-13,8950.0,8950.0,8875.0,8925.0,51726500
2023-04-14,9000.0,9000.0,8950.0,9000.0,110354200
2023-04-17,9025.0,9050.0,8900.0,9025.0,83946900
2023-04-18,9050.0,9175.0,9025.0,9125.0,91178700
2023-04-26,9125.0,9200.0,9000.0,9200.0,186928200
2023-04-27,9100.0,9175.0,9075.0,9150.0,54842400
2023-04-28,9100.0,9125.0,9050.0,9050.0,145775300
2023-05-02,9100.0,9100.0,8900.0,9050.0,83645900
2023-05-03,9050.0,9050.0,8875.0,8925.0,83728800
2023-05-04,8925.0,9025.0,8875.0,9000.0,67565000
2023-05-05,9000.0,9050.0,8950.0,9000.0,64815100
2023-05-08,9000.0,9075.0,8950.0,9000.0,84754500
2023-05-09,8950.0,8975.0,8900.0,8925.0,40929600
2023-05-10,8925.0,8950.0,8900.0,8925.0,45322600
2023-05-11,8900.0,8900.0,8800.0,8825.0,81993900
2023-05-12,8750.0,8875.0,8725.0,8800.0,96525600
2023-05-15,8875.0,8875.0,8725.0,8775.0,64830300
2023-05-16,8800.0,8825.0,8700.0,8700.0,49497000
2023-05-17,8775.0,8850.0,8750.0,8775.0,69996100
2023-05-19,8900.0,9000.0,8825.0,9000.0,123592500
2023-05-22,9000.0,9075.0,8925.0,9000.0,91000000
2023-05-23,9050.0,9150.0,9025.0,9125.0,102980500
2023-05-24,9200.0,9200.0,9025.0,9025.0,77392900
2023-05-25,9100.0,9150.0,9050.0,9050.0,76325700
2023-05-26,9175.0,9200.0,9100.0,9150.0,55675900
2023-05-29,9250.0,9250.0,9075.0,9150.0,79148200
2023-05-30,9200.0,9325.0,9150.0,9250.0,97189500
2023-05-31,9300.0,9325.0,9050.0,9050.0,722827900
2023-06-05,9150.0,9325.0,9100.0,9200.0,163535600
2023-06-06,9050.0,9200.0,9050.0,9150.0,74872200
2023-06-07,9125.0,9175.0,9075.0,9100.0,87492200
2023-06-08,9075.0,9125.0,9075.0,9125.0,53188400
2023-06-09,9175.0,9175.0,9100.0,9100.0,44632400
2023-06-12,9150.0,9150.0,9100.0,9150.0,38082300
2023-06-13,9175.0,9175.0,9100.0,9150.0,45552600
2023-06-14,9100.0,9125.0,9050.0,9075.0,72223700
2023-06-15,9100.0,9100.0,9050.0,9050.0,59073000
2023-06-16,9100.0,9100.0,8975.0,9050.0,112769400
2023-06-19,9000.0,9050.0,9000.0,9000.0,32330600
2023-06-20,9025.0,9050.0,8950.0,9050.0,54990100
2023-06-21,9050.0,9125.0,9000.0,9125.0,42676300
2023-06-22,9125.0,9150.0,9050.0,9050.0,48291100
2023-06-23,9025.0,9150.0,9025.0,9050.0,47813500
2023-06-26,9025.0,9125.0,9025.0,9075.0,36389900
2023-06-27,9050.0,9150.0,9050.0,9150.0,36225100
2023-07-03,9025.0,9075.0,9025.0,9075.0,108855900
2023-07-04,9150.0,9150.0,9050.0,9050.0,35049300
2023-07-05,9050.0,9075.0,9025.0,9050.0,44609200
2023-07-06,9050.0,9100.0,9025.0,9075.0,52532400
2023-07-07,9025.0,9100.0,9025.0,9025.0,37641300
2023-07-10,9100.0,9100.0,9050.0,9050.0,28981500
2023-07-11,9100.0,9100.0,9025.0,9025.0,43703500
2023-07-12,9075.0,9175.0,9050.0,9175.0,61566500
2023-07-13,9200.0,9225.0,9125.0,9125.0,65230900
2023-07-14,9175.0,9200.0,9125.0,9200.0,55554500
2023-07-17,9200.0,9250.0,9175.0,9175.0,62550100
2023-07-18,9200.0,9250.0,9100.0,9150.0,52924600
2023-07-20,9200.0,9225.0,9125.0,9150.0,83476600
