date,open,high,low,close,volume
2023-03-27,760.0,765.0,740.0,740.0,12911500
2023-03-28,745.0,810.0,745.0,800.0,54085200
2023-03-29,805.0,825.0,790.0,810.0,44199100
2023-03-30,810.0,820.0,775.0,780.0,29516600
2023-03-31,780.0,805.0,770.0,790.0,21581800
2023-04-03,790.0,835.0,790.0,795.0,33774500
2023-04-04,800.0,840.0,800.0,825.0,43196300
2023-04-05,830.0,855.0,825.0,840.0,33792500
2023-04-06,840.0,840.0,810.0,820.0,20514800
2023-04-10,820.0,820.0,765.0,765.0,48086800
2023-04-11,760.0,775.0,745.0,775.0,17863100
2023-04-12,780.0,780.0,760.0,765.0,10839200
2023-04-13,765.0,805.0,765.0,800.0,25557300
2023-04-14,810.0,820.0,790.0,790.0,24738400
2023-04-17,790.0,795.0,770.0,780.0,18851900
2023-04-18,780.0,785.0,760.0,765.0,8270700
2023-04-26,765.0,765.0,730.0,740.0,25698900
2023-04-27,745.0,745.0,705.0,720.0,51194600
2023-04-28,720.0,735.0,695.0,705.0,48409400
2023-05-02,710.0,725.0,685.0,690.0,37843300
2023-05-03,680.0,690.0,660.0,680.0,30292900
2023-05-04,675.0,710.0,675.0,695.0,23986700
2023-05-05,685.0,700.0,665.0,695.0,23314400
2023-05-08,695.0,720.0,695.0,700.0,21309100
2023-05-09,705.0,730.0,705.0,725.0,25878500
2023-05-10,730.0,735.0,710.0,725.0,21334500
2023-05-11,725.0,730.0,705.0,715.0,8796400
2023-05-12,715.0,715.0,695.0,700.0,9976000
2023-05-15,700.0,705.0,680.0,700.0,10675300
2023-05-16,700.0,700.0,655.0,655.0,31686500
2023-05-17,655.0,660.0,625.0,640.0,20275900
2023-05-19,645.0,675.0,625.0,675.0,22286700
2023-05-22,680.0,695.0,665.0,690.0,15282400
2023-05-23,690.0,710.0,660.0,660.0,32474300
2023-05-24,660.0,680.0,630.0,640.0,22324100
2023-05-25,640.0,655.0,615.0,620.0,18726300
2023-05-26,625.0,635.0,590.0,595.0,25569700
2023-05-29,595.0,600.0,565.0,585.0,36776300
2023-05-30,585.0,630.0,585.0,610.0,30926100
2023-05-31,615.0,620.0,590.0,595.0,16569300
2023-06-05,605.0,615.0,590.0,610.0,13629700
2023-06-06,610.0,625.0,605.0,615.0,26192900
2023-06-07,615.0,625.0,600.0,620.0,22797900
2023-06-08,620.0,625.0,610.0,615.0,20758600
2023-06-09,615.0,640.0,610.0,625.0,44145300
2023-06-12,630.0,655.0,620.0,650.0,34057200
2023-06-13,660.0,710.0,655.0,690.0,79020600
2023-06-14,700.0,725.0,680.0,690.0,50798700
2023-06-15,690.0,705.0,675.0,685.0,18841000
2023-06-16,685.0,770.0,680.0,770.0,100790200
2023-06-19,775.0,790.0,740.0,750.0,48483800
2023-06-20,755.0,760.0,720.0,730.0,27879800
2023-06-21,725.0,775.0,715.0,765.0,46546000
2023-06-22,765.0,770.0,725.0,725.0,52062100
2023-06-23,725.0,740.0,710.0,715.0,19135400
2023-06-26,720.0,730.0,690.0,705.0,30256600
2023-06-27,705.0,715.0,695.0,710.0,17149400
2023-07-03,710.0,735.0,710.0,725.0,20809600
2023-07-04,730.0,760.0,720.0,745.0,50356800
2023-07-05,745.0,765.0,745.0,750.0,24257200
2023-07-06,755.0,755.0,730.0,745.0,21466100
2023-07-07,740.0,750.0,730.0,735.0,17475800
2023-07-10,735.0,745.0,720.0,720.0,14920200
2023-07-11,720.0,770.0,720.0,760.0,55979700
2023-07-12,770.0,770.0,740.0,745.0,30005700
2023-07-13,755.0,785.0,750.0,755.0,62263700
2023-07-14,760.0,780.0,740.0,770.0,45094900
2023-07-17,775.0,805.0,775.0,780.0,66685400
2023-07-18,780.0,785.0,755.0,760.0,24322700
2023-07-20,765.0,785.0,745.0,745.0,34684000
2023-07-21,745.0,745.0,705.0,725.0,47943400
2023-07-24,725.0,735.0,705.0,710.0,29087700
2023-07-25,715.0,730.0,710.0,710.0,19749400
2023-07-26,725.0,730.0,710.0,715.0,15646200
2023-07-27,715.0,725.0,710.0,710.0,10567800
2023-07-28,710.0,715.0,660.0,665.0,56581000
2023-07-31,665.0,675.0,650.0,650.0,24775400
2023-08-01,635.0,640.0,620.0,625.0,33540900
2023-08-02,625.0,650.0,620.0,625.0,37926100
2023-08-03,625.0,645.0,605.0,635.0,15174200
2023-08-04,635.0,640.0,610.0,615.0,17529400
2023-08-07,620.0,630.0,615.0,625.0,9565300
2023-08-08,625.0,635.0,620.0,620.0,7678900
2023-08-09,615.0,625.0,615.0,625.0,13326900
2023-08-10,625.0,635.0,620.0,635.0,17159100
2023-08-11,635.0,655.0,630.0,630.0,25660500
2023-08-14,635.0,635.0,610.0,620.0,19558100
2023-08-15,625.0,625.0,610.0,615.0,10974900
2023-08-16,615.0,620.0,610.0,615.0,13417600
2023-08-18,625.0,625.0,610.0,615.0,10380700
2023-08-21,615.0,615.0,610.0,615.0,8817200
2023-08-22,615.0,615.0,610.0,610.0,7057900
2023-08-23,610.0,620.0,605.0,610.0,18494700
2023-08-24,610.0,615.0,590.0,590.0,31271000
2023-08-25,590.0,595.0,585.0,590.0,12824000
2023-08-28,590.0,605.0,590.0,595.0,14732800
2023-08-29,595.0,600.0,580.0,585.0,24737200
2023-08-30,585.0,595.0,580.0,580.0,13961500
2023-08-31,580.0,585.0,570.0,570.0,16223800
2023-09-01,575.0,610.0,570.0,590.0,45003100
2023-09-04,590.0,610.0,590.0,600.0,24867200
2023-09-05,600.0,600.0,590.0,595.0,7296000
2023-09-06,600.0,600.0,575.0,575.0,27950800
2023-09-07,575.0,610.0,570.0,585.0,35553800
2023-09-08,590.0,595.0,575.0,575.0,18471100
2023-09-11,580.0,610.0,580.0,600.0,58312600
2023-09-12,600.0,600.0,580.0,585.0,47317800
2023-09-13,590.0,590.0,570.0,570.0,49161900
2023-09-14,575.0,585.0,570.0,575.0,25536800
2023-09-15,580.0,580.0,545.0,545.0,98200600
2023-09-18,550.0,550.0,530.0,535.0,29925200
2023-09-19,535.0,545.0,530.0,540.0,18765500
2023-09-20,540.0,565.0,540.0,560.0,44498400
2023-09-21,565.0,565.0,545.0,545.0,15882700
2023-09-22,550.0,555.0,540.0,550.0,21427800
2023-09-25,550.0,555.0,540.0,545.0,23945500
2023-09-26,545.0,585.0,540.0,575.0,96123500
2023-09-27,575.0,590.0,565.0,580.0,47570300
2023-09-29,580.0,600.0,570.0,585.0,28113000
2023-10-02,595.0,605.0,585.0,605.0,27424700
2023-10-03,605.0,610.0,590.0,595.0,17398000
2023-10-04,590.0,595.0,560.0,585.0,50374100
2023-10-05,590.0,600.0,580.0,580.0,27524800
2023-10-06,590.0,645.0,580.0,645.0,81660900
2023-10-09,650.0,655.0,625.0,635.0,42637400
2023-10-10,635.0,670.0,625.0,640.0,65203900
2023-10-11,640.0,650.0,610.0,610.0,90582700
2023-10-12,610.0,645.0,605.0,645.0,56077700
2023-10-13,645.0,650.0,615.0,615.0,27585800
2023-10-16,615.0,620.0,575.0,610.0,52524300
2023-10-17,615.0,625.0,600.0,605.0,16094600
2023-10-18,605.0,610.0,580.0,600.0,42731700
2023-10-19,595.0,600.0,580.0,580.0,21968400
2023-10-20,580.0,580.0,555.0,575.0,18252200
2023-10-23,575.0,580.0,555.0,560.0,16295600
2023-10-24,560.0,570.0,550.0,550.0,21051900
2023-10-25,550.0,565.0,540.0,550.0,21419300
2023-10-26,545.0,560.0,540.0,540.0,13478500
2023-10-27,545.0,555.0,535.0,540.0,10389800
2023-10-30,540.0,550.0,492.0,505.0,56534800
2023-10-31,505.0,510.0,494.0,500.0,15014900
2023-11-01,500.0,510.0,486.0,494.0,24987800
2023-11-02,494.0,520.0,494.0,510.0,22930500
2023-11-03,520.0,545.0,510.0,535.0,23646100
2023-11-06,545.0,550.0,530.0,540.0,12337300
2023-11-07,540.0,545.0,525.0,535.0,11103200
2023-11-08,535.0,550.0,520.0,540.0,10905600
2023-11-09,540.0,570.0,540.0,555.0,24892800
2023-11-10,555.0,565.0,550.0,560.0,9936400
2023-11-13,565.0,570.0,545.0,555.0,9319700
2023-11-14,555.0,555.0,525.0,540.0,20727600
2023-11-15,575.0,590.0,565.0,580.0,81638000
2023-11-16,580.0,590.0,565.0,580.0,34025600
2023-11-17,575.0,585.0,565.0,575.0,16181200
2023-11-20,575.0,580.0,565.0,580.0,14242700
2023-11-21,585.0,585.0,565.0,580.0,23507600
2023-11-22,580.0,590.0,570.0,590.0,23338900
2023-11-23,590.0,640.0,590.0,625.0,77087700
2023-11-24,625.0,635.0,610.0,630.0,39426700
2023-11-27,630.0,660.0,615.0,630.0,79773600
2023-11-28,640.0,640.0,620.0,635.0,39755100
2023-11-29,635.0,640.0,610.0,615.0,33601200
2023-11-30,620.0,670.0,620.0,645.0,271101000
2023-12-01,645.0,655.0,620.0,655.0,50472100
2023-12-04,655.0,665.0,640.0,645.0,32551400
2023-12-05,650.0,650.0,625.0,630.0,20053600
2023-12-06,635.0,635.0,605.0,605.0,27785100
2023-12-07,610.0,625.0,580.0,605.0,41420400
2023-12-08,600.0,620.0,575.0,580.0,42934900
2023-12-11,580.0,595.0,540.0,550.0,24844200
2023-12-12,550.0,550.0,530.0,540.0,32545500
2023-12-13,540.0,555.0,525.0,555.0,30633700
2023-12-14,565.0,600.0,560.0,575.0,31062500
2023-12-15,580.0,595.0,555.0,570.0,102288700
2023-12-18,575.0,575.0,550.0,570.0,17453900
2023-12-19,575.0,575.0,560.0,565.0,7540500
2023-12-20,560.0,575.0,555.0,565.0,13076100
2023-12-21,565.0,570.0,550.0,555.0,14662400
2023-12-22,555.0,570.0,540.0,545.0,11602800
2023-12-27,550.0,570.0,545.0,560.0,19977700
2023-12-28,565.0,570.0,555.0,565.0,11681700
2023-12-29,570.0,590.0,565.0,590.0,42760200
2024-01-02,590.0,600.0,570.0,585.0,19676600
2024-01-03,580.0,585.0,570.0,575.0,6593100
2024-01-04,575.0,575.0,565.0,565.0,7807400
2024-01-05,570.0,580.0,565.0,565.0,14253400
2024-01-08,570.0,570.0,555.0,555.0,11534900
2024-01-09,565.0,580.0,550.0,555.0,25473400
2024-01-10,555.0,585.0,555.0,575.0,24430600
2024-01-11,580.0,580.0,560.0,560.0,19648600
2024-01-12,560.0,570.0,550.0,555.0,17365200
2024-01-15,555.0,555.0,540.0,545.0,29217100
2024-01-16,545.0,560.0,545.0,550.0,20503600
2024-01-17,555.0,555.0,540.0,550.0,16556200
2024-01-18,550.0,555.0,545.0,555.0,12058300
2024-01-19,555.0,555.0,535.0,535.0,18941000
2024-01-22,540.0,550.0,520.0,535.0,47978800
2024-01-23,535.0,535.0,520.0,535.0,21612300
2024-01-24,535.0,535.0,515.0,525.0,16254800
2024-01-25,525.0,525.0,515.0,520.0,9345300
2024-01-26,520.0,520.0,490.0,496.0,40243500
2024-01-29,498.0,500.0,468.0,470.0,37488000
2024-01-30,472.0,484.0,466.0,468.0,52517600
2024-01-31,470.0,480.0,458.0,464.0,91994000
2024-02-01,466.0,498.0,462.0,494.0,89369800
2024-02-02,498.0,510.0,474.0,484.0,67344700
2024-02-05,484.0,486.0,462.0,462.0,54135600
2024-02-06,466.0,480.0,460.0,474.0,37702900
2024-02-07,474.0,490.0,472.0,472.0,38815000
2024-02-12,472.0,482.0,472.0,474.0,14174400
2024-02-13,478.0,478.0,464.0,464.0,20928700
2024-02-15,470.0,480.0,468.0,470.0,30744400
2024-02-16,476.0,478.0,454.0,456.0,48612000
2024-02-19,456.0,466.0,454.0,456.0,18849600
2024-02-20,456.0,472.0,456.0,466.0,30380000
2024-02-21,470.0,470.0,456.0,468.0,20893500
2024-02-22,468.0,472.0,450.0,462.0,21169300
2024-02-23,468.0,472.0,464.0,472.0,14894300
2024-02-26,472.0,472.0,458.0,462.0,13298900
2024-02-27,460.0,466.0,458.0,466.0,10611400
2024-02-28,466.0,470.0,458.0,458.0,16423800
2024-02-29,460.0,474.0,454.0,470.0,47007400
2024-03-01,466.0,474.0,462.0,474.0,19032300
2024-03-04,474.0,474.0,462.0,462.0,12915300
2024-03-05,464.0,466.0,452.0,456.0,17757300
2024-03-06,456.0,472.0,452.0,470.0,36360400
2024-03-07,472.0,472.0,460.0,460.0,17851100
2024-03-08,462.0,472.0,458.0,464.0,19791700
2024-03-13,464.0,466.0,456.0,456.0,23699000
2024-03-14,458.0,462.0,452.0,452.0,12944900
2024-03-15,452.0,456.0,414.0,414.0,114326500
2024-03-18,420.0,454.0,418.0,448.0,86684900
2024-03-19,450.0,452.0,436.0,436.0,23902900
2024-03-20,438.0,450.0,432.0,434.0,27625200
2024-03-21,436.0,446.0,432.0,432.0,26009000
2024-03-22,436.0,456.0,436.0,444.0,36921800
2024-03-25,446.0,446.0,434.0,440.0,17639200
2024-03-26,442.0,442.0,434.0,440.0,10557600
2024-03-27,440.0,444.0,432.0,432.0,16888200
2024-03-28,434.0,440.0,426.0,436.0,22244300
2024-04-01,436.0,438.0,418.0,438.0,31078000
2024-04-02,428.0,436.0,426.0,436.0,17226900
2024-04-03,432.0,434.0,424.0,424.0,13740100
2024-04-04,426.0,428.0,420.0,428.0,7491300
2024-04-05,424.0,430.0,422.0,430.0,6043700
2024-04-16,428.0,428.0,408.0,412.0,25707300
2024-04-17,412.0,418.0,392.0,398.0,27188100
2024-04-18,398.0,400.0,388.0,390.0,19675700
2024-04-19,388.0,388.0,366.0,370.0,35023300
2024-04-22,370.0,378.0,362.0,372.0,17850000
2024-04-23,372.0,388.0,370.0,372.0,20567100
2024-04-24,372.0,376.0,366.0,370.0,12143600
2024-04-25,370.0,370.0,360.0,366.0,9322900
2024-04-26,364.0,364.0,350.0,350.0,14111700
2024-04-29,350.0,374.0,350.0,374.0,27004400
2024-04-30,374.0,394.0,368.0,386.0,28052600
2024-05-02,400.0,402.0,378.0,378.0,43725600
2024-05-03,378.0,388.0,374.0,376.0,16755900
2024-05-06,380.0,414.0,380.0,400.0,52697700
2024-05-07,402.0,446.0,400.0,440.0,92702400
2024-05-08,440.0,454.0,412.0,416.0,73535500
2024-05-13,414.0,434.0,412.0,430.0,34605600
2024-05-14,430.0,434.0,422.0,426.0,14162700
2024-05-15,434.0,434.0,414.0,416.0,18807300
2024-05-16,418.0,444.0,416.0,428.0,62230000
2024-05-17,430.0,458.0,426.0,442.0,92386700
2024-05-20,448.0,450.0,438.0,450.0,22949300
2024-05-21,450.0,454.0,432.0,442.0,30500400
2024-05-22,442.0,450.0,436.0,442.0,16849700
2024-05-27,440.0,460.0,430.0,452.0,78801200
2024-05-28,454.0,462.0,438.0,440.0,69604700
2024-05-29,442.0,444.0,424.0,430.0,38440000
2024-05-30,430.0,436.0,416.0,422.0,24524100
2024-05-31,420.0,436.0,420.0,424.0,47908000
2024-06-03,424.0,434.0,420.0,422.0,28282700
2024-06-04,424.0,436.0,422.0,422.0,23881900
2024-06-05,426.0,430.0,394.0,394.0,49157300
2024-06-06,394.0,404.0,394.0,404.0,18005000
2024-06-07,400.0,408.0,390.0,390.0,14748400
2024-06-10,388.0,392.0,378.0,382.0,16276800
2024-06-11,380.0,390.0,374.0,376.0,11045100
2024-06-12,380.0,380.0,362.0,370.0,20271700
2024-06-13,370.0,390.0,368.0,380.0,25916900
2024-06-14,380.0,384.0,360.0,366.0,17241900
2024-06-19,368.0,370.0,350.0,352.0,28342100
2024-06-20,352.0,394.0,352.0,374.0,62090300
2024-06-21,372.0,390.0,372.0,380.0,68058000
2024-06-24,382.0,394.0,380.0,388.0,35011400
2024-06-25,388.0,390.0,378.0,390.0,14545800
2024-06-26,392.0,402.0,384.0,386.0,28841900
2024-06-27,386.0,394.0,384.0,390.0,13899500
2024-06-28,392.0,400.0,388.0,388.0,21690600
2024-07-01,390.0,398.0,390.0,392.0,11386400
2024-07-02,394.0,396.0,386.0,388.0,12708600
2024-07-03,388.0,398.0,388.0,396.0,10522700
2024-07-04,396.0,426.0,396.0,420.0,93873200
2024-07-05,422.0,428.0,416.0,416.0,23503900
2024-07-08,416.0,450.0,416.0,446.0,100531400
2024-07-09,446.0,446.0,436.0,440.0,27106100
2024-07-10,440.0,454.0,430.0,430.0,43813600
2024-07-11,432.0,446.0,428.0,446.0,82957900
2024-07-12,446.0,450.0,434.0,434.0,25808800
2024-07-15,436.0,444.0,434.0,442.0,19785900
2024-07-16,442.0,442.0,432.0,440.0,17445900
2024-07-17,440.0,462.0,440.0,446.0,75552200
2024-07-18,448.0,448.0,430.0,430.0,44882900
2024-07-19,432.0,434.0,420.0,422.0,26206600
2024-07-22,422.0,430.0,420.0,424.0,12501100
2024-07-23,424.0,442.0,424.0,438.0,47090500
2024-07-24,440.0,446.0,424.0,432.0,68033800
2024-07-25,426.0,432.0,422.0,432.0,17742500
2024-07-26,430.0,436.0,424.0,426.0,11483400
2024-07-29,426.0,432.0,422.0,428.0,13880800
2024-07-30,428.0,430.0,416.0,422.0,21020500
2024-07-31,422.0,424.0,406.0,408.0,42740800
2024-08-01,410.0,412.0,396.0,402.0,25574700
2024-08-02,398.0,416.0,398.0,402.0,47725700
2024-08-05,404.0,414.0,370.0,378.0,61921500
2024-08-06,378.0,400.0,378.0,388.0,40275900
2024-08-07,390.0,408.0,390.0,394.0,38515400
2024-08-08,396.0,398.0,388.0,388.0,18939900
2024-08-09,388.0,396.0,388.0,390.0,12452100
2024-08-12,390.0,394.0,386.0,390.0,19962400
2024-08-13,390.0,396.0,388.0,392.0,26917500
2024-08-14,394.0,406.0,394.0,400.0,55064800
2024-08-15,400.0,402.0,394.0,396.0,16002800
2024-08-16,396.0,404.0,396.0,400.0,14455800
2024-08-19,400.0,402.0,396.0,400.0,10532800
2024-08-20,400.0,418.0,400.0,416.0,95179700
2024-08-21,418.0,422.0,410.0,410.0,44754000
2024-08-22,410.0,412.0,394.0,396.0,41701300
2024-08-23,398.0,404.0,396.0,400.0,13889200
2024-08-26,402.0,404.0,400.0,402.0,12169200
2024-08-27,402.0,402.0,396.0,402.0,13070800
2024-08-28,402.0,402.0,398.0,400.0,12189800
2024-08-29,400.0,402.0,392.0,392.0,18174500
2024-08-30,394.0,402.0,394.0,402.0,14329500
2024-09-02,400.0,424.0,398.0,420.0,85392200
2024-09-03,422.0,434.0,410.0,410.0,66697500
2024-09-04,410.0,410.0,400.0,402.0,25504300
2024-09-05,402.0,408.0,400.0,404.0,11893500
2024-09-06,404.0,408.0,402.0,402.0,10674500
2024-09-09,402.0,404.0,392.0,394.0,31367100
2024-09-10,396.0,398.0,390.0,394.0,19233300
2024-09-11,394.0,398.0,390.0,398.0,13963200
2024-09-12,398.0,408.0,398.0,404.0,21430400
2024-09-13,406.0,410.0,404.0,410.0,13269500
2024-09-17,410.0,412.0,406.0,406.0,8419500
2024-09-18,408.0,422.0,406.0,416.0,59474200
2024-09-19,420.0,420.0,410.0,410.0,21563500
2024-09-20,412.0,416.0,394.0,394.0,53248300
2024-09-23,394.0,406.0,394.0,406.0,31677900
2024-09-24,406.0,408.0,398.0,400.0,14224200
2024-09-25,400.0,414.0,398.0,414.0,71674900
2024-09-26,414.0,418.0,410.0,416.0,33179600
2024-09-27,416.0,418.0,408.0,412.0,21498000
2024-09-30,416.0,420.0,410.0,414.0,29802300
2024-10-01,414.0,420.0,410.0,418.0,26829800
2024-10-02,420.0,422.0,400.0,404.0,48485700
2024-10-03,404.0,408.0,396.0,408.0,22515100
2024-10-04,408.0,410.0,400.0,400.0,9600800
2024-10-07,400.0,434.0,400.0,428.0,215636300
2024-10-08,434.0,452.0,422.0,452.0,176105800
2024-10-09,452.0,454.0,434.0,438.0,61144600
2024-10-10,440.0,446.0,432.0,432.0,23085000
2024-10-11,440.0,440.0,428.0,434.0,26301000
2024-10-14,436.0,446.0,430.0,440.0,31540300
2024-10-15,444.0,446.0,436.0,440.0,21092300
2024-10-16,442.0,442.0,430.0,434.0,17815800
2024-10-17,436.0,436.0,430.0,430.0,22171300
2024-10-18,432.0,438.0,428.0,438.0,15587300
2024-10-21,438.0,515.0,436.0,505.0,250345400
2024-10-22,505.0,530.0,500.0,505.0,114878100
2024-10-23,505.0,505.0,486.0,486.0,65565800
2024-10-24,486.0,515.0,482.0,510.0,116873600
2024-10-25,510.0,525.0,492.0,492.0,48810300
2024-10-28,490.0,496.0,462.0,482.0,58976100
2024-10-29,482.0,515.0,474.0,496.0,70698500
2024-10-30,496.0,498.0,484.0,488.0,26602700
2024-10-31,488.0,510.0,486.0,510.0,56929000
2024-11-01,510.0,525.0,480.0,484.0,75058400
2024-11-04,486.0,490.0,470.0,478.0,35622000
2024-11-05,478.0,488.0,450.0,450.0,67960400
2024-11-06,452.0,464.0,446.0,460.0,54185500
2024-11-07,460.0,460.0,450.0,450.0,21249400
2024-11-08,450.0,474.0,450.0,472.0,43583600
2024-11-11,472.0,492.0,462.0,490.0,47438000
2024-11-12,492.0,500.0,482.0,496.0,30997300
2024-11-13,496.0,510.0,492.0,500.0,29041600
2024-11-14,496.0,510.0,484.0,500.0,22643300
2024-11-15,500.0,500.0,478.0,482.0,18105500
2024-11-18,480.0,486.0,460.0,460.0,20641400
2024-11-19,460.0,482.0,460.0,476.0,36285800
2024-11-20,474.0,492.0,472.0,488.0,28637500
2024-11-21,490.0,494.0,478.0,480.0,16012200
2024-11-22,482.0,500.0,480.0,484.0,31922300
2024-11-25,484.0,494.0,472.0,474.0,29820400
2024-11-26,472.0,484.0,470.0,482.0,24679000
2024-11-28,482.0,510.0,476.0,490.0,69341900
2024-11-29,492.0,500.0,480.0,486.0,32080000
2024-12-02,480.0,520.0,480.0,510.0,70931300
2024-12-03,510.0,560.0,505.0,550.0,188426000
2024-12-04,550.0,555.0,530.0,540.0,58298400
2024-12-05,540.0,545.0,520.0,530.0,29904800
2024-12-06,530.0,580.0,530.0,575.0,80798500
2024-12-09,580.0,590.0,560.0,575.0,48611600
2024-12-10,580.0,620.0,570.0,620.0,121387400
2024-12-11,625.0,625.0,585.0,600.0,57306600
2024-12-12,600.0,620.0,595.0,610.0,41626700
2024-12-13,615.0,615.0,565.0,585.0,38624500
2024-12-16,585.0,590.0,550.0,575.0,35712300
2024-12-17,575.0,580.0,550.0,555.0,46939300
2024-12-18,555.0,570.0,535.0,560.0,36183200
2024-12-19,545.0,555.0,510.0,530.0,53947800
2024-12-20,530.0,535.0,510.0,525.0,18937700
2024-12-23,540.0,550.0,515.0,545.0,32946500
2024-12-24,545.0,550.0,515.0,515.0,30412700
2024-12-27,520.0,525.0,486.0,486.0,52177600
2024-12-30,490.0,500.0,478.0,492.0,22650200
2025-01-02,496.0,525.0,492.0,525.0,36661200
2025-01-03,530.0,535.0,520.0,525.0,15034500
2025-01-06,535.0,550.0,525.0,550.0,26429000
2025-01-07,550.0,555.0,520.0,525.0,19107400
2025-01-08,525.0,530.0,510.0,525.0,13040600
2025-01-09,520.0,545.0,510.0,520.0,18362900
2025-01-10,520.0,535.0,515.0,525.0,10956400
2025-01-13,525.0,525.0,500.0,500.0,23854600
2025-01-14,500.0,545.0,492.0,540.0,47796900
2025-01-15,555.0,630.0,550.0,565.0,235198900
