date,open,high,low,close,volume
2023-03-27,725.0,725.0,710.0,710.0,23777700
2023-03-28,710.0,720.0,705.0,710.0,17149800
2023-03-29,710.0,720.0,705.0,715.0,19956600
2023-03-30,715.0,720.0,705.0,710.0,22750000
2023-03-31,710.0,710.0,700.0,705.0,24926200
2023-04-03,710.0,710.0,700.0,705.0,18674100
2023-04-04,705.0,705.0,695.0,700.0,22320500
2023-04-05,700.0,700.0,690.0,690.0,25654100
2023-04-06,690.0,700.0,690.0,700.0,16614200
2023-04-10,700.0,700.0,685.0,695.0,11279800
2023-04-11,695.0,700.0,680.0,685.0,20167400
2023-04-12,685.0,690.0,680.0,690.0,26254700
2023-04-13,690.0,695.0,685.0,690.0,14080900
2023-04-14,690.0,700.0,685.0,695.0,16242400
2023-04-17,695.0,700.0,690.0,695.0,15383900
2023-04-18,695.0,710.0,690.0,700.0,33174100
2023-04-26,700.0,700.0,685.0,685.0,24261600
2023-04-27,690.0,695.0,685.0,690.0,20424200
2023-04-28,690.0,700.0,685.0,700.0,32743800
2023-05-02,700.0,700.0,690.0,690.0,42545600
2023-05-03,680.0,685.0,670.0,675.0,54562000
2023-05-04,680.0,685.0,670.0,680.0,23966300
2023-05-05,680.0,685.0,675.0,680.0,32736100
2023-05-08,680.0,685.0,670.0,675.0,29808300
2023-05-09,675.0,680.0,670.0,675.0,20885800
2023-05-10,675.0,685.0,675.0,675.0,38271000
2023-05-11,680.0,680.0,670.0,675.0,21198300
2023-05-12,675.0,675.0,670.0,670.0,11139800
2023-05-15,670.0,675.0,665.0,665.0,26495100
2023-05-16,665.0,675.0,665.0,670.0,19014400
2023-05-17,670.0,675.0,665.0,675.0,18008100
2023-05-19,670.0,675.0,665.0,665.0,25491000
2023-05-22,670.0,670.0,660.0,660.0,16747000
2023-05-23,660.0,665.0,655.0,665.0,27703300
2023-05-24,665.0,670.0,660.0,665.0,27112200
2023-05-25,665.0,670.0,655.0,655.0,21522100
2023-05-26,655.0,660.0,650.0,655.0,14028800
2023-05-29,655.0,665.0,655.0,660.0,12073700
2023-05-30,665.0,675.0,660.0,665.0,32763500
2023-05-31,665.0,670.0,655.0,655.0,44156500
2023-06-05,660.0,660.0,645.0,650.0,30080800
2023-06-06,650.0,655.0,640.0,640.0,27348000
2023-06-07,640.0,645.0,625.0,630.0,43395600
2023-06-08,630.0,660.0,620.0,635.0,95917600
2023-06-09,635.0,655.0,625.0,645.0,65017700
2023-06-12,645.0,655.0,640.0,645.0,134003800
2023-06-13,650.0,655.0,630.0,635.0,69357400
