date,open,high,low,close,volume
2023-03-27,845.0,865.0,845.0,855.0,13141300
2023-03-28,860.0,875.0,855.0,865.0,10905700
2023-03-29,865.0,875.0,860.0,860.0,12914700
2023-03-30,860.0,865.0,840.0,840.0,13162300
2023-03-31,845.0,870.0,845.0,870.0,21936800
2023-04-03,870.0,875.0,855.0,860.0,9842800
2023-04-04,860.0,865.0,840.0,845.0,18031600
2023-04-05,845.0,855.0,835.0,835.0,13814200
2023-04-06,835.0,845.0,820.0,830.0,33250600
2023-04-10,825.0,825.0,800.0,805.0,20595300
2023-04-11,810.0,840.0,810.0,825.0,14218600
2023-04-12,830.0,835.0,815.0,815.0,15947400
2023-04-13,815.0,830.0,810.0,815.0,12392100
2023-04-14,815.0,825.0,810.0,810.0,10527500
2023-04-17,810.0,820.0,805.0,820.0,7170500
2023-04-18,815.0,815.0,800.0,800.0,15031000
2023-04-26,805.0,820.0,800.0,820.0,15551400
2023-04-27,820.0,820.0,800.0,800.0,14255800
2023-04-28,800.0,800.0,780.0,790.0,31918800
2023-05-02,785.0,800.0,780.0,795.0,19844300
2023-05-03,795.0,810.0,790.0,805.0,21604800
2023-05-04,805.0,815.0,800.0,810.0,20635300
2023-05-05,810.0,815.0,795.0,800.0,13562400
2023-05-08,800.0,810.0,790.0,805.0,17847800
2023-05-09,805.0,805.0,795.0,800.0,18328100
2023-05-10,800.0,805.0,770.0,775.0,37593900
2023-05-11,775.0,775.0,755.0,775.0,19482700
2023-05-12,775.0,785.0,765.0,775.0,22209000
2023-05-15,775.0,785.0,765.0,775.0,8562600
2023-05-16,775.0,780.0,765.0,770.0,5839100
2023-05-17,770.0,775.0,765.0,770.0,6505900
2023-05-19,770.0,770.0,760.0,765.0,9672000
2023-05-22,765.0,780.0,760.0,760.0,17295000
2023-05-23,765.0,775.0,760.0,770.0,21970000
2023-05-24,775.0,780.0,770.0,780.0,14951400
2023-05-25,780.0,780.0,770.0,775.0,10686300
2023-05-26,775.0,780.0,760.0,765.0,14505900
2023-05-29,765.0,770.0,755.0,765.0,10358900
2023-05-30,765.0,770.0,760.0,760.0,5444700
2023-05-31,760.0,765.0,725.0,725.0,75580500
2023-06-05,725.0,740.0,710.0,720.0,56893700
2023-06-06,720.0,755.0,720.0,750.0,41520700
2023-06-07,755.0,755.0,730.0,735.0,23212100
2023-06-08,740.0,755.0,740.0,755.0,13853600
2023-06-09,755.0,765.0,740.0,765.0,16034400
2023-06-12,765.0,770.0,745.0,765.0,19108900
2023-06-13,765.0,765.0,750.0,760.0,14638100
2023-06-14,755.0,760.0,750.0,760.0,13761200
2023-06-15,760.0,760.0,745.0,745.0,16198600
2023-06-16,745.0,750.0,725.0,735.0,27334300
2023-06-19,735.0,740.0,720.0,730.0,22621600
2023-06-20,730.0,740.0,725.0,730.0,14019400
2023-06-21,730.0,740.0,720.0,720.0,13634100
2023-06-22,725.0,735.0,720.0,725.0,18735300
2023-06-23,725.0,740.0,725.0,735.0,13373700
2023-06-26,735.0,740.0,725.0,730.0,17621200
2023-06-27,730.0,745.0,730.0,730.0,20236400
2023-07-03,730.0,740.0,720.0,725.0,19893600
