date,open,high,low,close,volume
2023-03-27,4270.0,4290.0,4230.0,4290.0,6187200
2023-03-28,4290.0,4320.0,4280.0,4300.0,5785600
2023-03-29,4300.0,4370.0,4300.0,4360.0,12264000
2023-03-30,4360.0,4370.0,4260.0,4260.0,5407700
2023-03-31,4270.0,4360.0,4260.0,4350.0,10607100
2023-04-03,4350.0,4350.0,4250.0,4290.0,8983700
2023-04-04,4280.0,4290.0,4220.0,4290.0,14526800
2023-04-05,4290.0,4320.0,4250.0,4250.0,7687900
2023-04-06,4250.0,4290.0,4230.0,4250.0,5191100
2023-04-10,4250.0,4290.0,4230.0,4290.0,5001000
2023-04-11,4290.0,4290.0,4200.0,4200.0,8782600
2023-04-12,4210.0,4220.0,4180.0,4190.0,12391300
2023-04-13,4160.0,4180.0,4100.0,4100.0,15132500
2023-04-14,4120.0,4220.0,4120.0,4150.0,20757900
2023-04-17,4160.0,4180.0,4090.0,4130.0,11180200
2023-04-18,4130.0,4150.0,4090.0,4090.0,8436800
2023-04-26,4090.0,4100.0,3960.0,4100.0,32563400
2023-04-27,4150.0,4470.0,4150.0,4400.0,65436100
2023-04-28,4400.0,4440.0,4360.0,4400.0,14421200
2023-05-02,4400.0,4410.0,4280.0,4400.0,11600900
2023-05-03,4400.0,4420.0,4350.0,4400.0,18996600
2023-05-04,4400.0,4480.0,4400.0,4450.0,15745000
2023-05-05,4450.0,4490.0,4390.0,4490.0,19170300
2023-05-08,4480.0,4490.0,4430.0,4470.0,8305100
2023-05-09,4470.0,4470.0,4360.0,4390.0,13264100
2023-05-10,4420.0,4500.0,4400.0,4500.0,12468600
2023-05-11,4500.0,4500.0,4370.0,4430.0,10646000
2023-05-12,4430.0,4430.0,4370.0,4400.0,7003400
2023-05-15,4450.0,4530.0,4400.0,4500.0,17448600
2023-05-16,4500.0,4510.0,4460.0,4510.0,6163000
2023-05-17,4500.0,4510.0,4420.0,4460.0,8527400
2023-05-19,4460.0,4500.0,4430.0,4430.0,10102700
2023-05-22,4430.0,4480.0,4390.0,4420.0,10990800
2023-05-23,4420.0,4480.0,4420.0,4450.0,15329600
2023-05-24,4450.0,4450.0,4390.0,4410.0,0
2023-05-25,4410.0,4450.0,4370.0,4410.0,16244400
2023-05-26,4410.0,4430.0,4380.0,4380.0,8749200
2023-05-29,4400.0,4550.0,4380.0,4550.0,26644200
2023-05-30,4550.0,4600.0,4510.0,4540.0,14103700
2023-05-31,4540.0,4580.0,4500.0,4530.0,221662700
2023-06-05,4530.0,4550.0,4460.0,4500.0,14140400
2023-06-06,4500.0,4510.0,4440.0,4460.0,6400200
2023-06-07,4470.0,4570.0,4460.0,4570.0,30637600
2023-06-08,4570.0,4630.0,4540.0,4600.0,15742600
2023-06-09,4580.0,4600.0,4540.0,4550.0,11332500
2023-06-12,4590.0,4610.0,4560.0,4610.0,8165300
2023-06-13,4610.0,4630.0,4480.0,4510.0,19167100
2023-06-14,4500.0,4510.0,4410.0,4440.0,13107000
2023-06-15,4440.0,4520.0,4410.0,4520.0,10369100
2023-06-16,4500.0,4500.0,4390.0,4390.0,17780000
2023-06-19,4390.0,4420.0,4320.0,4380.0,10327500
2023-06-20,4380.0,4390.0,4300.0,4300.0,14414700
