judul,sumber,tanggal,skor,saham,link
"Tinjau Stok BBM di Sejumlah SPBU Jateng, Bahlil: Insyaallah Doa ya, Jangan Naik",IDX Channel,"Thu, 26 Mar 2026 16:48:00 +070",1,,https://www.idxchannel.com/economics/tinjau-stok-bbm-di-sejumlah-spbu-jateng-bahlil-insyaallah-doa-ya-jangan-naik
OMED Catat Laba Bersih Naik 14 Persen Jadi Rp367 Miliar di 2025,IDX Channel,"Thu, 26 Mar 2026 16:45:00 +070",2,,https://www.idxchannel.com/market-news/omed-catat-laba-bersih-naik-14-persen-jadi-rp367-miliar-di-2025
Arab Saudi Tuding Serangan Iran ke Negara Timur Tengah Sengaja Dipersiapkan Sebelumnya,IDX Channel,"Thu, 26 Mar 2026 16:34:00 +070",0,,https://www.idxchannel.com/news/arab-saudi-tuding-serangan-iran-ke-negara-timur-tengah-sengaja-dipersiapkan-sebelumnya
"Pendapatan Metrodata (MTDL) Tumbuh 8,1 Persen Sepanjang 2025, Ini Segmen Penopangnya",IDX Channel,"Thu, 26 Mar 2026 16:30:00 +070",1,,https://www.idxchannel.com/market-news/pendapatan-metrodata-mtdl-tumbuh-81-persen-sepanjang-2025-ini-segmen-penopangnya
"10 Saham Top Gainer Perdagangan Kamis 26 Maret 2026, Simak Daftar Emitennya",IDX Channel,"Thu, 26 Mar 2026 16:29:00 +070",1,,https://www.idxchannel.com/market-news/10-saham-top-gainer-perdagangan-kamis-26-maret-2026-simak-daftar-emitennya
"H+5 Lebaran 2026, Arus Balik di Jalur Pantura Cirebon Didominasi Pemudik dengan Motor",IDX Channel,"Thu, 26 Mar 2026 16:24:00 +070",0,,https://www.idxchannel.com/news/h5-lebaran-2026-arus-balik-di-jalur-pantura-cirebon-didominasi-pemudik-dengan-motor
210 Ribu Orang Telah Kembali ke Jakarta Naik Kereta selama Arus Balik Lebaran,IDX Channel,"Thu, 26 Mar 2026 16:23:00 +070",1,,https://www.idxchannel.com/economics/210-ribu-orang-telah-kembali-ke-jakarta-naik-kereta-selama-arus-balik-lebaran
"Jelang RUPSLB Minta Restu Go Private, Dua Anggota Dewan Komisaris EDGE Resign",IDX Channel,"Thu, 26 Mar 2026 16:20:00 +070",0,,https://www.idxchannel.com/market-news/jelang-rupslb-minta-restu-go-private-dua-anggota-dewan-komisaris-edge-resign
"Kementerian PKP Akan Kucurkan Rp22,6 Miliar untuk Tata Kawasan Permukiman Kumuh di Samosir",IDX Channel,"Thu, 26 Mar 2026 16:06:00 +070",0,,https://www.idxchannel.com/economics/kementerian-pkp-akan-kucurkan-rp226-miliar-untuk-tata-kawasan-permukiman-kumuh-di-samosir
"5 Cara Mengembalikan Semangat kerja usai Libur Panjang, Cocok untuk Pekerja Sibuk",IDX Channel,"Thu, 26 Mar 2026 16:03:00 +070",0,,https://www.idxchannel.com/milenomic/5-cara-mengembalikan-semangat-kerja-usai-libur-panjang-cocok-untuk-pekerja-sibuk
