date,open,high,low,close,volume
2024-04-16,6950.0,6950.0,6775.0,6800.0,1073000
2024-04-17,6800.0,6825.0,6750.0,6800.0,348300
2024-04-18,6825.0,6825.0,6675.0,6675.0,508300
2024-04-19,6675.0,6700.0,6550.0,6625.0,574100
2024-04-22,6525.0,6650.0,6525.0,6600.0,375900
2024-04-23,6600.0,6775.0,6575.0,6625.0,648900
2024-04-24,6600.0,6675.0,6550.0,6600.0,668900
2024-04-25,6600.0,6625.0,6550.0,6575.0,170900
2024-04-26,6575.0,6575.0,6375.0,6475.0,1016800
2024-04-29,6500.0,6500.0,6300.0,6375.0,1078500
2024-04-30,6350.0,6500.0,6350.0,6500.0,795900
2024-05-02,6525.0,6550.0,6400.0,6425.0,888800
2024-05-03,6300.0,6400.0,6250.0,6300.0,955100
2024-05-06,6300.0,6400.0,6250.0,6300.0,348000
2024-05-07,6300.0,6325.0,6250.0,6300.0,251100
2024-05-08,6300.0,6325.0,6200.0,6200.0,381300
2024-05-13,6200.0,6250.0,6050.0,6075.0,894300
2024-05-14,6075.0,6125.0,6000.0,6100.0,536800
2024-05-15,6100.0,6125.0,6050.0,6100.0,321400
2024-05-16,6100.0,6100.0,6050.0,6050.0,761900
2024-05-17,6050.0,6150.0,6050.0,6100.0,773800
2024-05-20,6125.0,6225.0,6125.0,6200.0,513700
2024-05-21,6200.0,6225.0,6100.0,6100.0,505200
2024-05-22,6150.0,6175.0,6075.0,6175.0,474100
2024-05-27,6150.0,6175.0,6050.0,6175.0,546000
2024-05-28,6125.0,6200.0,6075.0,6075.0,392900
2024-05-29,6075.0,6100.0,6025.0,6025.0,603300
2024-05-30,6025.0,6075.0,5825.0,5825.0,1141900
2024-05-31,5900.0,6000.0,5825.0,5875.0,2497100
2024-06-03,5925.0,6050.0,5875.0,6000.0,501900
2024-06-04,6000.0,6100.0,6000.0,6025.0,233600
2024-06-05,6050.0,6075.0,5850.0,5900.0,589700
2024-06-06,5925.0,5975.0,5825.0,5900.0,688700
2024-06-07,5900.0,5925.0,5850.0,5875.0,442300
2024-06-10,5900.0,5900.0,5800.0,5825.0,468600
2024-06-11,5800.0,5850.0,5800.0,5800.0,299700
2024-06-12,5825.0,5850.0,5675.0,5700.0,802200
2024-06-13,5750.0,5775.0,5600.0,5625.0,574300
2024-06-14,5675.0,5700.0,5500.0,5550.0,399900
2024-06-19,5550.0,5550.0,5450.0,5475.0,405200
2024-06-20,5475.0,5550.0,5400.0,5550.0,892900
2024-06-21,5550.0,5625.0,5475.0,5500.0,968600
2024-06-24,5575.0,5700.0,5475.0,5600.0,1601200
2024-06-25,5600.0,5625.0,5350.0,5350.0,1767500
2024-06-26,5375.0,5450.0,5300.0,5325.0,864700
2024-06-27,5325.0,5350.0,5250.0,5325.0,795700
2024-06-28,5325.0,5450.0,5300.0,5400.0,1051300
2024-07-01,5400.0,5475.0,5375.0,5400.0,999600
2024-07-02,5425.0,5450.0,5375.0,5375.0,598600
2024-07-03,5500.0,5500.0,5375.0,5425.0,1056100
2024-07-04,5425.0,5550.0,5400.0,5500.0,1360900
2024-07-05,5500.0,5525.0,5400.0,5425.0,834100
2024-07-08,5450.0,5850.0,5425.0,5825.0,2148000
2024-07-09,5850.0,5900.0,5700.0,5700.0,1762500
2024-07-10,5725.0,5750.0,5650.0,5675.0,845300
2024-07-11,5700.0,5750.0,5650.0,5650.0,713900
2024-07-12,5675.0,5850.0,5650.0,5850.0,1627300
2024-07-15,5875.0,5975.0,5850.0,5850.0,1128000
2024-07-16,5875.0,5900.0,5775.0,5775.0,481400
2024-07-17,5775.0,5825.0,5750.0,5750.0,737700
2024-07-18,5775.0,5825.0,5700.0,5800.0,582900
2024-07-19,5800.0,5900.0,5775.0,5775.0,631400
2024-07-22,5800.0,5825.0,5750.0,5800.0,300400
2024-07-23,5800.0,5875.0,5775.0,5825.0,315700
2024-07-24,5825.0,5825.0,5750.0,5750.0,430800
2024-07-25,5750.0,5850.0,5600.0,5800.0,1620600
2024-07-26,5825.0,6050.0,5775.0,6025.0,2243300
2024-07-29,6075.0,6250.0,6025.0,6050.0,1833300
2024-07-30,6100.0,6150.0,5950.0,5975.0,1399100
2024-07-31,6000.0,6075.0,5925.0,6025.0,616900
2024-08-01,6000.0,6150.0,6000.0,6075.0,612800
2024-08-02,6075.0,6125.0,6000.0,6050.0,422200
2024-08-05,6050.0,6050.0,5725.0,5775.0,2222800
2024-08-06,5775.0,5825.0,5725.0,5775.0,642500
2024-08-07,5775.0,5800.0,5725.0,5725.0,1245300
2024-08-08,5750.0,5825.0,5725.0,5775.0,535500
2024-08-09,5775.0,5825.0,5775.0,5825.0,533500
2024-08-12,5850.0,5925.0,5825.0,5900.0,308100
2024-08-13,5925.0,5975.0,5875.0,5950.0,867000
2024-08-14,5950.0,6000.0,5900.0,5925.0,639900
2024-08-15,5900.0,5950.0,5875.0,5900.0,393400
2024-08-16,5900.0,5950.0,5900.0,5900.0,367800
2024-08-19,5900.0,5950.0,5850.0,5925.0,324000
2024-08-20,5950.0,6175.0,5925.0,6150.0,1995300
2024-08-21,6175.0,6200.0,6050.0,6075.0,793900
2024-08-22,6100.0,6125.0,6000.0,6025.0,431700
2024-08-23,6050.0,6150.0,6025.0,6125.0,849200
2024-08-26,6100.0,6200.0,6100.0,6125.0,766200
2024-08-27,6175.0,6200.0,6125.0,6125.0,470900
2024-08-28,6150.0,6200.0,6125.0,6125.0,612000
2024-08-29,6125.0,6175.0,6050.0,6075.0,534800
2024-08-30,6100.0,6125.0,6050.0,6050.0,422700
2024-09-02,6100.0,6150.0,6025.0,6150.0,544900
2024-09-03,6150.0,6150.0,6075.0,6125.0,291300
2024-09-04,6075.0,6125.0,6025.0,6025.0,746300
2024-09-05,6050.0,6425.0,6025.0,6375.0,4084500
2024-09-06,6400.0,6725.0,6375.0,6625.0,5912800
2024-09-09,6625.0,6650.0,6375.0,6450.0,1936500
2024-09-10,6425.0,6525.0,6400.0,6450.0,658500
