date,open,high,low,close,volume
2024-04-16,935.0,935.0,885.0,910.0,96657400
2024-04-17,910.0,930.0,910.0,920.0,24320500
2024-04-18,925.0,950.0,925.0,940.0,31864800
2024-04-19,940.0,945.0,915.0,920.0,31253900
2024-04-22,935.0,960.0,930.0,945.0,43251700
2024-04-23,950.0,980.0,950.0,970.0,53423400
2024-04-24,975.0,985.0,960.0,970.0,48720000
2024-04-25,970.0,995.0,965.0,975.0,35094400
2024-04-26,975.0,975.0,890.0,910.0,87109400
2024-04-29,910.0,940.0,910.0,935.0,31056800
2024-04-30,935.0,940.0,920.0,935.0,18745500
2024-05-02,935.0,935.0,870.0,910.0,65316200
2024-05-03,915.0,925.0,870.0,880.0,65727300
2024-05-06,895.0,900.0,865.0,875.0,76123300
2024-05-07,875.0,900.0,875.0,890.0,17241000
2024-05-08,895.0,915.0,875.0,875.0,42192900
2024-05-13,880.0,885.0,805.0,855.0,86319600
2024-05-14,855.0,875.0,845.0,855.0,32574700
2024-05-15,855.0,880.0,855.0,875.0,22250300
2024-05-16,875.0,885.0,850.0,850.0,45850000
2024-05-17,865.0,865.0,835.0,845.0,46404600
2024-05-20,860.0,865.0,845.0,850.0,19560000
2024-05-21,855.0,855.0,800.0,800.0,85179800
2024-05-22,810.0,810.0,775.0,800.0,93985300
2024-05-27,805.0,820.0,800.0,815.0,37808400
2024-05-28,815.0,825.0,800.0,810.0,38172600
2024-05-29,810.0,835.0,805.0,825.0,41579700
2024-05-30,830.0,835.0,810.0,815.0,30938900
2024-05-31,815.0,830.0,815.0,820.0,34499700
2024-06-03,820.0,825.0,795.0,800.0,37219500
2024-06-04,815.0,860.0,810.0,830.0,56387400
2024-06-05,830.0,850.0,820.0,850.0,37501400
2024-06-06,850.0,865.0,840.0,845.0,39725400
2024-06-07,850.0,850.0,835.0,835.0,43334000
2024-06-10,840.0,865.0,840.0,855.0,38393100
2024-06-11,855.0,870.0,850.0,865.0,36356400
2024-06-12,870.0,870.0,845.0,850.0,38670000
2024-06-13,855.0,865.0,830.0,835.0,39606600
2024-06-14,840.0,850.0,830.0,840.0,40528300
2024-06-19,840.0,870.0,840.0,860.0,56616400
2024-06-20,845.0,860.0,835.0,860.0,33941800
2024-06-21,865.0,880.0,840.0,845.0,65611700
2024-06-24,845.0,855.0,840.0,845.0,24485400
2024-06-25,845.0,860.0,840.0,845.0,37848900
2024-06-26,850.0,860.0,845.0,845.0,16164000
2024-06-27,845.0,860.0,840.0,855.0,16457100
2024-06-28,855.0,865.0,850.0,855.0,10639600
2024-07-01,860.0,865.0,850.0,855.0,26980700
2024-07-02,855.0,865.0,835.0,840.0,34701700
2024-07-03,840.0,845.0,815.0,825.0,47850800
2024-07-04,830.0,845.0,825.0,835.0,27046700
2024-07-05,835.0,845.0,835.0,835.0,15152400
2024-07-08,835.0,850.0,835.0,850.0,31365300
2024-07-09,850.0,860.0,840.0,840.0,22429500
2024-07-10,845.0,845.0,825.0,825.0,23487500
2024-07-11,825.0,835.0,810.0,820.0,22165200
2024-07-12,825.0,830.0,790.0,800.0,45796000
2024-07-15,800.0,810.0,770.0,775.0,58333000
2024-07-16,780.0,800.0,775.0,800.0,82271900
2024-07-17,805.0,820.0,790.0,810.0,35283700
2024-07-18,810.0,825.0,790.0,810.0,38375900
2024-07-19,815.0,815.0,800.0,800.0,25996100
2024-07-22,805.0,815.0,800.0,815.0,27233700
2024-07-23,820.0,825.0,805.0,825.0,26942900
2024-07-24,830.0,830.0,810.0,815.0,18100500
2024-07-25,815.0,820.0,805.0,815.0,18888700
2024-07-26,815.0,820.0,810.0,820.0,8846000
2024-07-29,820.0,820.0,800.0,800.0,31553900
2024-07-30,800.0,805.0,780.0,785.0,40028300
2024-07-31,790.0,805.0,790.0,800.0,12481400
2024-08-01,800.0,805.0,790.0,795.0,31656500
2024-08-02,790.0,795.0,750.0,760.0,137731100
2024-08-05,750.0,765.0,710.0,725.0,68111100
2024-08-06,725.0,745.0,720.0,735.0,73461900
2024-08-07,735.0,745.0,730.0,735.0,43056400
2024-08-08,735.0,740.0,715.0,720.0,52492200
2024-08-09,725.0,735.0,720.0,720.0,55467000
2024-08-12,725.0,730.0,710.0,720.0,56250200
2024-08-13,725.0,750.0,725.0,740.0,46926300
2024-08-14,750.0,760.0,735.0,755.0,63816500
2024-08-15,755.0,760.0,730.0,735.0,38186100
2024-08-16,740.0,750.0,730.0,735.0,50154900
2024-08-19,735.0,735.0,715.0,720.0,78320900
2024-08-20,725.0,740.0,720.0,735.0,63371600
