date,open,high,low,close,volume
2024-04-16,268.0,268.0,254.0,258.0,27214800
2024-04-17,258.0,264.0,256.0,258.0,11227100
2024-04-18,260.0,264.0,256.0,256.0,8135800
2024-04-19,256.0,258.0,244.0,244.0,15685500
2024-04-22,246.0,252.0,244.0,248.0,9536500
2024-04-23,252.0,258.0,250.0,254.0,18270400
2024-04-24,254.0,266.0,254.0,258.0,14968900
2024-04-25,258.0,262.0,250.0,252.0,9027000
2024-04-26,252.0,254.0,246.0,246.0,9473200
2024-04-29,248.0,254.0,246.0,252.0,8781500
2024-04-30,252.0,262.0,252.0,256.0,13825500
2024-05-02,256.0,258.0,248.0,250.0,9097000
2024-05-03,248.0,254.0,248.0,250.0,6460100
2024-05-06,252.0,260.0,248.0,258.0,9013000
2024-05-07,258.0,260.0,254.0,256.0,6769400
2024-05-08,256.0,258.0,250.0,252.0,5644000
2024-05-13,252.0,254.0,244.0,248.0,6989700
2024-05-14,248.0,254.0,246.0,248.0,7570800
2024-05-15,250.0,256.0,248.0,250.0,12051000
2024-05-16,252.0,258.0,250.0,254.0,13503000
2024-05-17,254.0,256.0,250.0,252.0,6329500
2024-05-20,252.0,262.0,252.0,256.0,14110500
2024-05-21,256.0,260.0,250.0,250.0,9180100
2024-05-22,254.0,280.0,252.0,266.0,148823700
2024-05-27,270.0,276.0,258.0,258.0,53160900
2024-05-28,258.0,266.0,256.0,260.0,15011800
2024-05-29,260.0,262.0,252.0,252.0,15518900
2024-05-30,254.0,254.0,242.0,246.0,18881400
2024-05-31,246.0,258.0,246.0,248.0,25445500
2024-06-03,248.0,254.0,248.0,252.0,6490700
2024-06-04,252.0,258.0,246.0,248.0,14915400
2024-06-05,248.0,252.0,240.0,242.0,21950800
2024-06-06,244.0,248.0,240.0,244.0,7985900
2024-06-07,244.0,248.0,242.0,242.0,4459500
2024-06-10,244.0,244.0,236.0,238.0,10314200
2024-06-11,238.0,240.0,230.0,230.0,9435700
2024-06-12,232.0,234.0,222.0,222.0,9185400
2024-06-13,224.0,236.0,224.0,224.0,17887500
2024-06-14,226.0,230.0,220.0,220.0,8237400
2024-06-19,220.0,220.0,208.0,208.0,12547000
2024-06-20,208.0,216.0,206.0,212.0,6610200
2024-06-21,212.0,224.0,212.0,218.0,11037000
2024-06-24,218.0,228.0,218.0,222.0,11607200
2024-06-25,222.0,224.0,214.0,218.0,5939200
2024-06-26,218.0,222.0,216.0,216.0,5157000
2024-06-27,218.0,222.0,216.0,218.0,5251500
2024-06-28,218.0,236.0,218.0,226.0,20103500
2024-07-01,226.0,238.0,226.0,228.0,10937600
2024-07-02,228.0,234.0,226.0,226.0,10841600
2024-07-03,228.0,240.0,224.0,234.0,29697200
2024-07-04,236.0,244.0,234.0,236.0,20257600
2024-07-05,236.0,238.0,234.0,234.0,3727100
2024-07-08,234.0,240.0,232.0,238.0,29020400
2024-07-09,238.0,254.0,236.0,248.0,53229800
2024-07-10,250.0,252.0,240.0,244.0,20033600
2024-07-11,244.0,248.0,238.0,240.0,8127400
2024-07-12,240.0,250.0,240.0,244.0,20822300
2024-07-15,246.0,250.0,240.0,240.0,12078300
2024-07-16,242.0,246.0,240.0,240.0,11694700
2024-07-17,242.0,246.0,240.0,244.0,11066400
2024-07-18,244.0,252.0,242.0,244.0,27725300
2024-07-19,244.0,246.0,240.0,240.0,8784900
2024-07-22,244.0,246.0,240.0,242.0,14315700
2024-07-23,242.0,250.0,240.0,242.0,30482300
2024-07-24,242.0,246.0,240.0,242.0,9334500
2024-07-25,242.0,242.0,230.0,234.0,22038700
