date,open,high,low,close,volume
2024-04-16,150.0,150.0,141.0,143.0,27400
2024-04-17,140.0,146.0,140.0,146.0,2400
2024-04-18,146.0,147.0,141.0,147.0,1500
2024-04-19,145.0,147.0,145.0,147.0,200
2024-04-22,147.0,148.0,147.0,148.0,1600
2024-04-23,148.0,151.0,148.0,151.0,59700
2024-04-24,151.0,151.0,149.0,149.0,9100
2024-04-25,148.0,154.0,148.0,150.0,19000
2024-04-26,150.0,153.0,143.0,144.0,22800
2024-04-29,141.0,153.0,141.0,153.0,11200
2024-04-30,148.0,153.0,141.0,153.0,7800
2024-05-02,150.0,150.0,145.0,150.0,79000
2024-05-03,150.0,150.0,145.0,149.0,4100
2024-05-06,145.0,149.0,145.0,149.0,300
2024-05-07,145.0,148.0,144.0,148.0,200000
2024-05-08,148.0,152.0,148.0,150.0,106200
2024-05-13,150.0,152.0,150.0,150.0,138600
2024-05-14,152.0,153.0,150.0,153.0,49000
2024-05-15,154.0,156.0,154.0,155.0,209600
2024-05-16,156.0,156.0,155.0,156.0,887200
2024-05-17,156.0,156.0,155.0,156.0,50000
2024-05-20,155.0,156.0,150.0,156.0,151400
2024-05-21,154.0,155.0,154.0,154.0,11100
2024-05-22,156.0,156.0,154.0,156.0,5200
2024-05-27,156.0,158.0,151.0,158.0,31500
2024-05-28,154.0,160.0,153.0,158.0,70100
2024-05-29,158.0,158.0,144.0,151.0,51100
2024-05-30,151.0,153.0,150.0,153.0,3400
2024-05-31,153.0,153.0,150.0,153.0,2700
2024-06-03,153.0,153.0,147.0,152.0,3300
2024-06-04,152.0,152.0,152.0,152.0,0
2024-06-05,149.0,149.0,149.0,149.0,100
2024-06-06,149.0,149.0,149.0,149.0,700
2024-06-07,153.0,153.0,151.0,152.0,1200
2024-06-10,151.0,151.0,146.0,149.0,6600
2024-06-11,150.0,150.0,148.0,150.0,500
2024-06-12,149.0,150.0,149.0,150.0,300
2024-06-13,148.0,149.0,148.0,149.0,8600
2024-06-14,149.0,149.0,144.0,149.0,51900
2024-06-19,148.0,151.0,146.0,151.0,88500
2024-06-20,152.0,152.0,151.0,151.0,200
2024-06-21,150.0,151.0,148.0,148.0,12600
2024-06-24,146.0,148.0,130.0,148.0,3400
2024-06-25,146.0,151.0,136.0,151.0,6800
2024-06-26,142.0,154.0,142.0,153.0,25600
2024-06-27,158.0,158.0,147.0,152.0,4000
2024-06-28,152.0,152.0,152.0,152.0,100
2024-07-01,140.0,152.0,140.0,152.0,1300
2024-07-02,148.0,152.0,146.0,152.0,20600
2024-07-03,150.0,152.0,150.0,152.0,800
2024-07-04,152.0,152.0,149.0,152.0,11500
2024-07-05,152.0,154.0,145.0,153.0,5500
2024-07-08,153.0,153.0,130.0,149.0,63500
2024-07-09,149.0,150.0,146.0,150.0,3300
2024-07-10,151.0,199.0,151.0,195.0,4895700
2024-07-11,194.0,198.0,179.0,183.0,1255100
2024-07-12,183.0,198.0,177.0,188.0,2258500
2024-07-15,189.0,194.0,186.0,187.0,704800
2024-07-16,185.0,186.0,164.0,171.0,663700
2024-07-17,171.0,176.0,165.0,173.0,458000
2024-07-18,173.0,173.0,168.0,169.0,154600
2024-07-19,169.0,169.0,158.0,159.0,127600
2024-07-22,159.0,159.0,154.0,156.0,161600
2024-07-23,156.0,166.0,140.0,141.0,1337000
2024-07-24,142.0,146.0,141.0,142.0,415600
2024-07-25,142.0,142.0,139.0,140.0,163500
2024-07-26,140.0,142.0,138.0,139.0,305800
2024-07-29,141.0,147.0,139.0,140.0,71000
2024-07-30,139.0,142.0,137.0,139.0,110400
2024-07-31,138.0,140.0,137.0,140.0,118500
2024-08-01,139.0,140.0,137.0,139.0,47000
2024-08-02,139.0,140.0,138.0,140.0,84600
2024-08-05,140.0,140.0,131.0,138.0,161500
2024-08-06,138.0,138.0,132.0,138.0,24600
2024-08-07,140.0,146.0,137.0,139.0,424200
2024-08-08,140.0,142.0,138.0,140.0,121400
2024-08-09,140.0,140.0,137.0,139.0,58300
2024-08-12,139.0,140.0,138.0,139.0,175700
2024-08-13,140.0,140.0,138.0,138.0,68100
2024-08-14,139.0,140.0,137.0,138.0,10100
2024-08-15,138.0,140.0,137.0,138.0,20600
2024-08-16,138.0,141.0,137.0,141.0,66600
2024-08-19,141.0,142.0,139.0,140.0,53500
2024-08-20,139.0,141.0,139.0,140.0,33000
2024-08-21,140.0,141.0,139.0,141.0,4200
2024-08-22,141.0,150.0,139.0,142.0,58000
2024-08-23,142.0,144.0,141.0,143.0,61700
2024-08-26,143.0,144.0,140.0,143.0,14800
2024-08-27,143.0,146.0,143.0,145.0,111300
2024-08-28,146.0,146.0,141.0,146.0,132000
2024-08-29,145.0,146.0,145.0,146.0,76800
2024-08-30,146.0,146.0,142.0,142.0,7100
2024-09-02,142.0,145.0,140.0,144.0,104400
2024-09-03,145.0,145.0,141.0,145.0,117400
2024-09-04,145.0,150.0,143.0,144.0,31600
2024-09-05,143.0,146.0,143.0,146.0,9000
2024-09-06,146.0,146.0,142.0,146.0,9200
2024-09-09,142.0,146.0,142.0,146.0,16000
2024-09-10,145.0,147.0,143.0,147.0,47600
2024-09-11,147.0,170.0,144.0,149.0,2003300
2024-09-12,149.0,155.0,147.0,151.0,266800
2024-09-13,150.0,152.0,147.0,152.0,45600
2024-09-17,151.0,152.0,147.0,152.0,111100
2024-09-18,153.0,155.0,150.0,152.0,82300
2024-09-19,150.0,155.0,148.0,151.0,226700
2024-09-20,151.0,151.0,149.0,150.0,38400
2024-09-23,152.0,152.0,150.0,150.0,51800
2024-09-24,153.0,153.0,147.0,152.0,17600
2024-09-25,152.0,154.0,146.0,151.0,35200
2024-09-26,152.0,152.0,151.0,151.0,9300
2024-09-27,151.0,152.0,142.0,150.0,8200
2024-09-30,146.0,151.0,142.0,151.0,51600
2024-10-01,144.0,151.0,144.0,151.0,16600
2024-10-02,151.0,152.0,145.0,151.0,54400
2024-10-03,151.0,151.0,145.0,148.0,20200
2024-10-04,148.0,149.0,148.0,149.0,9000
2024-10-07,145.0,151.0,145.0,151.0,17200
2024-10-08,147.0,151.0,147.0,151.0,6900
2024-10-09,151.0,151.0,147.0,149.0,17100
2024-10-10,151.0,151.0,150.0,150.0,1500
2024-10-11,149.0,150.0,149.0,150.0,2300
2024-10-14,148.0,151.0,146.0,146.0,143700
2024-10-15,146.0,150.0,146.0,150.0,4800
2024-10-16,149.0,149.0,146.0,149.0,5500
2024-10-17,146.0,151.0,146.0,151.0,75000
2024-10-18,149.0,151.0,148.0,151.0,4400
2024-10-21,147.0,151.0,147.0,151.0,16600
2024-10-22,151.0,152.0,142.0,152.0,160200
2024-10-23,146.0,150.0,145.0,150.0,47500
2024-10-24,145.0,150.0,145.0,150.0,26700
2024-10-25,150.0,150.0,150.0,150.0,3100
2024-10-28,150.0,151.0,146.0,151.0,8400
2024-10-29,146.0,150.0,146.0,150.0,4700
2024-10-30,146.0,147.0,146.0,147.0,1100
2024-10-31,149.0,149.0,145.0,146.0,163800
2024-11-01,146.0,149.0,143.0,144.0,78900
2024-11-04,142.0,148.0,142.0,147.0,13000
2024-11-05,148.0,148.0,147.0,148.0,6900
2024-11-06,148.0,148.0,143.0,145.0,17100
2024-11-07,143.0,147.0,142.0,147.0,9600
2024-11-08,147.0,150.0,143.0,150.0,25900
2024-11-11,149.0,150.0,143.0,150.0,56300
2024-11-12,148.0,150.0,140.0,150.0,30200
2024-11-13,147.0,151.0,143.0,151.0,48200
2024-11-14,149.0,149.0,144.0,146.0,6700
2024-11-15,145.0,145.0,143.0,143.0,33500
2024-11-18,143.0,148.0,143.0,147.0,21900
2024-11-19,148.0,149.0,146.0,148.0,54500
2024-11-20,145.0,149.0,145.0,149.0,3800
