date,open,high,low,close,volume
2024-04-16,2670.0,2790.0,2660.0,2700.0,52994100
2024-04-17,2740.0,2820.0,2710.0,2790.0,27479100
2024-04-18,2800.0,2820.0,2740.0,2790.0,19963300
2024-04-19,2810.0,2840.0,2740.0,2800.0,20258900
2024-04-22,2830.0,2890.0,2800.0,2880.0,24102900
2024-04-23,2900.0,2980.0,2890.0,2940.0,55499200
2024-04-24,2930.0,2940.0,2850.0,2900.0,11924400
2024-04-25,2930.0,2940.0,2890.0,2930.0,12890500
2024-04-26,2940.0,2940.0,2840.0,2840.0,18230500
2024-04-29,2920.0,2970.0,2760.0,2940.0,28001300
2024-04-30,2970.0,2970.0,2900.0,2930.0,33285000
2024-05-02,2920.0,2920.0,2840.0,2870.0,19303600
2024-05-03,2880.0,2910.0,2870.0,2900.0,7950500
2024-05-06,2940.0,2950.0,2890.0,2900.0,23610900
2024-05-07,2920.0,2920.0,2860.0,2880.0,22153100
2024-05-08,2900.0,2920.0,2830.0,2880.0,20948900
2024-05-13,2850.0,2870.0,2800.0,2830.0,26021300
2024-05-14,2820.0,2840.0,2790.0,2800.0,35352500
2024-05-15,2800.0,2820.0,2750.0,2790.0,12305900
2024-05-16,2810.0,2890.0,2800.0,2850.0,12488400
2024-05-17,2810.0,2840.0,2760.0,2800.0,14759900
2024-05-20,2800.0,2840.0,2800.0,2800.0,11069600
2024-05-21,2840.0,2840.0,2750.0,2760.0,17025500
2024-05-22,2800.0,2850.0,2780.0,2830.0,27002500
2024-05-27,2880.0,2880.0,2770.0,2800.0,24290300
2024-05-28,2860.0,2910.0,2820.0,2880.0,27120900
2024-05-29,2820.0,2840.0,2770.0,2800.0,19885000
2024-05-30,2820.0,2850.0,2760.0,2760.0,33979000
2024-05-31,2780.0,2820.0,2650.0,2650.0,143419000
2024-06-03,2690.0,2830.0,2690.0,2800.0,20843400
2024-06-04,2830.0,2840.0,2790.0,2790.0,18088500
2024-06-05,2800.0,2800.0,2710.0,2720.0,16792500
2024-06-06,2780.0,2810.0,2750.0,2780.0,16498200
2024-06-07,2790.0,2800.0,2750.0,2760.0,12898900
2024-06-10,2790.0,2820.0,2780.0,2800.0,14034700
2024-06-11,2770.0,2810.0,2740.0,2740.0,29981000
2024-06-12,2790.0,2810.0,2690.0,2730.0,26173700
2024-06-13,2740.0,2760.0,2720.0,2720.0,11576500
2024-06-14,2720.0,2760.0,2700.0,2720.0,11887400
2024-06-19,2650.0,2740.0,2650.0,2710.0,8559600
2024-06-20,2700.0,2760.0,2650.0,2720.0,22513000
2024-06-21,2720.0,2760.0,2700.0,2700.0,29240600
2024-06-24,2700.0,2740.0,2700.0,2740.0,11164700
2024-06-25,2750.0,2750.0,2710.0,2720.0,20547900
2024-06-26,2710.0,2780.0,2710.0,2730.0,29890000
2024-06-27,2750.0,2750.0,2690.0,2700.0,21184700
2024-06-28,2700.0,2790.0,2700.0,2750.0,18854700
2024-07-01,2800.0,2800.0,2720.0,2730.0,16993000
2024-07-02,2740.0,2750.0,2710.0,2750.0,13431700
2024-07-03,2770.0,2780.0,2720.0,2760.0,13991300
2024-07-04,2760.0,2780.0,2710.0,2760.0,55176900
2024-07-05,2760.0,2780.0,2740.0,2780.0,13724800
2024-07-08,2800.0,2850.0,2770.0,2830.0,20804900
2024-07-09,2830.0,2900.0,2820.0,2860.0,16876500
2024-07-10,2890.0,2910.0,2850.0,2900.0,21364400
2024-07-11,2910.0,2950.0,2890.0,2940.0,26756500
2024-07-12,2940.0,2950.0,2860.0,2930.0,14809200
