date,open,high,low,close,volume
2024-04-16,730.0,735.0,710.0,720.0,892200
2024-04-17,720.0,730.0,715.0,715.0,310200
2024-04-18,720.0,735.0,710.0,720.0,364200
2024-04-19,720.0,720.0,705.0,710.0,515300
2024-04-22,710.0,715.0,700.0,710.0,1217700
2024-04-23,710.0,715.0,705.0,705.0,271800
2024-04-24,710.0,710.0,705.0,710.0,293900
2024-04-25,710.0,720.0,700.0,705.0,490100
2024-04-26,705.0,710.0,695.0,700.0,753700
2024-04-29,700.0,705.0,670.0,685.0,2951900
2024-04-30,690.0,700.0,685.0,695.0,730500
2024-05-02,695.0,695.0,650.0,670.0,1714600
2024-05-03,675.0,700.0,655.0,680.0,559600
2024-05-06,685.0,700.0,675.0,690.0,246700
2024-05-07,690.0,695.0,685.0,690.0,157300
2024-05-08,695.0,700.0,680.0,690.0,94000
2024-05-13,690.0,690.0,665.0,675.0,574900
2024-05-14,680.0,685.0,650.0,660.0,1218400
2024-05-15,655.0,670.0,655.0,665.0,349000
2024-05-16,670.0,670.0,660.0,665.0,364200
2024-05-17,665.0,680.0,660.0,680.0,311300
2024-05-20,680.0,690.0,675.0,675.0,474900
2024-05-21,680.0,685.0,670.0,675.0,194500
2024-05-22,675.0,680.0,670.0,675.0,193000
2024-05-27,675.0,715.0,675.0,700.0,1092800
2024-05-28,700.0,705.0,695.0,700.0,516100
2024-05-29,700.0,710.0,675.0,690.0,469500
2024-05-30,690.0,695.0,680.0,690.0,224100
2024-05-31,690.0,695.0,685.0,690.0,102300
2024-06-03,690.0,700.0,675.0,680.0,347700
2024-06-04,680.0,685.0,675.0,685.0,322200
2024-06-05,685.0,690.0,680.0,685.0,225400
2024-06-06,700.0,700.0,675.0,685.0,397800
2024-06-07,690.0,690.0,650.0,670.0,724400
2024-06-10,680.0,680.0,665.0,675.0,238800
2024-06-11,675.0,680.0,665.0,670.0,605200
2024-06-12,670.0,675.0,660.0,665.0,642000
2024-06-13,660.0,665.0,655.0,665.0,494700
2024-06-14,665.0,665.0,650.0,650.0,1197300
2024-06-19,650.0,650.0,615.0,625.0,1900700
2024-06-20,620.0,635.0,620.0,630.0,375200
2024-06-21,630.0,635.0,620.0,630.0,272200
2024-06-24,635.0,640.0,625.0,630.0,186400
2024-06-25,635.0,645.0,630.0,640.0,208300
2024-06-26,640.0,640.0,630.0,635.0,323000
2024-06-27,635.0,720.0,635.0,700.0,2552100
2024-06-28,700.0,715.0,670.0,695.0,1370900
2024-07-01,695.0,700.0,675.0,690.0,226600
2024-07-02,695.0,695.0,670.0,675.0,547600
2024-07-03,680.0,690.0,670.0,680.0,708000
2024-07-04,685.0,685.0,670.0,680.0,221400
2024-07-05,680.0,680.0,665.0,675.0,451100
2024-07-08,680.0,690.0,675.0,680.0,749200
2024-07-09,685.0,690.0,675.0,685.0,142800
2024-07-10,685.0,690.0,680.0,685.0,512000
2024-07-11,685.0,690.0,680.0,690.0,1968700
2024-07-12,695.0,700.0,685.0,685.0,2328300
2024-07-15,685.0,695.0,680.0,685.0,1791400
2024-07-16,690.0,695.0,680.0,690.0,280600
2024-07-17,690.0,710.0,685.0,700.0,2263400
2024-07-18,695.0,725.0,695.0,720.0,4227700
2024-07-19,720.0,735.0,720.0,730.0,2501700
2024-07-22,730.0,745.0,720.0,740.0,3815600
2024-07-23,740.0,755.0,740.0,755.0,4145100
2024-07-24,755.0,785.0,755.0,770.0,4785700
2024-07-25,770.0,780.0,740.0,770.0,3854300
2024-07-26,770.0,775.0,760.0,765.0,1348000
2024-07-29,765.0,770.0,720.0,735.0,7950200
2024-07-30,725.0,740.0,710.0,720.0,3533300
2024-07-31,720.0,740.0,710.0,725.0,2497200
2024-08-01,720.0,720.0,685.0,695.0,3002000
2024-08-02,695.0,705.0,685.0,695.0,893700
2024-08-05,700.0,700.0,675.0,680.0,961500
2024-08-06,700.0,700.0,680.0,685.0,251200
2024-08-07,685.0,695.0,675.0,685.0,692600
2024-08-08,685.0,685.0,675.0,685.0,1375200
2024-08-09,685.0,700.0,685.0,695.0,190200
2024-08-12,705.0,705.0,685.0,685.0,958700
2024-08-13,685.0,695.0,680.0,690.0,803500
2024-08-14,690.0,710.0,685.0,690.0,2679000
2024-08-15,700.0,705.0,690.0,700.0,2903700
2024-08-16,700.0,715.0,700.0,705.0,889400
2024-08-19,710.0,710.0,700.0,700.0,695800
2024-08-20,700.0,710.0,700.0,705.0,914600
2024-08-21,715.0,715.0,705.0,710.0,538400
2024-08-22,710.0,710.0,695.0,695.0,1037300
2024-08-23,695.0,705.0,680.0,680.0,2672100
2024-08-26,680.0,700.0,680.0,695.0,937800
2024-08-27,695.0,695.0,685.0,690.0,502100
2024-08-28,695.0,695.0,690.0,690.0,539300
2024-08-29,690.0,710.0,690.0,695.0,1137000
2024-08-30,695.0,695.0,680.0,685.0,1262100
2024-09-02,685.0,690.0,675.0,690.0,1251300
2024-09-03,650.0,690.0,650.0,680.0,535400
2024-09-04,680.0,685.0,670.0,680.0,593600
2024-09-05,680.0,720.0,675.0,705.0,2566900
2024-09-06,705.0,740.0,705.0,720.0,2938600
2024-09-09,720.0,720.0,695.0,710.0,1657400
2024-09-10,710.0,715.0,690.0,695.0,1280600
2024-09-11,695.0,710.0,690.0,690.0,575200
2024-09-12,690.0,705.0,690.0,700.0,593700
2024-09-13,700.0,700.0,690.0,695.0,547200
2024-09-17,695.0,700.0,690.0,690.0,549000
2024-09-18,690.0,705.0,685.0,695.0,415900
2024-09-19,695.0,710.0,695.0,705.0,1681000
2024-09-20,710.0,715.0,705.0,710.0,1909600
2024-09-23,710.0,720.0,710.0,710.0,1731100
2024-09-24,710.0,730.0,710.0,720.0,1801200
2024-09-25,720.0,725.0,710.0,715.0,812800
2024-09-26,715.0,720.0,710.0,720.0,562500
2024-09-27,715.0,720.0,710.0,715.0,395500
2024-09-30,715.0,715.0,705.0,710.0,591800
2024-10-01,710.0,715.0,705.0,710.0,202200
2024-10-02,710.0,710.0,705.0,705.0,412400
2024-10-03,705.0,720.0,705.0,710.0,875400
2024-10-04,710.0,710.0,705.0,710.0,888800
2024-10-07,710.0,720.0,710.0,715.0,1362900
2024-10-08,715.0,720.0,705.0,705.0,710400
2024-10-09,710.0,715.0,705.0,715.0,340300
2024-10-10,715.0,715.0,705.0,710.0,680000
2024-10-11,710.0,715.0,705.0,710.0,256000
2024-10-14,710.0,720.0,705.0,715.0,375700
2024-10-15,720.0,720.0,710.0,710.0,505500
2024-10-16,720.0,720.0,710.0,715.0,270800
2024-10-17,715.0,720.0,715.0,715.0,946400
2024-10-18,715.0,720.0,710.0,710.0,371500
2024-10-21,715.0,720.0,710.0,715.0,694400
2024-10-22,720.0,720.0,710.0,715.0,1478600
2024-10-23,720.0,740.0,715.0,735.0,2256100
2024-10-24,735.0,750.0,735.0,745.0,1834100
2024-10-25,750.0,765.0,735.0,745.0,2259700
2024-10-28,745.0,750.0,720.0,730.0,732900
2024-10-29,730.0,735.0,720.0,725.0,654200
2024-10-30,735.0,740.0,725.0,730.0,1045500
2024-10-31,730.0,755.0,730.0,755.0,2085400
2024-11-01,760.0,775.0,735.0,745.0,2682800
2024-11-04,745.0,755.0,735.0,740.0,2459100
2024-11-05,740.0,745.0,735.0,745.0,460600
2024-11-06,750.0,755.0,740.0,745.0,890800
2024-11-07,745.0,745.0,725.0,730.0,1641300
2024-11-08,730.0,745.0,730.0,730.0,693700
2024-11-11,735.0,750.0,730.0,735.0,848900
2024-11-12,735.0,760.0,730.0,760.0,2295600
2024-11-13,760.0,765.0,745.0,745.0,1261400
