date,open,high,low,close,volume
2024-04-16,745.0,745.0,700.0,715.0,5750800
2024-04-17,720.0,720.0,650.0,670.0,7543300
2024-04-18,670.0,685.0,655.0,680.0,3068300
2024-04-19,680.0,680.0,650.0,680.0,5086000
2024-04-22,680.0,680.0,660.0,675.0,3365500
2024-04-23,675.0,680.0,660.0,675.0,890200
2024-04-24,675.0,680.0,665.0,675.0,1764900
2024-04-25,675.0,680.0,665.0,675.0,3205500
2024-04-26,675.0,675.0,645.0,650.0,11161200
2024-04-29,650.0,660.0,645.0,650.0,1482800
2024-04-30,650.0,655.0,645.0,650.0,3855900
2024-05-02,650.0,655.0,640.0,650.0,17473600
2024-05-03,650.0,660.0,650.0,650.0,1024100
2024-05-06,655.0,665.0,650.0,655.0,2615000
2024-05-07,655.0,665.0,650.0,660.0,5340000
2024-05-08,660.0,670.0,650.0,665.0,2130300
2024-05-13,670.0,670.0,655.0,665.0,740300
2024-05-14,665.0,670.0,655.0,665.0,2829100
2024-05-15,665.0,665.0,650.0,660.0,2254400
2024-05-16,660.0,665.0,655.0,655.0,455200
2024-05-17,660.0,665.0,650.0,665.0,4737700
2024-05-20,665.0,670.0,655.0,660.0,22305500
2024-05-21,660.0,665.0,640.0,650.0,4830600
2024-05-22,655.0,655.0,640.0,655.0,1225500
2024-05-27,655.0,655.0,605.0,645.0,14093800
2024-05-28,645.0,650.0,630.0,645.0,634200
2024-05-29,645.0,645.0,625.0,640.0,1681400
2024-05-30,640.0,645.0,625.0,645.0,1261000
2024-05-31,645.0,645.0,630.0,645.0,1592600
2024-06-03,645.0,650.0,620.0,630.0,7813200
2024-06-04,630.0,635.0,605.0,620.0,9073900
2024-06-05,620.0,620.0,610.0,615.0,2229500
2024-06-06,615.0,620.0,605.0,610.0,2656200
2024-06-07,610.0,615.0,605.0,610.0,1250100
2024-06-10,605.0,610.0,595.0,600.0,3863500
2024-06-11,605.0,605.0,595.0,600.0,910800
2024-06-12,600.0,600.0,580.0,590.0,4817200
2024-06-13,595.0,605.0,585.0,590.0,799200
2024-06-14,590.0,605.0,585.0,595.0,576100
2024-06-19,595.0,595.0,585.0,590.0,3833800
2024-06-20,590.0,590.0,570.0,580.0,2529000
2024-06-21,580.0,580.0,570.0,575.0,2979700
2024-06-24,575.0,575.0,560.0,575.0,2529300
2024-06-25,575.0,585.0,565.0,580.0,3771600
2024-06-26,580.0,585.0,575.0,580.0,1367900
2024-06-27,580.0,585.0,565.0,575.0,1380700
2024-06-28,575.0,575.0,560.0,565.0,7903900
2024-07-01,565.0,610.0,565.0,600.0,16229600
2024-07-02,610.0,610.0,590.0,600.0,6554100
2024-07-03,605.0,640.0,595.0,600.0,22956000
2024-07-04,605.0,615.0,595.0,610.0,23094900
2024-07-05,610.0,620.0,605.0,610.0,2631600
2024-07-08,615.0,635.0,615.0,625.0,9694000
2024-07-09,630.0,685.0,625.0,660.0,19869500
2024-07-10,670.0,705.0,660.0,690.0,18870200
2024-07-11,690.0,695.0,670.0,695.0,10187000
2024-07-12,700.0,705.0,690.0,695.0,5258900
2024-07-15,695.0,700.0,685.0,695.0,2921200
2024-07-16,690.0,695.0,685.0,695.0,3003300
2024-07-17,690.0,695.0,685.0,695.0,4486200
2024-07-18,695.0,715.0,695.0,710.0,1019900
2024-07-19,710.0,720.0,710.0,715.0,1283300
2024-07-22,715.0,725.0,705.0,715.0,2535600
2024-07-23,715.0,720.0,695.0,715.0,7242900
2024-07-24,715.0,715.0,700.0,710.0,1236200
2024-07-25,710.0,715.0,680.0,705.0,3907500
2024-07-26,705.0,705.0,685.0,705.0,1206300
2024-07-29,710.0,710.0,690.0,705.0,4234300
2024-07-30,700.0,710.0,695.0,705.0,1828000
2024-07-31,695.0,705.0,695.0,705.0,841900
2024-08-01,710.0,715.0,700.0,710.0,1022000
2024-08-02,710.0,745.0,700.0,735.0,8661800
2024-08-05,735.0,735.0,700.0,725.0,5203200
2024-08-06,720.0,720.0,695.0,710.0,13269200
2024-08-07,705.0,715.0,700.0,715.0,3936900
2024-08-08,715.0,720.0,695.0,710.0,3016900
2024-08-09,710.0,710.0,700.0,710.0,5209600
2024-08-12,710.0,710.0,700.0,710.0,1197400
2024-08-13,710.0,710.0,695.0,705.0,2211600
2024-08-14,705.0,710.0,695.0,705.0,2069600
2024-08-15,705.0,705.0,695.0,705.0,2058300
2024-08-16,710.0,710.0,695.0,695.0,1318800
2024-08-19,695.0,700.0,685.0,700.0,671700
2024-08-20,700.0,705.0,690.0,700.0,530900
2024-08-21,700.0,705.0,695.0,705.0,427300
2024-08-22,705.0,705.0,690.0,700.0,2863000
2024-08-23,695.0,700.0,695.0,700.0,1479300
2024-08-26,700.0,700.0,680.0,695.0,3607400
2024-08-27,695.0,700.0,670.0,695.0,4500700
2024-08-28,680.0,695.0,680.0,695.0,1651500
2024-08-29,690.0,695.0,690.0,695.0,852000
2024-08-30,690.0,695.0,685.0,695.0,2283200
2024-09-02,695.0,695.0,680.0,695.0,1257000
2024-09-03,695.0,695.0,685.0,690.0,1130400
2024-09-04,690.0,690.0,680.0,690.0,708600
2024-09-05,690.0,690.0,675.0,680.0,3301000
2024-09-06,680.0,685.0,665.0,670.0,1580600
2024-09-09,675.0,675.0,650.0,660.0,2964500
2024-09-10,660.0,675.0,650.0,665.0,3061700
2024-09-11,665.0,680.0,660.0,680.0,1044900
2024-09-12,675.0,685.0,670.0,675.0,779300
2024-09-13,675.0,680.0,670.0,675.0,2529800
2024-09-17,675.0,685.0,675.0,675.0,2666500
2024-09-18,680.0,685.0,675.0,685.0,582300
2024-09-19,680.0,690.0,680.0,690.0,580100
2024-09-20,690.0,700.0,685.0,685.0,2110700
2024-09-23,690.0,690.0,685.0,690.0,498400
2024-09-24,690.0,690.0,675.0,680.0,5432000
2024-09-25,680.0,685.0,670.0,675.0,2964400
2024-09-26,675.0,680.0,665.0,675.0,1088600
2024-09-27,675.0,680.0,670.0,680.0,964300
2024-09-30,680.0,700.0,675.0,700.0,17605400
2024-10-01,700.0,705.0,690.0,700.0,1161500
2024-10-02,700.0,700.0,675.0,690.0,1579300
2024-10-03,690.0,690.0,675.0,685.0,2801100
