date,open,high,low,close,volume
2024-04-16,800.0,820.0,765.0,810.0,10797400
2024-04-17,810.0,815.0,770.0,775.0,6883100
2024-04-18,775.0,800.0,765.0,785.0,9039700
2024-04-19,785.0,790.0,710.0,760.0,15489100
2024-04-22,760.0,760.0,740.0,740.0,3091700
2024-04-23,740.0,765.0,740.0,755.0,3099300
2024-04-24,755.0,765.0,750.0,750.0,1741500
2024-04-25,750.0,755.0,735.0,740.0,1517000
2024-04-26,740.0,750.0,730.0,745.0,1652800
2024-04-29,750.0,755.0,720.0,730.0,8925400
2024-04-30,740.0,780.0,735.0,775.0,14677000
2024-05-02,780.0,780.0,755.0,760.0,4052400
2024-05-03,775.0,795.0,760.0,785.0,19823400
2024-05-06,790.0,830.0,790.0,815.0,18895000
2024-05-07,815.0,825.0,780.0,790.0,5483500
2024-05-08,795.0,805.0,775.0,775.0,3750900
2024-05-13,780.0,795.0,775.0,785.0,1900800
2024-05-14,785.0,815.0,785.0,805.0,11186400
2024-05-15,810.0,815.0,795.0,810.0,7232200
2024-05-16,810.0,845.0,810.0,840.0,23100900
2024-05-17,840.0,845.0,820.0,830.0,5687000
2024-05-20,830.0,835.0,810.0,815.0,8617500
2024-05-21,815.0,825.0,800.0,800.0,6269200
2024-05-22,800.0,805.0,785.0,790.0,4909400
2024-05-27,795.0,795.0,755.0,760.0,9318600
2024-05-28,750.0,785.0,750.0,775.0,11846700
2024-05-29,775.0,780.0,755.0,770.0,5602700
2024-05-30,770.0,770.0,740.0,755.0,4057500
2024-05-31,755.0,760.0,730.0,730.0,5788300
2024-06-03,735.0,745.0,710.0,725.0,7314600
2024-06-04,725.0,765.0,720.0,740.0,11472700
2024-06-05,740.0,755.0,725.0,725.0,6673100
2024-06-06,720.0,740.0,720.0,730.0,3046200
2024-06-07,735.0,755.0,735.0,755.0,5518500
2024-06-10,755.0,760.0,740.0,745.0,7338800
2024-06-11,745.0,770.0,740.0,745.0,14869800
2024-06-12,745.0,750.0,705.0,710.0,10276400
2024-06-13,715.0,730.0,710.0,715.0,2953500
2024-06-14,720.0,725.0,685.0,690.0,11611300
2024-06-19,690.0,700.0,615.0,650.0,19872500
2024-06-20,640.0,665.0,640.0,665.0,3968600
2024-06-21,670.0,700.0,660.0,680.0,9837800
2024-06-24,680.0,695.0,670.0,675.0,5004600
2024-06-25,675.0,685.0,645.0,655.0,7931300
2024-06-26,655.0,660.0,620.0,630.0,21489500
2024-06-27,640.0,645.0,610.0,615.0,12698800
2024-06-28,615.0,655.0,615.0,640.0,18079800
2024-07-01,650.0,660.0,630.0,640.0,26187300
2024-07-02,640.0,650.0,635.0,635.0,14100600
2024-07-03,640.0,680.0,635.0,680.0,28963400
2024-07-04,685.0,690.0,670.0,685.0,19817300
2024-07-05,685.0,720.0,665.0,705.0,17366900
2024-07-08,715.0,725.0,700.0,715.0,6067300
2024-07-09,720.0,735.0,710.0,720.0,9449500
2024-07-10,720.0,730.0,710.0,715.0,4695500
2024-07-11,710.0,725.0,700.0,705.0,8398900
2024-07-12,705.0,735.0,705.0,725.0,9957500
2024-07-15,735.0,735.0,720.0,725.0,2877900
2024-07-16,730.0,770.0,725.0,770.0,27027800
2024-07-17,780.0,785.0,755.0,780.0,14756100
2024-07-18,780.0,805.0,770.0,785.0,15608200
2024-07-19,785.0,790.0,760.0,770.0,5361800
2024-07-22,770.0,795.0,770.0,795.0,4654300
2024-07-23,795.0,800.0,770.0,785.0,3563100
2024-07-24,785.0,815.0,775.0,805.0,14544900
2024-07-25,805.0,810.0,765.0,770.0,12299100
2024-07-26,770.0,785.0,770.0,775.0,4415600
2024-07-29,780.0,815.0,780.0,800.0,12954100
2024-07-30,815.0,830.0,775.0,785.0,10699200
2024-07-31,785.0,790.0,760.0,765.0,5982400
2024-08-01,765.0,780.0,750.0,760.0,6855000
2024-08-02,760.0,765.0,740.0,755.0,5473100
2024-08-05,755.0,755.0,695.0,710.0,15908400
2024-08-06,710.0,725.0,695.0,720.0,9341300
2024-08-07,725.0,750.0,720.0,745.0,6199800
2024-08-08,745.0,750.0,725.0,725.0,4622600
2024-08-09,730.0,750.0,730.0,735.0,3195100
2024-08-12,735.0,745.0,730.0,735.0,1995200
