date,open,high,low,close,volume
2024-04-16,2760.0,2790.0,2730.0,2740.0,2742700
2024-04-17,2750.0,2790.0,2730.0,2780.0,1404500
2024-04-18,2770.0,2810.0,2770.0,2790.0,944500
2024-04-19,2790.0,2790.0,2720.0,2750.0,1730400
2024-04-22,2750.0,2770.0,2740.0,2750.0,690600
2024-04-23,2750.0,2790.0,2750.0,2760.0,556200
2024-04-24,2760.0,2790.0,2750.0,2770.0,829700
2024-04-25,2770.0,2790.0,2730.0,2740.0,1051700
2024-04-26,2750.0,2780.0,2700.0,2700.0,3192900
2024-04-29,2710.0,2750.0,2670.0,2680.0,818400
2024-04-30,2680.0,2740.0,2660.0,2740.0,1480100
2024-05-02,2740.0,2750.0,2670.0,2680.0,1463900
2024-05-03,2690.0,2730.0,2670.0,2700.0,1674300
2024-05-06,2700.0,2720.0,2660.0,2670.0,1294100
2024-05-07,2670.0,2690.0,2660.0,2660.0,662600
2024-05-08,2670.0,2670.0,2640.0,2640.0,1557300
2024-05-13,2650.0,2680.0,2610.0,2640.0,813300
2024-05-14,2650.0,2680.0,2630.0,2680.0,448700
2024-05-15,2680.0,2710.0,2670.0,2700.0,649200
2024-05-16,2710.0,2720.0,2670.0,2680.0,1383000
2024-05-17,2680.0,2710.0,2670.0,2680.0,732500
2024-05-20,2690.0,2710.0,2660.0,2670.0,976200
2024-05-21,2670.0,2700.0,2650.0,2670.0,990500
2024-05-22,2670.0,2680.0,2650.0,2660.0,612800
2024-05-27,2670.0,2670.0,2620.0,2620.0,1232800
2024-05-28,2650.0,2650.0,2610.0,2630.0,829800
2024-05-29,2640.0,2650.0,2600.0,2610.0,1192500
2024-05-30,2620.0,2650.0,2550.0,2570.0,1364100
2024-05-31,2590.0,2610.0,2560.0,2570.0,566100
2024-06-03,2570.0,2620.0,2570.0,2600.0,426200
2024-06-04,2620.0,2650.0,2600.0,2610.0,465100
2024-06-05,2630.0,2650.0,2580.0,2590.0,647400
2024-06-06,2570.0,2610.0,2570.0,2600.0,765100
2024-06-07,2600.0,2620.0,2580.0,2580.0,1175900
2024-06-10,2590.0,2600.0,2570.0,2580.0,582600
2024-06-11,2580.0,2590.0,2530.0,2530.0,1472000
2024-06-12,2540.0,2550.0,2500.0,2510.0,1202200
2024-06-13,2520.0,2550.0,2500.0,2500.0,822500
2024-06-14,2500.0,2510.0,2460.0,2480.0,1061100
2024-06-19,2480.0,2480.0,2430.0,2440.0,1108800
2024-06-20,2440.0,2460.0,2430.0,2450.0,540000
2024-06-21,2460.0,2530.0,2460.0,2520.0,365700
2024-06-24,2520.0,2540.0,2480.0,2500.0,482500
2024-06-25,2520.0,2530.0,2460.0,2490.0,274600
2024-06-26,2500.0,2510.0,2480.0,2500.0,272000
2024-06-27,2510.0,2540.0,2500.0,2530.0,235400
2024-06-28,2530.0,2580.0,2520.0,2580.0,757200
2024-07-01,2590.0,2610.0,2560.0,2560.0,771600
2024-07-02,2560.0,2600.0,2520.0,2570.0,682500
2024-07-03,2580.0,2590.0,2560.0,2580.0,365600
2024-07-04,2580.0,2600.0,2550.0,2570.0,1813700
2024-07-05,2570.0,2600.0,2540.0,2600.0,441500
2024-07-08,2610.0,2610.0,2580.0,2580.0,683100
2024-07-09,2600.0,2650.0,2580.0,2590.0,969500
2024-07-10,2600.0,2620.0,2590.0,2600.0,531300
2024-07-11,2600.0,2640.0,2580.0,2600.0,312500
2024-07-12,2630.0,2630.0,2590.0,2610.0,619200
2024-07-15,2640.0,2650.0,2590.0,2590.0,590500
2024-07-16,2600.0,2650.0,2600.0,2620.0,906900
2024-07-17,2640.0,2640.0,2600.0,2620.0,729300
2024-07-18,2610.0,2620.0,2590.0,2600.0,964700
2024-07-19,2600.0,2620.0,2590.0,2610.0,291300
2024-07-22,2620.0,2630.0,2600.0,2610.0,470800
2024-07-23,2600.0,2610.0,2590.0,2590.0,604500
2024-07-24,2590.0,2600.0,2580.0,2590.0,503100
2024-07-25,2600.0,2600.0,2540.0,2540.0,1003200
2024-07-26,2550.0,2580.0,2550.0,2560.0,608700
2024-07-29,2560.0,2600.0,2550.0,2570.0,322000
2024-07-30,2590.0,2600.0,2560.0,2570.0,933000
2024-07-31,2570.0,2590.0,2530.0,2590.0,1046000
2024-08-01,2580.0,2580.0,2550.0,2570.0,437700
2024-08-02,2570.0,2570.0,2550.0,2550.0,381000
2024-08-05,2550.0,2550.0,2430.0,2460.0,3924800
2024-08-06,2450.0,2490.0,2440.0,2470.0,1281400
2024-08-07,2460.0,2500.0,2460.0,2480.0,545000
2024-08-08,2480.0,2500.0,2480.0,2500.0,480700
2024-08-09,2500.0,2540.0,2500.0,2530.0,745000
2024-08-12,2530.0,2550.0,2500.0,2530.0,613300
2024-08-13,2540.0,2550.0,2530.0,2550.0,320400
2024-08-14,2550.0,2590.0,2550.0,2570.0,1189300
2024-08-15,2580.0,2590.0,2570.0,2580.0,488400
2024-08-16,2590.0,2590.0,2570.0,2570.0,493500
2024-08-19,2570.0,2590.0,2560.0,2580.0,407300
2024-08-20,2590.0,2620.0,2580.0,2610.0,898100
2024-08-21,2620.0,2650.0,2610.0,2630.0,1155000
2024-08-22,2630.0,2630.0,2580.0,2580.0,1288800
2024-08-23,2590.0,2630.0,2570.0,2600.0,957400
2024-08-26,2600.0,2700.0,2590.0,2660.0,1709900
2024-08-27,2680.0,2680.0,2630.0,2660.0,576200
2024-08-28,2670.0,2670.0,2620.0,2640.0,1116600
2024-08-29,2640.0,2670.0,2620.0,2630.0,695100
2024-08-30,2640.0,2640.0,2600.0,2610.0,1433300
2024-09-02,2600.0,2680.0,2600.0,2630.0,1016700
2024-09-03,2630.0,2640.0,2610.0,2620.0,985800
2024-09-04,2630.0,2630.0,2590.0,2620.0,705000
2024-09-05,2610.0,2630.0,2600.0,2630.0,516600
2024-09-06,2630.0,2650.0,2620.0,2620.0,299800
2024-09-09,2630.0,2630.0,2600.0,2610.0,481900
2024-09-10,2620.0,2620.0,2600.0,2610.0,277900
2024-09-11,2600.0,2630.0,2600.0,2600.0,335800
2024-09-12,2600.0,2630.0,2590.0,2620.0,1000700
2024-09-13,2610.0,2630.0,2610.0,2610.0,388700
2024-09-17,2630.0,2630.0,2610.0,2630.0,930900
2024-09-18,2630.0,2650.0,2620.0,2640.0,662700
2024-09-19,2640.0,2680.0,2630.0,2670.0,1275400
2024-09-20,2680.0,2710.0,2670.0,2690.0,2393300
2024-09-23,2700.0,2730.0,2680.0,2680.0,617000
2024-09-24,2680.0,2690.0,2660.0,2670.0,892400
2024-09-25,2680.0,2690.0,2620.0,2640.0,1777400
2024-09-26,2650.0,2650.0,2620.0,2640.0,706100
2024-09-27,2640.0,2640.0,2610.0,2630.0,428700
2024-09-30,2640.0,2650.0,2570.0,2600.0,1811400
2024-10-01,2590.0,2620.0,2590.0,2600.0,669000
2024-10-02,2620.0,2620.0,2580.0,2600.0,1137300
2024-10-03,2600.0,2640.0,2570.0,2630.0,1468900
2024-10-04,2630.0,2630.0,2580.0,2620.0,649600
2024-10-07,2620.0,2630.0,2590.0,2620.0,905800
2024-10-08,2620.0,2630.0,2590.0,2620.0,902500
2024-10-09,2610.0,2620.0,2600.0,2610.0,705700
2024-10-10,2610.0,2620.0,2600.0,2610.0,402000
2024-10-11,2610.0,2620.0,2580.0,2580.0,801900
2024-10-14,2590.0,2620.0,2590.0,2610.0,790600
2024-10-15,2610.0,2620.0,2580.0,2620.0,254700
2024-10-16,2620.0,2620.0,2590.0,2620.0,361700
2024-10-17,2620.0,2630.0,2600.0,2630.0,407200
2024-10-18,2620.0,2630.0,2600.0,2610.0,725100
2024-10-21,2610.0,2640.0,2610.0,2620.0,741000
2024-10-22,2620.0,2620.0,2600.0,2600.0,1204900
2024-10-23,2600.0,2630.0,2600.0,2630.0,622900
2024-10-24,2630.0,2630.0,2600.0,2600.0,688000
2024-10-25,2600.0,2620.0,2600.0,2620.0,928100
2024-10-28,2620.0,2620.0,2590.0,2610.0,735400
2024-10-29,2610.0,2610.0,2580.0,2580.0,586000
2024-10-30,2580.0,2590.0,2540.0,2570.0,1584000
2024-10-31,2570.0,2590.0,2550.0,2570.0,1088000
