date,open,high,low,close,volume
2024-04-16,1760.0,1765.0,1650.0,1665.0,6902700
2024-04-17,1665.0,1675.0,1645.0,1660.0,2968700
2024-04-18,1660.0,1665.0,1640.0,1645.0,2108000
2024-04-19,1645.0,1690.0,1590.0,1600.0,3974900
2024-04-22,1605.0,1615.0,1550.0,1600.0,3994500
2024-04-23,1605.0,1625.0,1585.0,1585.0,1887500
2024-04-24,1595.0,1615.0,1595.0,1610.0,941000
2024-04-25,1610.0,1615.0,1560.0,1570.0,4343300
2024-04-26,1570.0,1595.0,1570.0,1570.0,1358800
2024-04-29,1575.0,1590.0,1510.0,1515.0,4334600
2024-04-30,1520.0,1575.0,1515.0,1555.0,1365900
2024-05-02,1560.0,1575.0,1525.0,1560.0,2272100
2024-05-03,1565.0,1570.0,1530.0,1530.0,2282900
2024-05-06,1530.0,1550.0,1530.0,1535.0,432100
2024-05-07,1535.0,1545.0,1535.0,1535.0,996800
2024-05-08,1540.0,1550.0,1520.0,1520.0,1985900
2024-05-13,1520.0,1545.0,1500.0,1545.0,3211800
2024-05-14,1540.0,1540.0,1510.0,1515.0,1899100
2024-05-15,1515.0,1525.0,1510.0,1520.0,4146500
2024-05-16,1520.0,1525.0,1505.0,1525.0,3600700
2024-05-17,1525.0,1570.0,1525.0,1550.0,3037600
2024-05-20,1545.0,1570.0,1530.0,1545.0,3858000
2024-05-21,1540.0,1540.0,1515.0,1540.0,2656900
2024-05-22,1540.0,1545.0,1520.0,1545.0,2915000
2024-05-27,1545.0,1550.0,1525.0,1525.0,2012500
2024-05-28,1525.0,1535.0,1520.0,1535.0,1227400
2024-05-29,1535.0,1535.0,1510.0,1510.0,1547600
2024-05-30,1510.0,1530.0,1500.0,1525.0,1743100
2024-05-31,1530.0,1550.0,1520.0,1550.0,2030400
2024-06-03,1555.0,1570.0,1520.0,1545.0,4138700
2024-06-04,1545.0,1545.0,1520.0,1545.0,3082600
2024-06-05,1545.0,1545.0,1520.0,1540.0,1511700
2024-06-06,1540.0,1540.0,1525.0,1530.0,650100
2024-06-07,1530.0,1530.0,1515.0,1515.0,1426000
2024-06-10,1515.0,1530.0,1505.0,1525.0,1139900
2024-06-11,1525.0,1540.0,1500.0,1525.0,2882900
2024-06-12,1525.0,1540.0,1485.0,1520.0,3459100
2024-06-13,1520.0,1550.0,1500.0,1540.0,1218000
2024-06-14,1540.0,1550.0,1500.0,1525.0,2713200
2024-06-19,1520.0,1545.0,1510.0,1520.0,2432600
2024-06-20,1520.0,1525.0,1505.0,1515.0,1542100
2024-06-21,1515.0,1545.0,1510.0,1535.0,4036200
2024-06-24,1535.0,1555.0,1530.0,1530.0,5154000
2024-06-25,1545.0,1545.0,1495.0,1540.0,5905900
2024-06-26,1460.0,1500.0,1450.0,1465.0,5082500
2024-06-27,1465.0,1480.0,1460.0,1465.0,1497100
2024-06-28,1470.0,1495.0,1465.0,1485.0,1711400
2024-07-01,1490.0,1505.0,1480.0,1495.0,1590100
2024-07-02,1495.0,1500.0,1485.0,1485.0,1278800
2024-07-03,1495.0,1520.0,1495.0,1515.0,1227200
2024-07-04,1520.0,1530.0,1510.0,1515.0,2959100
2024-07-05,1515.0,1530.0,1510.0,1520.0,727100
2024-07-08,1525.0,1525.0,1505.0,1515.0,1308500
2024-07-09,1515.0,1525.0,1510.0,1525.0,882800
2024-07-10,1525.0,1530.0,1515.0,1515.0,839300
2024-07-11,1525.0,1525.0,1505.0,1510.0,736700
2024-07-12,1510.0,1525.0,1505.0,1525.0,942300
2024-07-15,1525.0,1530.0,1515.0,1520.0,576300
2024-07-16,1520.0,1525.0,1510.0,1525.0,1432800
2024-07-17,1525.0,1570.0,1525.0,1565.0,2984400
2024-07-18,1565.0,1585.0,1550.0,1560.0,1273100
2024-07-19,1560.0,1570.0,1540.0,1550.0,1324500
2024-07-22,1550.0,1560.0,1540.0,1545.0,835300
2024-07-23,1545.0,1550.0,1535.0,1540.0,590400
2024-07-24,1540.0,1690.0,1540.0,1660.0,12227800
