date,open,high,low,close,volume
2024-04-16,66.0,66.0,62.0,66.0,564700
2024-04-17,66.0,66.0,65.0,65.0,32900
2024-04-18,64.0,65.0,62.0,62.0,60500
2024-04-19,61.0,62.0,61.0,61.0,176200
2024-04-22,60.0,61.0,60.0,61.0,169000
2024-04-23,61.0,61.0,61.0,61.0,20000
2024-04-24,61.0,61.0,60.0,61.0,568900
2024-04-25,61.0,61.0,60.0,60.0,405400
2024-04-26,60.0,60.0,60.0,60.0,254600
2024-04-29,60.0,60.0,60.0,60.0,58500
2024-04-30,60.0,61.0,60.0,61.0,1057800
2024-05-02,61.0,61.0,61.0,61.0,178400
2024-05-03,60.0,60.0,60.0,60.0,91200
2024-05-06,60.0,60.0,59.0,59.0,83300
2024-05-07,59.0,59.0,59.0,59.0,241400
2024-05-08,58.0,58.0,58.0,58.0,365200
2024-05-13,58.0,60.0,58.0,60.0,449600
2024-05-14,61.0,61.0,61.0,61.0,445600
2024-05-15,60.0,62.0,60.0,62.0,310500
2024-05-16,62.0,63.0,62.0,63.0,321500
2024-05-17,63.0,63.0,63.0,63.0,45200
2024-05-20,63.0,63.0,61.0,61.0,70300
2024-05-21,61.0,61.0,60.0,60.0,62900
2024-05-22,60.0,60.0,60.0,60.0,6000
2024-05-27,59.0,59.0,59.0,59.0,180400
2024-05-28,59.0,59.0,59.0,59.0,26200
2024-05-29,59.0,59.0,59.0,59.0,108700
2024-05-30,59.0,59.0,59.0,59.0,13300
2024-05-31,59.0,59.0,58.0,58.0,19400
2024-06-03,58.0,58.0,55.0,55.0,15000
2024-06-04,55.0,55.0,55.0,55.0,352600
2024-06-05,55.0,55.0,54.0,55.0,97500
2024-06-06,54.0,55.0,54.0,54.0,3485400
2024-06-07,54.0,54.0,53.0,53.0,240600
2024-06-10,53.0,53.0,52.0,52.0,1145900
2024-06-11,52.0,52.0,52.0,52.0,891300
2024-06-12,52.0,53.0,52.0,53.0,165400
2024-06-13,53.0,53.0,53.0,53.0,575400
2024-06-14,53.0,53.0,50.0,50.0,1868400
2024-06-19,50.0,51.0,50.0,51.0,323900
2024-06-20,51.0,51.0,50.0,50.0,448600
2024-06-21,50.0,50.0,50.0,50.0,302000
2024-06-24,50.0,51.0,50.0,51.0,737400
2024-06-25,51.0,52.0,51.0,52.0,81400
2024-06-26,50.0,52.0,50.0,52.0,959200
