date,open,high,low,close,volume
2024-04-16,22.0,22.0,22.0,22.0,1797100
2024-04-17,20.0,20.0,20.0,20.0,5105000
2024-04-18,19.0,19.0,18.0,18.0,60870200
2024-04-19,17.0,17.0,17.0,17.0,6182000
2024-04-22,16.0,16.0,16.0,16.0,202226800
2024-04-23,15.0,17.0,15.0,17.0,128186500
2024-04-24,18.0,18.0,18.0,18.0,112116500
2024-04-25,19.0,19.0,19.0,19.0,7098400
2024-04-26,20.0,20.0,20.0,20.0,2608400
2024-04-29,22.0,22.0,22.0,22.0,25500400
2024-04-30,24.0,24.0,23.0,23.0,137894100
2024-05-02,21.0,21.0,21.0,21.0,60575300
2024-05-03,19.0,20.0,19.0,20.0,24237500
2024-05-06,19.0,20.0,19.0,20.0,9358600
2024-05-07,20.0,20.0,19.0,19.0,19100600
2024-05-08,19.0,20.0,19.0,20.0,14740400
2024-05-13,20.0,20.0,19.0,19.0,14586000
2024-05-14,19.0,19.0,18.0,19.0,13232800
2024-05-15,18.0,19.0,18.0,19.0,11783700
2024-05-16,19.0,20.0,19.0,20.0,1384300
2024-05-17,19.0,20.0,19.0,20.0,3961900
2024-05-20,20.0,20.0,20.0,20.0,6026800
2024-05-21,20.0,20.0,19.0,20.0,2459200
2024-05-22,20.0,20.0,20.0,20.0,12631100
2024-05-27,20.0,20.0,19.0,19.0,3163000
2024-05-28,18.0,18.0,18.0,18.0,10201700
2024-05-29,17.0,17.0,17.0,17.0,8269000
2024-05-30,16.0,17.0,16.0,17.0,599000
2024-05-31,16.0,17.0,16.0,17.0,4174800
2024-06-03,17.0,17.0,16.0,17.0,768600
2024-06-04,16.0,16.0,16.0,16.0,6857900
2024-06-05,15.0,16.0,15.0,16.0,1207700
2024-06-06,16.0,16.0,16.0,16.0,1753000
2024-06-07,16.0,16.0,15.0,15.0,343100
2024-06-10,15.0,15.0,15.0,15.0,1063700
2024-06-11,15.0,15.0,15.0,15.0,113800
2024-06-12,14.0,15.0,14.0,15.0,5265100
2024-06-13,15.0,15.0,14.0,14.0,2914500
2024-06-14,14.0,14.0,14.0,14.0,994800
2024-06-19,13.0,13.0,13.0,13.0,22748100
2024-06-20,12.0,12.0,12.0,12.0,12740300
2024-06-21,12.0,13.0,12.0,13.0,8824400
2024-06-24,14.0,14.0,14.0,14.0,2072400
2024-06-25,13.0,13.0,13.0,13.0,141800
2024-06-26,13.0,13.0,13.0,13.0,790600
2024-06-27,13.0,14.0,13.0,14.0,385000
2024-06-28,14.0,14.0,14.0,14.0,1641500
2024-07-01,14.0,14.0,14.0,14.0,261700
2024-07-02,14.0,14.0,14.0,14.0,6328000
2024-07-03,14.0,14.0,14.0,14.0,4382200
2024-07-04,13.0,14.0,13.0,13.0,1882200
2024-07-05,13.0,13.0,13.0,13.0,1378700
2024-07-08,13.0,13.0,13.0,13.0,340300
2024-07-09,13.0,13.0,13.0,13.0,11370000
2024-07-10,13.0,13.0,13.0,13.0,6436600
2024-07-11,13.0,13.0,13.0,13.0,24677200
2024-07-12,13.0,14.0,13.0,14.0,1689000
2024-07-15,14.0,14.0,14.0,14.0,3112000
2024-07-16,14.0,14.0,14.0,14.0,2050700
2024-07-17,14.0,15.0,14.0,15.0,2274700
2024-07-18,15.0,15.0,15.0,15.0,3799600
2024-07-19,15.0,16.0,15.0,16.0,3557400
2024-07-22,17.0,17.0,17.0,17.0,3737400
2024-07-23,18.0,18.0,18.0,18.0,4364900
2024-07-24,18.0,19.0,18.0,19.0,15510400
2024-07-25,20.0,20.0,19.0,19.0,10219500
2024-07-26,19.0,19.0,19.0,19.0,3351700
2024-07-29,19.0,19.0,19.0,19.0,1522000
2024-07-30,19.0,19.0,19.0,19.0,1018300
2024-07-31,19.0,20.0,19.0,19.0,4483300
2024-08-01,19.0,19.0,18.0,18.0,4290100
2024-08-02,19.0,19.0,18.0,18.0,4746000
2024-08-05,18.0,18.0,17.0,17.0,6652200
2024-08-06,17.0,18.0,17.0,18.0,321200
2024-08-07,18.0,18.0,18.0,18.0,88900
2024-08-08,18.0,19.0,18.0,18.0,2476800
2024-08-09,18.0,19.0,18.0,18.0,417300
2024-08-12,18.0,18.0,18.0,18.0,676200
2024-08-13,18.0,19.0,18.0,18.0,1581400
2024-08-14,18.0,19.0,18.0,19.0,13595700
2024-08-15,20.0,20.0,20.0,20.0,13098300
2024-08-16,20.0,20.0,18.0,20.0,768200
2024-08-19,20.0,20.0,19.0,20.0,6395600
2024-08-20,20.0,20.0,19.0,19.0,1109100
2024-08-21,19.0,20.0,19.0,19.0,2967600
2024-08-22,19.0,19.0,18.0,19.0,8428600
2024-08-23,19.0,20.0,19.0,20.0,9183300
2024-08-26,22.0,22.0,22.0,22.0,9169900
2024-08-27,22.0,22.0,20.0,20.0,3876800
2024-08-28,20.0,20.0,19.0,19.0,4382100
2024-08-29,19.0,19.0,19.0,19.0,2235100
2024-08-30,19.0,20.0,19.0,20.0,1892700
2024-09-02,20.0,20.0,19.0,20.0,6783700
2024-09-03,20.0,21.0,20.0,21.0,3633000
2024-09-04,21.0,21.0,20.0,20.0,2331600
2024-09-05,21.0,21.0,20.0,21.0,8351900
2024-09-06,21.0,21.0,21.0,21.0,7104800
2024-09-09,20.0,21.0,20.0,21.0,1169100
2024-09-10,21.0,21.0,21.0,21.0,8363000
2024-09-11,22.0,22.0,22.0,22.0,11525800
2024-09-12,22.0,22.0,22.0,22.0,4214300
2024-09-13,22.0,22.0,22.0,22.0,3197700
2024-09-17,22.0,22.0,22.0,22.0,4989000
2024-09-18,22.0,22.0,21.0,21.0,22573000
2024-09-19,20.0,21.0,20.0,21.0,5566700
2024-09-20,21.0,21.0,21.0,21.0,1810300
2024-09-23,21.0,21.0,20.0,20.0,4421400
2024-09-24,20.0,20.0,20.0,20.0,3023000
2024-09-25,20.0,20.0,19.0,19.0,1419200
2024-09-26,19.0,19.0,19.0,19.0,1835300
2024-09-27,19.0,19.0,19.0,19.0,638900
2024-09-30,20.0,20.0,19.0,20.0,5278300
2024-10-01,20.0,21.0,20.0,21.0,1245000
2024-10-02,21.0,21.0,21.0,21.0,13359200
2024-10-03,21.0,21.0,21.0,21.0,1369900
2024-10-04,22.0,22.0,21.0,21.0,1104400
2024-10-07,21.0,21.0,20.0,21.0,73000
2024-10-08,21.0,22.0,21.0,22.0,24000
2024-10-09,22.0,22.0,20.0,21.0,6661900
2024-10-10,21.0,21.0,20.0,20.0,181800
2024-10-11,21.0,21.0,20.0,20.0,903500
2024-10-14,20.0,20.0,20.0,20.0,1299200
2024-10-15,20.0,21.0,20.0,21.0,1133000
2024-10-16,21.0,21.0,20.0,21.0,1023400
2024-10-17,21.0,21.0,20.0,20.0,458900
2024-10-18,20.0,21.0,20.0,21.0,979000
2024-10-21,21.0,21.0,20.0,21.0,474100
2024-10-22,21.0,22.0,21.0,22.0,22841100
2024-10-23,23.0,23.0,22.0,22.0,1310900
2024-10-24,23.0,23.0,23.0,23.0,8975400
