date,open,high,low,close,volume
2024-04-16,650.0,650.0,615.0,635.0,111700
2024-04-17,640.0,640.0,625.0,630.0,103800
2024-04-18,630.0,635.0,625.0,635.0,159800
2024-04-19,630.0,630.0,615.0,625.0,219000
2024-04-22,615.0,670.0,605.0,655.0,634600
2024-04-23,655.0,660.0,630.0,630.0,657000
2024-04-24,620.0,645.0,615.0,620.0,209400
2024-04-25,625.0,650.0,620.0,640.0,136500
2024-04-26,640.0,640.0,610.0,615.0,475000
2024-04-29,615.0,620.0,580.0,585.0,783700
2024-04-30,585.0,655.0,570.0,600.0,1353800
2024-05-02,605.0,620.0,590.0,600.0,197100
2024-05-03,600.0,600.0,595.0,600.0,37700
2024-05-06,600.0,600.0,590.0,600.0,57500
2024-05-07,600.0,610.0,585.0,600.0,169200
2024-05-08,590.0,600.0,585.0,585.0,79400
2024-05-13,585.0,590.0,580.0,585.0,232900
2024-05-14,585.0,685.0,585.0,605.0,4099400
2024-05-15,620.0,620.0,595.0,620.0,478200
2024-05-16,625.0,630.0,600.0,610.0,285600
2024-05-17,605.0,615.0,600.0,615.0,291200
2024-05-20,615.0,670.0,610.0,630.0,1814700
2024-05-21,630.0,635.0,615.0,615.0,200000
2024-05-22,615.0,640.0,605.0,605.0,481900
2024-05-27,610.0,630.0,605.0,610.0,141200
2024-05-28,610.0,620.0,600.0,600.0,171600
2024-05-29,605.0,615.0,600.0,610.0,129700
2024-05-30,605.0,605.0,600.0,605.0,267600
2024-05-31,600.0,605.0,590.0,600.0,420000
2024-06-03,595.0,600.0,590.0,590.0,149200
2024-06-04,600.0,600.0,595.0,595.0,281700
2024-06-05,595.0,650.0,585.0,605.0,7295000
2024-06-06,610.0,610.0,595.0,595.0,266800
2024-06-07,600.0,605.0,590.0,590.0,448900
2024-06-10,590.0,640.0,585.0,605.0,9227600
2024-06-11,605.0,610.0,595.0,595.0,385000
2024-06-12,605.0,605.0,590.0,590.0,114000
2024-06-13,590.0,625.0,590.0,595.0,4513000
2024-06-14,590.0,600.0,590.0,595.0,76400
2024-06-19,595.0,600.0,590.0,600.0,53400
2024-06-20,605.0,605.0,590.0,595.0,56500
2024-06-21,600.0,645.0,600.0,610.0,2446400
2024-06-24,610.0,630.0,610.0,620.0,673800
2024-06-25,620.0,620.0,605.0,615.0,126700
2024-06-26,620.0,620.0,610.0,615.0,57900
2024-06-27,610.0,680.0,610.0,630.0,8447100
2024-06-28,635.0,655.0,620.0,625.0,4065400
2024-07-01,625.0,640.0,620.0,625.0,288400
2024-07-02,635.0,640.0,625.0,635.0,240100
2024-07-03,650.0,650.0,620.0,625.0,299600
2024-07-04,625.0,660.0,610.0,620.0,4333800
2024-07-05,625.0,665.0,595.0,610.0,8454100
2024-07-08,620.0,630.0,600.0,615.0,290000
2024-07-09,615.0,625.0,615.0,615.0,209800
2024-07-10,625.0,625.0,605.0,610.0,187700
2024-07-11,605.0,620.0,605.0,615.0,83500
2024-07-12,615.0,620.0,615.0,620.0,95900
2024-07-15,615.0,625.0,615.0,625.0,265400
2024-07-16,615.0,630.0,615.0,620.0,178600
2024-07-17,620.0,640.0,615.0,635.0,741300
2024-07-18,640.0,655.0,620.0,635.0,1745800
2024-07-19,630.0,680.0,630.0,650.0,2697000
2024-07-22,650.0,740.0,650.0,720.0,6189900
2024-07-23,740.0,755.0,720.0,730.0,1843200
2024-07-24,725.0,740.0,700.0,730.0,742300
2024-07-25,720.0,730.0,700.0,720.0,1056900
2024-07-26,730.0,740.0,710.0,710.0,281900
2024-07-29,700.0,740.0,700.0,720.0,336300
2024-07-30,720.0,740.0,720.0,730.0,477000
2024-07-31,730.0,740.0,720.0,725.0,516600
2024-08-01,725.0,765.0,710.0,760.0,1598700
2024-08-02,760.0,855.0,730.0,830.0,4771600
2024-08-05,835.0,880.0,760.0,805.0,9298700
2024-08-06,805.0,835.0,785.0,830.0,1251200
2024-08-07,830.0,980.0,830.0,915.0,6463500
2024-08-08,925.0,950.0,885.0,915.0,2705800
2024-08-09,915.0,920.0,855.0,865.0,1570500
2024-08-12,865.0,875.0,795.0,800.0,2505500
2024-08-13,805.0,825.0,770.0,825.0,1433100
2024-08-14,830.0,845.0,810.0,825.0,651700
2024-08-15,830.0,850.0,820.0,825.0,508100
2024-08-16,815.0,835.0,815.0,820.0,175300
2024-08-19,825.0,835.0,810.0,815.0,167700
2024-08-20,810.0,900.0,810.0,855.0,1701800
2024-08-21,865.0,880.0,815.0,835.0,1093200
2024-08-22,835.0,845.0,815.0,835.0,239000
2024-08-23,830.0,855.0,820.0,835.0,267800
2024-08-26,835.0,850.0,815.0,820.0,253400
2024-08-27,820.0,830.0,810.0,820.0,190800
2024-08-28,825.0,830.0,795.0,795.0,874500
2024-08-29,790.0,790.0,735.0,740.0,1576600
2024-08-30,790.0,825.0,745.0,790.0,6485100
2024-09-02,785.0,805.0,775.0,790.0,1180800
2024-09-03,790.0,800.0,770.0,790.0,671900
2024-09-04,785.0,825.0,780.0,790.0,1573300
2024-09-05,805.0,810.0,775.0,790.0,373800
2024-09-06,790.0,790.0,775.0,775.0,165000
2024-09-09,765.0,790.0,760.0,760.0,496700
2024-09-10,775.0,775.0,750.0,765.0,96800
2024-09-11,765.0,765.0,730.0,740.0,858100
2024-09-12,720.0,750.0,720.0,740.0,1315600
2024-09-13,740.0,755.0,735.0,750.0,78200
2024-09-17,760.0,775.0,750.0,755.0,441600
2024-09-18,760.0,775.0,745.0,750.0,197800
2024-09-19,760.0,770.0,730.0,730.0,670400
2024-09-20,735.0,745.0,710.0,710.0,2186100
2024-09-23,715.0,785.0,695.0,750.0,13678200
2024-09-24,755.0,755.0,735.0,740.0,301300
2024-09-25,740.0,755.0,725.0,745.0,502500
2024-09-26,750.0,750.0,720.0,730.0,177400
2024-09-27,735.0,745.0,715.0,730.0,620900
2024-09-30,730.0,730.0,695.0,715.0,675000
2024-10-01,720.0,720.0,675.0,690.0,1631400
2024-10-02,710.0,710.0,640.0,670.0,1776500
2024-10-03,675.0,675.0,650.0,655.0,768100
2024-10-04,640.0,670.0,615.0,660.0,810200
2024-10-07,660.0,680.0,655.0,675.0,218700
2024-10-08,675.0,680.0,645.0,645.0,1113900
2024-10-09,650.0,665.0,650.0,660.0,906500
2024-10-10,660.0,670.0,635.0,660.0,160600
2024-10-11,670.0,695.0,665.0,665.0,272900
2024-10-14,655.0,680.0,650.0,660.0,438500
2024-10-15,660.0,670.0,650.0,665.0,375200
2024-10-16,670.0,680.0,665.0,670.0,124900
2024-10-17,680.0,730.0,670.0,710.0,1667200
2024-10-18,720.0,720.0,705.0,710.0,510700
2024-10-21,705.0,750.0,705.0,740.0,2014800
2024-10-22,740.0,780.0,735.0,775.0,9682800
2024-10-23,775.0,785.0,745.0,755.0,1481200
2024-10-24,765.0,775.0,740.0,750.0,7258000
2024-10-25,760.0,760.0,725.0,730.0,370300
2024-10-28,760.0,760.0,710.0,720.0,467600
2024-10-29,710.0,740.0,675.0,720.0,1151500
2024-10-30,720.0,720.0,695.0,715.0,252200
2024-10-31,710.0,730.0,700.0,715.0,226400
2024-11-01,720.0,720.0,700.0,705.0,100900
2024-11-04,700.0,705.0,690.0,705.0,102400
2024-11-05,705.0,725.0,675.0,710.0,380600
2024-11-06,710.0,715.0,670.0,700.0,131400
2024-11-07,680.0,685.0,675.0,675.0,226000
2024-11-08,685.0,690.0,650.0,670.0,496000
2024-11-11,665.0,670.0,650.0,655.0,190600
2024-11-12,655.0,725.0,645.0,680.0,599800
2024-11-13,695.0,725.0,695.0,700.0,462700
2024-11-14,715.0,720.0,660.0,680.0,235100
2024-11-15,680.0,685.0,660.0,685.0,119100
2024-11-18,685.0,685.0,660.0,675.0,53500
2024-11-19,660.0,680.0,660.0,665.0,62300
2024-11-20,675.0,700.0,655.0,655.0,319600
2024-11-21,665.0,685.0,655.0,675.0,76300
2024-11-22,675.0,740.0,675.0,715.0,1170400
2024-11-25,720.0,730.0,695.0,715.0,308100
2024-11-26,715.0,715.0,695.0,695.0,80200
2024-11-28,695.0,705.0,675.0,675.0,160000
2024-11-29,670.0,680.0,655.0,680.0,556000
2024-12-02,685.0,685.0,640.0,655.0,391000
2024-12-03,665.0,665.0,650.0,655.0,191100
2024-12-04,660.0,690.0,660.0,665.0,122600
2024-12-05,665.0,670.0,655.0,655.0,40200
2024-12-06,665.0,670.0,650.0,660.0,589600
2024-12-09,660.0,665.0,650.0,660.0,550400
2024-12-10,665.0,665.0,655.0,660.0,66000
2024-12-11,655.0,660.0,650.0,655.0,337600
2024-12-12,655.0,655.0,645.0,645.0,221400
2024-12-13,650.0,650.0,625.0,630.0,472900
2024-12-16,630.0,630.0,605.0,610.0,263300
2024-12-17,610.0,610.0,590.0,600.0,690500
2024-12-18,600.0,605.0,555.0,605.0,1549100
2024-12-19,585.0,590.0,580.0,585.0,58200
2024-12-20,585.0,615.0,575.0,610.0,191400
2024-12-23,610.0,615.0,590.0,600.0,125500
2024-12-24,600.0,605.0,585.0,590.0,95800
2024-12-27,595.0,605.0,595.0,605.0,183700
2024-12-30,605.0,605.0,595.0,600.0,29600
2025-01-02,600.0,630.0,600.0,610.0,333300
2025-01-03,620.0,620.0,595.0,610.0,239800
2025-01-06,620.0,660.0,600.0,605.0,482500
2025-01-07,615.0,625.0,605.0,610.0,277200
2025-01-08,610.0,630.0,610.0,625.0,369800
2025-01-09,615.0,625.0,600.0,615.0,88500
2025-01-10,610.0,630.0,610.0,625.0,160700
2025-01-13,625.0,625.0,605.0,610.0,52900
2025-01-14,610.0,625.0,600.0,600.0,158300
2025-01-15,600.0,625.0,600.0,610.0,85700
2025-01-16,620.0,620.0,610.0,610.0,22900
2025-01-17,615.0,615.0,600.0,610.0,80300
2025-01-20,610.0,630.0,580.0,600.0,448600
2025-01-21,605.0,610.0,600.0,600.0,239400
2025-01-22,600.0,610.0,600.0,610.0,122500
2025-01-23,610.0,610.0,595.0,610.0,128700
2025-01-24,600.0,610.0,585.0,585.0,265400
2025-01-30,590.0,625.0,580.0,595.0,474200
2025-01-31,595.0,615.0,595.0,600.0,79300
2025-02-03,600.0,600.0,575.0,585.0,512200
2025-02-04,585.0,610.0,585.0,595.0,160800
2025-02-05,590.0,610.0,590.0,600.0,42800
2025-02-06,590.0,630.0,585.0,610.0,320800
2025-02-07,605.0,610.0,595.0,600.0,115700
2025-02-10,600.0,600.0,585.0,590.0,151100
2025-02-11,590.0,590.0,580.0,580.0,173500
2025-02-12,580.0,605.0,580.0,580.0,221900
2025-02-13,580.0,585.0,575.0,580.0,149600
2025-02-14,590.0,590.0,575.0,575.0,151700
2025-02-17,580.0,595.0,575.0,590.0,282000
2025-02-18,595.0,600.0,590.0,590.0,180200
2025-02-19,590.0,595.0,585.0,585.0,152500
2025-02-20,585.0,595.0,585.0,585.0,18400
2025-02-21,580.0,595.0,580.0,590.0,87400
2025-02-24,585.0,615.0,580.0,590.0,173700
2025-02-25,600.0,610.0,580.0,585.0,270700
2025-02-26,575.0,595.0,575.0,580.0,400400
2025-02-27,580.0,590.0,575.0,585.0,521100
2025-02-28,585.0,585.0,550.0,560.0,609000
2025-03-03,540.0,565.0,540.0,560.0,895200
2025-03-04,560.0,565.0,545.0,565.0,190100
2025-03-05,550.0,570.0,550.0,560.0,13400
2025-03-06,565.0,605.0,555.0,585.0,644900
2025-03-07,590.0,590.0,565.0,585.0,34900
2025-03-10,590.0,590.0,575.0,585.0,146100
2025-03-11,575.0,585.0,570.0,585.0,3600
2025-03-12,580.0,600.0,575.0,580.0,182600
2025-03-13,570.0,585.0,570.0,575.0,37000
2025-03-14,585.0,595.0,570.0,575.0,62300
2025-03-17,575.0,575.0,550.0,575.0,436900
2025-03-18,560.0,570.0,545.0,565.0,175000
2025-03-19,560.0,565.0,540.0,565.0,402800
2025-03-20,565.0,565.0,545.0,560.0,56900
2025-03-21,560.0,560.0,535.0,560.0,245000
2025-03-24,550.0,560.0,510.0,525.0,550700
2025-03-25,525.0,525.0,515.0,515.0,95200
2025-03-26,515.0,535.0,510.0,520.0,319000
2025-03-27,520.0,530.0,515.0,525.0,64400
2025-04-08,510.0,515.0,490.0,492.0,1333400
2025-04-09,492.0,500.0,492.0,498.0,48800
