date,open,high,low,close,volume
2024-04-16,820.0,835.0,810.0,820.0,243700
2024-04-17,825.0,850.0,825.0,830.0,242600
2024-04-18,830.0,1010.0,820.0,830.0,247300
2024-04-19,825.0,840.0,820.0,830.0,246700
2024-04-22,830.0,840.0,820.0,830.0,247200
2024-04-23,825.0,845.0,825.0,830.0,242500
2024-04-24,830.0,840.0,820.0,830.0,244900
2024-04-25,830.0,835.0,825.0,830.0,74400
2024-04-26,830.0,840.0,825.0,835.0,89200
2024-04-29,835.0,840.0,825.0,840.0,141900
2024-04-30,840.0,850.0,825.0,835.0,203000
2024-05-02,830.0,830.0,770.0,770.0,217600
2024-05-03,770.0,775.0,765.0,765.0,84300
2024-05-06,765.0,765.0,715.0,745.0,467700
2024-05-07,740.0,740.0,715.0,715.0,186700
2024-05-08,710.0,720.0,695.0,700.0,230800
2024-05-13,700.0,720.0,700.0,715.0,80000
2024-05-14,715.0,725.0,710.0,720.0,204800
2024-05-15,720.0,725.0,715.0,715.0,102700
2024-05-16,720.0,730.0,715.0,725.0,133400
2024-05-17,720.0,735.0,715.0,735.0,110600
2024-05-20,735.0,740.0,735.0,735.0,100000
2024-05-21,735.0,780.0,730.0,775.0,139400
2024-05-22,780.0,795.0,780.0,780.0,100000
2024-05-27,780.0,800.0,780.0,790.0,94500
2024-05-28,800.0,810.0,785.0,805.0,97700
2024-05-29,805.0,815.0,800.0,800.0,214900
2024-05-30,800.0,810.0,790.0,790.0,120400
2024-05-31,795.0,810.0,785.0,795.0,176700
2024-06-03,795.0,825.0,795.0,820.0,194700
2024-06-04,820.0,915.0,820.0,905.0,120200
2024-06-05,905.0,910.0,900.0,910.0,140700
2024-06-06,910.0,915.0,900.0,900.0,332500
2024-06-07,900.0,910.0,895.0,905.0,233200
2024-06-10,900.0,910.0,900.0,900.0,117100
2024-06-11,910.0,945.0,905.0,935.0,170100
2024-06-12,935.0,935.0,915.0,915.0,194400
2024-06-13,910.0,915.0,900.0,900.0,108700
2024-06-14,900.0,910.0,900.0,900.0,176400
2024-06-19,900.0,910.0,895.0,900.0,121000
2024-06-20,900.0,910.0,900.0,905.0,200300
2024-06-21,900.0,920.0,895.0,920.0,269000
2024-06-24,915.0,915.0,900.0,915.0,130500
2024-06-25,915.0,915.0,905.0,910.0,117700
2024-06-26,905.0,910.0,895.0,910.0,257200
2024-06-27,910.0,930.0,905.0,930.0,120000
2024-06-28,920.0,930.0,910.0,910.0,153700
2024-07-01,905.0,925.0,895.0,915.0,214800
2024-07-02,915.0,920.0,915.0,920.0,140500
2024-07-03,905.0,920.0,905.0,920.0,211100
2024-07-04,920.0,930.0,905.0,930.0,209800
2024-07-05,920.0,930.0,905.0,910.0,286400
2024-07-08,920.0,920.0,905.0,910.0,123400
2024-07-09,920.0,935.0,915.0,920.0,186900
2024-07-10,920.0,925.0,910.0,915.0,269800
2024-07-11,915.0,920.0,910.0,910.0,116200
2024-07-12,920.0,920.0,910.0,910.0,179200
2024-07-15,910.0,915.0,910.0,910.0,232500
2024-07-16,920.0,925.0,910.0,920.0,358200
2024-07-17,915.0,920.0,905.0,905.0,61000
2024-07-18,905.0,915.0,905.0,910.0,85700
2024-07-19,915.0,930.0,910.0,930.0,360900
2024-07-22,920.0,935.0,915.0,930.0,199900
2024-07-23,930.0,935.0,920.0,930.0,112600
2024-07-24,930.0,945.0,930.0,935.0,83600
2024-07-25,930.0,940.0,925.0,930.0,325100
2024-07-26,930.0,945.0,930.0,930.0,118500
2024-07-29,930.0,950.0,930.0,950.0,159600
2024-07-30,955.0,995.0,950.0,955.0,577500
2024-07-31,955.0,990.0,955.0,985.0,277200
2024-08-01,985.0,995.0,970.0,995.0,649000
2024-08-02,995.0,995.0,975.0,990.0,818800
2024-08-05,985.0,1005.0,975.0,975.0,1016700
2024-08-06,990.0,990.0,970.0,970.0,574000
2024-08-07,980.0,990.0,960.0,975.0,1052500
2024-08-08,975.0,985.0,960.0,970.0,847100
2024-08-09,970.0,985.0,965.0,975.0,744700
2024-08-12,980.0,985.0,970.0,970.0,647100
2024-08-13,970.0,985.0,965.0,985.0,605800
2024-08-14,985.0,995.0,975.0,985.0,718200
2024-08-15,985.0,985.0,970.0,980.0,495100
2024-08-16,975.0,990.0,970.0,990.0,922200
2024-08-19,980.0,980.0,960.0,980.0,447900
2024-08-20,975.0,985.0,970.0,975.0,703900
2024-08-21,980.0,985.0,965.0,970.0,423800
2024-08-22,970.0,980.0,965.0,965.0,928300
2024-08-23,970.0,980.0,960.0,965.0,844900
2024-08-26,960.0,985.0,960.0,965.0,324600
2024-08-27,965.0,995.0,965.0,995.0,192000
2024-08-28,995.0,1020.0,980.0,1000.0,585400
2024-08-29,995.0,1015.0,995.0,1015.0,416300
2024-08-30,1010.0,1030.0,1005.0,1025.0,1062400
2024-09-02,1025.0,1030.0,1005.0,1020.0,354100
2024-09-03,1020.0,1030.0,1015.0,1030.0,217500
2024-09-04,1020.0,1020.0,995.0,1015.0,447300
2024-09-05,1020.0,1040.0,1015.0,1035.0,613100
2024-09-06,1035.0,1035.0,1015.0,1025.0,303700
2024-09-09,1025.0,1040.0,1015.0,1025.0,456800
2024-09-10,1025.0,1035.0,1025.0,1035.0,612600
2024-09-11,1035.0,1050.0,1030.0,1040.0,115700
2024-09-12,1035.0,1045.0,1015.0,1045.0,834000
2024-09-13,1040.0,1050.0,1040.0,1045.0,513700
2024-09-17,1040.0,1045.0,1030.0,1040.0,169900
2024-09-18,1050.0,1055.0,1035.0,1050.0,390900
2024-09-19,1050.0,1070.0,1050.0,1065.0,560600
2024-09-20,1060.0,1075.0,1060.0,1070.0,812500
2024-09-23,1070.0,1085.0,1065.0,1085.0,269600
2024-09-24,1080.0,1085.0,1065.0,1070.0,352400
2024-09-25,1065.0,1070.0,1055.0,1065.0,472400
2024-09-26,1070.0,1080.0,1070.0,1070.0,239700
2024-09-27,1070.0,1090.0,1065.0,1080.0,675500
2024-09-30,1075.0,1100.0,1070.0,1075.0,285700
2024-10-01,1075.0,1090.0,1075.0,1090.0,234500
2024-10-02,1085.0,1095.0,1080.0,1095.0,441700
2024-10-03,1095.0,1100.0,1080.0,1095.0,1016800
