date,open,high,low,close,volume
2024-04-16,422.0,422.0,402.0,402.0,1505600
2024-04-17,406.0,406.0,382.0,398.0,1669400
2024-04-18,394.0,394.0,380.0,390.0,670700
2024-04-19,390.0,390.0,376.0,380.0,1712200
2024-04-22,392.0,398.0,374.0,386.0,791600
2024-04-23,386.0,394.0,378.0,386.0,822600
2024-04-24,386.0,396.0,384.0,394.0,3158900
2024-04-25,394.0,398.0,392.0,392.0,599200
2024-04-26,392.0,394.0,380.0,382.0,605100
2024-04-29,382.0,384.0,370.0,370.0,3239000
2024-04-30,370.0,380.0,370.0,372.0,461900
2024-05-02,378.0,378.0,370.0,374.0,9090600
2024-05-03,376.0,392.0,376.0,390.0,914300
2024-05-06,390.0,414.0,390.0,408.0,2215400
2024-05-07,408.0,410.0,390.0,394.0,1332700
2024-05-08,396.0,400.0,390.0,394.0,278900
2024-05-13,394.0,396.0,376.0,390.0,336800
2024-05-14,400.0,400.0,378.0,386.0,483800
2024-05-15,386.0,388.0,380.0,384.0,1494700
2024-05-16,384.0,402.0,380.0,392.0,907000
2024-05-17,400.0,410.0,388.0,406.0,8337100
2024-05-20,410.0,412.0,396.0,400.0,385700
2024-05-21,400.0,400.0,386.0,390.0,453500
2024-05-22,390.0,394.0,386.0,388.0,265900
2024-05-27,388.0,396.0,388.0,390.0,267700
2024-05-28,388.0,390.0,384.0,384.0,985200
2024-05-29,388.0,392.0,384.0,388.0,394000
2024-05-30,388.0,398.0,376.0,382.0,602400
2024-05-31,382.0,388.0,380.0,380.0,284900
2024-06-03,382.0,388.0,378.0,384.0,104500
2024-06-04,384.0,386.0,380.0,382.0,164800
2024-06-05,384.0,392.0,382.0,384.0,845700
2024-06-06,386.0,390.0,386.0,390.0,104100
2024-06-07,390.0,394.0,388.0,388.0,211500
2024-06-10,388.0,394.0,384.0,386.0,313400
2024-06-11,386.0,390.0,290.0,296.0,50093200
2024-06-12,296.0,302.0,222.0,226.0,93441100
2024-06-13,194.0,282.0,170.0,282.0,165691600
2024-06-14,290.0,352.0,290.0,352.0,33089900
2024-06-19,374.0,416.0,280.0,364.0,53115100
2024-06-20,368.0,404.0,366.0,394.0,25007100
2024-06-21,394.0,398.0,374.0,374.0,7689600
2024-06-24,374.0,428.0,364.0,404.0,22406900
2024-06-25,404.0,418.0,400.0,414.0,9373800
2024-06-26,414.0,418.0,402.0,404.0,3754700
2024-06-27,404.0,414.0,404.0,408.0,2240000
2024-06-28,408.0,408.0,390.0,406.0,4567600
2024-07-01,408.0,426.0,398.0,420.0,9407000
2024-07-02,420.0,420.0,398.0,404.0,7449300
2024-07-03,402.0,404.0,374.0,392.0,7511600
2024-07-04,394.0,398.0,386.0,388.0,1641600
2024-07-05,388.0,390.0,378.0,378.0,1916400
2024-07-08,380.0,384.0,374.0,378.0,1821200
2024-07-09,378.0,398.0,376.0,386.0,2088000
2024-07-10,386.0,390.0,380.0,382.0,663500
2024-07-11,384.0,390.0,380.0,380.0,450100
2024-07-12,382.0,384.0,368.0,374.0,2755900
2024-07-15,376.0,378.0,366.0,368.0,1280500
2024-07-16,368.0,382.0,366.0,374.0,1342900
2024-07-17,378.0,380.0,372.0,376.0,472500
2024-07-18,378.0,378.0,348.0,352.0,6607300
2024-07-19,354.0,374.0,330.0,348.0,6651000
2024-07-22,348.0,360.0,348.0,350.0,2159400
2024-07-23,354.0,392.0,354.0,388.0,10452000
2024-07-24,388.0,392.0,378.0,380.0,1146900
2024-07-25,380.0,384.0,370.0,370.0,559000
2024-07-26,372.0,382.0,372.0,376.0,641000
2024-07-29,376.0,378.0,370.0,370.0,555100
2024-07-30,374.0,374.0,360.0,360.0,5298500
2024-07-31,364.0,368.0,362.0,364.0,217000
2024-08-01,364.0,374.0,312.0,316.0,19125400
2024-08-02,316.0,364.0,240.0,248.0,119816200
2024-08-05,236.0,310.0,230.0,290.0,118312600
2024-08-06,292.0,302.0,272.0,280.0,64050100
2024-08-07,284.0,338.0,282.0,314.0,86929800
2024-08-08,316.0,326.0,306.0,312.0,21385300
2024-08-09,316.0,318.0,294.0,300.0,12953900
2024-08-12,302.0,306.0,278.0,288.0,17805200
2024-08-13,290.0,304.0,288.0,294.0,11230400
2024-08-14,294.0,298.0,286.0,290.0,5540300
2024-08-15,292.0,298.0,290.0,292.0,6834700
2024-08-16,296.0,364.0,294.0,364.0,135711300
2024-08-19,380.0,404.0,356.0,362.0,100544700
2024-08-20,366.0,366.0,336.0,350.0,21195200
2024-08-21,352.0,356.0,340.0,340.0,6701300
2024-08-22,340.0,374.0,340.0,358.0,36179000
2024-08-23,360.0,364.0,354.0,356.0,4850600
2024-08-26,358.0,360.0,346.0,350.0,3944200
2024-08-27,350.0,356.0,334.0,340.0,5030900
2024-08-28,342.0,350.0,340.0,342.0,3455300
2024-08-29,342.0,346.0,330.0,334.0,4765200
2024-08-30,336.0,354.0,330.0,338.0,15939900
2024-09-02,338.0,340.0,328.0,332.0,5669700
2024-09-03,332.0,334.0,326.0,326.0,4379700
2024-09-04,326.0,330.0,318.0,322.0,3751100
2024-09-05,322.0,330.0,310.0,320.0,4929100
2024-09-06,322.0,324.0,316.0,316.0,1821600
2024-09-09,320.0,342.0,320.0,322.0,11472900
2024-09-10,322.0,326.0,320.0,324.0,1849600
2024-09-11,324.0,326.0,320.0,322.0,1847300
2024-09-12,324.0,324.0,316.0,322.0,2593100
2024-09-13,322.0,326.0,320.0,320.0,1896500
2024-09-17,320.0,324.0,320.0,320.0,1183100
2024-09-18,322.0,324.0,316.0,316.0,5122100
2024-09-19,318.0,324.0,316.0,320.0,1258100
2024-09-20,320.0,326.0,316.0,316.0,2470400
2024-09-23,318.0,322.0,316.0,320.0,2275900
2024-09-24,320.0,320.0,308.0,310.0,8870500
2024-09-25,312.0,314.0,306.0,306.0,3306100
2024-09-26,310.0,316.0,306.0,312.0,2211800
2024-09-27,312.0,312.0,304.0,306.0,4412500
2024-09-30,308.0,314.0,302.0,310.0,2846700
2024-10-01,310.0,310.0,304.0,306.0,970000
2024-10-02,306.0,308.0,302.0,304.0,1829100
2024-10-03,304.0,304.0,296.0,300.0,2112200
2024-10-04,300.0,302.0,298.0,298.0,2038200
2024-10-07,298.0,312.0,298.0,304.0,1938300
2024-10-08,304.0,310.0,302.0,304.0,1595300
2024-10-09,304.0,306.0,302.0,304.0,354400
2024-10-10,304.0,308.0,302.0,302.0,1057900
2024-10-11,304.0,306.0,300.0,304.0,475100
2024-10-14,304.0,304.0,300.0,304.0,809100
2024-10-15,304.0,306.0,302.0,304.0,1511700
2024-10-16,302.0,306.0,302.0,304.0,698300
2024-10-17,306.0,306.0,300.0,302.0,975300
2024-10-18,304.0,304.0,300.0,300.0,1452900
2024-10-21,300.0,302.0,298.0,302.0,1580700
2024-10-22,302.0,304.0,300.0,304.0,674100
2024-10-23,304.0,306.0,300.0,304.0,1378000
2024-10-24,302.0,304.0,296.0,300.0,2240700
2024-10-25,302.0,304.0,300.0,300.0,935600
2024-10-28,300.0,302.0,300.0,300.0,1286300
2024-10-29,300.0,302.0,298.0,300.0,687500
2024-10-30,300.0,302.0,294.0,296.0,1506100
2024-10-31,296.0,296.0,288.0,292.0,3484900
2024-11-01,292.0,294.0,270.0,276.0,5138800
2024-11-04,256.0,278.0,256.0,268.0,4969600
2024-11-05,270.0,316.0,268.0,280.0,12998100
2024-11-06,280.0,284.0,270.0,272.0,2245900
2024-11-07,272.0,274.0,268.0,268.0,1095200
2024-11-08,270.0,290.0,268.0,274.0,2537700
2024-11-11,280.0,284.0,266.0,272.0,1863800
2024-11-12,272.0,272.0,258.0,270.0,2156500
2024-11-13,270.0,272.0,262.0,268.0,1795100
2024-11-14,270.0,272.0,264.0,264.0,823800
2024-11-15,266.0,266.0,258.0,260.0,890100
2024-11-18,260.0,264.0,254.0,258.0,2147000
2024-11-19,254.0,264.0,254.0,262.0,484700
2024-11-20,262.0,264.0,258.0,260.0,754800
