date,open,high,low,close,volume
2024-04-16,1195.0,1195.0,1095.0,1130.0,1488400
2024-04-17,1125.0,1200.0,1090.0,1135.0,949800
2024-04-18,1135.0,1180.0,1110.0,1135.0,347700
2024-04-19,1130.0,1135.0,1050.0,1130.0,1165000
2024-04-22,1125.0,1125.0,955.0,1100.0,1312100
2024-04-23,1075.0,1090.0,1050.0,1080.0,401200
2024-04-24,1080.0,1080.0,1045.0,1050.0,306500
2024-04-25,1050.0,1055.0,1040.0,1050.0,1831400
2024-04-26,1050.0,1050.0,950.0,995.0,382800
2024-04-29,960.0,1010.0,940.0,990.0,11152600
2024-04-30,990.0,1025.0,980.0,1020.0,9217900
2024-05-02,1020.0,1035.0,1000.0,1020.0,1228900
2024-05-03,1020.0,1020.0,985.0,1000.0,4408000
2024-05-06,1000.0,1250.0,960.0,1250.0,3421500
2024-05-07,1200.0,1200.0,1030.0,1045.0,501600
2024-05-08,1040.0,1195.0,1030.0,1085.0,540500
2024-05-13,1085.0,1125.0,1030.0,1065.0,359800
2024-05-14,1085.0,1100.0,1045.0,1065.0,325900
2024-05-15,1065.0,1200.0,1055.0,1115.0,541100
2024-05-16,1115.0,1115.0,1060.0,1085.0,449400
2024-05-17,1090.0,1115.0,1060.0,1085.0,1703200
2024-05-20,1085.0,1150.0,1050.0,1065.0,705000
2024-05-21,1090.0,1100.0,1035.0,1080.0,252400
2024-05-22,1080.0,1090.0,1050.0,1060.0,265200
2024-05-27,1060.0,1070.0,1050.0,1050.0,1802600
2024-05-28,1055.0,1065.0,1040.0,1060.0,219800
2024-05-29,1060.0,1070.0,1040.0,1050.0,112900
2024-05-30,1020.0,1055.0,1020.0,1050.0,164800
2024-05-31,1050.0,1050.0,1010.0,1025.0,402900
2024-06-03,1025.0,1125.0,1025.0,1065.0,461300
2024-06-04,1065.0,1065.0,1030.0,1030.0,164600
2024-06-05,1030.0,1035.0,995.0,1030.0,514200
2024-06-06,1030.0,1065.0,1010.0,1050.0,140700
2024-06-07,1065.0,1115.0,1050.0,1070.0,318600
2024-06-10,1070.0,1095.0,1050.0,1085.0,121200
2024-06-11,1085.0,1090.0,1075.0,1075.0,50200
2024-06-12,1080.0,1140.0,1060.0,1085.0,2309500
2024-06-13,1095.0,1100.0,1075.0,1080.0,83100
2024-06-14,1080.0,1080.0,1060.0,1070.0,117200
2024-06-19,1070.0,1095.0,1060.0,1060.0,512600
2024-06-20,1060.0,1060.0,1000.0,1050.0,768000
2024-06-21,1050.0,1065.0,1000.0,1025.0,492100
2024-06-24,1030.0,1070.0,1025.0,1065.0,349300
2024-06-25,1065.0,1160.0,1060.0,1075.0,1238700
2024-06-26,1070.0,1100.0,1065.0,1080.0,679400
2024-06-27,1080.0,1085.0,1065.0,1080.0,241100
2024-06-28,1080.0,1080.0,1060.0,1070.0,166700
2024-07-01,1070.0,1095.0,1050.0,1070.0,150900
2024-07-02,1070.0,1110.0,1065.0,1085.0,286100
2024-07-03,1080.0,1195.0,1070.0,1120.0,1000100
2024-07-04,1120.0,1130.0,1100.0,1115.0,770200
2024-07-05,1110.0,1125.0,1110.0,1115.0,117500
2024-07-08,1115.0,1210.0,1115.0,1170.0,378100
2024-07-09,1170.0,1170.0,1130.0,1135.0,248800
2024-07-10,1135.0,1155.0,1105.0,1105.0,529200
2024-07-11,1105.0,1110.0,1040.0,1095.0,3648700
2024-07-12,1095.0,1100.0,1075.0,1090.0,404400
2024-07-15,1095.0,1105.0,1070.0,1085.0,598700
2024-07-16,1090.0,1135.0,1090.0,1130.0,143600
2024-07-17,1130.0,1130.0,1100.0,1110.0,176300
2024-07-18,1110.0,1115.0,1080.0,1110.0,74100
2024-07-19,1105.0,1110.0,1085.0,1100.0,99200
2024-07-22,1100.0,1130.0,1090.0,1125.0,220400
2024-07-23,1125.0,1140.0,1115.0,1125.0,991300
2024-07-24,1125.0,1145.0,1125.0,1125.0,70600
2024-07-25,1125.0,1165.0,1120.0,1155.0,59000
2024-07-26,1155.0,1175.0,1155.0,1175.0,76400
2024-07-29,1175.0,1180.0,1110.0,1110.0,298300
2024-07-30,1120.0,1170.0,1085.0,1115.0,326200
2024-07-31,1115.0,1125.0,1090.0,1100.0,155200
2024-08-01,1100.0,1125.0,1095.0,1095.0,180800
2024-08-02,1095.0,1115.0,1095.0,1115.0,87200
2024-08-05,1105.0,1105.0,1005.0,1050.0,1218400
2024-08-06,1050.0,1120.0,1025.0,1095.0,131700
2024-08-07,1095.0,1120.0,1090.0,1090.0,69800
2024-08-08,1100.0,1100.0,1085.0,1095.0,58300
2024-08-09,1095.0,1120.0,1095.0,1120.0,83900
2024-08-12,1120.0,1145.0,1095.0,1100.0,284400
2024-08-13,1095.0,1115.0,1085.0,1095.0,210900
2024-08-14,1100.0,1115.0,1080.0,1090.0,1365400
2024-08-15,1090.0,1105.0,1085.0,1090.0,454300
2024-08-16,1190.0,1360.0,1190.0,1330.0,3383500
2024-08-19,1330.0,1370.0,1250.0,1300.0,1126500
2024-08-20,1300.0,1315.0,1280.0,1300.0,2893500
2024-08-21,1300.0,1330.0,1280.0,1305.0,180300
2024-08-22,1305.0,1315.0,1290.0,1305.0,314700
2024-08-23,1305.0,1325.0,1290.0,1300.0,339500
2024-08-26,1300.0,1315.0,1290.0,1295.0,430300
2024-08-27,1310.0,1500.0,1305.0,1415.0,576800
2024-08-28,1415.0,1415.0,1360.0,1385.0,205800
2024-08-29,1380.0,1385.0,1295.0,1360.0,294500
2024-08-30,1370.0,1450.0,1360.0,1380.0,631800
2024-09-02,1380.0,1380.0,1360.0,1370.0,794400
2024-09-03,1370.0,1380.0,1355.0,1355.0,1047100
2024-09-04,1355.0,1395.0,1345.0,1390.0,118500
2024-09-05,1380.0,1490.0,1380.0,1385.0,308800
2024-09-06,1385.0,1470.0,1385.0,1450.0,178900
2024-09-09,1450.0,1450.0,1410.0,1415.0,133200
2024-09-10,1415.0,1435.0,1400.0,1435.0,152400
2024-09-11,1435.0,1435.0,1400.0,1400.0,98800
2024-09-12,1400.0,1400.0,1385.0,1395.0,435100
2024-09-13,1385.0,1500.0,1385.0,1465.0,342900
2024-09-17,1465.0,1510.0,1455.0,1465.0,398700
2024-09-18,1465.0,1495.0,1445.0,1475.0,136800
2024-09-19,1470.0,1470.0,1450.0,1470.0,66900
2024-09-20,1485.0,1490.0,1470.0,1470.0,43700
2024-09-23,1510.0,1510.0,1465.0,1475.0,104800
2024-09-24,1475.0,1500.0,1465.0,1490.0,89400
2024-09-25,1490.0,1495.0,1425.0,1440.0,204000
2024-09-26,1440.0,1450.0,1410.0,1425.0,68900
2024-09-27,1440.0,1465.0,1385.0,1450.0,328000
2024-09-30,1500.0,1510.0,1460.0,1470.0,375100
2024-10-01,1470.0,1470.0,1320.0,1330.0,163900
2024-10-02,1365.0,1445.0,1330.0,1365.0,121300
2024-10-03,1365.0,1435.0,1350.0,1385.0,82800
2024-10-04,1435.0,1435.0,1370.0,1370.0,7100
2024-10-07,1430.0,1430.0,1360.0,1390.0,29100
2024-10-08,1400.0,1550.0,1360.0,1430.0,937800
2024-10-09,1450.0,1520.0,1400.0,1500.0,219900
2024-10-10,1460.0,1530.0,1460.0,1470.0,402300
2024-10-11,1485.0,1555.0,1470.0,1540.0,1272800
2024-10-14,1550.0,1720.0,1495.0,1620.0,360300
2024-10-15,1620.0,1680.0,1550.0,1610.0,432100
2024-10-16,1645.0,1650.0,1595.0,1640.0,284600
2024-10-17,1630.0,1640.0,1600.0,1625.0,84000
2024-10-18,1625.0,1625.0,1595.0,1595.0,85600
2024-10-21,1595.0,1630.0,1550.0,1575.0,191100
2024-10-22,1575.0,1585.0,1505.0,1570.0,200500
2024-10-23,1570.0,1570.0,1525.0,1525.0,127300
2024-10-24,1550.0,1550.0,1500.0,1525.0,116000
2024-10-25,1520.0,1550.0,1500.0,1515.0,197100
2024-10-28,1550.0,1650.0,1525.0,1605.0,976300
2024-10-29,1630.0,1655.0,1625.0,1640.0,416800
2024-10-30,1640.0,1640.0,1560.0,1620.0,1107700
2024-10-31,1620.0,1750.0,1610.0,1695.0,182200
2024-11-01,1690.0,1820.0,1610.0,1800.0,768600
2024-11-04,1800.0,1810.0,1700.0,1700.0,448500
2024-11-05,1780.0,1860.0,1755.0,1820.0,214200
2024-11-06,1785.0,1800.0,1755.0,1755.0,163300
2024-11-07,1755.0,1760.0,1740.0,1740.0,66100
2024-11-08,1740.0,1805.0,1700.0,1720.0,147900
2024-11-11,1725.0,1800.0,1705.0,1770.0,147700
2024-11-12,1760.0,1760.0,1700.0,1750.0,149700
2024-11-13,1750.0,1760.0,1705.0,1730.0,56700
2024-11-14,1740.0,1800.0,1705.0,1730.0,110900
2024-11-15,1730.0,1750.0,1685.0,1695.0,172900
2024-11-18,1685.0,1705.0,1685.0,1705.0,25400
2024-11-19,1705.0,1720.0,1685.0,1710.0,136200
2024-11-20,1715.0,1715.0,1695.0,1705.0,33800
2024-11-21,1705.0,1720.0,1685.0,1705.0,145900
2024-11-22,1700.0,1720.0,1685.0,1700.0,35700
2024-11-25,1690.0,1720.0,1680.0,1715.0,120200
2024-11-26,1765.0,1800.0,1700.0,1800.0,196300
2024-11-28,1800.0,1800.0,1725.0,1750.0,207600
2024-11-29,1750.0,1800.0,1705.0,1750.0,346000
2024-12-02,1750.0,1765.0,1710.0,1750.0,203600
2024-12-03,1750.0,1795.0,1750.0,1760.0,87100
2024-12-04,1760.0,1800.0,1750.0,1755.0,216000
2024-12-05,1760.0,1770.0,1745.0,1770.0,112900
2024-12-06,1770.0,1770.0,1745.0,1770.0,110500
2024-12-09,1770.0,1780.0,1750.0,1775.0,75800
2024-12-10,1775.0,1860.0,1770.0,1810.0,84500
2024-12-11,1810.0,2000.0,1795.0,1825.0,462700
2024-12-12,1825.0,1840.0,1815.0,1815.0,55600
2024-12-13,1815.0,1865.0,1805.0,1805.0,29600
2024-12-16,1800.0,1800.0,1780.0,1795.0,366500
2024-12-17,1790.0,1805.0,1750.0,1800.0,626200
2024-12-18,1810.0,1820.0,1800.0,1810.0,282200
2024-12-19,1800.0,1830.0,1800.0,1805.0,166900
2024-12-20,1865.0,1870.0,1800.0,1815.0,40900
2024-12-23,1825.0,1850.0,1805.0,1825.0,114700
2024-12-24,1825.0,1825.0,1780.0,1800.0,252800
2024-12-27,1810.0,1820.0,1750.0,1755.0,67400
2024-12-30,1755.0,1985.0,1755.0,1900.0,239700
2025-01-02,1900.0,1900.0,1840.0,1880.0,46300
2025-01-03,1840.0,1900.0,1840.0,1900.0,57500
2025-01-06,1900.0,1900.0,1840.0,1870.0,77900
2025-01-07,1870.0,1870.0,1835.0,1855.0,104400
2025-01-08,1890.0,1890.0,1750.0,1835.0,329100
2025-01-09,1790.0,1835.0,1790.0,1830.0,21500
2025-01-10,1830.0,1830.0,1805.0,1810.0,40300
2025-01-13,1810.0,1815.0,1795.0,1795.0,74400
2025-01-14,1795.0,1845.0,1750.0,1795.0,45200
2025-01-15,1805.0,1815.0,1800.0,1810.0,116300
2025-01-16,1810.0,1820.0,1800.0,1810.0,682200
2025-01-17,1810.0,1835.0,1800.0,1805.0,209700
2025-01-20,1805.0,1805.0,1750.0,1765.0,173000
2025-01-21,1765.0,1800.0,1750.0,1800.0,138100
2025-01-22,1815.0,1815.0,1750.0,1810.0,57100
