date,open,high,low,close,volume
2024-04-16,1925.0,1930.0,1860.0,1875.0,34200
2024-04-17,1865.0,1905.0,1860.0,1860.0,8300
2024-04-18,1855.0,1895.0,1855.0,1860.0,6700
2024-04-19,1895.0,1895.0,1850.0,1865.0,28500
2024-04-22,1865.0,1905.0,1860.0,1870.0,11500
2024-04-23,1865.0,1865.0,1850.0,1855.0,10300
2024-04-24,1870.0,1870.0,1860.0,1860.0,1600
2024-04-25,1860.0,1890.0,1835.0,1860.0,11800
2024-04-26,1890.0,1890.0,1850.0,1860.0,26800
2024-04-29,1855.0,1890.0,1835.0,1860.0,23700
2024-04-30,1860.0,1870.0,1850.0,1870.0,6500
2024-05-02,1870.0,1890.0,1870.0,1875.0,39500
2024-05-03,1850.0,1890.0,1840.0,1845.0,17100
2024-05-06,1845.0,1885.0,1835.0,1870.0,23700
2024-05-07,1870.0,1890.0,1855.0,1875.0,10500
2024-05-08,1870.0,1870.0,1805.0,1825.0,35100
2024-05-13,1830.0,1875.0,1830.0,1835.0,9200
2024-05-14,1835.0,1855.0,1835.0,1840.0,1800
2024-05-15,1860.0,1860.0,1845.0,1855.0,4800
2024-05-16,1865.0,1865.0,1845.0,1860.0,5300
2024-05-17,1850.0,1860.0,1850.0,1860.0,5100
2024-05-20,1865.0,1865.0,1850.0,1850.0,6800
2024-05-21,1870.0,1870.0,1840.0,1840.0,16600
2024-05-22,1840.0,1870.0,1840.0,1860.0,9400
2024-05-27,1860.0,1875.0,1855.0,1870.0,8500
2024-05-28,1870.0,1875.0,1870.0,1870.0,4100
2024-05-29,1875.0,1880.0,1860.0,1870.0,23100
2024-05-30,1890.0,1890.0,1860.0,1880.0,3100
2024-05-31,1870.0,1880.0,1850.0,1880.0,31100
2024-06-03,1880.0,1895.0,1835.0,1895.0,20500
2024-06-04,1895.0,1895.0,1850.0,1875.0,8900
2024-06-05,1890.0,1895.0,1875.0,1875.0,8900
2024-06-06,1890.0,1890.0,1865.0,1865.0,6700
2024-06-07,1865.0,1870.0,1860.0,1860.0,3500
2024-06-10,1865.0,1865.0,1800.0,1860.0,91800
2024-06-11,1870.0,1870.0,1850.0,1865.0,7200
2024-06-12,1865.0,1870.0,1815.0,1865.0,7100
2024-06-13,1870.0,1870.0,1815.0,1840.0,3400
2024-06-14,1840.0,1865.0,1830.0,1865.0,7600
