date,open,high,low,close,volume
2024-04-16,420.0,435.0,407.5,422.5,10958000
2024-04-17,422.5,450.0,415.0,427.5,8661800
2024-04-18,427.5,447.5,425.0,442.5,13597600
2024-04-19,445.0,447.5,425.0,445.0,5475600
2024-04-22,447.5,470.0,430.0,442.5,11016000
2024-04-23,445.0,482.5,442.5,475.0,10881400
2024-04-24,480.0,485.0,455.0,467.5,10490200
2024-04-25,472.5,472.5,422.5,465.0,7810400
2024-04-26,465.0,465.0,450.0,462.5,7722000
2024-04-29,465.0,482.5,460.0,475.0,8406800
2024-04-30,477.5,485.0,465.0,477.5,12615000
2024-05-02,482.5,525.0,477.5,505.0,38036600
2024-05-03,505.0,577.5,505.0,560.0,36135800
2024-05-06,565.0,647.5,525.0,532.5,53705000
2024-05-07,532.5,552.5,505.0,527.5,13184400
2024-05-08,527.5,542.5,515.0,540.0,7978000
2024-05-13,542.5,612.5,540.0,582.5,31890600
2024-05-14,585.0,620.0,585.0,595.0,25686800
2024-05-15,600.0,627.5,595.0,595.0,19683600
2024-05-16,597.5,620.0,562.5,600.0,14080200
2024-05-17,600.0,600.0,580.0,590.0,4623400
2024-05-20,600.0,635.0,580.0,592.5,13207800
2024-05-21,602.5,615.0,587.5,595.0,7029800
2024-05-22,600.0,642.5,597.5,635.0,24619200
2024-05-27,635.0,672.5,632.5,667.5,25593200
2024-05-28,670.0,685.0,655.0,672.5,18766800
2024-05-29,672.5,695.0,662.5,667.5,16997600
2024-05-30,667.5,670.0,637.5,667.5,8063400
2024-05-31,667.5,705.0,667.5,687.5,18783000
2024-06-03,687.5,720.0,675.0,687.5,14989800
2024-06-04,687.5,705.0,662.5,692.5,15624400
2024-06-05,697.5,705.0,657.5,670.0,10403600
2024-06-06,670.0,675.0,582.5,615.0,27021800
2024-06-07,612.5,647.5,612.5,642.5,12695200
2024-06-10,642.5,652.5,600.0,622.5,7654400
2024-06-11,622.5,627.5,605.0,605.0,4103600
2024-06-12,605.0,645.0,595.0,645.0,9592200
2024-06-13,645.0,660.0,630.0,650.0,8504000
2024-06-14,655.0,675.0,615.0,615.0,12562600
2024-06-19,615.0,620.0,582.5,592.5,7244000
2024-06-20,592.5,625.0,582.5,610.0,8340200
2024-06-21,615.0,635.0,602.5,630.0,7284800
2024-06-24,630.0,655.0,622.5,625.0,7117400
2024-06-25,627.5,640.0,610.0,620.0,7544400
2024-06-26,620.0,637.5,617.5,620.0,8103000
2024-06-27,620.0,630.0,615.0,622.5,6208200
2024-06-28,622.5,637.5,622.5,632.5,5367600
2024-07-01,637.5,672.5,625.0,657.5,13887000
2024-07-02,665.0,670.0,637.5,647.5,8628200
2024-07-03,647.5,650.0,627.5,645.0,8244400
2024-07-04,645.0,665.0,645.0,657.5,15266800
2024-07-05,657.5,670.0,640.0,655.0,9593600
2024-07-08,657.5,657.5,635.0,637.5,9048400
2024-07-09,637.5,652.5,635.0,647.5,6640800
2024-07-10,647.5,647.5,617.5,617.5,9922000
2024-07-11,617.5,625.0,597.5,622.5,8796600
2024-07-12,622.5,622.5,600.0,617.5,5345000
2024-07-15,617.5,622.5,600.0,600.0,9502200
2024-07-16,600.0,607.5,590.0,600.0,11219600
2024-07-17,597.5,602.5,592.5,592.5,6995800
2024-07-18,592.5,607.5,592.5,595.0,6103200
2024-07-19,597.5,600.0,585.0,585.0,8495800
2024-07-22,585.0,590.0,555.0,570.0,9229400
2024-07-23,567.5,600.0,567.5,600.0,10847400
2024-07-24,600.0,610.0,587.5,587.5,12740400
2024-07-25,587.5,595.0,567.5,595.0,8118800
2024-07-26,595.0,600.0,582.5,595.0,8167800
2024-07-29,595.0,602.5,587.5,600.0,8966400
2024-07-30,600.0,625.0,592.5,612.5,12980200
2024-07-31,612.5,627.5,607.5,615.0,11707000
2024-08-01,617.5,617.5,597.5,602.5,7703600
2024-08-02,602.5,605.0,597.5,602.5,5343400
2024-08-05,602.5,602.5,545.0,557.5,16163600
2024-08-06,560.0,575.0,552.5,557.5,7443800
2024-08-07,560.0,572.5,545.0,560.0,9131000
2024-08-08,560.0,565.0,555.0,557.5,6157400
2024-08-09,560.0,575.0,560.0,562.5,5158200
2024-08-12,562.5,567.5,557.5,562.5,5214800
2024-08-13,565.0,565.0,555.0,555.0,6783600
2024-08-14,555.0,562.5,555.0,555.0,5762400
2024-08-15,555.0,562.5,547.5,555.0,5688400
2024-08-16,555.0,567.5,550.0,567.5,8179400
2024-08-19,567.5,570.0,555.0,567.5,10709600
2024-08-20,567.5,575.0,567.5,567.5,6812800
2024-08-21,567.5,575.0,560.0,572.5,8061000
2024-08-22,570.0,575.0,565.0,567.5,4886400
2024-08-23,572.5,572.5,562.5,570.0,3909000
2024-08-26,570.0,570.0,560.0,567.5,3596400
2024-08-27,567.5,570.0,560.0,562.5,3097600
2024-08-28,562.5,570.0,552.5,570.0,7526000
2024-08-29,570.0,592.5,562.5,585.0,9360000
2024-08-30,587.5,597.5,575.0,582.5,7618400
2024-09-02,582.5,587.5,572.5,582.5,5833000
2024-09-03,585.0,607.5,570.0,600.0,13632200
2024-09-04,610.0,610.0,585.0,587.5,9842400
2024-09-05,587.5,590.0,567.5,575.0,9989200
2024-09-06,575.0,587.5,575.0,580.0,6647400
2024-09-09,580.0,595.0,560.0,587.5,8351400
2024-09-10,587.5,590.0,580.0,587.5,8284200
2024-09-11,590.0,597.5,585.0,585.0,7596000
2024-09-12,590.0,607.5,585.0,605.0,9220800
2024-09-13,607.5,655.0,607.5,632.5,24628200
2024-09-17,640.0,645.0,625.0,630.0,9954200
2024-09-18,630.0,645.0,627.5,635.0,7172800
2024-09-19,635.0,640.0,625.0,637.5,8537400
2024-09-20,637.5,642.5,622.5,640.0,7109000
2024-09-23,640.0,677.5,630.0,677.5,18212000
2024-09-24,680.0,682.5,665.0,672.5,9309200
2024-09-25,672.5,677.5,660.0,660.0,8186600
2024-09-26,660.0,685.0,650.0,682.5,9758400
2024-09-27,680.0,697.5,672.5,682.5,13030600
2024-09-30,682.5,682.5,670.0,672.5,7582600
2024-10-01,672.5,730.0,665.0,692.5,13638000
2024-10-02,692.5,697.5,662.5,662.5,8252200
2024-10-03,662.5,662.5,637.5,640.0,13435800
2024-10-04,640.0,645.0,610.0,625.0,10193800
2024-10-07,620.0,637.5,615.0,632.5,8688200
2024-10-08,642.5,642.5,620.0,625.0,7563400
2024-10-09,625.0,627.5,602.5,617.5,10378200
2024-10-10,612.5,630.0,610.0,625.0,6314000
2024-10-11,627.5,632.5,612.5,612.5,4624000
2024-10-14,615.0,622.5,607.5,622.5,5449200
2024-10-15,625.0,642.5,617.5,642.5,9568200
2024-10-16,645.0,655.0,632.5,635.0,7609200
2024-10-17,635.0,640.0,630.0,635.0,4187200
2024-10-18,635.0,652.5,632.5,647.5,6608200
2024-10-21,647.5,662.5,640.0,655.0,7372400
2024-10-22,655.0,660.0,645.0,655.0,7538400
2024-10-23,655.0,655.0,645.0,645.0,7191200
2024-10-24,647.5,647.5,620.0,642.5,8124400
2024-10-25,642.5,642.5,622.5,632.5,7765000
2024-10-28,635.0,645.0,620.0,645.0,6470800
2024-10-29,640.0,647.5,630.0,637.5,8800800
2024-10-30,640.0,642.5,617.5,642.5,8091000
2024-10-31,642.5,677.5,635.0,645.0,12354000
2024-11-01,645.0,647.5,630.0,632.5,7331000
2024-11-04,632.5,640.0,610.0,620.0,8673200
2024-11-05,620.0,630.0,615.0,622.5,5550400
2024-11-06,622.5,630.0,610.0,617.5,7671000
2024-11-07,617.5,625.0,600.0,622.5,8430800
2024-11-08,622.5,625.0,607.5,617.5,7274400
2024-11-11,617.5,630.0,612.5,622.5,8054400
2024-11-12,622.5,632.5,615.0,632.5,6864800
2024-11-13,632.5,635.0,625.0,625.0,5790200
2024-11-14,632.5,632.5,607.5,612.5,8816400
2024-11-15,612.5,617.5,587.5,595.0,8249400
2024-11-18,595.0,605.0,587.5,597.5,7706000
2024-11-19,600.0,620.0,597.5,607.5,7786600
2024-11-20,607.5,620.0,605.0,615.0,4860600
2024-11-21,627.5,627.5,605.0,615.0,5915000
2024-11-22,615.0,617.5,597.5,617.5,7616600
2024-11-25,617.5,620.0,605.0,610.0,9416200
2024-11-26,610.0,617.5,605.0,610.0,7361000
2024-11-28,607.5,610.0,592.5,600.0,4707800
2024-11-29,597.5,605.0,590.0,600.0,7049200
2024-12-02,600.0,607.5,592.5,602.5,8111800
2024-12-03,602.5,625.0,595.0,622.5,9818800
2024-12-04,622.5,625.0,602.5,610.0,7180400
2024-12-05,610.0,632.5,607.5,630.0,10220000
2024-12-06,632.5,647.5,630.0,632.5,11597400
2024-12-09,632.5,682.5,632.5,675.0,25797400
2024-12-10,675.0,700.0,670.0,690.0,17209200
2024-12-11,690.0,692.5,657.5,675.0,8657600
2024-12-12,675.0,680.0,657.5,662.5,8207600
2024-12-13,655.0,675.0,650.0,660.0,8395600
2024-12-16,662.5,710.0,660.0,685.0,21591400
2024-12-17,690.0,720.0,670.0,695.0,15383400
2024-12-18,695.0,700.0,675.0,690.0,8442600
2024-12-19,690.0,720.0,675.0,702.5,16359000
2024-12-20,705.0,740.0,695.0,717.5,26357000
2024-12-23,717.5,760.0,717.5,740.0,17946600
2024-12-24,750.0,775.0,725.0,752.5,16925800
2024-12-27,752.5,765.0,737.5,750.0,9259400
2024-12-30,750.0,787.5,730.0,787.5,21496000
2025-01-02,782.5,782.5,700.0,740.0,15218600
2025-01-03,737.5,767.5,712.5,760.0,14375200
2025-01-06,760.0,777.5,730.0,730.0,11684400
2025-01-07,730.0,752.5,725.0,735.0,9536200
2025-01-08,737.5,770.0,732.5,740.0,8833600
2025-01-09,742.5,767.5,740.0,755.0,9790200
2025-01-10,757.5,765.0,745.0,747.5,7564800
2025-01-13,742.5,760.0,740.0,740.0,6577000
2025-01-14,740.0,750.0,735.0,747.5,3137000
2025-01-15,747.5,757.5,732.5,742.5,6960200
2025-01-16,742.5,750.0,717.5,740.0,7580200
2025-01-17,740.0,750.0,725.0,740.0,6803800
2025-01-20,742.5,750.0,725.0,725.0,9945600
2025-01-21,725.0,727.5,690.0,702.5,11376600
2025-01-22,700.0,722.5,692.5,717.5,9245000
2025-01-23,712.5,735.0,710.0,727.5,7195200
2025-01-24,737.5,747.5,725.0,730.0,8530000
2025-01-30,735.0,760.0,725.0,750.0,10176400
2025-01-31,757.5,775.0,740.0,750.0,10009600
2025-02-03,750.0,755.0,735.0,745.0,7299800
2025-02-04,745.0,760.0,742.5,750.0,8774200
2025-02-05,750.0,755.0,735.0,735.0,7583000
2025-02-06,745.0,755.0,720.0,720.0,13199000
2025-02-07,720.0,730.0,710.0,717.5,8488200
2025-02-10,715.0,742.5,710.0,742.5,8078200
2025-02-11,742.5,757.5,727.5,727.5,8738200
2025-02-12,760.0,877.5,755.0,765.0,100113600
2025-02-13,770.0,835.0,735.0,812.5,55539600
2025-02-14,817.5,862.5,810.0,830.0,41785200
2025-02-17,835.0,852.5,802.5,805.0,27938800
2025-02-18,807.5,830.0,807.5,815.0,16321200
2025-02-19,822.5,837.5,817.5,830.0,16275200
2025-02-20,830.0,835.0,775.0,785.0,29642000
2025-02-21,782.5,792.5,740.0,747.5,33296000
2025-02-24,747.5,755.0,690.0,702.5,32209600
2025-02-25,702.5,712.5,650.0,695.0,39694600
2025-02-26,695.0,695.0,670.0,680.0,17190800
2025-02-27,682.5,725.0,677.5,700.0,20535200
2025-02-28,700.0,707.5,652.5,657.5,93224000
2025-03-03,657.5,665.0,595.0,660.0,29644800
2025-03-04,660.0,660.0,585.0,620.0,29641200
2025-03-05,620.0,635.0,605.0,605.0,18372400
2025-03-06,605.0,615.0,602.5,615.0,17267800
