date,open,high,low,close,volume
2024-04-16,67.0,68.0,67.0,68.0,532500
2024-04-17,68.0,68.0,68.0,68.0,349700
2024-04-18,65.0,65.0,65.0,65.0,322000
2024-04-19,65.0,65.0,65.0,65.0,150300
2024-04-22,65.0,65.0,65.0,65.0,48300
2024-04-23,65.0,65.0,65.0,65.0,90200
2024-04-24,65.0,65.0,64.0,64.0,106400
2024-04-25,64.0,65.0,64.0,64.0,289700
2024-04-26,64.0,65.0,64.0,65.0,115300
2024-04-29,65.0,66.0,65.0,66.0,137100
2024-04-30,66.0,66.0,66.0,66.0,45400
2024-05-02,66.0,66.0,66.0,66.0,67700
2024-05-03,65.0,65.0,65.0,65.0,32700
2024-05-06,65.0,65.0,65.0,65.0,13600
2024-05-07,65.0,65.0,64.0,64.0,45200
2024-05-08,64.0,64.0,63.0,64.0,11300
2024-05-13,64.0,64.0,63.0,63.0,224600
2024-05-14,63.0,63.0,63.0,63.0,26500
2024-05-15,63.0,63.0,63.0,63.0,15900
2024-05-16,63.0,63.0,63.0,63.0,27100
2024-05-17,62.0,63.0,62.0,63.0,117300
2024-05-20,63.0,63.0,63.0,63.0,243200
2024-05-21,63.0,63.0,61.0,62.0,44200
2024-05-22,62.0,62.0,61.0,61.0,284900
2024-05-27,61.0,61.0,61.0,61.0,46000
2024-05-28,61.0,61.0,61.0,61.0,54800
2024-05-29,61.0,61.0,60.0,60.0,78600
2024-05-30,60.0,60.0,59.0,59.0,186600
2024-05-31,59.0,59.0,59.0,59.0,46300
2024-06-03,59.0,59.0,59.0,59.0,74800
2024-06-04,59.0,60.0,59.0,60.0,155200
2024-06-05,60.0,60.0,60.0,60.0,297500
2024-06-06,60.0,60.0,60.0,60.0,44900
2024-06-07,60.0,60.0,60.0,60.0,53700
2024-06-10,60.0,60.0,60.0,60.0,112700
2024-06-11,59.0,59.0,59.0,59.0,24900
2024-06-12,59.0,59.0,59.0,59.0,18300
2024-06-13,57.0,57.0,57.0,57.0,10200
2024-06-14,57.0,57.0,57.0,57.0,53000
2024-06-19,57.0,57.0,56.0,56.0,25100
2024-06-20,56.0,56.0,55.0,55.0,244500
2024-06-21,55.0,55.0,55.0,55.0,197000
2024-06-24,55.0,55.0,55.0,55.0,270000
2024-06-25,55.0,55.0,54.0,54.0,33800
2024-06-26,54.0,55.0,54.0,55.0,532800
2024-06-27,55.0,55.0,54.0,54.0,151300
2024-06-28,53.0,53.0,53.0,53.0,61100
2024-07-01,53.0,53.0,52.0,52.0,76800
2024-07-02,52.0,54.0,52.0,54.0,145800
2024-07-03,52.0,54.0,52.0,54.0,318400
2024-07-04,54.0,55.0,54.0,55.0,4800
2024-07-05,56.0,56.0,56.0,56.0,72600
2024-07-08,57.0,58.0,57.0,58.0,194000
2024-07-09,58.0,60.0,58.0,60.0,180800
2024-07-10,60.0,61.0,60.0,61.0,185200
2024-07-11,62.0,65.0,62.0,65.0,88000
2024-07-12,65.0,65.0,65.0,65.0,96600
2024-07-15,65.0,65.0,65.0,65.0,121500
2024-07-16,65.0,65.0,65.0,65.0,91300
