date,open,high,low,close,volume
2024-04-16,206.0,214.0,195.0,204.0,1005600
2024-04-17,200.0,204.0,195.0,198.0,381100
2024-04-18,198.0,200.0,191.0,197.0,172600
2024-04-19,195.0,196.0,185.0,192.0,309300
2024-04-22,202.0,202.0,181.0,186.0,506700
2024-04-23,181.0,182.0,160.0,166.0,1176000
2024-04-24,169.0,169.0,154.0,160.0,605700
2024-04-25,155.0,166.0,155.0,162.0,257700
2024-04-26,162.0,167.0,159.0,160.0,316700
2024-04-29,161.0,161.0,151.0,157.0,213200
2024-04-30,157.0,163.0,156.0,156.0,195900
2024-05-02,156.0,160.0,155.0,156.0,116000
2024-05-03,156.0,158.0,154.0,157.0,32300
2024-05-06,156.0,164.0,155.0,158.0,108600
2024-05-07,157.0,162.0,155.0,156.0,122300
2024-05-08,155.0,178.0,153.0,158.0,372700
2024-05-13,160.0,167.0,158.0,159.0,56600
2024-05-14,159.0,165.0,155.0,159.0,56100
2024-05-15,159.0,163.0,153.0,156.0,213900
2024-05-16,156.0,159.0,152.0,157.0,43200
2024-05-17,157.0,159.0,153.0,153.0,98400
2024-05-20,157.0,157.0,151.0,152.0,440000
2024-05-21,154.0,155.0,150.0,150.0,322400
2024-05-22,150.0,162.0,150.0,150.0,135300
2024-05-27,151.0,184.0,151.0,159.0,1413200
2024-05-28,159.0,165.0,155.0,159.0,385800
2024-05-29,163.0,163.0,155.0,155.0,142100
2024-05-30,155.0,161.0,150.0,159.0,284800
2024-05-31,158.0,160.0,140.0,140.0,466800
2024-06-03,143.0,160.0,143.0,144.0,108800
2024-06-04,152.0,155.0,145.0,149.0,317800
2024-06-05,151.0,152.0,140.0,145.0,1312800
2024-06-06,145.0,153.0,134.0,135.0,3175200
2024-06-07,140.0,140.0,134.0,138.0,953300
2024-06-10,140.0,140.0,130.0,134.0,355200
2024-06-11,134.0,139.0,129.0,136.0,485400
2024-06-12,138.0,138.0,120.0,128.0,424300
2024-06-13,132.0,135.0,122.0,126.0,409200
2024-06-14,122.0,134.0,111.0,124.0,384000
2024-06-19,126.0,133.0,115.0,126.0,412600
2024-06-20,120.0,130.0,110.0,110.0,871100
2024-06-21,115.0,120.0,110.0,115.0,398000
2024-06-24,114.0,120.0,110.0,117.0,259500
2024-06-25,116.0,120.0,116.0,119.0,260200
2024-06-26,119.0,120.0,112.0,117.0,347500
2024-06-27,119.0,120.0,116.0,119.0,31200
2024-06-28,119.0,130.0,119.0,124.0,157900
2024-07-01,124.0,124.0,117.0,117.0,224800
2024-07-02,119.0,119.0,115.0,117.0,297000
2024-07-03,117.0,118.0,112.0,117.0,85900
2024-07-04,127.0,127.0,113.0,116.0,129500
2024-07-05,117.0,130.0,116.0,120.0,431700
2024-07-08,120.0,120.0,115.0,117.0,125700
2024-07-09,118.0,118.0,116.0,116.0,56800
2024-07-10,117.0,117.0,116.0,117.0,125000
2024-07-11,116.0,120.0,115.0,118.0,72800
2024-07-12,118.0,119.0,116.0,119.0,94100
2024-07-15,116.0,119.0,116.0,119.0,78700
2024-07-16,119.0,120.0,116.0,117.0,132700
2024-07-17,116.0,119.0,115.0,117.0,80200
2024-07-18,119.0,119.0,117.0,119.0,57900
2024-07-19,119.0,119.0,116.0,116.0,47800
2024-07-22,118.0,119.0,116.0,116.0,27700
2024-07-23,118.0,120.0,115.0,116.0,353500
2024-07-24,119.0,120.0,115.0,117.0,225200
2024-07-25,118.0,119.0,117.0,119.0,164200
2024-07-26,119.0,119.0,79.0,90.0,19924200
2024-07-29,94.0,112.0,92.0,99.0,9311000
2024-07-30,99.0,106.0,96.0,97.0,1826200
2024-07-31,97.0,97.0,92.0,94.0,1252300
2024-08-01,98.0,98.0,92.0,93.0,359800
2024-08-02,92.0,97.0,92.0,94.0,308500
2024-08-05,94.0,96.0,86.0,87.0,987300
2024-08-06,88.0,90.0,87.0,89.0,424800
2024-08-07,95.0,120.0,91.0,113.0,53222800
2024-08-08,115.0,119.0,103.0,107.0,19440200
2024-08-09,107.0,108.0,101.0,102.0,2135400
2024-08-12,103.0,110.0,99.0,100.0,3324400
2024-08-13,100.0,102.0,96.0,98.0,2640800
2024-08-14,99.0,108.0,99.0,100.0,4920200
2024-08-15,100.0,105.0,99.0,101.0,1250600
2024-08-16,101.0,102.0,100.0,101.0,433600
2024-08-19,101.0,102.0,100.0,100.0,839600
2024-08-20,100.0,102.0,99.0,100.0,1260000
2024-08-21,100.0,102.0,100.0,100.0,1033400
2024-08-22,107.0,121.0,104.0,109.0,22540900
2024-08-23,110.0,110.0,100.0,102.0,6046500
2024-08-26,103.0,108.0,101.0,104.0,4796500
2024-08-27,104.0,106.0,100.0,102.0,4231800
2024-08-28,101.0,103.0,99.0,99.0,3609800
2024-08-29,100.0,101.0,96.0,100.0,6497200
2024-08-30,102.0,102.0,97.0,98.0,4422800
2024-09-02,98.0,101.0,97.0,99.0,3323500
2024-09-03,100.0,100.0,97.0,97.0,3361000
