date,open,high,low,close,volume
2024-04-16,111.0,113.0,101.0,108.0,272200
2024-04-17,109.0,110.0,103.0,108.0,17300
2024-04-18,106.0,106.0,103.0,104.0,2900
2024-04-19,102.0,102.0,100.0,101.0,48500
2024-04-22,101.0,101.0,96.0,97.0,78200
2024-04-23,96.0,99.0,96.0,99.0,107400
2024-04-24,97.0,97.0,96.0,97.0,40400
2024-04-25,97.0,100.0,97.0,100.0,1800
2024-04-26,98.0,100.0,98.0,100.0,800
2024-04-29,98.0,100.0,98.0,100.0,3400
2024-04-30,98.0,98.0,97.0,97.0,1400
2024-05-02,98.0,98.0,97.0,97.0,7300
2024-05-03,97.0,100.0,96.0,100.0,41000
2024-05-06,100.0,100.0,94.0,94.0,9300
2024-05-07,96.0,98.0,93.0,93.0,73500
2024-05-08,93.0,93.0,88.0,89.0,71400
2024-05-13,89.0,92.0,89.0,90.0,50300
2024-05-14,90.0,95.0,86.0,94.0,108700
2024-05-15,90.0,96.0,89.0,95.0,4700
2024-05-16,95.0,113.0,86.0,89.0,321500
2024-05-17,93.0,93.0,89.0,90.0,3300
2024-05-20,90.0,92.0,89.0,89.0,3300
2024-05-21,89.0,99.0,89.0,89.0,168900
2024-05-22,88.0,93.0,88.0,88.0,75900
2024-05-27,88.0,91.0,87.0,91.0,47500
2024-05-28,91.0,91.0,91.0,91.0,400
2024-05-29,91.0,94.0,90.0,90.0,8700
2024-05-30,89.0,92.0,89.0,90.0,50600
2024-05-31,90.0,92.0,88.0,88.0,68400
2024-06-03,88.0,100.0,88.0,89.0,200900
2024-06-04,91.0,91.0,88.0,88.0,18500
2024-06-05,91.0,93.0,87.0,87.0,27500
2024-06-06,90.0,90.0,90.0,90.0,1000
2024-06-07,87.0,87.0,87.0,87.0,900
2024-06-10,87.0,87.0,79.0,80.0,361300
2024-06-11,80.0,80.0,71.0,73.0,460800
2024-06-12,73.0,98.0,73.0,98.0,911700
2024-06-13,109.0,120.0,84.0,87.0,5333400
2024-06-14,86.0,86.0,81.0,81.0,303400
2024-06-19,80.0,87.0,80.0,80.0,300700
2024-06-20,83.0,83.0,79.0,79.0,79400
2024-06-21,79.0,81.0,79.0,80.0,20100
2024-06-24,80.0,82.0,79.0,82.0,61700
2024-06-25,82.0,82.0,81.0,82.0,19200
2024-06-26,82.0,87.0,81.0,84.0,165900
2024-06-27,82.0,107.0,82.0,104.0,872900
2024-06-28,105.0,109.0,93.0,95.0,215200
2024-07-01,95.0,96.0,90.0,95.0,54000
2024-07-02,92.0,98.0,92.0,98.0,51500
2024-07-03,97.0,98.0,96.0,98.0,11600
2024-07-04,96.0,101.0,96.0,99.0,57000
2024-07-05,96.0,100.0,96.0,100.0,21400
2024-07-08,100.0,101.0,97.0,99.0,42700
2024-07-09,99.0,117.0,99.0,112.0,379800
2024-07-10,113.0,113.0,103.0,109.0,81700
2024-07-11,107.0,109.0,107.0,107.0,36100
2024-07-12,107.0,109.0,106.0,108.0,204000
2024-07-15,108.0,110.0,106.0,107.0,151800
2024-07-16,107.0,107.0,107.0,107.0,6100
2024-07-17,106.0,108.0,106.0,108.0,1500
2024-07-18,108.0,109.0,108.0,109.0,700
2024-07-19,110.0,110.0,106.0,106.0,1200
2024-07-22,109.0,118.0,104.0,104.0,205000
2024-07-23,104.0,105.0,104.0,104.0,2200
2024-07-24,104.0,104.0,103.0,103.0,6000
2024-07-25,106.0,110.0,105.0,105.0,8200
2024-07-26,110.0,117.0,105.0,108.0,129700
2024-07-29,109.0,109.0,106.0,107.0,13500
2024-07-30,107.0,108.0,106.0,106.0,13000
2024-07-31,108.0,108.0,105.0,105.0,25400
2024-08-01,105.0,108.0,105.0,105.0,7200
2024-08-02,109.0,141.0,109.0,141.0,9133400
2024-08-05,152.0,190.0,151.0,190.0,23578500
2024-08-06,196.0,256.0,196.0,250.0,32191400
2024-08-07,260.0,298.0,214.0,252.0,23503700
2024-08-08,262.0,284.0,218.0,236.0,7018400
2024-08-09,234.0,250.0,214.0,220.0,2723100
2024-08-12,202.0,274.0,202.0,274.0,18753000
2024-08-13,290.0,294.0,250.0,254.0,14272300
2024-08-14,254.0,262.0,232.0,244.0,2698400
2024-08-15,244.0,256.0,226.0,240.0,2343000
2024-08-16,242.0,246.0,230.0,232.0,1489100
2024-08-19,236.0,236.0,218.0,228.0,1722000
2024-08-20,230.0,232.0,220.0,222.0,995300
2024-08-21,222.0,240.0,216.0,222.0,1726000
2024-08-22,222.0,222.0,210.0,212.0,785600
2024-08-23,212.0,216.0,200.0,208.0,942900
2024-08-26,212.0,254.0,204.0,242.0,11064800
2024-08-27,240.0,246.0,226.0,232.0,3649200
2024-08-28,230.0,232.0,204.0,214.0,1912800
2024-08-29,214.0,216.0,206.0,206.0,529000
2024-08-30,206.0,236.0,204.0,208.0,2594500
2024-09-02,210.0,228.0,208.0,212.0,556000
2024-09-03,216.0,216.0,208.0,208.0,175700
2024-09-04,208.0,212.0,190.0,208.0,699300
2024-09-05,204.0,210.0,202.0,204.0,150300
2024-09-06,204.0,204.0,198.0,200.0,198500
2024-09-09,200.0,204.0,199.0,204.0,76200
2024-09-10,204.0,204.0,195.0,195.0,350200
2024-09-11,195.0,236.0,195.0,216.0,9277200
2024-09-12,216.0,222.0,206.0,208.0,1295000
2024-09-13,210.0,210.0,202.0,204.0,167400
2024-09-17,204.0,216.0,202.0,202.0,620700
2024-09-18,202.0,212.0,202.0,206.0,211800
2024-09-19,204.0,210.0,204.0,204.0,60200
2024-09-20,204.0,206.0,200.0,200.0,110900
2024-09-23,204.0,210.0,200.0,204.0,252000
2024-09-24,206.0,206.0,200.0,200.0,162900
2024-09-25,200.0,206.0,198.0,202.0,143400
2024-09-26,204.0,204.0,199.0,199.0,250300
2024-09-27,199.0,204.0,198.0,198.0,38300
2024-09-30,202.0,202.0,196.0,197.0,123500
2024-10-01,200.0,204.0,190.0,196.0,624700
2024-10-02,200.0,200.0,191.0,191.0,109300
2024-10-03,191.0,199.0,185.0,190.0,242400
2024-10-04,190.0,190.0,183.0,188.0,38600
2024-10-07,185.0,197.0,180.0,186.0,213400
2024-10-08,186.0,186.0,180.0,182.0,29200
2024-10-09,185.0,210.0,180.0,182.0,5575600
2024-10-10,180.0,188.0,175.0,175.0,666600
2024-10-11,175.0,179.0,169.0,172.0,165400
2024-10-14,173.0,178.0,173.0,175.0,90300
2024-10-15,175.0,186.0,174.0,175.0,371900
2024-10-16,175.0,177.0,174.0,174.0,150000
2024-10-17,175.0,177.0,175.0,175.0,38000
2024-10-18,174.0,176.0,174.0,176.0,23300
2024-10-21,176.0,176.0,172.0,175.0,23800
2024-10-22,175.0,175.0,171.0,172.0,192800
2024-10-23,173.0,173.0,170.0,171.0,92100
2024-10-24,172.0,172.0,169.0,169.0,95200
2024-10-25,169.0,169.0,169.0,169.0,28600
2024-10-28,169.0,178.0,169.0,170.0,170900
2024-10-29,169.0,170.0,169.0,170.0,55800
