date,open,high,low,close,volume
2024-04-16,91.0,92.0,90.0,91.0,11889300
2024-04-17,90.0,91.0,90.0,91.0,10902800
2024-04-18,91.0,92.0,89.0,89.0,7352500
2024-04-19,89.0,90.0,81.0,86.0,11986100
2024-04-22,86.0,88.0,86.0,87.0,6836200
2024-04-23,87.0,89.0,86.0,87.0,4729100
2024-04-24,88.0,90.0,87.0,88.0,16369300
2024-04-25,89.0,89.0,88.0,88.0,12620200
2024-04-26,80.0,88.0,80.0,86.0,4387800
2024-04-29,86.0,87.0,85.0,87.0,6624100
2024-04-30,86.0,89.0,85.0,87.0,8525600
2024-05-02,87.0,88.0,85.0,88.0,14749800
2024-05-03,89.0,89.0,85.0,87.0,6329700
2024-05-06,88.0,90.0,85.0,90.0,7781200
2024-05-07,90.0,90.0,87.0,87.0,15486900
2024-05-08,87.0,88.0,85.0,86.0,4877300
2024-05-13,86.0,87.0,85.0,86.0,4850300
2024-05-14,85.0,86.0,84.0,84.0,5739300
2024-05-15,84.0,87.0,83.0,85.0,14808900
2024-05-16,85.0,87.0,84.0,87.0,14369500
2024-05-17,87.0,89.0,85.0,88.0,7781300
2024-05-20,88.0,88.0,86.0,87.0,4759600
2024-05-21,87.0,90.0,86.0,89.0,7214800
2024-05-22,89.0,90.0,88.0,88.0,14529800
2024-05-27,88.0,88.0,87.0,88.0,3398100
2024-05-28,88.0,90.0,87.0,90.0,13926300
2024-05-29,89.0,90.0,88.0,89.0,4766700
2024-05-30,90.0,90.0,87.0,89.0,3736700
2024-05-31,89.0,89.0,85.0,87.0,6717900
2024-06-03,87.0,89.0,86.0,88.0,5811800
2024-06-04,89.0,92.0,88.0,91.0,16608900
2024-06-05,91.0,91.0,89.0,90.0,13801400
2024-06-06,90.0,93.0,89.0,90.0,4922600
2024-06-07,90.0,90.0,88.0,89.0,4881900
2024-06-10,90.0,90.0,87.0,88.0,4676300
2024-06-11,88.0,89.0,88.0,88.0,3130600
2024-06-12,88.0,93.0,88.0,93.0,16907200
