date,open,high,low,close,volume
2024-04-16,3300.0,3300.0,3270.0,3280.0,83900
2024-04-17,3280.0,3290.0,3270.0,3280.0,56500
2024-04-18,3280.0,3280.0,3250.0,3260.0,54800
2024-04-19,3260.0,3260.0,3220.0,3220.0,29400
2024-04-22,3240.0,3240.0,3200.0,3230.0,48800
2024-04-23,3200.0,3240.0,3190.0,3230.0,77300
2024-04-24,3230.0,3240.0,3210.0,3230.0,188900
2024-04-25,3230.0,3240.0,3220.0,3240.0,14700
2024-04-26,3240.0,3240.0,3210.0,3220.0,29500
2024-04-29,3240.0,3240.0,3220.0,3230.0,5500
2024-04-30,3240.0,3240.0,3190.0,3200.0,95200
2024-05-02,3200.0,3230.0,3170.0,3200.0,137700
2024-05-03,3200.0,3220.0,3170.0,3200.0,97900
2024-05-06,3200.0,3210.0,3180.0,3210.0,108400
2024-05-07,3210.0,3230.0,3180.0,3190.0,115200
2024-05-08,3190.0,3190.0,3180.0,3190.0,41200
2024-05-13,3190.0,3210.0,3170.0,3200.0,131300
2024-05-14,3200.0,3230.0,3180.0,3220.0,53200
2024-05-15,3220.0,3240.0,3220.0,3230.0,43600
2024-05-16,3230.0,3270.0,3200.0,3230.0,203500
2024-05-17,3230.0,3250.0,3210.0,3250.0,43600
2024-05-20,3250.0,3250.0,3190.0,3230.0,32900
2024-05-21,3230.0,3230.0,3140.0,3190.0,424900
2024-05-22,3200.0,3230.0,3160.0,3190.0,463100
2024-05-27,3200.0,3290.0,3200.0,3270.0,583900
2024-05-28,3280.0,3370.0,3240.0,3360.0,654700
2024-05-29,3180.0,3200.0,3000.0,3030.0,366800
2024-05-30,3030.0,3030.0,3000.0,3010.0,258500
2024-05-31,3010.0,3020.0,2960.0,2960.0,152400
2024-06-03,2960.0,3000.0,2900.0,2910.0,156100
2024-06-04,2910.0,2970.0,2900.0,2970.0,150500
2024-06-05,2970.0,3000.0,2970.0,2970.0,74500
2024-06-06,2970.0,2990.0,2960.0,2960.0,23100
2024-06-07,2980.0,2990.0,2950.0,2970.0,46600
2024-06-10,2970.0,2970.0,2910.0,2960.0,41300
2024-06-11,2960.0,2970.0,2920.0,2930.0,38200
2024-06-12,2950.0,2950.0,2910.0,2910.0,23200
2024-06-13,2910.0,2920.0,2850.0,2890.0,62200
2024-06-14,2900.0,2900.0,2820.0,2830.0,53200
2024-06-19,2820.0,2880.0,2820.0,2840.0,89000
2024-06-20,2850.0,2870.0,2820.0,2860.0,116600
2024-06-21,2880.0,2900.0,2870.0,2880.0,28200
2024-06-24,2880.0,2910.0,2870.0,2900.0,16400
2024-06-25,2860.0,2860.0,2750.0,2750.0,226600
2024-06-26,2750.0,2790.0,2740.0,2740.0,94600
2024-06-27,2750.0,2810.0,2750.0,2790.0,29400
2024-06-28,2780.0,2810.0,2780.0,2780.0,28100
2024-07-01,2800.0,2860.0,2800.0,2820.0,31400
2024-07-02,2830.0,2970.0,2830.0,2950.0,142500
2024-07-03,2950.0,3060.0,2950.0,3010.0,109900
2024-07-04,2970.0,3010.0,2910.0,3010.0,23600
2024-07-05,3100.0,3100.0,3010.0,3030.0,17500
2024-07-08,3030.0,3050.0,3000.0,3030.0,110000
2024-07-09,3030.0,3040.0,3000.0,3010.0,74300
2024-07-10,3010.0,3020.0,2990.0,3000.0,17800
2024-07-11,3000.0,3000.0,3000.0,3000.0,10400
2024-07-12,3050.0,3050.0,3000.0,3010.0,11200
2024-07-15,3010.0,3010.0,2990.0,3000.0,23200
2024-07-16,3000.0,3030.0,3000.0,3020.0,14300
2024-07-17,3010.0,3010.0,2920.0,2920.0,183600
2024-07-18,2950.0,2990.0,2940.0,2980.0,15700
2024-07-19,2990.0,3000.0,2900.0,2980.0,27200
2024-07-22,2980.0,3180.0,2980.0,3070.0,56200
2024-07-23,3020.0,3020.0,2980.0,3010.0,25800
2024-07-24,3020.0,3020.0,2980.0,2990.0,20700
2024-07-25,2990.0,3020.0,2910.0,2990.0,15600
2024-07-26,2990.0,3000.0,2950.0,3000.0,31600
2024-07-29,2980.0,2990.0,2970.0,2990.0,11200
2024-07-30,2980.0,2980.0,2920.0,2960.0,25900
2024-07-31,2960.0,2960.0,2930.0,2960.0,28200
2024-08-01,2940.0,2940.0,2770.0,2770.0,585700
2024-08-02,2770.0,2830.0,2760.0,2800.0,232200
2024-08-05,2800.0,2800.0,2710.0,2710.0,156400
2024-08-06,2710.0,2780.0,2680.0,2690.0,171400
2024-08-07,2700.0,2700.0,2570.0,2610.0,907100
2024-08-08,2610.0,2610.0,2530.0,2570.0,447000
2024-08-09,2570.0,2570.0,2500.0,2520.0,943800
2024-08-12,2520.0,2580.0,2510.0,2510.0,115000
2024-08-13,2520.0,2560.0,2510.0,2560.0,103400
2024-08-14,2560.0,2580.0,2510.0,2530.0,89400
2024-08-15,2540.0,2540.0,2510.0,2510.0,108200
2024-08-16,2520.0,2550.0,2510.0,2540.0,270900
2024-08-19,2540.0,2550.0,2530.0,2540.0,25500
2024-08-20,2540.0,2550.0,2510.0,2520.0,171900
2024-08-21,2520.0,2570.0,2520.0,2540.0,274600
2024-08-22,2540.0,2540.0,2520.0,2520.0,82000
2024-08-23,2530.0,2570.0,2530.0,2570.0,58400
2024-08-26,2570.0,2570.0,2500.0,2510.0,440900
2024-08-27,2530.0,2540.0,2510.0,2510.0,201000
2024-08-28,2520.0,2520.0,2460.0,2470.0,480900
2024-08-29,2470.0,2490.0,2460.0,2470.0,150400
2024-08-30,2470.0,2490.0,2440.0,2450.0,164800
2024-09-02,2450.0,2450.0,2430.0,2440.0,177100
2024-09-03,2440.0,2440.0,2410.0,2420.0,250300
2024-09-04,2420.0,2440.0,2400.0,2420.0,76700
2024-09-05,2430.0,2440.0,2420.0,2440.0,31500
2024-09-06,2440.0,2470.0,2420.0,2440.0,286300
2024-09-09,2440.0,2470.0,2440.0,2440.0,128700
2024-09-10,2440.0,2470.0,2440.0,2460.0,57100
2024-09-11,2460.0,2460.0,2440.0,2450.0,62600
2024-09-12,2470.0,2470.0,2460.0,2460.0,44200
2024-09-13,2460.0,2470.0,2450.0,2450.0,59200
2024-09-17,2470.0,2470.0,2430.0,2460.0,80200
2024-09-18,2450.0,2460.0,2430.0,2440.0,113000
2024-09-19,2450.0,2470.0,2430.0,2470.0,91800
2024-09-20,2470.0,2500.0,2470.0,2490.0,85000
2024-09-23,2490.0,2520.0,2480.0,2500.0,39300
2024-09-24,2500.0,2510.0,2470.0,2490.0,35500
2024-09-25,2490.0,2500.0,2460.0,2470.0,40700
2024-09-26,2470.0,2480.0,2460.0,2470.0,55000
2024-09-27,2470.0,2490.0,2450.0,2480.0,38400
2024-09-30,2480.0,2480.0,2440.0,2460.0,44800
2024-10-01,2460.0,2490.0,2450.0,2460.0,20800
2024-10-02,2460.0,2480.0,2450.0,2450.0,61800
2024-10-03,2470.0,2470.0,2440.0,2460.0,72500
2024-10-04,2460.0,2460.0,2440.0,2450.0,12900
2024-10-07,2460.0,2490.0,2440.0,2450.0,34300
2024-10-08,2470.0,2470.0,2430.0,2440.0,47900
2024-10-09,2450.0,2480.0,2440.0,2440.0,71300
2024-10-10,2460.0,2470.0,2460.0,2460.0,51900
2024-10-11,2470.0,2470.0,2460.0,2470.0,28900
2024-10-14,2470.0,2470.0,2450.0,2450.0,49700
2024-10-15,2450.0,2460.0,2450.0,2460.0,18500
2024-10-16,2470.0,2480.0,2460.0,2470.0,19900
2024-10-17,2460.0,2470.0,2450.0,2470.0,58400
2024-10-18,2470.0,2520.0,2460.0,2520.0,90600
2024-10-21,2520.0,2520.0,2480.0,2490.0,173600
2024-10-22,2480.0,2490.0,2470.0,2480.0,64000
2024-10-23,2470.0,2610.0,2470.0,2480.0,326300
2024-10-24,2490.0,2590.0,2490.0,2530.0,255900
2024-10-25,2530.0,2550.0,2520.0,2520.0,66600
2024-10-28,2530.0,2530.0,2470.0,2500.0,71500
2024-10-29,2500.0,2520.0,2490.0,2490.0,55900
2024-10-30,2500.0,2500.0,2300.0,2320.0,738200
2024-10-31,2340.0,2370.0,2320.0,2340.0,276400
2024-11-01,2340.0,2340.0,2300.0,2320.0,48000
2024-11-04,2360.0,2390.0,2310.0,2330.0,131300
2024-11-05,2330.0,2330.0,2290.0,2300.0,165700
