date,open,high,low,close,volume
2024-04-16,408.0,414.0,404.0,408.0,72368000
2024-04-17,408.0,412.0,400.0,402.0,28609600
2024-04-18,402.0,402.0,394.0,396.0,30886000
2024-04-19,400.0,412.0,400.0,406.0,78353000
2024-04-22,406.0,410.0,396.0,398.0,40010000
2024-04-23,398.0,408.0,398.0,404.0,30741600
2024-04-24,406.0,424.0,404.0,422.0,111939300
2024-04-25,422.0,424.0,414.0,416.0,36942400
2024-04-26,414.0,422.0,402.0,404.0,48280700
2024-04-29,404.0,408.0,398.0,404.0,24872100
2024-04-30,406.0,428.0,404.0,428.0,123973800
2024-05-02,428.0,436.0,420.0,434.0,81761400
2024-05-03,434.0,438.0,424.0,428.0,28651400
2024-05-06,424.0,430.0,420.0,422.0,25578200
2024-05-07,422.0,430.0,420.0,426.0,28423000
2024-05-08,426.0,426.0,420.0,422.0,24076100
2024-05-13,420.0,442.0,420.0,438.0,58695000
2024-05-14,444.0,460.0,438.0,456.0,87404800
2024-05-15,456.0,460.0,436.0,440.0,83326300
2024-05-16,438.0,444.0,430.0,434.0,35392100
2024-05-17,434.0,444.0,432.0,442.0,24208900
2024-05-20,442.0,464.0,442.0,456.0,64682000
2024-05-21,456.0,456.0,440.0,442.0,25524200
2024-05-22,450.0,454.0,438.0,440.0,23167600
2024-05-27,448.0,448.0,430.0,432.0,47417000
2024-05-28,408.0,418.0,404.0,416.0,44242200
2024-05-29,416.0,424.0,410.0,412.0,37276700
2024-05-30,412.0,414.0,404.0,412.0,18827400
2024-05-31,410.0,412.0,406.0,406.0,18467500
2024-06-03,406.0,422.0,404.0,422.0,23646800
2024-06-04,420.0,426.0,414.0,426.0,35886700
2024-06-05,424.0,426.0,412.0,414.0,11628100
2024-06-06,416.0,420.0,412.0,412.0,12583200
2024-06-07,416.0,422.0,414.0,414.0,14825600
2024-06-10,414.0,416.0,408.0,410.0,13444100
2024-06-11,414.0,418.0,410.0,412.0,12550400
2024-06-12,410.0,416.0,404.0,406.0,20758300
2024-06-13,406.0,410.0,402.0,404.0,12551100
2024-06-14,404.0,408.0,392.0,398.0,39878900
2024-06-19,398.0,408.0,394.0,406.0,28598800
2024-06-20,406.0,420.0,406.0,418.0,41237500
2024-06-21,418.0,438.0,418.0,432.0,58430100
2024-06-24,432.0,438.0,432.0,434.0,15410100
2024-06-25,434.0,450.0,432.0,448.0,38705800
2024-06-26,452.0,452.0,438.0,442.0,17042100
2024-06-27,442.0,442.0,436.0,442.0,12131000
2024-06-28,442.0,450.0,440.0,444.0,16544100
2024-07-01,444.0,444.0,430.0,434.0,57327400
2024-07-02,436.0,442.0,434.0,438.0,21191900
2024-07-03,438.0,440.0,434.0,436.0,9235100
2024-07-04,436.0,444.0,436.0,442.0,16232500
2024-07-05,442.0,450.0,436.0,448.0,20345800
2024-07-08,448.0,450.0,444.0,446.0,8992900
2024-07-09,446.0,468.0,436.0,462.0,62831800
2024-07-10,464.0,468.0,456.0,460.0,40339500
2024-07-11,460.0,480.0,454.0,468.0,36229900
2024-07-12,470.0,482.0,466.0,466.0,30596700
2024-07-15,470.0,515.0,470.0,505.0,158963200
2024-07-16,505.0,525.0,498.0,520.0,62366500
2024-07-17,520.0,525.0,505.0,505.0,28522300
2024-07-18,510.0,545.0,505.0,540.0,67632400
2024-07-19,540.0,540.0,525.0,535.0,22455100
2024-07-22,535.0,540.0,515.0,530.0,19957700
2024-07-23,525.0,540.0,520.0,530.0,18826300
2024-07-24,525.0,535.0,510.0,510.0,31103400
2024-07-25,510.0,520.0,490.0,505.0,43604300
2024-07-26,510.0,525.0,505.0,520.0,19780600
2024-07-29,520.0,535.0,515.0,525.0,37611400
2024-07-30,525.0,525.0,496.0,505.0,56480000
2024-07-31,498.0,520.0,480.0,510.0,207058600
2024-08-01,515.0,525.0,500.0,505.0,69067000
2024-08-02,505.0,505.0,494.0,494.0,47815200
2024-08-05,486.0,486.0,460.0,466.0,161121300
2024-08-06,468.0,480.0,462.0,472.0,118784900
2024-08-07,474.0,482.0,472.0,480.0,45528600
2024-08-08,480.0,492.0,478.0,488.0,72786200
2024-08-09,488.0,494.0,484.0,486.0,31811000
2024-08-12,488.0,490.0,478.0,490.0,36736900
2024-08-13,496.0,510.0,492.0,494.0,88332800
2024-08-14,496.0,498.0,490.0,492.0,24319100
2024-08-15,492.0,494.0,486.0,490.0,25036000
