date,open,high,low,close,volume
2024-04-16,428.0,428.0,408.0,412.0,25707300
2024-04-17,412.0,418.0,392.0,398.0,27188100
2024-04-18,398.0,400.0,388.0,390.0,19675700
2024-04-19,388.0,388.0,366.0,370.0,35023300
2024-04-22,370.0,378.0,362.0,372.0,17850000
2024-04-23,372.0,388.0,370.0,372.0,20567100
2024-04-24,372.0,376.0,366.0,370.0,12143600
2024-04-25,370.0,370.0,360.0,366.0,9322900
2024-04-26,364.0,364.0,350.0,350.0,14111700
2024-04-29,350.0,374.0,350.0,374.0,27004400
2024-04-30,374.0,394.0,368.0,386.0,28052600
2024-05-02,400.0,402.0,378.0,378.0,43725600
2024-05-03,378.0,388.0,374.0,376.0,16755900
2024-05-06,380.0,414.0,380.0,400.0,52697700
2024-05-07,402.0,446.0,400.0,440.0,92702400
2024-05-08,440.0,454.0,412.0,416.0,73535500
2024-05-13,414.0,434.0,412.0,430.0,34605600
2024-05-14,430.0,434.0,422.0,426.0,14162700
2024-05-15,434.0,434.0,414.0,416.0,18807300
2024-05-16,418.0,444.0,416.0,428.0,62230000
2024-05-17,430.0,458.0,426.0,442.0,92386700
2024-05-20,448.0,450.0,438.0,450.0,22949300
2024-05-21,450.0,454.0,432.0,442.0,30500400
2024-05-22,442.0,450.0,436.0,442.0,16849700
2024-05-27,440.0,460.0,430.0,452.0,78801200
2024-05-28,454.0,462.0,438.0,440.0,69604700
2024-05-29,442.0,444.0,424.0,430.0,38440000
2024-05-30,430.0,436.0,416.0,422.0,24524100
2024-05-31,420.0,436.0,420.0,424.0,47908000
2024-06-03,424.0,434.0,420.0,422.0,28282700
2024-06-04,424.0,436.0,422.0,422.0,23881900
2024-06-05,426.0,430.0,394.0,394.0,49157300
2024-06-06,394.0,404.0,394.0,404.0,18005000
2024-06-07,400.0,408.0,390.0,390.0,14748400
2024-06-10,388.0,392.0,378.0,382.0,16276800
2024-06-11,380.0,390.0,374.0,376.0,11045100
2024-06-12,380.0,380.0,362.0,370.0,20271700
2024-06-13,370.0,390.0,368.0,380.0,25916900
2024-06-14,380.0,384.0,360.0,366.0,17241900
2024-06-19,368.0,370.0,350.0,352.0,28342100
2024-06-20,352.0,394.0,352.0,374.0,62090300
2024-06-21,372.0,390.0,372.0,380.0,68058000
2024-06-24,382.0,394.0,380.0,388.0,35011400
2024-06-25,388.0,390.0,378.0,390.0,14545800
2024-06-26,392.0,402.0,384.0,386.0,28841900
2024-06-27,386.0,394.0,384.0,390.0,13899500
2024-06-28,392.0,400.0,388.0,388.0,21690600
2024-07-01,390.0,398.0,390.0,392.0,11386400
2024-07-02,394.0,396.0,386.0,388.0,12708600
2024-07-03,388.0,398.0,388.0,396.0,10522700
2024-07-04,396.0,426.0,396.0,420.0,93873200
2024-07-05,422.0,428.0,416.0,416.0,23503900
2024-07-08,416.0,450.0,416.0,446.0,100531400
2024-07-09,446.0,446.0,436.0,440.0,27106100
2024-07-10,440.0,454.0,430.0,430.0,43813600
2024-07-11,432.0,446.0,428.0,446.0,82957900
2024-07-12,446.0,450.0,434.0,434.0,25808800
2024-07-15,436.0,444.0,434.0,442.0,19785900
2024-07-16,442.0,442.0,432.0,440.0,17445900
2024-07-17,440.0,462.0,440.0,446.0,75552200
2024-07-18,448.0,448.0,430.0,430.0,44882900
2024-07-19,432.0,434.0,420.0,422.0,26206600
2024-07-22,422.0,430.0,420.0,424.0,12501100
2024-07-23,424.0,442.0,424.0,438.0,47090500
2024-07-24,440.0,446.0,424.0,432.0,68033800
2024-07-25,426.0,432.0,422.0,432.0,17742500
2024-07-26,430.0,436.0,424.0,426.0,11483400
2024-07-29,426.0,432.0,422.0,428.0,13880800
2024-07-30,428.0,430.0,416.0,422.0,21020500
2024-07-31,422.0,424.0,406.0,408.0,42740800
2024-08-01,410.0,412.0,396.0,402.0,25574700
2024-08-02,398.0,416.0,398.0,402.0,47725700
2024-08-05,404.0,414.0,370.0,378.0,61921500
2024-08-06,378.0,400.0,378.0,388.0,40275900
2024-08-07,390.0,408.0,390.0,394.0,38515400
2024-08-08,396.0,398.0,388.0,388.0,18939900
2024-08-09,388.0,396.0,388.0,390.0,12452100
2024-08-12,390.0,394.0,386.0,390.0,19962400
2024-08-13,390.0,396.0,388.0,392.0,26917500
2024-08-14,394.0,406.0,394.0,400.0,55064800
2024-08-15,400.0,402.0,394.0,396.0,16002800
2024-08-16,396.0,404.0,396.0,400.0,14455800
2024-08-19,400.0,402.0,396.0,400.0,10532800
2024-08-20,400.0,418.0,400.0,416.0,95179700
2024-08-21,418.0,422.0,410.0,410.0,44754000
2024-08-22,410.0,412.0,394.0,396.0,41701300
2024-08-23,398.0,404.0,396.0,400.0,13889200
2024-08-26,402.0,404.0,400.0,402.0,12169200
2024-08-27,402.0,402.0,396.0,402.0,13070800
2024-08-28,402.0,402.0,398.0,400.0,12189800
