date,open,high,low,close,volume
2024-04-16,710.0,760.0,705.0,750.0,42505600
2024-04-17,760.0,760.0,715.0,725.0,25633700
2024-04-18,725.0,760.0,710.0,750.0,29648900
2024-04-19,750.0,755.0,730.0,750.0,37957500
2024-04-22,750.0,760.0,740.0,745.0,17041900
2024-04-23,755.0,760.0,720.0,730.0,29963600
2024-04-24,735.0,755.0,715.0,750.0,49333800
2024-04-25,755.0,795.0,745.0,775.0,60365400
2024-04-26,775.0,790.0,745.0,775.0,37018300
2024-04-29,775.0,790.0,755.0,785.0,28784800
2024-04-30,785.0,790.0,770.0,780.0,25690800
2024-05-02,780.0,780.0,740.0,745.0,23701600
2024-05-03,750.0,785.0,750.0,780.0,33175400
2024-05-06,785.0,790.0,765.0,785.0,18985500
2024-05-07,785.0,845.0,785.0,830.0,66280400
2024-05-08,830.0,830.0,800.0,820.0,44467400
2024-05-13,820.0,830.0,790.0,800.0,46315800
2024-05-14,805.0,815.0,765.0,785.0,29233500
2024-05-15,785.0,805.0,770.0,785.0,28401600
2024-05-16,785.0,825.0,780.0,810.0,37071800
2024-05-17,815.0,830.0,805.0,815.0,37172400
2024-05-20,820.0,860.0,820.0,835.0,66261600
2024-05-21,840.0,845.0,805.0,835.0,34224300
2024-05-22,840.0,845.0,815.0,815.0,22130400
2024-05-27,810.0,815.0,765.0,775.0,43159600
2024-05-28,775.0,815.0,775.0,805.0,21047000
2024-05-29,815.0,815.0,800.0,805.0,21655900
2024-05-30,810.0,820.0,780.0,815.0,45839200
2024-05-31,820.0,825.0,770.0,770.0,56953400
2024-06-03,780.0,800.0,765.0,790.0,15405900
2024-06-04,795.0,820.0,780.0,800.0,20867000
2024-06-05,795.0,800.0,705.0,715.0,44361600
2024-06-06,725.0,750.0,675.0,720.0,77767300
2024-06-07,725.0,730.0,705.0,715.0,19892300
2024-06-10,715.0,735.0,705.0,725.0,11875500
2024-06-11,730.0,875.0,730.0,805.0,138474100
2024-06-12,815.0,840.0,785.0,805.0,73958400
2024-06-13,815.0,825.0,785.0,795.0,22315000
2024-06-14,800.0,845.0,760.0,775.0,49848800
2024-06-19,780.0,785.0,750.0,780.0,17019400
2024-06-20,780.0,805.0,755.0,765.0,24427500
2024-06-21,770.0,785.0,765.0,765.0,15080200
2024-06-24,770.0,780.0,740.0,750.0,15710700
2024-06-25,755.0,760.0,740.0,750.0,6991800
2024-06-26,755.0,770.0,745.0,755.0,14939000
2024-06-27,765.0,775.0,750.0,755.0,13763200
2024-06-28,760.0,780.0,760.0,770.0,19513500
2024-07-01,770.0,805.0,770.0,790.0,30271700
2024-07-02,795.0,820.0,780.0,800.0,57024500
2024-07-03,805.0,815.0,790.0,800.0,19601800
2024-07-04,805.0,810.0,785.0,790.0,25328300
2024-07-05,790.0,795.0,780.0,790.0,8910300
2024-07-08,795.0,830.0,795.0,820.0,65607500
2024-07-09,820.0,845.0,810.0,840.0,35246500
2024-07-10,840.0,920.0,840.0,865.0,121419500
2024-07-11,865.0,875.0,815.0,830.0,44285100
2024-07-12,835.0,875.0,825.0,840.0,44561400
2024-07-15,850.0,870.0,820.0,825.0,37970900
2024-07-16,825.0,870.0,825.0,870.0,40669500
2024-07-17,880.0,885.0,850.0,860.0,41142500
2024-07-18,865.0,870.0,845.0,850.0,18647900
2024-07-19,855.0,865.0,845.0,850.0,9307600
2024-07-22,855.0,860.0,835.0,835.0,11125000
2024-07-23,840.0,850.0,825.0,830.0,16678900
2024-07-24,830.0,840.0,805.0,810.0,20989800
2024-07-25,810.0,815.0,785.0,790.0,21377300
2024-07-26,800.0,835.0,800.0,820.0,20041000
2024-07-29,825.0,840.0,815.0,830.0,14841000
2024-07-30,830.0,850.0,805.0,845.0,26430900
2024-07-31,845.0,850.0,825.0,840.0,14739900
2024-08-01,845.0,850.0,830.0,840.0,10437000
2024-08-02,830.0,835.0,800.0,800.0,23264100
2024-08-05,795.0,795.0,720.0,755.0,56383800
2024-08-06,765.0,780.0,755.0,770.0,34226300
2024-08-07,775.0,800.0,770.0,800.0,18597300
2024-08-08,800.0,800.0,780.0,785.0,13017700
2024-08-09,790.0,810.0,785.0,790.0,7442500
2024-08-12,795.0,820.0,795.0,810.0,19364500
2024-08-13,825.0,825.0,810.0,825.0,10997900
2024-08-14,830.0,840.0,815.0,820.0,20867900
2024-08-15,825.0,825.0,800.0,805.0,9140700
2024-08-16,810.0,825.0,800.0,800.0,12418200
2024-08-19,800.0,805.0,795.0,805.0,7159200
2024-08-20,805.0,810.0,785.0,800.0,21351300
2024-08-21,800.0,805.0,780.0,795.0,18915800
2024-08-22,795.0,795.0,775.0,775.0,13550000
2024-08-23,780.0,790.0,760.0,765.0,25058600
2024-08-26,770.0,805.0,770.0,805.0,56182800
2024-08-27,810.0,820.0,780.0,805.0,40906100
2024-08-28,810.0,815.0,795.0,810.0,11836100
2024-08-29,810.0,900.0,795.0,865.0,149095000
2024-08-30,875.0,910.0,865.0,890.0,82949300
2024-09-02,895.0,920.0,875.0,885.0,31998300
2024-09-03,880.0,885.0,855.0,865.0,14291200
2024-09-04,855.0,870.0,835.0,845.0,13833600
2024-09-05,855.0,875.0,845.0,845.0,11247100
2024-09-06,855.0,875.0,850.0,865.0,19132700
2024-09-09,870.0,880.0,825.0,825.0,31171800
2024-09-10,830.0,835.0,810.0,815.0,18309300
2024-09-11,815.0,840.0,805.0,835.0,14109400
2024-09-12,835.0,840.0,820.0,820.0,9134200
2024-09-13,820.0,860.0,820.0,820.0,31329300
2024-09-17,830.0,830.0,820.0,820.0,5405100
2024-09-18,820.0,825.0,810.0,810.0,8636600
2024-09-19,815.0,820.0,800.0,800.0,16791700
2024-09-20,805.0,815.0,785.0,800.0,12259300
2024-09-23,800.0,825.0,800.0,820.0,20801600
