date,open,high,low,close,volume
2024-04-16,810.0,810.0,810.0,810.0,0
2024-04-17,810.0,810.0,810.0,810.0,0
2024-04-18,810.0,810.0,810.0,810.0,0
2024-04-19,810.0,810.0,810.0,810.0,0
2024-04-22,810.0,810.0,810.0,810.0,0
2024-04-23,810.0,810.0,810.0,810.0,0
2024-04-24,810.0,810.0,810.0,810.0,0
2024-04-25,810.0,810.0,810.0,810.0,0
2024-04-26,810.0,810.0,810.0,810.0,0
2024-04-29,810.0,810.0,810.0,810.0,0
2024-04-30,810.0,810.0,810.0,810.0,0
2024-05-02,810.0,810.0,810.0,810.0,0
2024-05-03,810.0,810.0,810.0,810.0,0
2024-05-06,810.0,810.0,810.0,810.0,0
2024-05-07,810.0,810.0,810.0,810.0,0
2024-05-08,810.0,810.0,810.0,810.0,0
2024-05-13,810.0,810.0,810.0,810.0,0
2024-05-14,810.0,810.0,810.0,810.0,0
2024-05-15,810.0,810.0,810.0,810.0,0
2024-05-16,810.0,810.0,810.0,810.0,0
2024-05-17,810.0,810.0,810.0,810.0,0
2024-05-20,810.0,810.0,810.0,810.0,0
2024-05-21,810.0,810.0,810.0,810.0,0
2024-05-22,810.0,810.0,810.0,810.0,0
2024-05-27,810.0,810.0,810.0,810.0,0
2024-05-28,810.0,810.0,810.0,810.0,0
2024-05-29,810.0,810.0,810.0,810.0,0
2024-05-30,810.0,810.0,810.0,810.0,0
2024-05-31,810.0,810.0,810.0,810.0,0
2024-06-03,810.0,810.0,810.0,810.0,0
2024-06-04,810.0,810.0,810.0,810.0,0
2024-06-05,810.0,810.0,810.0,810.0,0
2024-06-06,810.0,810.0,810.0,810.0,0
2024-06-07,810.0,810.0,810.0,810.0,0
2024-06-10,810.0,810.0,810.0,810.0,0
2024-06-11,810.0,810.0,810.0,810.0,0
2024-06-12,810.0,810.0,810.0,810.0,0
2024-06-13,810.0,810.0,810.0,810.0,0
2024-06-14,810.0,810.0,810.0,810.0,0
2024-06-19,810.0,810.0,810.0,810.0,0
