date,open,high,low,close,volume
2024-04-16,280.0,280.0,260.0,260.0,7100
2024-04-17,262.0,274.0,258.0,258.0,3300
2024-04-18,260.0,274.0,258.0,260.0,1200
2024-04-19,262.0,268.0,252.0,268.0,14000
2024-04-22,268.0,268.0,256.0,268.0,2800
2024-04-23,268.0,312.0,264.0,274.0,5400
2024-04-24,290.0,290.0,256.0,266.0,4900
2024-04-25,266.0,270.0,254.0,270.0,2100
2024-04-26,270.0,314.0,254.0,256.0,137300
2024-04-29,258.0,294.0,258.0,274.0,13700
2024-04-30,276.0,276.0,258.0,272.0,22300
2024-05-02,294.0,294.0,278.0,278.0,800
2024-05-03,294.0,294.0,260.0,276.0,4800
2024-05-06,274.0,286.0,254.0,264.0,2400
2024-05-07,270.0,294.0,270.0,274.0,4100
2024-05-08,274.0,292.0,262.0,274.0,3900
2024-05-13,262.0,268.0,262.0,268.0,1400
2024-05-14,268.0,268.0,268.0,268.0,100
2024-05-15,268.0,294.0,264.0,276.0,1900
2024-05-16,292.0,292.0,262.0,272.0,1400
2024-05-17,272.0,300.0,270.0,282.0,76800
2024-05-20,282.0,282.0,268.0,276.0,1500
2024-05-21,272.0,286.0,270.0,282.0,1300
2024-05-22,272.0,274.0,260.0,260.0,1500
2024-05-27,260.0,288.0,260.0,272.0,17900
2024-05-28,264.0,296.0,264.0,270.0,15700
2024-05-29,270.0,288.0,266.0,266.0,4000
2024-05-30,266.0,284.0,262.0,262.0,14800
2024-05-31,262.0,262.0,262.0,262.0,0
2024-06-03,264.0,272.0,258.0,258.0,12400
2024-06-04,266.0,288.0,260.0,288.0,17600
2024-06-05,272.0,288.0,272.0,288.0,20800
2024-06-06,290.0,290.0,276.0,286.0,2300
2024-06-07,276.0,298.0,264.0,274.0,13500
2024-06-10,274.0,280.0,254.0,272.0,16000
2024-06-11,266.0,286.0,266.0,286.0,20400
2024-06-12,288.0,288.0,258.0,274.0,10200
2024-06-13,274.0,278.0,260.0,278.0,3400
2024-06-14,272.0,290.0,270.0,290.0,20100
2024-06-19,286.0,294.0,282.0,282.0,36100
2024-06-20,276.0,284.0,266.0,266.0,3100
2024-06-21,268.0,284.0,266.0,266.0,1500
2024-06-24,268.0,290.0,268.0,268.0,16900
2024-06-25,290.0,298.0,268.0,284.0,15200
2024-06-26,282.0,282.0,274.0,280.0,9400
2024-06-27,280.0,302.0,270.0,280.0,2600
2024-06-28,270.0,288.0,268.0,288.0,51500
2024-07-01,268.0,298.0,268.0,274.0,57600
2024-07-02,274.0,274.0,274.0,274.0,200
2024-07-03,286.0,286.0,270.0,284.0,8400
2024-07-04,286.0,286.0,272.0,286.0,600
2024-07-05,280.0,300.0,280.0,298.0,41600
2024-07-08,296.0,296.0,268.0,274.0,20200
2024-07-09,280.0,292.0,272.0,276.0,1400
2024-07-10,290.0,290.0,268.0,274.0,1100
2024-07-11,276.0,288.0,270.0,288.0,29600
2024-07-12,278.0,280.0,278.0,280.0,302700
2024-07-15,288.0,288.0,280.0,280.0,28200
2024-07-16,288.0,288.0,280.0,280.0,200
2024-07-17,288.0,288.0,278.0,278.0,600
2024-07-18,288.0,288.0,278.0,278.0,600
2024-07-19,270.0,278.0,270.0,278.0,200
2024-07-22,288.0,288.0,278.0,280.0,26200
2024-07-23,288.0,288.0,262.0,280.0,30000
2024-07-24,278.0,288.0,268.0,278.0,13400
2024-07-25,276.0,282.0,262.0,280.0,76500
2024-07-26,280.0,280.0,280.0,280.0,0
2024-07-29,268.0,280.0,268.0,276.0,4000
2024-07-30,276.0,276.0,276.0,276.0,0
2024-07-31,288.0,288.0,280.0,280.0,200
2024-08-01,278.0,278.0,270.0,276.0,700
2024-08-02,276.0,290.0,272.0,272.0,41500
2024-08-05,266.0,266.0,266.0,266.0,100
2024-08-06,266.0,266.0,266.0,266.0,0
2024-08-07,266.0,266.0,266.0,266.0,0
2024-08-08,266.0,266.0,266.0,266.0,0
2024-08-09,268.0,268.0,268.0,268.0,100
2024-08-12,276.0,280.0,268.0,268.0,900
2024-08-13,268.0,280.0,264.0,280.0,11000
2024-08-14,270.0,278.0,270.0,278.0,600
2024-08-15,280.0,280.0,280.0,280.0,100
2024-08-16,278.0,288.0,272.0,272.0,65700
2024-08-19,278.0,278.0,272.0,278.0,35100
2024-08-20,278.0,278.0,274.0,274.0,35200
2024-08-21,276.0,276.0,276.0,276.0,300
2024-08-22,278.0,278.0,274.0,274.0,30800
2024-08-23,274.0,274.0,274.0,274.0,0
2024-08-26,280.0,280.0,278.0,278.0,4400
2024-08-27,272.0,272.0,272.0,272.0,300
2024-08-28,272.0,272.0,272.0,272.0,100
2024-08-29,272.0,278.0,268.0,272.0,102800
2024-08-30,274.0,274.0,274.0,274.0,100
2024-09-02,274.0,274.0,268.0,274.0,600
2024-09-03,274.0,274.0,274.0,274.0,0
2024-09-04,274.0,276.0,274.0,276.0,1100
2024-09-05,274.0,276.0,270.0,276.0,1300
2024-09-06,270.0,340.0,270.0,326.0,939400
2024-09-09,328.0,332.0,260.0,266.0,900300
2024-09-10,270.0,290.0,266.0,268.0,324100
2024-09-11,264.0,278.0,262.0,266.0,147000
2024-09-12,272.0,272.0,258.0,264.0,174700
2024-09-13,268.0,268.0,252.0,256.0,15500
2024-09-17,266.0,266.0,250.0,262.0,94500
2024-09-18,268.0,268.0,254.0,260.0,17600
2024-09-19,262.0,262.0,256.0,260.0,33200
2024-09-20,262.0,262.0,232.0,256.0,64400
2024-09-23,260.0,298.0,254.0,266.0,896700
2024-09-24,268.0,278.0,260.0,270.0,58000
2024-09-25,270.0,272.0,258.0,258.0,25100
2024-09-26,258.0,264.0,256.0,256.0,3600
2024-09-27,262.0,270.0,256.0,270.0,15500
2024-09-30,262.0,262.0,258.0,262.0,16400
2024-10-01,264.0,270.0,262.0,270.0,15700
2024-10-02,268.0,270.0,260.0,266.0,14500
2024-10-03,266.0,266.0,240.0,256.0,150000
2024-10-04,256.0,256.0,242.0,246.0,46300
2024-10-07,260.0,260.0,246.0,254.0,84100
2024-10-08,258.0,258.0,246.0,254.0,4600
2024-10-09,258.0,258.0,248.0,256.0,1100
2024-10-10,248.0,256.0,246.0,250.0,5000
2024-10-11,252.0,256.0,252.0,254.0,4900
2024-10-14,254.0,258.0,254.0,256.0,6100
2024-10-15,256.0,272.0,256.0,270.0,13300
2024-10-16,270.0,286.0,248.0,262.0,902900
2024-10-17,264.0,288.0,262.0,262.0,234200
2024-10-18,262.0,262.0,258.0,258.0,8600
2024-10-21,258.0,260.0,254.0,254.0,14700
2024-10-22,252.0,286.0,252.0,262.0,228100
2024-10-23,268.0,272.0,262.0,262.0,19100
2024-10-24,262.0,264.0,258.0,258.0,21600
2024-10-25,258.0,258.0,258.0,258.0,4500
2024-10-28,258.0,268.0,256.0,268.0,20800
2024-10-29,272.0,272.0,260.0,268.0,12200
2024-10-30,264.0,268.0,264.0,268.0,2700
2024-10-31,268.0,268.0,268.0,268.0,3100
2024-11-01,268.0,268.0,262.0,268.0,800
2024-11-04,268.0,268.0,262.0,266.0,2700
2024-11-05,264.0,270.0,258.0,268.0,42000
2024-11-06,264.0,266.0,260.0,260.0,20700
2024-11-07,266.0,266.0,260.0,260.0,1000
2024-11-08,266.0,298.0,244.0,244.0,207200
2024-11-11,258.0,264.0,238.0,244.0,38100
2024-11-12,248.0,254.0,240.0,244.0,28900
2024-11-13,244.0,244.0,234.0,238.0,30700
2024-11-14,238.0,238.0,232.0,236.0,19900
2024-11-15,236.0,278.0,218.0,224.0,410800
2024-11-18,230.0,230.0,220.0,226.0,20100
2024-11-19,226.0,240.0,226.0,228.0,60700
2024-11-20,230.0,242.0,226.0,238.0,21600
2024-11-21,236.0,238.0,228.0,238.0,17400
2024-11-22,234.0,236.0,226.0,236.0,40800
2024-11-25,232.0,232.0,228.0,230.0,32500
2024-11-26,226.0,234.0,226.0,234.0,10600
2024-11-28,234.0,234.0,226.0,226.0,6100
2024-11-29,226.0,262.0,224.0,232.0,173300
2024-12-02,234.0,234.0,226.0,234.0,30500
2024-12-03,234.0,234.0,234.0,234.0,0
2024-12-04,232.0,234.0,228.0,234.0,17600
2024-12-05,234.0,236.0,234.0,236.0,11700
2024-12-06,234.0,256.0,234.0,238.0,147000
2024-12-09,238.0,254.0,238.0,242.0,13200
2024-12-10,242.0,250.0,242.0,248.0,55400
2024-12-11,248.0,254.0,230.0,232.0,94000
2024-12-12,232.0,290.0,218.0,218.0,9369300
2024-12-13,220.0,230.0,186.0,186.0,2573700
2024-12-16,200.0,242.0,190.0,191.0,6767100
2024-12-17,192.0,199.0,183.0,187.0,474500
2024-12-18,187.0,187.0,180.0,184.0,291300
2024-12-19,185.0,185.0,170.0,175.0,212800
2024-12-20,175.0,183.0,170.0,170.0,95300
2024-12-23,174.0,174.0,162.0,162.0,118100
2024-12-24,168.0,189.0,160.0,167.0,586200
2024-12-27,163.0,169.0,160.0,166.0,60800
2024-12-30,166.0,166.0,160.0,162.0,93300
2025-01-02,163.0,163.0,158.0,160.0,155700
2025-01-03,162.0,163.0,156.0,162.0,118200
2025-01-06,162.0,180.0,161.0,167.0,464000
2025-01-07,165.0,167.0,161.0,163.0,85700
2025-01-08,163.0,163.0,160.0,163.0,45000
2025-01-09,163.0,166.0,161.0,165.0,37400
2025-01-10,167.0,167.0,164.0,166.0,16400
2025-01-13,166.0,166.0,163.0,163.0,19500
2025-01-14,162.0,166.0,160.0,165.0,104200
2025-01-15,166.0,166.0,141.0,158.0,345300
2025-01-16,160.0,165.0,160.0,162.0,13900
2025-01-17,165.0,166.0,160.0,165.0,170600
2025-01-20,165.0,165.0,161.0,164.0,25500
2025-01-21,164.0,170.0,164.0,164.0,31100
2025-01-22,163.0,166.0,160.0,163.0,103300
2025-01-23,160.0,194.0,159.0,160.0,615000
2025-01-24,160.0,163.0,158.0,162.0,63900
2025-01-30,162.0,163.0,158.0,160.0,80200
2025-01-31,160.0,160.0,158.0,160.0,60100
2025-02-03,158.0,159.0,157.0,159.0,48000
2025-02-04,159.0,160.0,156.0,158.0,48800
2025-02-05,162.0,162.0,157.0,159.0,74100
2025-02-06,159.0,161.0,157.0,158.0,26900
2025-02-07,160.0,160.0,156.0,157.0,47400
2025-02-10,159.0,159.0,154.0,156.0,69300
2025-02-11,156.0,156.0,150.0,152.0,53400
2025-02-12,152.0,161.0,152.0,155.0,21900
2025-02-13,160.0,165.0,159.0,162.0,108300
2025-02-14,162.0,162.0,145.0,161.0,4600
2025-02-17,159.0,167.0,157.0,160.0,25100
2025-02-18,160.0,160.0,154.0,160.0,12600
2025-02-19,165.0,165.0,157.0,162.0,53600
2025-02-20,162.0,167.0,158.0,164.0,17400
2025-02-21,164.0,167.0,164.0,165.0,2300
2025-02-24,157.0,163.0,156.0,159.0,39100
2025-02-25,164.0,167.0,150.0,159.0,87700
2025-02-26,151.0,167.0,151.0,160.0,18100
2025-02-27,160.0,164.0,150.0,164.0,151700
2025-02-28,164.0,164.0,162.0,163.0,5000
2025-03-03,160.0,163.0,151.0,157.0,97600
2025-03-04,157.0,165.0,156.0,163.0,62900
2025-03-05,163.0,163.0,154.0,160.0,48100
2025-03-06,160.0,160.0,160.0,160.0,62200
2025-03-07,163.0,165.0,155.0,165.0,47300
2025-03-10,160.0,165.0,150.0,165.0,56600
2025-03-11,164.0,165.0,163.0,164.0,23400
2025-03-12,156.0,162.0,156.0,162.0,7500
2025-03-13,155.0,165.0,155.0,161.0,400
2025-03-14,156.0,160.0,156.0,160.0,7300
2025-03-17,160.0,160.0,135.0,155.0,43300
2025-03-18,147.0,157.0,147.0,147.0,15000
2025-03-19,153.0,153.0,142.0,152.0,11100
2025-03-20,152.0,159.0,143.0,149.0,13900
2025-03-21,149.0,149.0,142.0,142.0,3000
2025-03-24,142.0,145.0,140.0,145.0,15100
