date,open,high,low,close,volume
2024-04-16,6000.0,6100.0,6000.0,6050.0,153800
2024-04-17,6050.0,6100.0,6050.0,6050.0,91300
2024-04-18,6050.0,6125.0,6050.0,6100.0,36700
2024-04-19,6100.0,6125.0,6050.0,6100.0,287400
2024-04-22,6100.0,6175.0,6075.0,6100.0,80100
2024-04-23,6150.0,6150.0,6075.0,6100.0,51400
2024-04-24,6100.0,6100.0,6075.0,6075.0,53100
2024-04-25,6075.0,6125.0,6075.0,6125.0,75500
2024-04-26,6150.0,6150.0,6075.0,6075.0,194100
2024-04-29,6100.0,6100.0,6075.0,6075.0,111700
2024-04-30,6075.0,6100.0,6075.0,6075.0,94700
2024-05-02,6050.0,6150.0,6050.0,6075.0,144400
2024-05-03,6075.0,6150.0,6075.0,6075.0,37800
2024-05-06,6075.0,6150.0,6075.0,6150.0,105300
2024-05-07,6125.0,6150.0,6100.0,6100.0,39400
2024-05-08,6100.0,6125.0,6075.0,6075.0,249900
2024-05-13,6175.0,6200.0,6075.0,6100.0,85200
2024-05-14,6100.0,6150.0,6100.0,6100.0,21100
2024-05-15,6150.0,6150.0,6100.0,6125.0,175000
2024-05-16,6125.0,6150.0,6125.0,6125.0,58800
2024-05-17,6125.0,6250.0,6100.0,6250.0,220300
2024-05-20,6250.0,6300.0,6175.0,6200.0,292700
2024-05-21,6250.0,6325.0,6200.0,6225.0,287400
2024-05-22,6325.0,6325.0,6200.0,6275.0,281400
2024-05-27,6275.0,6275.0,6175.0,6250.0,217400
2024-05-28,6250.0,6250.0,6150.0,6175.0,397400
2024-05-29,6025.0,6025.0,5950.0,6000.0,171600
2024-05-30,6025.0,6150.0,6025.0,6075.0,81400
2024-05-31,6075.0,6300.0,6075.0,6250.0,381200
2024-06-03,6300.0,6750.0,6300.0,6750.0,1000000
2024-06-04,6800.0,6925.0,6750.0,6850.0,1005400
2024-06-05,6850.0,7025.0,6850.0,7000.0,764200
2024-06-06,7000.0,7050.0,6950.0,7000.0,581800
2024-06-07,6950.0,7000.0,6925.0,6950.0,393200
2024-06-10,6975.0,6975.0,6875.0,6950.0,751300
2024-06-11,6575.0,6625.0,6200.0,6500.0,505300
2024-06-12,6500.0,6500.0,6375.0,6475.0,208200
2024-06-13,6475.0,6650.0,6350.0,6600.0,337500
2024-06-14,6600.0,6900.0,6600.0,6675.0,279400
2024-06-19,6675.0,6800.0,6600.0,6650.0,182200
2024-06-20,6650.0,6850.0,6650.0,6825.0,274800
2024-06-21,6825.0,6875.0,6725.0,6850.0,206900
2024-06-24,6775.0,6950.0,6775.0,6950.0,279700
2024-06-25,6950.0,6950.0,6825.0,6850.0,216900
2024-06-26,6850.0,6875.0,6800.0,6800.0,81900
2024-06-27,6800.0,6925.0,6800.0,6900.0,168400
2024-06-28,6900.0,6950.0,6875.0,6900.0,143500
2024-07-01,6900.0,6950.0,6850.0,6950.0,147000
2024-07-02,6950.0,7025.0,6875.0,6975.0,439500
2024-07-03,6975.0,7050.0,6900.0,7025.0,484400
2024-07-04,7000.0,7275.0,6975.0,7125.0,490200
2024-07-05,7150.0,7325.0,7050.0,7275.0,296800
2024-07-08,7275.0,7700.0,7275.0,7650.0,884200
2024-07-09,7650.0,7725.0,7300.0,7425.0,643600
2024-07-10,7425.0,7500.0,7325.0,7425.0,188000
2024-07-11,7425.0,7475.0,7375.0,7450.0,216800
2024-07-12,7450.0,7475.0,7375.0,7400.0,67100
2024-07-15,7400.0,7400.0,7300.0,7300.0,100100
2024-07-16,7300.0,7450.0,7300.0,7450.0,126800
2024-07-17,7450.0,7575.0,7400.0,7575.0,307300
2024-07-18,7575.0,8275.0,7550.0,8100.0,1556800
2024-07-19,8100.0,8600.0,8075.0,8475.0,754100
2024-07-22,8475.0,10150.0,8475.0,10150.0,3633500
2024-07-23,11200.0,11575.0,9275.0,9500.0,6123600
2024-07-24,9500.0,9875.0,8825.0,9250.0,1946100
2024-07-25,9250.0,9675.0,8875.0,9000.0,1042800
2024-07-26,9050.0,9750.0,8800.0,9600.0,1594600
2024-07-29,9725.0,9850.0,9350.0,9400.0,950600
2024-07-30,9400.0,9600.0,9325.0,9375.0,321700
2024-07-31,9400.0,9475.0,9150.0,9275.0,436300
2024-08-01,9275.0,9500.0,9000.0,9450.0,542400
2024-08-02,9450.0,9650.0,9400.0,9525.0,397600
2024-08-05,9525.0,9525.0,8650.0,9025.0,760600
2024-08-06,9025.0,9275.0,9000.0,9150.0,219800
2024-08-07,9150.0,9250.0,9075.0,9150.0,197800
2024-08-08,9150.0,9150.0,9000.0,9000.0,188000
2024-08-09,9050.0,9075.0,8925.0,9025.0,185000
2024-08-12,9025.0,9475.0,8925.0,9350.0,441400
2024-08-13,9350.0,9950.0,9225.0,9400.0,1202600
2024-08-14,9400.0,9575.0,9300.0,9325.0,219300
2024-08-15,9325.0,9350.0,9150.0,9175.0,179100
2024-08-16,9175.0,9300.0,9050.0,9225.0,304300
2024-08-19,9275.0,9425.0,9225.0,9275.0,267800
2024-08-20,9250.0,9350.0,9225.0,9225.0,151800
2024-08-21,9200.0,9300.0,9200.0,9225.0,115100
2024-08-22,9000.0,9300.0,8975.0,9050.0,493800
2024-08-23,9075.0,9775.0,9050.0,9675.0,1253900
2024-08-26,9800.0,10900.0,9750.0,10900.0,3320300
2024-08-27,10925.0,13075.0,10925.0,13075.0,6014400
2024-08-28,13425.0,15675.0,13425.0,15675.0,8134400
2024-08-29,16000.0,18800.0,13000.0,15450.0,13707700
2024-08-30,15450.0,17000.0,13500.0,14000.0,5032900
2024-09-02,14000.0,15225.0,13725.0,14000.0,1853400
2024-09-03,13950.0,14025.0,12750.0,13500.0,890800
2024-09-04,13500.0,15025.0,13275.0,14725.0,2267800
2024-09-05,14775.0,15175.0,14200.0,14325.0,1099400
2024-09-06,14375.0,14700.0,14000.0,14200.0,460400
2024-09-09,14350.0,14350.0,13750.0,13750.0,376600
2024-09-10,13800.0,14425.0,13800.0,14150.0,495000
2024-09-11,14150.0,14275.0,13950.0,14150.0,224600
2024-09-12,14150.0,14300.0,13825.0,13850.0,380400
2024-09-13,13850.0,14025.0,13350.0,13375.0,484200
2024-09-17,13350.0,13375.0,12600.0,12975.0,976400
2024-09-18,12975.0,13975.0,12900.0,13700.0,853800
2024-09-19,13700.0,13850.0,13300.0,13800.0,405400
2024-09-20,13800.0,13800.0,13125.0,13150.0,541700
2024-09-23,13150.0,13575.0,12650.0,13550.0,559000
2024-09-24,13550.0,13575.0,13250.0,13350.0,246200
2024-09-25,13350.0,13550.0,13000.0,13150.0,429600
2024-09-26,13150.0,13400.0,13000.0,13250.0,246000
2024-09-27,13250.0,13675.0,13150.0,13600.0,321800
2024-09-30,13600.0,13800.0,13000.0,13025.0,417500
2024-10-01,13025.0,13100.0,12800.0,12925.0,376700
2024-10-02,12875.0,12900.0,12600.0,12675.0,386600
2024-10-03,12450.0,12675.0,12000.0,12200.0,327100
2024-10-04,12200.0,12925.0,12150.0,12150.0,341700
2024-10-07,12350.0,12550.0,12175.0,12175.0,147300
2024-10-08,12200.0,12225.0,11600.0,11625.0,620400
2024-10-09,11625.0,11825.0,11250.0,11300.0,525100
2024-10-10,11275.0,11400.0,11000.0,11050.0,326200
2024-10-11,11050.0,11350.0,11025.0,11125.0,321800
2024-10-14,11125.0,11525.0,11025.0,11375.0,371200
2024-10-15,11375.0,11425.0,11150.0,11300.0,233900
2024-10-16,11300.0,11300.0,10925.0,11100.0,267900
2024-10-17,11100.0,11850.0,11050.0,11500.0,679600
