date,open,high,low,close,volume
2024-04-16,19875.0,19875.0,19575.0,19850.0,2340900
2024-04-17,19825.0,19825.0,19600.0,19600.0,636900
2024-04-18,19575.0,19700.0,19500.0,19600.0,553500
2024-04-19,19600.0,19700.0,19500.0,19550.0,1291700
2024-04-22,19575.0,19725.0,19550.0,19675.0,581800
2024-04-23,19725.0,19725.0,19550.0,19575.0,368400
2024-04-24,19575.0,19675.0,19525.0,19525.0,606500
2024-04-25,19550.0,19600.0,19150.0,19150.0,1221400
2024-04-26,19200.0,19200.0,18775.0,19100.0,1186500
2024-04-29,19175.0,19175.0,19025.0,19100.0,683000
2024-04-30,19100.0,19250.0,18075.0,18225.0,3889000
2024-05-02,18200.0,18425.0,17875.0,17900.0,2024000
2024-05-03,17950.0,18000.0,17875.0,17925.0,445700
2024-05-06,17925.0,18075.0,17925.0,17950.0,500000
2024-05-07,18000.0,18050.0,17900.0,17900.0,355600
2024-05-08,17900.0,18000.0,17875.0,17875.0,785400
2024-05-13,17900.0,18100.0,17900.0,18075.0,757100
2024-05-14,18100.0,18525.0,18050.0,18375.0,854000
2024-05-15,18550.0,19175.0,18500.0,18700.0,1317800
2024-05-16,18700.0,19350.0,18700.0,19325.0,1522700
2024-05-17,19325.0,19450.0,19225.0,19350.0,608800
2024-05-20,19350.0,19675.0,19200.0,19375.0,782300
2024-05-21,19450.0,19450.0,18850.0,19050.0,1173300
2024-05-22,19000.0,19350.0,18925.0,19100.0,647700
2024-05-27,19100.0,19325.0,18900.0,19125.0,733200
2024-05-28,19200.0,19375.0,19050.0,19300.0,1017300
2024-05-29,19300.0,19300.0,19075.0,19125.0,855600
2024-05-30,19125.0,19200.0,19000.0,19000.0,1207600
2024-05-31,19250.0,19850.0,18700.0,18700.0,7303100
2024-06-03,18900.0,18975.0,18325.0,18325.0,1284100
2024-06-04,18400.0,18625.0,18300.0,18450.0,693000
2024-06-05,18450.0,18450.0,18200.0,18225.0,487400
2024-06-06,18350.0,18350.0,18200.0,18300.0,516400
2024-06-07,18300.0,18850.0,18200.0,18850.0,1133400
2024-06-10,18750.0,18750.0,18550.0,18600.0,318000
2024-06-11,18500.0,18800.0,18450.0,18800.0,807700
2024-06-12,18800.0,18800.0,18250.0,18375.0,424900
2024-06-13,18400.0,18525.0,18275.0,18275.0,191400
2024-06-14,18325.0,18425.0,18200.0,18200.0,249600
2024-06-19,18200.0,18300.0,18000.0,18175.0,314500
2024-06-20,18175.0,18175.0,17800.0,17950.0,730300
2024-06-21,18000.0,18350.0,17975.0,18350.0,655300
2024-06-24,18425.0,18575.0,18250.0,18300.0,364900
2024-06-25,18300.0,18375.0,18250.0,18250.0,262000
2024-06-26,18300.0,18350.0,18200.0,18275.0,282700
2024-06-27,18300.0,18550.0,18225.0,18550.0,737400
2024-06-28,18600.0,18875.0,18000.0,18100.0,4515100
2024-07-01,18000.0,18000.0,17400.0,17500.0,3093500
2024-07-02,17500.0,17650.0,17400.0,17400.0,1263800
2024-07-03,17425.0,17500.0,17350.0,17350.0,634700
2024-07-04,17425.0,17475.0,17125.0,17200.0,1295300
2024-07-05,17200.0,17325.0,17125.0,17150.0,821600
2024-07-08,17325.0,17325.0,17125.0,17300.0,857600
2024-07-09,17300.0,17475.0,17300.0,17375.0,1453600
2024-07-10,17375.0,17475.0,17300.0,17300.0,402800
2024-07-11,17350.0,17400.0,17200.0,17225.0,299400
2024-07-12,17225.0,17275.0,17050.0,17075.0,748800
2024-07-15,17050.0,17100.0,16950.0,16975.0,821400
2024-07-16,17050.0,17050.0,16950.0,16950.0,542300
2024-07-17,17000.0,17000.0,16900.0,16950.0,366200
2024-07-18,16950.0,17075.0,16900.0,16900.0,502400
2024-07-19,16925.0,17000.0,16925.0,16925.0,282100
2024-07-22,16925.0,17350.0,16925.0,17125.0,1215000
2024-07-23,17125.0,17275.0,17025.0,17025.0,386500
2024-07-24,17025.0,17025.0,16800.0,16800.0,1246300
2024-07-25,16800.0,16800.0,16600.0,16625.0,911300
2024-07-26,16600.0,16625.0,16525.0,16600.0,468200
2024-07-29,16600.0,16600.0,16525.0,16550.0,590900
2024-07-30,16550.0,16600.0,16100.0,16200.0,1607800
2024-07-31,16100.0,16200.0,15575.0,15750.0,3092400
2024-08-01,15700.0,15700.0,15400.0,15400.0,1669800
2024-08-02,15400.0,15775.0,15250.0,15550.0,1138300
2024-08-05,15475.0,15525.0,15000.0,15025.0,1420300
2024-08-06,15050.0,15175.0,14750.0,14800.0,1574400
2024-08-07,14750.0,14975.0,14750.0,14800.0,547300
2024-08-08,14800.0,14800.0,14500.0,14500.0,1003100
2024-08-09,14500.0,14800.0,14475.0,14575.0,647700
2024-08-12,14575.0,14900.0,14575.0,14800.0,531400
2024-08-13,14925.0,15050.0,14825.0,14975.0,542500
2024-08-14,15025.0,15050.0,14825.0,14825.0,500700
2024-08-15,14800.0,14950.0,14800.0,14850.0,237400
2024-08-16,15000.0,15025.0,14850.0,14975.0,557000
2024-08-19,14975.0,16200.0,14975.0,16200.0,1783800
2024-08-20,16700.0,17000.0,16500.0,16600.0,2994200
2024-08-21,16600.0,16600.0,16225.0,16300.0,1023200
2024-08-22,16300.0,16850.0,16150.0,16250.0,1049400
2024-08-23,16275.0,16475.0,16200.0,16225.0,371000
2024-08-26,16225.0,16375.0,15775.0,15900.0,1383900
2024-08-27,16025.0,16250.0,15875.0,15875.0,776800
2024-08-28,16000.0,16025.0,15800.0,15875.0,460300
2024-08-29,16050.0,16050.0,15625.0,15675.0,744900
2024-08-30,15700.0,16375.0,15525.0,16375.0,1429900
2024-09-02,16200.0,16200.0,15950.0,16125.0,630200
2024-09-03,16125.0,16125.0,16000.0,16050.0,235300
2024-09-04,15850.0,16150.0,15850.0,16050.0,258100
2024-09-05,16050.0,16050.0,15900.0,16025.0,181800
2024-09-06,15950.0,16175.0,15950.0,16025.0,384000
2024-09-09,16150.0,16175.0,15925.0,16075.0,299100
2024-09-10,16100.0,16125.0,16000.0,16075.0,185900
2024-09-11,16075.0,16225.0,16025.0,16050.0,637700
2024-09-12,16050.0,16150.0,16000.0,16000.0,323500
2024-09-13,16000.0,16200.0,15950.0,16000.0,299500
2024-09-17,16000.0,16025.0,15925.0,15950.0,260300
2024-09-18,15975.0,16025.0,15925.0,16000.0,232300
2024-09-19,16000.0,16025.0,15900.0,15900.0,339600
2024-09-20,15900.0,15950.0,15500.0,15500.0,1359400
2024-09-23,15600.0,15775.0,15575.0,15625.0,643100
2024-09-24,16550.0,17200.0,16325.0,16550.0,4007500
2024-09-25,16600.0,16675.0,16050.0,16075.0,1124000
2024-09-26,16250.0,16300.0,16000.0,16150.0,896100
2024-09-27,16275.0,16275.0,15950.0,16125.0,673100
2024-09-30,16125.0,16150.0,15825.0,15900.0,532500
2024-10-01,15900.0,16200.0,15800.0,16100.0,714700
2024-10-02,16100.0,16200.0,15925.0,16075.0,628200
2024-10-03,16075.0,16075.0,15875.0,15925.0,283700
2024-10-04,15925.0,15925.0,15825.0,15850.0,320000
2024-10-07,15850.0,16125.0,15825.0,16000.0,311500
2024-10-08,16000.0,16100.0,15925.0,15975.0,278800
2024-10-09,15975.0,16025.0,15900.0,15900.0,150700
2024-10-10,15900.0,16000.0,15650.0,15650.0,1741500
2024-10-11,15700.0,15775.0,15650.0,15700.0,389300
2024-10-14,15700.0,15850.0,15650.0,15700.0,297400
2024-10-15,15650.0,15900.0,15650.0,15750.0,231600
2024-10-16,15750.0,15900.0,15550.0,15550.0,1236200
2024-10-17,15600.0,15750.0,15600.0,15650.0,275400
2024-10-18,15675.0,15725.0,15600.0,15625.0,312100
2024-10-21,15600.0,15750.0,15600.0,15600.0,238100
2024-10-22,15600.0,15675.0,15500.0,15500.0,607600
2024-10-23,15500.0,15625.0,15500.0,15500.0,565700
2024-10-24,15500.0,15600.0,15375.0,15375.0,464800
2024-10-25,15400.0,15400.0,15150.0,15150.0,511200
2024-10-28,15175.0,15200.0,14900.0,14975.0,588600
2024-10-29,14975.0,15000.0,14875.0,14875.0,559400
2024-10-30,14875.0,14875.0,14225.0,14250.0,1507300
2024-10-31,14100.0,14200.0,14025.0,14075.0,1394600
2024-11-01,14075.0,14150.0,13700.0,13700.0,1126200
2024-11-04,13700.0,13750.0,13250.0,13250.0,1094300
