date,open,high,low,close,volume
2024-04-16,63.0,65.0,63.0,65.0,26731400
2024-04-17,67.0,67.0,65.0,65.0,33140200
2024-04-18,65.0,65.0,65.0,65.0,15215300
2024-04-19,65.0,65.0,63.0,63.0,15845600
2024-04-22,63.0,63.0,62.0,62.0,17234000
2024-04-23,62.0,62.0,62.0,62.0,8707600
2024-04-24,62.0,62.0,60.0,60.0,4547600
2024-04-25,60.0,60.0,60.0,60.0,7839700
2024-04-26,60.0,60.0,60.0,60.0,8946700
2024-04-29,60.0,61.0,60.0,61.0,6079900
2024-04-30,61.0,62.0,61.0,62.0,5726100
2024-05-02,62.0,62.0,62.0,62.0,15887700
2024-05-03,62.0,62.0,60.0,60.0,7261100
2024-05-06,59.0,60.0,59.0,60.0,8831100
2024-05-07,60.0,60.0,60.0,60.0,2850100
2024-05-08,60.0,60.0,59.0,60.0,3367200
2024-05-13,59.0,60.0,59.0,60.0,9771300
2024-05-14,59.0,59.0,58.0,58.0,17020300
2024-05-15,58.0,59.0,58.0,59.0,5104200
2024-05-16,59.0,60.0,59.0,60.0,5844200
2024-05-17,60.0,60.0,60.0,60.0,3016300
2024-05-20,59.0,59.0,59.0,59.0,5784700
2024-05-21,59.0,60.0,59.0,60.0,7817600
2024-05-22,60.0,60.0,59.0,59.0,5337200
2024-05-27,59.0,59.0,59.0,59.0,12183300
2024-05-28,59.0,59.0,59.0,59.0,27613500
2024-05-29,58.0,58.0,58.0,58.0,13680000
2024-05-30,58.0,58.0,56.0,56.0,24919000
2024-05-31,56.0,56.0,56.0,56.0,20312000
2024-06-03,56.0,56.0,54.0,54.0,18454700
2024-06-04,54.0,54.0,54.0,54.0,23992100
2024-06-05,54.0,54.0,54.0,54.0,15832000
2024-06-06,54.0,54.0,53.0,53.0,10247600
2024-06-07,53.0,53.0,53.0,53.0,8611400
2024-06-10,48.0,50.0,48.0,50.0,54257800
2024-06-11,50.0,51.0,50.0,51.0,6979600
2024-06-12,51.0,51.0,51.0,51.0,10126800
2024-06-13,50.0,50.0,50.0,50.0,18675100
2024-06-14,50.0,50.0,50.0,50.0,17483900
2024-06-19,50.0,51.0,50.0,51.0,21878600
2024-06-20,51.0,52.0,51.0,52.0,18263200
2024-06-21,52.0,52.0,52.0,52.0,9701400
2024-06-24,51.0,52.0,51.0,52.0,4784600
2024-06-25,52.0,52.0,52.0,52.0,3244000
2024-06-26,51.0,51.0,50.0,50.0,11503600
2024-06-27,50.0,51.0,50.0,51.0,10865700
2024-06-28,50.0,50.0,50.0,50.0,36255900
2024-07-01,50.0,51.0,50.0,51.0,4393200
2024-07-02,51.0,51.0,51.0,51.0,5173600
2024-07-03,51.0,51.0,50.0,50.0,17915500
2024-07-04,50.0,50.0,50.0,50.0,32523300
2024-07-05,50.0,50.0,50.0,50.0,10464800
2024-07-08,50.0,50.0,50.0,50.0,24741100
2024-07-09,50.0,50.0,50.0,50.0,22449200
2024-07-10,50.0,50.0,50.0,50.0,22818400
2024-07-11,50.0,51.0,50.0,51.0,32625300
2024-07-12,51.0,52.0,51.0,52.0,23631000
2024-07-15,52.0,52.0,52.0,52.0,23996800
2024-07-16,52.0,52.0,51.0,51.0,16438700
2024-07-17,52.0,52.0,51.0,51.0,18449500
2024-07-18,52.0,52.0,52.0,52.0,4065400
2024-07-19,52.0,54.0,52.0,54.0,8652200
2024-07-22,56.0,59.0,56.0,59.0,36114000
2024-07-23,64.0,64.0,64.0,64.0,103309100
2024-07-24,64.0,64.0,60.0,60.0,39176300
2024-07-25,60.0,62.0,60.0,62.0,9160500
2024-07-26,62.0,62.0,62.0,62.0,9058000
2024-07-29,62.0,62.0,61.0,61.0,11754500
2024-07-30,60.0,61.0,60.0,61.0,8724000
2024-07-31,60.0,61.0,60.0,60.0,9933800
2024-08-01,60.0,61.0,60.0,61.0,6595300
2024-08-02,61.0,61.0,61.0,61.0,4235400
2024-08-05,61.0,61.0,58.0,58.0,12947300
2024-08-06,58.0,58.0,57.0,57.0,11570400
2024-08-07,58.0,59.0,58.0,59.0,6633100
2024-08-08,59.0,61.0,59.0,61.0,8332900
2024-08-09,61.0,61.0,61.0,61.0,5242500
2024-08-12,61.0,61.0,60.0,60.0,8778800
2024-08-13,60.0,61.0,60.0,61.0,5560700
2024-08-14,62.0,62.0,62.0,62.0,16244400
2024-08-15,62.0,63.0,62.0,63.0,9005500
2024-08-16,63.0,63.0,63.0,63.0,14897900
2024-08-19,63.0,63.0,63.0,63.0,9539200
2024-08-20,63.0,63.0,63.0,63.0,9876500
