date,open,high,low,close,volume
2024-04-16,1290.0,1300.0,1190.0,1200.0,57356000
2024-04-17,1200.0,1240.0,1195.0,1205.0,20542000
2024-04-18,1200.0,1215.0,1180.0,1190.0,9416300
2024-04-19,1185.0,1190.0,1110.0,1135.0,28523400
2024-04-22,1160.0,1160.0,1115.0,1145.0,12490300
2024-04-23,1150.0,1170.0,1145.0,1145.0,11104900
2024-04-24,1150.0,1175.0,1130.0,1140.0,11993900
2024-04-25,1140.0,1140.0,1080.0,1080.0,15289400
2024-04-26,1080.0,1095.0,1025.0,1045.0,20591400
2024-04-29,1045.0,1115.0,1020.0,1105.0,18555200
2024-04-30,1105.0,1170.0,1085.0,1165.0,46483200
2024-05-02,1165.0,1235.0,1150.0,1190.0,43932700
2024-05-03,1190.0,1210.0,1170.0,1185.0,11479000
2024-05-06,1185.0,1200.0,1170.0,1185.0,10527700
2024-05-07,1185.0,1190.0,1135.0,1145.0,14130300
2024-05-08,1150.0,1150.0,1115.0,1125.0,11359300
2024-05-13,1125.0,1160.0,1105.0,1145.0,12190500
2024-05-14,1150.0,1150.0,1125.0,1140.0,3622400
2024-05-15,1145.0,1150.0,1130.0,1140.0,6044600
2024-05-16,1140.0,1185.0,1130.0,1175.0,18060400
2024-05-17,1175.0,1215.0,1165.0,1205.0,22658200
2024-05-20,1220.0,1230.0,1180.0,1185.0,20569200
2024-05-21,1195.0,1225.0,1175.0,1180.0,19116700
2024-05-22,1180.0,1185.0,1160.0,1165.0,9336400
2024-05-27,1165.0,1175.0,1135.0,1165.0,9578400
2024-05-28,1170.0,1180.0,1140.0,1140.0,9400100
2024-05-29,1140.0,1155.0,1100.0,1110.0,16597400
2024-05-30,1140.0,1140.0,1050.0,1070.0,15642400
2024-05-31,1070.0,1090.0,1050.0,1055.0,6933900
2024-06-03,1060.0,1105.0,1060.0,1100.0,10522500
2024-06-04,1100.0,1120.0,1065.0,1085.0,11194700
2024-06-05,1080.0,1095.0,1070.0,1070.0,4914400
2024-06-06,1070.0,1090.0,1060.0,1085.0,4737300
2024-06-07,1085.0,1090.0,1070.0,1070.0,2271400
2024-06-10,1085.0,1085.0,1060.0,1075.0,3057400
2024-06-11,1075.0,1090.0,1050.0,1075.0,3351400
2024-06-12,1075.0,1080.0,1050.0,1050.0,7827200
2024-06-13,1050.0,1075.0,1040.0,1060.0,4382400
2024-06-14,1060.0,1065.0,1030.0,1030.0,5792800
2024-06-19,1030.0,1030.0,1000.0,1000.0,8759100
2024-06-20,1010.0,1080.0,1000.0,1065.0,6722100
2024-06-21,1070.0,1100.0,1060.0,1080.0,6949400
2024-06-24,1090.0,1100.0,1075.0,1085.0,3312300
2024-06-25,1085.0,1100.0,1075.0,1080.0,2558400
2024-06-26,1075.0,1135.0,1060.0,1120.0,23151900
2024-06-27,1125.0,1130.0,1090.0,1090.0,13476500
