date,open,high,low,close,volume
2024-04-16,418.0,434.0,404.0,420.0,601100
2024-04-17,420.0,420.0,416.0,420.0,295900
2024-04-18,420.0,422.0,408.0,412.0,268500
2024-04-19,412.0,420.0,408.0,420.0,179900
2024-04-22,416.0,422.0,412.0,422.0,344200
2024-04-23,420.0,422.0,416.0,418.0,264700
2024-04-24,420.0,422.0,416.0,418.0,441400
2024-04-25,418.0,422.0,414.0,414.0,369300
2024-04-26,416.0,430.0,414.0,414.0,752700
2024-04-29,418.0,418.0,412.0,414.0,34800
2024-04-30,414.0,420.0,412.0,414.0,877300
2024-05-02,416.0,420.0,410.0,418.0,371000
2024-05-03,416.0,424.0,416.0,418.0,55000
2024-05-06,420.0,422.0,412.0,418.0,254700
2024-05-07,420.0,422.0,414.0,418.0,246200
2024-05-08,418.0,420.0,414.0,418.0,284700
2024-05-13,418.0,420.0,412.0,420.0,398900
2024-05-14,416.0,416.0,410.0,412.0,227100
2024-05-15,412.0,414.0,408.0,410.0,37100
2024-05-16,410.0,410.0,404.0,410.0,196500
2024-05-17,410.0,410.0,404.0,406.0,365100
2024-05-20,408.0,410.0,404.0,406.0,403000
2024-05-21,406.0,410.0,402.0,404.0,243000
2024-05-22,406.0,410.0,402.0,402.0,280600
2024-05-27,400.0,402.0,350.0,400.0,90300
2024-05-28,402.0,402.0,396.0,400.0,47800
2024-05-29,402.0,402.0,396.0,400.0,22700
2024-05-30,400.0,400.0,396.0,400.0,245600
2024-05-31,400.0,400.0,394.0,400.0,161300
2024-06-03,390.0,402.0,390.0,398.0,97600
2024-06-04,398.0,400.0,394.0,396.0,105800
2024-06-05,396.0,400.0,394.0,400.0,24500
2024-06-06,400.0,400.0,390.0,400.0,175200
2024-06-07,398.0,400.0,392.0,400.0,54900
2024-06-10,400.0,400.0,392.0,400.0,48100
2024-06-11,400.0,400.0,390.0,400.0,24600
2024-06-12,400.0,400.0,390.0,392.0,89400
2024-06-13,394.0,394.0,390.0,392.0,100400
2024-06-14,392.0,392.0,370.0,386.0,59300
2024-06-19,386.0,386.0,376.0,386.0,74800
2024-06-20,386.0,386.0,370.0,380.0,76200
2024-06-21,378.0,378.0,358.0,366.0,172100
2024-06-24,366.0,366.0,354.0,366.0,202100
2024-06-25,366.0,368.0,364.0,368.0,221200
2024-06-26,368.0,370.0,364.0,368.0,123700
2024-06-27,368.0,368.0,362.0,364.0,45800
2024-06-28,364.0,366.0,362.0,364.0,91200
2024-07-01,362.0,368.0,362.0,364.0,167100
2024-07-02,364.0,366.0,360.0,364.0,111400
2024-07-03,362.0,366.0,362.0,364.0,92900
2024-07-04,364.0,370.0,360.0,370.0,258700
2024-07-05,370.0,370.0,366.0,366.0,147900
2024-07-08,368.0,368.0,350.0,364.0,250000
2024-07-09,364.0,370.0,364.0,370.0,131800
2024-07-10,370.0,378.0,368.0,374.0,209700
2024-07-11,374.0,378.0,370.0,372.0,212400
2024-07-12,372.0,374.0,370.0,372.0,156600
2024-07-15,374.0,378.0,372.0,374.0,132600
2024-07-16,374.0,380.0,374.0,378.0,141900
2024-07-17,380.0,380.0,370.0,370.0,83200
2024-07-18,370.0,378.0,370.0,376.0,121800
2024-07-19,376.0,378.0,372.0,376.0,53300
2024-07-22,376.0,378.0,374.0,378.0,95300
2024-07-23,378.0,378.0,368.0,372.0,96800
2024-07-24,372.0,376.0,372.0,376.0,83900
2024-07-25,374.0,376.0,370.0,374.0,58300
2024-07-26,374.0,378.0,370.0,378.0,107100
2024-07-29,378.0,378.0,372.0,376.0,85200
2024-07-30,376.0,376.0,350.0,370.0,182200
2024-07-31,370.0,376.0,368.0,370.0,132200
2024-08-01,372.0,378.0,366.0,376.0,167800
2024-08-02,380.0,380.0,372.0,374.0,68600
2024-08-05,374.0,374.0,364.0,372.0,263100
2024-08-06,372.0,372.0,364.0,368.0,282800
2024-08-07,358.0,372.0,358.0,370.0,28600
2024-08-08,372.0,372.0,366.0,370.0,149800
2024-08-09,370.0,372.0,368.0,370.0,53900
2024-08-12,370.0,372.0,368.0,370.0,44700
2024-08-13,370.0,372.0,366.0,370.0,137100
2024-08-14,368.0,372.0,368.0,372.0,56900
2024-08-15,372.0,374.0,368.0,372.0,70800
2024-08-16,370.0,372.0,368.0,368.0,230400
2024-08-19,368.0,372.0,366.0,366.0,146600
2024-08-20,366.0,370.0,366.0,366.0,134200
2024-08-21,366.0,370.0,350.0,364.0,404800
2024-08-22,364.0,368.0,364.0,364.0,86600
2024-08-23,364.0,370.0,364.0,364.0,137600
2024-08-26,364.0,368.0,364.0,366.0,182800
2024-08-27,368.0,370.0,366.0,368.0,105200
2024-08-28,368.0,370.0,366.0,366.0,72100
2024-08-29,370.0,370.0,366.0,370.0,171200
2024-08-30,370.0,380.0,362.0,366.0,391900
2024-09-02,366.0,370.0,362.0,366.0,141200
2024-09-03,368.0,370.0,360.0,366.0,134700
2024-09-04,366.0,370.0,364.0,370.0,102800
2024-09-05,364.0,370.0,364.0,366.0,39400
2024-09-06,370.0,370.0,364.0,366.0,109100
2024-09-09,366.0,370.0,364.0,368.0,137300
2024-09-10,366.0,412.0,366.0,378.0,1352800
2024-09-11,378.0,380.0,370.0,374.0,444300
2024-09-12,374.0,382.0,374.0,374.0,297400
2024-09-13,376.0,378.0,372.0,376.0,111500
2024-09-17,376.0,380.0,372.0,376.0,328000
2024-09-18,376.0,378.0,374.0,378.0,206100
2024-09-19,376.0,380.0,374.0,378.0,120100
2024-09-20,380.0,384.0,378.0,380.0,371800
2024-09-23,382.0,384.0,380.0,382.0,568100
2024-09-24,384.0,390.0,380.0,388.0,359200
2024-09-25,390.0,410.0,386.0,406.0,514100
2024-09-26,404.0,414.0,392.0,414.0,604300
2024-09-27,414.0,420.0,400.0,416.0,614100
2024-09-30,416.0,416.0,404.0,404.0,182500
2024-10-01,406.0,410.0,400.0,406.0,72400
2024-10-02,410.0,412.0,394.0,408.0,379800
2024-10-03,408.0,410.0,398.0,408.0,171300
2024-10-04,408.0,408.0,400.0,402.0,55200
2024-10-07,400.0,408.0,398.0,402.0,102900
2024-10-08,402.0,410.0,394.0,410.0,110100
2024-10-09,408.0,418.0,404.0,410.0,971500
2024-10-10,416.0,416.0,410.0,412.0,31300
2024-10-11,412.0,412.0,402.0,404.0,80800
2024-10-14,408.0,414.0,402.0,408.0,43500
2024-10-15,418.0,418.0,402.0,408.0,100400
2024-10-16,412.0,416.0,404.0,406.0,181200
2024-10-17,410.0,414.0,406.0,408.0,80200
2024-10-18,410.0,416.0,406.0,410.0,160100
2024-10-21,418.0,418.0,410.0,414.0,185700
2024-10-22,416.0,420.0,414.0,416.0,226300
2024-10-23,416.0,422.0,414.0,420.0,250000
2024-10-24,420.0,420.0,416.0,416.0,146400
2024-10-25,408.0,424.0,408.0,414.0,185400
2024-10-28,414.0,422.0,414.0,418.0,31000
2024-10-29,416.0,422.0,416.0,420.0,68000
2024-10-30,420.0,420.0,414.0,416.0,93400
2024-10-31,420.0,450.0,418.0,448.0,1064100
2024-11-01,448.0,458.0,418.0,442.0,225900
2024-11-04,442.0,444.0,416.0,438.0,810000
2024-11-05,438.0,480.0,428.0,464.0,1671400
2024-11-06,464.0,468.0,446.0,460.0,632300
2024-11-07,460.0,464.0,400.0,440.0,2667800
2024-11-08,440.0,448.0,420.0,436.0,454500
2024-11-11,436.0,444.0,400.0,408.0,836600
2024-11-12,408.0,418.0,390.0,394.0,863400
2024-11-13,400.0,408.0,392.0,404.0,203600
2024-11-14,404.0,408.0,398.0,402.0,29300
2024-11-15,404.0,404.0,392.0,404.0,113900
2024-11-18,404.0,406.0,398.0,400.0,29200
2024-11-19,412.0,412.0,390.0,398.0,54400
2024-11-20,400.0,406.0,400.0,402.0,43200
2024-11-21,402.0,404.0,400.0,400.0,24600
2024-11-22,400.0,404.0,390.0,394.0,34600
2024-11-25,412.0,412.0,394.0,394.0,47400
2024-11-26,382.0,402.0,382.0,396.0,150900
2024-11-28,396.0,410.0,390.0,402.0,110500
2024-11-29,404.0,404.0,394.0,402.0,31100
2024-12-02,370.0,404.0,370.0,400.0,39600
2024-12-03,400.0,400.0,394.0,396.0,34600
2024-12-04,398.0,402.0,394.0,398.0,52600
2024-12-05,398.0,402.0,392.0,396.0,233800
2024-12-06,396.0,398.0,390.0,398.0,71200
2024-12-09,398.0,400.0,394.0,400.0,33300
2024-12-10,400.0,400.0,390.0,398.0,129300
2024-12-11,398.0,404.0,398.0,402.0,174100
2024-12-12,402.0,404.0,398.0,402.0,87300
2024-12-13,402.0,404.0,398.0,402.0,59600
2024-12-16,402.0,410.0,398.0,402.0,170500
2024-12-17,402.0,402.0,390.0,398.0,142100
2024-12-18,392.0,400.0,392.0,394.0,13200
2024-12-19,394.0,400.0,390.0,392.0,73200
2024-12-20,392.0,398.0,388.0,390.0,54900
2024-12-23,390.0,396.0,388.0,392.0,46700
2024-12-24,392.0,398.0,388.0,398.0,40200
2024-12-27,398.0,418.0,398.0,414.0,552700
2024-12-30,414.0,414.0,408.0,412.0,253900
2025-01-02,406.0,412.0,402.0,404.0,83900
2025-01-03,404.0,408.0,402.0,404.0,211500
2025-01-06,402.0,410.0,400.0,406.0,259300
2025-01-07,406.0,414.0,398.0,402.0,175300
2025-01-08,402.0,402.0,394.0,394.0,57600
2025-01-09,394.0,400.0,392.0,394.0,210600
2025-01-10,394.0,400.0,388.0,396.0,278400
2025-01-13,396.0,396.0,390.0,394.0,204600
2025-01-14,394.0,394.0,388.0,390.0,164500
2025-01-15,386.0,396.0,386.0,396.0,143000
2025-01-16,396.0,398.0,386.0,392.0,190600
2025-01-17,392.0,410.0,388.0,408.0,522500
