date,open,high,low,close,volume
2024-04-16,3.0,3.0,3.0,3.0,901900
2024-04-17,3.0,3.0,3.0,3.0,844600
2024-04-18,3.0,4.0,3.0,4.0,96500
2024-04-19,3.0,3.0,3.0,3.0,443300
2024-04-22,3.0,3.0,2.0,3.0,1068800
2024-04-23,3.0,3.0,2.0,3.0,163300
2024-04-24,3.0,3.0,3.0,3.0,10000
2024-04-25,3.0,3.0,3.0,3.0,90100
2024-04-26,3.0,3.0,3.0,3.0,121300
2024-04-29,3.0,3.0,3.0,3.0,1066300
2024-04-30,3.0,4.0,3.0,3.0,192200
2024-05-02,3.0,3.0,3.0,3.0,392700
2024-05-03,3.0,3.0,3.0,3.0,71900
2024-05-06,3.0,3.0,3.0,3.0,113000
2024-05-07,3.0,3.0,3.0,3.0,71700
2024-05-08,3.0,3.0,3.0,3.0,22900
2024-05-13,3.0,3.0,3.0,3.0,703100
2024-05-14,3.0,3.0,3.0,3.0,120500
2024-05-15,3.0,3.0,2.0,3.0,301100
2024-05-16,3.0,3.0,2.0,3.0,32400
2024-05-17,3.0,3.0,3.0,3.0,42600
2024-05-20,3.0,3.0,2.0,3.0,1356900
2024-05-21,3.0,3.0,3.0,3.0,244800
2024-05-22,3.0,3.0,3.0,3.0,3428900
2024-05-27,3.0,3.0,3.0,3.0,1347700
2024-05-28,3.0,3.0,2.0,2.0,1189500
2024-05-29,2.0,3.0,2.0,3.0,2668800
2024-05-30,3.0,3.0,3.0,3.0,89400
2024-05-31,3.0,3.0,2.0,3.0,22600
2024-06-03,3.0,3.0,3.0,3.0,66700
2024-06-04,3.0,3.0,2.0,3.0,66100
2024-06-05,3.0,3.0,2.0,2.0,78700
2024-06-06,2.0,3.0,2.0,3.0,120300
2024-06-07,3.0,3.0,3.0,3.0,80300
2024-06-10,3.0,3.0,3.0,3.0,153000
2024-06-11,3.0,3.0,3.0,3.0,7100
2024-06-12,3.0,3.0,3.0,3.0,124200
2024-06-13,2.0,3.0,2.0,3.0,942300
2024-06-14,3.0,3.0,2.0,3.0,680400
2024-06-19,2.0,3.0,2.0,2.0,7283100
2024-06-20,2.0,2.0,2.0,2.0,1761600
2024-06-21,2.0,3.0,2.0,2.0,874600
2024-06-24,2.0,3.0,2.0,3.0,646700
2024-06-25,3.0,3.0,2.0,3.0,433200
2024-06-26,2.0,3.0,2.0,3.0,162900
2024-06-27,2.0,3.0,2.0,3.0,108000
