date,open,high,low,close,volume
2024-04-16,1210.0,1220.0,1180.0,1180.0,15024000
2024-04-17,1180.0,1185.0,1145.0,1150.0,6111800
2024-04-18,1180.0,1180.0,1135.0,1140.0,3259800
2024-04-19,1140.0,1160.0,1125.0,1160.0,3270100
2024-04-22,1165.0,1170.0,1115.0,1125.0,7706900
2024-04-23,1130.0,1135.0,1105.0,1105.0,2252400
2024-04-24,1105.0,1150.0,1060.0,1150.0,5665900
2024-04-25,1150.0,1150.0,1085.0,1085.0,10987400
2024-04-26,1085.0,1125.0,1065.0,1090.0,8739500
2024-04-29,1150.0,1290.0,1130.0,1285.0,29645000
2024-04-30,1285.0,1295.0,1250.0,1275.0,18023100
2024-05-02,1275.0,1310.0,1215.0,1280.0,18744200
2024-05-03,1300.0,1340.0,1275.0,1340.0,14350000
2024-05-06,1340.0,1370.0,1315.0,1335.0,12318400
2024-05-07,1335.0,1350.0,1325.0,1350.0,13324000
2024-05-08,1350.0,1360.0,1340.0,1360.0,25702400
2024-05-13,1360.0,1360.0,1320.0,1320.0,3791800
2024-05-14,1320.0,1400.0,1320.0,1375.0,11490700
2024-05-15,1380.0,1395.0,1330.0,1350.0,7772100
2024-05-16,1350.0,1375.0,1310.0,1345.0,5830300
2024-05-17,1345.0,1360.0,1330.0,1335.0,6591100
2024-05-20,1360.0,1360.0,1340.0,1340.0,6494000
2024-05-21,1330.0,1360.0,1320.0,1325.0,7424700
2024-05-22,1320.0,1340.0,1315.0,1335.0,1355300
2024-05-27,1325.0,1335.0,1290.0,1290.0,3974100
2024-05-28,1300.0,1325.0,1285.0,1295.0,1543800
2024-05-29,1295.0,1300.0,1250.0,1270.0,2319500
2024-05-30,1280.0,1300.0,1280.0,1300.0,2452200
2024-05-31,1305.0,1330.0,1280.0,1280.0,9208500
2024-06-03,1280.0,1305.0,1280.0,1285.0,2419200
2024-06-04,1290.0,1310.0,1285.0,1290.0,2369600
2024-06-05,1295.0,1315.0,1295.0,1295.0,4844300
2024-06-06,1295.0,1300.0,1280.0,1290.0,1264300
2024-06-07,1290.0,1310.0,1285.0,1305.0,6733900
2024-06-10,1305.0,1330.0,1295.0,1325.0,6249600
2024-06-11,1325.0,1370.0,1325.0,1345.0,16445400
2024-06-12,1350.0,1355.0,1325.0,1345.0,2143100
2024-06-13,1335.0,1360.0,1330.0,1350.0,7107900
2024-06-14,1355.0,1355.0,1320.0,1345.0,4794000
2024-06-19,1345.0,1355.0,1320.0,1330.0,7012400
2024-06-20,1325.0,1355.0,1325.0,1350.0,16169500
2024-06-21,1350.0,1365.0,1350.0,1360.0,13057500
2024-06-24,1360.0,1365.0,1350.0,1355.0,3733600
2024-06-25,1365.0,1380.0,1360.0,1360.0,8458500
2024-06-26,1400.0,1400.0,1350.0,1365.0,4962200
2024-06-27,1370.0,1375.0,1365.0,1375.0,3695300
2024-06-28,1375.0,1375.0,1355.0,1355.0,7869500
2024-07-01,1360.0,1365.0,1350.0,1350.0,4963500
2024-07-02,1360.0,1360.0,1340.0,1360.0,5137200
2024-07-03,1360.0,1360.0,1290.0,1315.0,7592300
2024-07-04,1315.0,1335.0,1300.0,1300.0,4563000
2024-07-05,1300.0,1340.0,1300.0,1340.0,5744000
2024-07-08,1340.0,1360.0,1330.0,1360.0,10807800
2024-07-09,1360.0,1360.0,1325.0,1325.0,2381900
2024-07-10,1325.0,1350.0,1325.0,1345.0,3220600
2024-07-11,1345.0,1345.0,1315.0,1320.0,2283400
2024-07-12,1320.0,1330.0,1315.0,1320.0,3197000
2024-07-15,1330.0,1340.0,1320.0,1335.0,2318700
2024-07-16,1320.0,1335.0,1305.0,1330.0,5584700
2024-07-17,1330.0,1335.0,1315.0,1315.0,2817100
2024-07-18,1315.0,1335.0,1295.0,1295.0,16642400
2024-07-19,1300.0,1335.0,1300.0,1335.0,5422600
2024-07-22,1335.0,1340.0,1315.0,1330.0,4847900
2024-07-23,1330.0,1330.0,1315.0,1330.0,2115600
2024-07-24,1320.0,1330.0,1315.0,1320.0,3212700
2024-07-25,1330.0,1365.0,1325.0,1365.0,14272700
2024-07-26,1370.0,1370.0,1350.0,1350.0,5844600
2024-07-29,1350.0,1355.0,1330.0,1340.0,1267100
2024-07-30,1345.0,1360.0,1345.0,1360.0,2990400
2024-07-31,1365.0,1365.0,1345.0,1355.0,2650300
2024-08-01,1355.0,1355.0,1310.0,1315.0,7245800
2024-08-02,1315.0,1360.0,1300.0,1310.0,10736800
2024-08-05,1320.0,1340.0,1300.0,1320.0,5256400
2024-08-06,1315.0,1350.0,1310.0,1345.0,5661500
2024-08-07,1345.0,1345.0,1325.0,1325.0,1141000
2024-08-08,1340.0,1340.0,1320.0,1325.0,2563700
2024-08-09,1330.0,1340.0,1325.0,1330.0,1116500
2024-08-12,1330.0,1335.0,1310.0,1315.0,2885800
2024-08-13,1315.0,1325.0,1310.0,1315.0,4021600
2024-08-14,1315.0,1325.0,1310.0,1320.0,4782900
2024-08-15,1320.0,1320.0,1290.0,1300.0,12035100
2024-08-16,1300.0,1310.0,1290.0,1295.0,6307600
2024-08-19,1300.0,1300.0,1285.0,1295.0,9890300
2024-08-20,1295.0,1300.0,1280.0,1300.0,8139400
2024-08-21,1300.0,1315.0,1290.0,1295.0,10972700
2024-08-22,1300.0,1315.0,1290.0,1295.0,9890900
2024-08-23,1300.0,1305.0,1290.0,1300.0,5676000
2024-08-26,1305.0,1305.0,1280.0,1285.0,7209200
2024-08-27,1285.0,1300.0,1285.0,1300.0,1800100
2024-08-28,1300.0,1315.0,1295.0,1310.0,5324200
2024-08-29,1310.0,1315.0,1300.0,1300.0,2964900
2024-08-30,1300.0,1310.0,1290.0,1300.0,14403400
2024-09-02,1300.0,1305.0,1290.0,1295.0,2685300
2024-09-03,1300.0,1320.0,1285.0,1285.0,10457200
2024-09-04,1285.0,1305.0,1285.0,1300.0,6223000
2024-09-05,1300.0,1310.0,1290.0,1300.0,5581900
2024-09-06,1300.0,1305.0,1260.0,1270.0,4663100
2024-09-09,1270.0,1295.0,1250.0,1295.0,4093400
2024-09-10,1295.0,1305.0,1285.0,1300.0,4658200
2024-09-11,1300.0,1310.0,1290.0,1300.0,4810200
2024-09-12,1300.0,1310.0,1290.0,1305.0,3152900
2024-09-13,1305.0,1370.0,1300.0,1365.0,23938300
2024-09-17,1380.0,1425.0,1355.0,1405.0,57312000
2024-09-18,1405.0,1500.0,1405.0,1470.0,34913800
2024-09-19,1490.0,1490.0,1430.0,1450.0,21213300
2024-09-20,1450.0,1470.0,1440.0,1455.0,18178300
2024-09-23,1465.0,1465.0,1435.0,1450.0,13072700
2024-09-24,1455.0,1460.0,1445.0,1445.0,8294000
2024-09-25,1445.0,1460.0,1440.0,1460.0,24713600
2024-09-26,1470.0,1540.0,1430.0,1515.0,39669800
2024-09-27,1515.0,1555.0,1515.0,1530.0,13057100
2024-09-30,1530.0,1535.0,1495.0,1525.0,9187700
2024-10-01,1515.0,1535.0,1510.0,1525.0,3722400
2024-10-02,1515.0,1525.0,1495.0,1505.0,8947700
2024-10-03,1505.0,1505.0,1460.0,1485.0,5122200
2024-10-04,1480.0,1515.0,1455.0,1500.0,4913800
2024-10-07,1500.0,1525.0,1470.0,1510.0,6449400
2024-10-08,1510.0,1515.0,1485.0,1495.0,3209300
2024-10-09,1500.0,1550.0,1495.0,1545.0,8200900
2024-10-10,1545.0,1570.0,1515.0,1540.0,16115400
2024-10-11,1540.0,1640.0,1540.0,1595.0,33896400
2024-10-14,1590.0,1610.0,1545.0,1570.0,17051700
2024-10-15,1550.0,1600.0,1545.0,1580.0,19851100
2024-10-16,1575.0,1630.0,1560.0,1575.0,20631100
2024-10-17,1575.0,1595.0,1550.0,1550.0,8133600
2024-10-18,1555.0,1560.0,1480.0,1480.0,28495500
2024-10-21,1485.0,1550.0,1485.0,1490.0,19165000
2024-10-22,1530.0,1540.0,1480.0,1510.0,9402200
2024-10-23,1525.0,1545.0,1485.0,1510.0,3620600
2024-10-24,1510.0,1510.0,1480.0,1485.0,2926500
