date,open,high,low,close,volume
2024-04-16,565.0,585.0,545.0,565.0,43325000
2024-04-17,565.0,580.0,560.0,560.0,21012600
2024-04-18,570.0,585.0,560.0,560.0,35186900
2024-04-19,565.0,635.0,565.0,615.0,50885600
2024-04-22,615.0,635.0,610.0,610.0,28289900
2024-04-23,605.0,630.0,605.0,605.0,22377200
2024-04-24,605.0,635.0,605.0,625.0,34120100
2024-04-25,625.0,640.0,625.0,625.0,24462300
2024-04-26,630.0,680.0,625.0,660.0,39476500
2024-04-29,660.0,665.0,640.0,640.0,13520500
2024-04-30,640.0,675.0,640.0,670.0,40677600
2024-05-02,670.0,685.0,660.0,660.0,36637800
2024-05-03,665.0,675.0,660.0,660.0,17192600
2024-05-06,670.0,715.0,670.0,705.0,43630100
2024-05-07,710.0,715.0,700.0,700.0,28868800
2024-05-08,700.0,720.0,695.0,695.0,29163600
2024-05-13,705.0,720.0,695.0,705.0,48513700
2024-05-14,710.0,715.0,705.0,710.0,43910000
2024-05-15,715.0,740.0,715.0,720.0,22093800
2024-05-16,725.0,735.0,720.0,730.0,18120000
2024-05-17,730.0,740.0,720.0,720.0,14019700
2024-05-20,725.0,735.0,720.0,720.0,44477700
2024-05-21,725.0,730.0,700.0,700.0,19024100
2024-05-22,700.0,700.0,525.0,525.0,13810800
2024-05-27,476.0,476.0,394.0,394.0,217500
2024-05-28,374.0,390.0,296.0,296.0,140700
2024-05-29,262.0,284.0,222.0,222.0,320700
2024-05-30,222.0,222.0,222.0,222.0,0
2024-05-31,173.0,220.0,167.0,169.0,8582300
2024-06-03,169.0,169.0,169.0,169.0,0
2024-06-04,169.0,169.0,169.0,169.0,0
2024-06-05,169.0,169.0,169.0,169.0,0
2024-06-06,169.0,169.0,169.0,169.0,0
2024-06-07,169.0,169.0,169.0,169.0,0
2024-06-10,169.0,169.0,169.0,169.0,0
2024-06-11,169.0,169.0,169.0,169.0,0
2024-06-12,169.0,169.0,169.0,169.0,0
2024-06-13,169.0,169.0,169.0,169.0,0
2024-06-14,169.0,169.0,169.0,169.0,0
2024-06-19,169.0,169.0,169.0,169.0,0
2024-06-20,153.0,153.0,153.0,153.0,23200
2024-06-21,150.0,150.0,145.0,147.0,467600
2024-06-24,161.0,161.0,161.0,161.0,134900
2024-06-25,177.0,177.0,177.0,177.0,208900
2024-06-26,194.0,194.0,189.0,189.0,742400
2024-06-27,204.0,206.0,204.0,206.0,288000
2024-06-28,226.0,226.0,226.0,226.0,652400
2024-07-01,232.0,268.0,179.0,192.0,3577200
2024-07-02,182.0,195.0,159.0,159.0,2041400
2024-07-03,159.0,170.0,145.0,156.0,3022700
2024-07-04,151.0,159.0,151.0,151.0,715700
2024-07-05,151.0,156.0,146.0,147.0,607100
2024-07-08,137.0,150.0,137.0,141.0,583200
2024-07-09,149.0,149.0,140.0,144.0,779700
2024-07-10,134.0,149.0,134.0,140.0,577000
2024-07-11,130.0,145.0,130.0,137.0,240400
2024-07-12,117.0,135.0,117.0,130.0,543800
2024-07-15,133.0,133.0,120.0,121.0,513800
2024-07-16,131.0,131.0,118.0,122.0,459400
2024-07-17,132.0,132.0,120.0,121.0,314300
2024-07-18,131.0,131.0,120.0,123.0,185700
2024-07-19,133.0,133.0,119.0,120.0,538900
2024-07-22,124.0,124.0,112.0,116.0,692200
2024-07-23,125.0,156.0,121.0,156.0,10219900
2024-07-24,174.0,210.0,172.0,210.0,24201300
2024-07-25,246.0,260.0,220.0,230.0,29862500
