date,open,high,low,close,volume
2024-04-16,750.0,760.0,700.0,740.0,73200
2024-04-17,740.0,825.0,740.0,745.0,31000
2024-04-18,745.0,745.0,740.0,740.0,32000
2024-04-19,740.0,740.0,725.0,740.0,5200
2024-04-22,740.0,740.0,715.0,715.0,34400
2024-04-23,720.0,750.0,720.0,735.0,2400
2024-04-24,750.0,750.0,735.0,750.0,68400
2024-04-25,750.0,750.0,750.0,750.0,600
2024-04-26,750.0,750.0,720.0,725.0,8200
2024-04-29,750.0,750.0,705.0,735.0,27000
2024-04-30,730.0,730.0,730.0,730.0,1900
2024-05-02,725.0,735.0,600.0,660.0,71500
2024-05-03,660.0,735.0,660.0,730.0,4800
2024-05-06,730.0,730.0,715.0,730.0,28500
2024-05-07,730.0,730.0,710.0,720.0,2700
2024-05-08,715.0,715.0,700.0,710.0,2300
2024-05-13,705.0,745.0,705.0,730.0,1800
2024-05-14,730.0,730.0,730.0,730.0,5800
2024-05-15,730.0,735.0,700.0,700.0,15700
2024-05-16,780.0,780.0,730.0,750.0,26500
2024-05-17,750.0,750.0,705.0,720.0,1100
2024-05-20,750.0,750.0,670.0,745.0,900
2024-05-21,740.0,740.0,700.0,740.0,1500
2024-05-22,685.0,740.0,685.0,715.0,1300
2024-05-27,745.0,760.0,690.0,725.0,6000
2024-05-28,725.0,725.0,680.0,720.0,8500
2024-05-29,695.0,745.0,695.0,745.0,1300
2024-05-30,755.0,790.0,745.0,745.0,1400
2024-05-31,700.0,740.0,690.0,740.0,4800
2024-06-03,705.0,740.0,695.0,740.0,1800
2024-06-04,695.0,740.0,690.0,725.0,13800
2024-06-05,735.0,740.0,735.0,735.0,1300
2024-06-06,735.0,745.0,690.0,705.0,1400
2024-06-07,745.0,745.0,700.0,700.0,6000
2024-06-10,695.0,790.0,675.0,715.0,51300
2024-06-11,710.0,710.0,680.0,700.0,5200
2024-06-12,680.0,700.0,670.0,695.0,9200
2024-06-13,670.0,700.0,670.0,695.0,6900
2024-06-14,695.0,695.0,695.0,695.0,0
2024-06-19,675.0,700.0,670.0,695.0,1400
2024-06-20,690.0,690.0,690.0,690.0,100
