date,open,high,low,close,volume
2024-04-16,850.0,855.0,840.0,840.0,46773900
2024-04-17,865.0,865.0,830.0,830.0,39121200
2024-04-18,835.0,845.0,830.0,835.0,20421900
2024-04-19,835.0,840.0,810.0,820.0,48221900
2024-04-22,820.0,840.0,820.0,840.0,15997800
2024-04-23,845.0,865.0,835.0,855.0,47383800
2024-04-24,860.0,865.0,840.0,845.0,36179600
2024-04-25,845.0,855.0,830.0,845.0,43864700
2024-04-26,845.0,845.0,835.0,835.0,37494900
2024-04-29,835.0,850.0,835.0,845.0,36104500
2024-04-30,845.0,860.0,845.0,855.0,41420800
2024-05-02,875.0,875.0,850.0,855.0,70861900
2024-05-03,810.0,810.0,780.0,780.0,73097000
2024-05-06,780.0,790.0,770.0,770.0,38426400
2024-05-07,775.0,780.0,770.0,770.0,18367700
2024-05-08,795.0,795.0,750.0,755.0,33718000
2024-05-13,755.0,765.0,750.0,755.0,20035700
2024-05-14,760.0,780.0,755.0,765.0,25124800
2024-05-15,770.0,785.0,765.0,775.0,20313300
2024-05-16,775.0,785.0,770.0,775.0,6840700
2024-05-17,775.0,800.0,770.0,790.0,29951600
2024-05-20,795.0,800.0,780.0,780.0,17208000
2024-05-21,785.0,785.0,765.0,770.0,19334300
2024-05-22,775.0,780.0,765.0,770.0,8535100
2024-05-27,770.0,775.0,755.0,755.0,21154600
2024-05-28,755.0,780.0,750.0,770.0,22449300
2024-05-29,775.0,775.0,750.0,760.0,17540100
2024-05-30,760.0,760.0,745.0,745.0,25712200
2024-05-31,750.0,755.0,735.0,735.0,25781000
2024-06-03,735.0,745.0,725.0,725.0,30057100
2024-06-04,725.0,745.0,725.0,740.0,16591700
2024-06-05,745.0,745.0,730.0,730.0,10709900
2024-06-06,730.0,740.0,730.0,735.0,12421500
2024-06-07,740.0,740.0,725.0,725.0,12312800
2024-06-10,725.0,740.0,715.0,715.0,21347600
2024-06-11,715.0,720.0,710.0,710.0,21208600
2024-06-12,715.0,715.0,685.0,690.0,42481300
2024-06-13,690.0,710.0,690.0,700.0,19101700
2024-06-14,700.0,700.0,675.0,680.0,13808700
2024-06-19,670.0,695.0,670.0,685.0,18262100
2024-06-20,685.0,700.0,675.0,685.0,39538700
2024-06-21,685.0,700.0,680.0,695.0,22640700
2024-06-24,695.0,715.0,695.0,695.0,21014600
2024-06-25,695.0,705.0,690.0,700.0,9476900
2024-06-26,725.0,725.0,690.0,695.0,9112200
2024-06-27,705.0,705.0,690.0,700.0,13015900
2024-06-28,700.0,715.0,690.0,710.0,19594100
2024-07-01,710.0,715.0,700.0,700.0,11076200
2024-07-02,705.0,710.0,700.0,705.0,6594300
2024-07-03,710.0,710.0,700.0,705.0,9355500
2024-07-04,705.0,745.0,705.0,735.0,39219200
2024-07-05,740.0,745.0,725.0,725.0,19218600
2024-07-08,725.0,740.0,725.0,740.0,12003400
2024-07-09,740.0,745.0,730.0,730.0,17764300
2024-07-10,745.0,745.0,720.0,725.0,17949200
2024-07-11,725.0,730.0,720.0,720.0,24918500
2024-07-12,720.0,725.0,700.0,710.0,43045700
2024-07-15,725.0,725.0,705.0,715.0,10793100
2024-07-16,720.0,720.0,705.0,705.0,16557500
2024-07-17,710.0,735.0,705.0,735.0,25234000
2024-07-18,730.0,760.0,725.0,745.0,59847800
2024-07-19,745.0,750.0,730.0,730.0,13871100
2024-07-22,730.0,745.0,725.0,740.0,13652400
2024-07-23,745.0,745.0,725.0,725.0,11044000
2024-07-24,745.0,745.0,675.0,685.0,115020300
2024-07-25,685.0,700.0,660.0,670.0,69331400
2024-07-26,675.0,690.0,665.0,680.0,22126200
2024-07-29,680.0,685.0,675.0,680.0,17059900
2024-07-30,680.0,685.0,665.0,685.0,29229500
2024-07-31,710.0,710.0,675.0,675.0,14798300
2024-08-01,675.0,680.0,670.0,675.0,15620900
2024-08-02,675.0,685.0,670.0,680.0,10816900
2024-08-05,675.0,675.0,655.0,655.0,33558700
2024-08-06,655.0,665.0,650.0,650.0,15117000
2024-08-07,660.0,665.0,650.0,665.0,12288600
2024-08-08,665.0,665.0,640.0,645.0,26932300
2024-08-09,645.0,660.0,645.0,650.0,21739600
2024-08-12,650.0,655.0,645.0,650.0,15437500
2024-08-13,655.0,660.0,650.0,655.0,17523800
2024-08-14,680.0,680.0,650.0,655.0,17420000
2024-08-15,660.0,660.0,645.0,650.0,9395300
2024-08-16,655.0,670.0,650.0,665.0,14676800
2024-08-19,665.0,770.0,660.0,770.0,141500500
2024-08-20,800.0,805.0,765.0,775.0,232065900
2024-08-21,785.0,785.0,740.0,755.0,94585500
2024-08-22,755.0,790.0,740.0,750.0,83335900
2024-08-23,755.0,760.0,745.0,755.0,26062400
2024-08-26,755.0,760.0,715.0,720.0,92324700
2024-08-27,720.0,735.0,715.0,725.0,25420100
2024-08-28,730.0,730.0,710.0,715.0,19400300
2024-08-29,715.0,720.0,705.0,705.0,20854400
2024-08-30,705.0,715.0,700.0,705.0,9933500
2024-09-02,705.0,725.0,700.0,720.0,25181700
2024-09-03,725.0,725.0,710.0,715.0,10336500
2024-09-04,710.0,720.0,710.0,720.0,8406600
2024-09-05,720.0,735.0,710.0,730.0,16250100
2024-09-06,735.0,755.0,725.0,745.0,47814900
2024-09-09,750.0,750.0,720.0,730.0,22420300
2024-09-10,730.0,740.0,725.0,735.0,11512400
2024-09-11,760.0,765.0,735.0,755.0,60450400
2024-09-12,755.0,765.0,740.0,750.0,21436200
2024-09-13,750.0,755.0,740.0,750.0,8739300
2024-09-17,750.0,755.0,735.0,755.0,17680100
2024-09-18,755.0,760.0,740.0,740.0,14121800
2024-09-19,740.0,750.0,730.0,745.0,23328300
2024-09-20,745.0,750.0,670.0,670.0,390644900
2024-09-23,695.0,735.0,690.0,735.0,157807200
2024-09-24,745.0,800.0,745.0,775.0,132172000
2024-09-25,775.0,785.0,750.0,760.0,47206000
2024-09-26,760.0,765.0,750.0,760.0,22437500
2024-09-27,760.0,775.0,745.0,770.0,35082400
2024-09-30,770.0,770.0,745.0,760.0,35942100
2024-10-01,755.0,760.0,750.0,750.0,15795100
