date,open,high,low,close,volume
2024-04-16,161.0,172.0,156.0,167.0,482400
2024-04-17,167.0,180.0,159.0,170.0,969300
2024-04-18,171.0,175.0,165.0,169.0,451300
2024-04-19,172.0,172.0,159.0,164.0,248400
2024-04-22,162.0,172.0,155.0,166.0,1020000
2024-04-23,170.0,170.0,157.0,162.0,580200
2024-04-24,159.0,167.0,152.0,164.0,586600
2024-04-25,159.0,164.0,154.0,157.0,636000
2024-04-26,157.0,159.0,150.0,152.0,926100
2024-04-29,157.0,157.0,146.0,150.0,243200
2024-04-30,146.0,154.0,142.0,150.0,104300
2024-05-02,147.0,151.0,130.0,134.0,1192700
2024-05-03,134.0,142.0,134.0,140.0,657100
2024-05-06,138.0,144.0,136.0,139.0,651300
2024-05-07,139.0,144.0,137.0,137.0,334900
2024-05-08,137.0,154.0,137.0,142.0,290300
2024-05-13,140.0,143.0,139.0,140.0,528400
2024-05-14,140.0,141.0,138.0,141.0,73800
2024-05-15,139.0,142.0,137.0,138.0,169300
2024-05-16,140.0,142.0,140.0,140.0,199200
2024-05-17,140.0,147.0,137.0,142.0,43600
2024-05-20,142.0,159.0,139.0,150.0,150500
2024-05-21,155.0,155.0,144.0,144.0,16700
2024-05-22,144.0,147.0,142.0,143.0,1100
2024-05-27,140.0,150.0,140.0,140.0,229800
2024-05-28,144.0,145.0,138.0,142.0,228700
2024-05-29,144.0,144.0,137.0,138.0,558500
2024-05-30,138.0,142.0,137.0,142.0,191700
2024-05-31,144.0,144.0,140.0,141.0,302600
2024-06-03,141.0,143.0,137.0,139.0,74300
2024-06-04,139.0,150.0,137.0,140.0,211700
2024-06-05,140.0,144.0,138.0,138.0,251100
2024-06-06,139.0,144.0,139.0,144.0,43400
2024-06-07,144.0,144.0,138.0,138.0,51000
2024-06-10,138.0,140.0,137.0,139.0,162800
2024-06-11,139.0,142.0,139.0,142.0,7800
2024-06-12,139.0,139.0,138.0,138.0,7500
2024-06-13,138.0,139.0,137.0,139.0,17400
2024-06-14,138.0,144.0,138.0,141.0,40100
2024-06-19,138.0,141.0,138.0,139.0,24200
2024-06-20,139.0,140.0,139.0,140.0,14600
2024-06-21,144.0,144.0,138.0,140.0,27000
2024-06-24,138.0,148.0,138.0,142.0,41400
2024-06-25,142.0,147.0,137.0,141.0,193100
2024-06-26,142.0,148.0,142.0,144.0,94400
2024-06-27,144.0,145.0,142.0,143.0,50700
2024-06-28,143.0,144.0,138.0,141.0,78900
2024-07-01,144.0,144.0,140.0,142.0,242200
2024-07-02,138.0,140.0,137.0,139.0,350200
2024-07-03,140.0,142.0,138.0,139.0,41200
2024-07-04,140.0,141.0,138.0,139.0,58100
2024-07-05,139.0,140.0,137.0,137.0,265200
2024-07-08,137.0,149.0,137.0,142.0,93300
2024-07-09,141.0,148.0,140.0,143.0,91700
2024-07-10,144.0,144.0,140.0,143.0,40700
2024-07-11,141.0,142.0,137.0,139.0,453200
2024-07-12,140.0,140.0,138.0,139.0,346900
2024-07-15,139.0,148.0,137.0,138.0,330800
2024-07-16,140.0,140.0,138.0,139.0,46100
2024-07-17,138.0,145.0,138.0,141.0,135500
2024-07-18,140.0,146.0,139.0,139.0,135000
2024-07-19,140.0,142.0,139.0,142.0,35700
2024-07-22,142.0,146.0,142.0,143.0,619200
2024-07-23,146.0,148.0,142.0,142.0,16700
2024-07-24,144.0,149.0,144.0,149.0,2369000
2024-07-25,149.0,149.0,143.0,147.0,126100
2024-07-26,148.0,148.0,143.0,146.0,10800
2024-07-29,146.0,146.0,143.0,146.0,95800
2024-07-30,144.0,149.0,142.0,142.0,926100
2024-07-31,142.0,148.0,142.0,142.0,107200
2024-08-01,141.0,149.0,141.0,142.0,127900
2024-08-02,142.0,149.0,142.0,143.0,74100
2024-08-05,143.0,143.0,138.0,139.0,87900
2024-08-06,139.0,149.0,139.0,142.0,15900
2024-08-07,143.0,143.0,143.0,143.0,16400
2024-08-08,142.0,143.0,138.0,140.0,67200
2024-08-09,144.0,144.0,139.0,139.0,29100
2024-08-12,139.0,151.0,136.0,139.0,1566500
2024-08-13,140.0,148.0,140.0,143.0,58300
2024-08-14,147.0,147.0,142.0,142.0,247800
2024-08-15,143.0,149.0,142.0,142.0,195500
2024-08-16,142.0,147.0,142.0,146.0,28100
2024-08-19,147.0,148.0,143.0,143.0,90100
2024-08-20,148.0,148.0,143.0,147.0,243200
2024-08-21,147.0,151.0,147.0,148.0,501600
2024-08-22,149.0,149.0,146.0,146.0,7300
2024-08-23,145.0,150.0,145.0,150.0,57400
2024-08-26,150.0,151.0,146.0,149.0,405600
2024-08-27,150.0,150.0,147.0,147.0,79500
2024-08-28,147.0,151.0,147.0,151.0,621600
2024-08-29,151.0,152.0,148.0,149.0,234500
2024-08-30,149.0,152.0,149.0,151.0,74500
2024-09-02,151.0,153.0,149.0,152.0,72500
2024-09-03,152.0,155.0,150.0,151.0,287700
2024-09-04,152.0,152.0,148.0,151.0,109200
2024-09-05,154.0,156.0,150.0,153.0,239100
2024-09-06,153.0,155.0,152.0,155.0,507900
2024-09-09,158.0,158.0,152.0,153.0,216500
2024-09-10,155.0,166.0,155.0,162.0,1231700
2024-09-11,162.0,162.0,159.0,162.0,452900
2024-09-12,161.0,168.0,160.0,167.0,1599700
2024-09-13,167.0,185.0,161.0,185.0,1054700
2024-09-17,185.0,185.0,176.0,180.0,521000
2024-09-18,180.0,200.0,175.0,190.0,3042800
2024-09-19,191.0,195.0,187.0,193.0,751800
2024-09-20,194.0,194.0,187.0,192.0,149800
2024-09-23,189.0,197.0,185.0,187.0,1098000
2024-09-24,187.0,193.0,185.0,190.0,595100
2024-09-25,193.0,195.0,190.0,193.0,635400
2024-09-26,193.0,194.0,189.0,191.0,153700
2024-09-27,190.0,194.0,190.0,193.0,112400
2024-09-30,193.0,195.0,188.0,190.0,568500
2024-10-01,190.0,195.0,185.0,187.0,401300
2024-10-02,188.0,206.0,187.0,198.0,2569800
2024-10-03,200.0,204.0,188.0,197.0,502200
2024-10-04,193.0,197.0,187.0,187.0,522900
2024-10-07,195.0,204.0,187.0,189.0,102600
2024-10-08,188.0,193.0,183.0,185.0,95800
2024-10-09,189.0,192.0,183.0,188.0,90300
2024-10-10,188.0,193.0,187.0,187.0,116400
2024-10-11,189.0,204.0,188.0,192.0,14500
2024-10-14,198.0,202.0,192.0,192.0,139500
2024-10-15,192.0,200.0,192.0,192.0,75500
2024-10-16,200.0,202.0,193.0,196.0,255300
2024-10-17,195.0,202.0,192.0,193.0,386400
2024-10-18,193.0,202.0,190.0,196.0,426000
2024-10-21,198.0,200.0,193.0,194.0,22700
2024-10-22,194.0,204.0,190.0,199.0,818400
2024-10-23,197.0,199.0,192.0,192.0,556500
2024-10-24,192.0,204.0,190.0,198.0,1686300
2024-10-25,206.0,206.0,192.0,193.0,149600
2024-10-28,194.0,202.0,192.0,197.0,550500
2024-10-29,197.0,200.0,192.0,194.0,93300
2024-10-30,194.0,194.0,193.0,193.0,12500
2024-10-31,194.0,198.0,193.0,197.0,224200
2024-11-01,193.0,194.0,191.0,191.0,748300
2024-11-04,193.0,195.0,189.0,193.0,266700
2024-11-05,193.0,194.0,170.0,189.0,245700
2024-11-06,189.0,193.0,189.0,191.0,223700
2024-11-07,186.0,192.0,182.0,190.0,204300
2024-11-08,193.0,193.0,190.0,190.0,7000
2024-11-11,124.0,185.0,124.0,185.0,68600
2024-11-12,186.0,193.0,185.0,192.0,4000
2024-11-13,192.0,195.0,185.0,185.0,21700
2024-11-14,191.0,191.0,180.0,180.0,47600
2024-11-15,181.0,181.0,174.0,178.0,64400
2024-11-18,175.0,189.0,175.0,178.0,151500
2024-11-19,172.0,176.0,170.0,173.0,137000
2024-11-20,177.0,185.0,166.0,182.0,610800
2024-11-21,180.0,184.0,172.0,174.0,142400
2024-11-22,183.0,183.0,178.0,179.0,75100
2024-11-25,175.0,176.0,170.0,172.0,3200
2024-11-26,175.0,181.0,166.0,173.0,32200
2024-11-28,173.0,184.0,173.0,178.0,512000
2024-11-29,180.0,183.0,174.0,175.0,211500
2024-12-02,180.0,180.0,165.0,165.0,1233600
