date,open,high,low,close,volume
2024-04-16,450.0,450.0,440.0,450.0,52900
2024-04-17,440.0,454.0,440.0,452.0,72400
2024-04-18,450.0,452.0,440.0,450.0,19700
2024-04-19,450.0,450.0,438.0,444.0,105900
2024-04-22,436.0,454.0,436.0,452.0,26300
2024-04-23,440.0,452.0,440.0,442.0,4400
2024-04-24,452.0,452.0,450.0,450.0,300
2024-04-25,440.0,442.0,430.0,442.0,90000
2024-04-26,440.0,442.0,436.0,436.0,37700
2024-04-29,436.0,448.0,434.0,434.0,36600
2024-04-30,434.0,448.0,434.0,438.0,16600
2024-05-02,434.0,440.0,430.0,440.0,104200
2024-05-03,432.0,440.0,426.0,440.0,364200
2024-05-06,434.0,442.0,434.0,440.0,4600
2024-05-07,442.0,442.0,440.0,442.0,37700
2024-05-08,444.0,446.0,442.0,444.0,180600
2024-05-13,444.0,448.0,440.0,448.0,465900
2024-05-14,450.0,456.0,448.0,456.0,109200
2024-05-15,458.0,478.0,458.0,478.0,232300
2024-05-16,460.0,490.0,460.0,488.0,1041300
2024-05-17,492.0,510.0,488.0,500.0,576700
2024-05-20,500.0,500.0,490.0,496.0,66000
2024-05-21,494.0,505.0,492.0,505.0,1350700
2024-05-22,510.0,510.0,496.0,510.0,412600
2024-05-27,510.0,510.0,496.0,498.0,171400
2024-05-28,498.0,498.0,490.0,490.0,84800
2024-05-29,490.0,494.0,484.0,488.0,219900
2024-05-30,482.0,482.0,478.0,478.0,376700
2024-05-31,476.0,496.0,476.0,478.0,10300
2024-06-03,478.0,496.0,470.0,496.0,22600
2024-06-04,472.0,492.0,472.0,490.0,11000
2024-06-05,476.0,484.0,470.0,484.0,5200
2024-06-06,466.0,480.0,466.0,480.0,4100
2024-06-07,472.0,490.0,472.0,490.0,26600
2024-06-10,492.0,496.0,480.0,492.0,472900
2024-06-11,484.0,500.0,484.0,500.0,520700
2024-06-12,500.0,500.0,480.0,480.0,24900
2024-06-13,490.0,490.0,476.0,478.0,30500
2024-06-14,476.0,490.0,472.0,486.0,19600
2024-06-19,486.0,486.0,460.0,486.0,868200
2024-06-20,470.0,500.0,460.0,500.0,993600
2024-06-21,480.0,492.0,472.0,492.0,7200
2024-06-24,474.0,482.0,472.0,480.0,28600
2024-06-25,470.0,474.0,470.0,474.0,12900
2024-06-26,470.0,494.0,470.0,492.0,1200
2024-06-27,478.0,478.0,472.0,476.0,21000
2024-06-28,476.0,488.0,474.0,488.0,11600
2024-07-01,480.0,500.0,480.0,500.0,2027500
2024-07-02,500.0,500.0,484.0,500.0,3900
2024-07-03,500.0,505.0,486.0,505.0,881200
2024-07-04,490.0,500.0,490.0,500.0,3200
2024-07-05,496.0,496.0,494.0,494.0,2100
2024-07-08,490.0,496.0,490.0,496.0,1400
2024-07-09,496.0,496.0,490.0,494.0,900
2024-07-10,494.0,494.0,484.0,488.0,21400
2024-07-11,486.0,490.0,486.0,490.0,26000
2024-07-12,492.0,492.0,484.0,490.0,1000
2024-07-15,490.0,492.0,484.0,490.0,22500
2024-07-16,484.0,488.0,484.0,488.0,19900
2024-07-17,484.0,490.0,484.0,490.0,900
2024-07-18,484.0,500.0,480.0,500.0,1536900
2024-07-19,500.0,500.0,490.0,490.0,27100
2024-07-22,490.0,490.0,486.0,490.0,121700
2024-07-23,484.0,498.0,484.0,498.0,102900
2024-07-24,496.0,500.0,488.0,500.0,309300
