date,open,high,low,close,volume
2024-04-16,515.0,515.0,496.0,498.0,66300
2024-04-17,498.0,498.0,494.0,494.0,37100
2024-04-18,494.0,496.0,472.0,496.0,107000
2024-04-19,498.0,498.0,450.0,486.0,86100
2024-04-22,486.0,486.0,472.0,484.0,33200
2024-04-23,480.0,488.0,480.0,484.0,15200
2024-04-24,494.0,494.0,484.0,488.0,12400
2024-04-25,484.0,492.0,484.0,492.0,6600
2024-04-26,494.0,494.0,450.0,460.0,111000
2024-04-29,486.0,490.0,464.0,482.0,62200
2024-04-30,482.0,482.0,464.0,474.0,29300
2024-05-02,474.0,476.0,466.0,474.0,5200
2024-05-03,466.0,476.0,466.0,468.0,37800
2024-05-06,474.0,478.0,466.0,470.0,10800
2024-05-07,470.0,470.0,468.0,468.0,7300
2024-05-08,470.0,470.0,468.0,468.0,8300
2024-05-13,468.0,470.0,466.0,466.0,7000
2024-05-14,466.0,500.0,460.0,460.0,40100
2024-05-15,460.0,478.0,460.0,478.0,35900
2024-05-16,480.0,480.0,460.0,468.0,28000
2024-05-17,470.0,482.0,468.0,480.0,22600
2024-05-20,480.0,486.0,466.0,470.0,26800
2024-05-21,466.0,480.0,464.0,464.0,47600
2024-05-22,462.0,480.0,462.0,470.0,14900
2024-05-27,476.0,482.0,466.0,468.0,29800
2024-05-28,466.0,470.0,460.0,464.0,6400
2024-05-29,466.0,472.0,462.0,472.0,17800
2024-05-30,464.0,470.0,462.0,470.0,7500
2024-05-31,464.0,466.0,450.0,464.0,168900
2024-06-03,460.0,474.0,452.0,460.0,25700
2024-06-04,464.0,466.0,460.0,464.0,22500
2024-06-05,462.0,468.0,460.0,468.0,10300
2024-06-06,462.0,462.0,462.0,462.0,2100
2024-06-07,468.0,480.0,468.0,470.0,12100
2024-06-10,462.0,474.0,462.0,462.0,51600
2024-06-11,480.0,480.0,464.0,464.0,9800
2024-06-12,464.0,464.0,458.0,458.0,23400
2024-06-13,464.0,464.0,456.0,456.0,2400
2024-06-14,472.0,472.0,456.0,458.0,7500
2024-06-19,458.0,458.0,456.0,458.0,14500
2024-06-20,456.0,456.0,454.0,456.0,5500
2024-06-21,458.0,468.0,458.0,468.0,5200
2024-06-24,466.0,466.0,458.0,462.0,28100
2024-06-25,458.0,468.0,458.0,466.0,10500
2024-06-26,466.0,466.0,462.0,464.0,4300
2024-06-27,468.0,468.0,446.0,452.0,238100
2024-06-28,448.0,448.0,432.0,432.0,332800
2024-07-01,432.0,450.0,428.0,432.0,178800
2024-07-02,432.0,432.0,420.0,430.0,39000
2024-07-03,432.0,432.0,430.0,432.0,20300
2024-07-04,432.0,432.0,418.0,426.0,132200
2024-07-05,436.0,436.0,426.0,428.0,42400
2024-07-08,430.0,430.0,426.0,428.0,106000
2024-07-09,430.0,434.0,420.0,426.0,126200
2024-07-10,426.0,464.0,424.0,430.0,48900
2024-07-11,436.0,436.0,420.0,428.0,51200
2024-07-12,430.0,430.0,424.0,424.0,108800
2024-07-15,426.0,428.0,424.0,426.0,43300
2024-07-16,428.0,428.0,424.0,426.0,42000
2024-07-17,430.0,500.0,430.0,452.0,846000
2024-07-18,452.0,458.0,438.0,450.0,62700
2024-07-19,454.0,470.0,448.0,450.0,408100
2024-07-22,454.0,456.0,446.0,448.0,59600
2024-07-23,460.0,460.0,444.0,446.0,44400
2024-07-24,450.0,452.0,446.0,446.0,61400
2024-07-25,448.0,450.0,442.0,448.0,14400
2024-07-26,448.0,448.0,446.0,448.0,14400
