date,open,high,low,close,volume
2024-04-16,250.0,250.0,238.0,238.0,53700.0
2024-04-17,230.0,230.0,216.0,216.0,69700.0
2024-04-18,206.0,206.0,195.0,195.0,76700.0
2024-04-19,176.0,176.0,176.0,176.0,54000.0
2024-04-22,159.0,159.0,159.0,159.0,357400.0
2024-04-23,150.0,150.0,146.0,146.0,256000.0
2024-04-24,138.0,138.0,135.0,135.0,180400.0
2024-04-25,132.0,132.0,132.0,132.0,355000.0
2024-04-26,132.0,132.0,130.0,130.0,67400.0
2024-04-29,130.0,130.0,130.0,130.0,260600.0
2024-04-30,130.0,130.0,130.0,130.0,183400.0
2024-05-02,130.0,134.0,130.0,134.0,55000.0
2024-05-03,134.0,135.0,134.0,135.0,40900.0
2024-05-06,135.0,140.0,135.0,140.0,50900.0
2024-05-07,142.0,149.0,142.0,149.0,79000.0
2024-05-08,154.0,163.0,154.0,163.0,247300.0
2024-05-13,170.0,176.0,170.0,176.0,154000.0
2024-05-14,182.0,191.0,182.0,191.0,110200.0
2024-05-15,197.0,204.0,197.0,204.0,87900.0
2024-05-16,216.0,224.0,216.0,224.0,312800.0
2024-05-17,246.0,246.0,246.0,246.0,103800.0
2024-05-20,264.0,268.0,264.0,268.0,161100.0
2024-05-21,274.0,278.0,274.0,278.0,113200.0
2024-05-22,286.0,288.0,286.0,288.0,311200.0
2024-05-27,288.0,288.0,280.0,280.0,92000.0
2024-05-28,272.0,272.0,254.0,254.0,77900.0
2024-05-29,230.0,230.0,230.0,230.0,122300.0
2024-05-30,208.0,208.0,208.0,208.0,74600.0
2024-05-31,208.0,208.0,204.0,204.0,111700.0
2024-06-03,204.0,204.0,202.0,202.0,35700.0
2024-06-04,202.0,202.0,200.0,200.0,42800.0
2024-06-05,200.0,200.0,198.0,198.0,66500.0
2024-06-06,198.0,198.0,180.0,180.0,46600.0
2024-06-07,162.0,162.0,162.0,162.0,154500.0
2024-06-10,161.0,161.0,157.0,157.0,31500.0
2024-06-11,157.0,157.0,153.0,153.0,54200.0
2024-06-12,153.0,153.0,152.0,152.0,17900.0
2024-06-13,152.0,152.0,151.0,151.0,3100.0
2024-06-14,150.0,150.0,149.0,149.0,15200.0
2024-06-19,149.0,149.0,148.0,148.0,23000.0
2024-06-20,148.0,148.0,140.0,140.0,32900.0
2024-06-21,140.0,140.0,140.0,140.0,29600.0
2024-06-24,138.0,138.0,136.0,136.0,73500.0
2024-06-25,134.0,134.0,130.0,130.0,39100.0
2024-06-26,128.0,128.0,127.0,128.0,84400.0
2024-06-27,129.0,132.0,128.0,128.0,192100.0
2024-06-28,126.0,126.0,126.0,126.0,222800.0
2024-07-01,126.0,126.0,126.0,126.0,30900.0
2024-07-02,126.0,126.0,126.0,126.0,0.0
2024-07-03,126.0,126.0,126.0,126.0,0.0
2024-07-04,126.0,126.0,126.0,126.0,0.0
2024-07-05,126.0,126.0,126.0,126.0,0.0
2024-07-08,126.0,126.0,126.0,126.0,0.0
2024-07-09,126.0,126.0,126.0,126.0,0.0
2024-07-10,126.0,126.0,126.0,126.0,0.0
2024-07-11,126.0,126.0,126.0,126.0,0.0
2024-07-12,126.0,126.0,126.0,126.0,0.0
2024-07-15,126.0,126.0,126.0,126.0,0.0
2024-07-16,126.0,126.0,126.0,126.0,0.0
2024-07-17,126.0,126.0,126.0,126.0,0.0
2024-07-18,126.0,126.0,126.0,126.0,0.0
2024-07-19,126.0,126.0,126.0,126.0,0.0
2024-07-22,126.0,126.0,126.0,126.0,0.0
2024-07-23,126.0,126.0,126.0,126.0,0.0
2024-07-24,126.0,126.0,126.0,126.0,0.0
2024-07-25,126.0,126.0,126.0,126.0,0.0
2024-07-26,126.0,126.0,126.0,126.0,0.0
2024-07-29,126.0,126.0,126.0,126.0,0.0
2024-07-30,126.0,126.0,126.0,126.0,0.0
2024-07-31,126.0,126.0,126.0,126.0,0.0
2024-08-01,126.0,126.0,126.0,126.0,0.0
2024-08-02,126.0,126.0,126.0,126.0,0.0
2024-08-05,126.0,126.0,126.0,126.0,0.0
