date,open,high,low,close,volume
2024-04-16,560.0,560.0,545.0,550.0,55400
2024-04-17,550.0,550.0,540.0,545.0,13700
2024-04-18,540.0,545.0,535.0,545.0,25500
2024-04-19,535.0,540.0,535.0,540.0,4000
2024-04-22,535.0,545.0,535.0,535.0,12800
2024-04-23,535.0,540.0,535.0,540.0,2000
2024-04-24,540.0,540.0,525.0,540.0,31800
2024-04-25,530.0,545.0,530.0,530.0,20500
2024-04-26,530.0,540.0,525.0,530.0,16000
2024-04-29,530.0,535.0,515.0,535.0,189700
2024-04-30,535.0,535.0,535.0,535.0,100
2024-05-02,540.0,555.0,500.0,530.0,169700
2024-05-03,530.0,530.0,520.0,530.0,3200
2024-05-06,525.0,525.0,515.0,515.0,8900
2024-05-07,515.0,525.0,510.0,525.0,42800
2024-05-08,525.0,525.0,500.0,510.0,50300
2024-05-13,515.0,530.0,510.0,525.0,19500
2024-05-14,515.0,525.0,515.0,525.0,3400
2024-05-15,525.0,530.0,515.0,530.0,13800
2024-05-16,520.0,530.0,510.0,530.0,5200
2024-05-17,515.0,515.0,500.0,510.0,105700
2024-05-20,510.0,520.0,500.0,505.0,44600
2024-05-21,510.0,510.0,500.0,510.0,346800
2024-05-22,505.0,520.0,500.0,515.0,95700
2024-05-27,520.0,545.0,515.0,535.0,179700
2024-05-28,540.0,540.0,530.0,540.0,47500
2024-05-29,540.0,540.0,530.0,540.0,61300
2024-05-30,540.0,540.0,505.0,535.0,59700
2024-05-31,535.0,535.0,520.0,530.0,12900
2024-06-03,530.0,535.0,500.0,510.0,144000
2024-06-04,520.0,530.0,515.0,520.0,11000
2024-06-05,525.0,560.0,520.0,540.0,75800
2024-06-06,540.0,540.0,525.0,540.0,26300
2024-06-07,540.0,540.0,525.0,540.0,16300
2024-06-10,540.0,550.0,530.0,540.0,58900
2024-06-11,545.0,550.0,540.0,545.0,62000
2024-06-12,545.0,550.0,530.0,545.0,21700
2024-06-13,535.0,550.0,535.0,540.0,9200
2024-06-14,535.0,545.0,530.0,535.0,29600
2024-06-19,535.0,540.0,535.0,540.0,37400
2024-06-20,530.0,550.0,505.0,540.0,43700
2024-06-21,545.0,545.0,525.0,530.0,49600
2024-06-24,530.0,545.0,525.0,540.0,36200
2024-06-25,540.0,545.0,530.0,545.0,40400
2024-06-26,550.0,555.0,545.0,550.0,41400
2024-06-27,555.0,560.0,550.0,550.0,48700
2024-06-28,560.0,570.0,560.0,570.0,80300
2024-07-01,575.0,585.0,570.0,580.0,217800
2024-07-02,585.0,590.0,580.0,590.0,112800
2024-07-03,590.0,600.0,590.0,595.0,132000
2024-07-04,595.0,605.0,590.0,600.0,162800
2024-07-05,600.0,610.0,595.0,610.0,227200
2024-07-08,610.0,620.0,600.0,620.0,710500
2024-07-09,595.0,595.0,550.0,570.0,258900
2024-07-10,570.0,570.0,540.0,550.0,207100
2024-07-11,550.0,550.0,535.0,545.0,23600
2024-07-12,540.0,550.0,530.0,545.0,75200
2024-07-15,545.0,545.0,525.0,535.0,84900
2024-07-16,545.0,545.0,525.0,540.0,9700
2024-07-17,540.0,545.0,535.0,535.0,49000
2024-07-18,535.0,545.0,530.0,545.0,21900
2024-07-19,545.0,565.0,530.0,555.0,131600
2024-07-22,555.0,555.0,545.0,550.0,79700
2024-07-23,550.0,555.0,545.0,545.0,10600
2024-07-24,545.0,550.0,535.0,535.0,6200
2024-07-25,540.0,555.0,535.0,550.0,25400
2024-07-26,550.0,555.0,540.0,555.0,3600
2024-07-29,545.0,560.0,540.0,560.0,108100
2024-07-30,560.0,560.0,540.0,560.0,52100
2024-07-31,550.0,560.0,545.0,550.0,25500
2024-08-01,580.0,600.0,560.0,575.0,124700
2024-08-02,575.0,575.0,565.0,575.0,34500
2024-08-05,575.0,580.0,550.0,560.0,55400
2024-08-06,580.0,580.0,560.0,570.0,35100
2024-08-07,570.0,585.0,565.0,580.0,98800
2024-08-08,580.0,580.0,575.0,575.0,1700
2024-08-09,575.0,575.0,560.0,570.0,7100
2024-08-12,575.0,575.0,550.0,565.0,25400
2024-08-13,565.0,565.0,540.0,565.0,123300
2024-08-14,565.0,570.0,560.0,570.0,6700
2024-08-15,560.0,570.0,560.0,570.0,13600
2024-08-16,570.0,570.0,565.0,570.0,5100
2024-08-19,575.0,600.0,565.0,585.0,76100
2024-08-20,585.0,590.0,565.0,580.0,111800
2024-08-21,580.0,580.0,575.0,580.0,9400
2024-08-22,580.0,590.0,570.0,585.0,35600
2024-08-23,580.0,585.0,580.0,580.0,17100
2024-08-26,585.0,585.0,580.0,580.0,82600
2024-08-27,590.0,590.0,565.0,580.0,201700
2024-08-28,575.0,580.0,560.0,580.0,268600
2024-08-29,580.0,590.0,570.0,580.0,27800
2024-08-30,580.0,585.0,555.0,575.0,248400
2024-09-02,575.0,580.0,565.0,570.0,128800
2024-09-03,570.0,575.0,565.0,570.0,62400
2024-09-04,570.0,575.0,570.0,575.0,2300
2024-09-05,575.0,580.0,570.0,580.0,12200
2024-09-06,580.0,585.0,570.0,570.0,53500
2024-09-09,570.0,580.0,570.0,580.0,20600
