date,open,high,low,close,volume
2024-04-16,6300.0,6375.0,6125.0,6150.0,31099400
2024-04-17,6175.0,6200.0,6050.0,6050.0,12128500
2024-04-18,6050.0,6125.0,6050.0,6125.0,11611100
2024-04-19,6100.0,6100.0,6025.0,6100.0,10631200
2024-04-22,6100.0,6150.0,6025.0,6150.0,8102700
2024-04-23,6150.0,6150.0,6025.0,6025.0,7475600
2024-04-24,6050.0,6100.0,6025.0,6050.0,5024200
2024-04-25,6075.0,6200.0,6050.0,6200.0,7265800
2024-04-26,6200.0,6200.0,6050.0,6050.0,5110600
2024-04-29,6075.0,6175.0,6050.0,6175.0,5155300
2024-04-30,6200.0,6300.0,6125.0,6250.0,8890900
2024-05-02,6250.0,6275.0,6150.0,6225.0,9811900
2024-05-03,6250.0,6250.0,6125.0,6225.0,3416500
2024-05-06,6275.0,6275.0,6150.0,6225.0,5501200
2024-05-07,6225.0,6250.0,6150.0,6150.0,4465300
2024-05-08,6175.0,6200.0,6100.0,6200.0,6840500
2024-05-13,6175.0,6175.0,6025.0,6100.0,10170800
2024-05-14,6125.0,6175.0,6075.0,6175.0,7383800
2024-05-15,6150.0,6175.0,6050.0,6100.0,7161400
2024-05-16,6100.0,6175.0,6100.0,6150.0,8487800
2024-05-17,6150.0,6200.0,6100.0,6150.0,6993300
2024-05-20,6150.0,6250.0,6150.0,6225.0,6498900
2024-05-21,6225.0,6225.0,6100.0,6150.0,9376200
2024-05-22,6150.0,6175.0,6100.0,6150.0,3596200
2024-05-27,6150.0,6175.0,6025.0,6125.0,9550900
2024-05-28,6125.0,6175.0,6075.0,6125.0,5510700
2024-05-29,6100.0,6125.0,6050.0,6125.0,8131100
2024-05-30,6125.0,6125.0,6025.0,6050.0,9246200
2024-05-31,6075.0,6100.0,5875.0,5875.0,30407000
2024-06-03,5900.0,6050.0,5900.0,6050.0,11655600
2024-06-04,6050.0,6150.0,6025.0,6100.0,6440500
2024-06-05,6150.0,6200.0,6100.0,6125.0,4633000
2024-06-06,6175.0,6200.0,6125.0,6200.0,5444400
2024-06-07,6200.0,6250.0,6150.0,6200.0,3728000
2024-06-10,6225.0,6225.0,6100.0,6175.0,4207500
2024-06-11,6150.0,6175.0,6100.0,6125.0,5396100
2024-06-12,6125.0,6200.0,6100.0,6200.0,6352800
2024-06-13,6200.0,6200.0,6100.0,6125.0,5135700
2024-06-14,6125.0,6150.0,6025.0,6075.0,7040000
2024-06-19,6075.0,6100.0,5850.0,5925.0,12196300
2024-06-20,5950.0,5950.0,5850.0,5925.0,8634300
2024-06-21,5925.0,6100.0,5900.0,5975.0,17023600
