date,open,high,low,close,volume
2024-04-16,101.0,101.0,99.0,100.0,1351700
2024-04-17,99.0,103.0,98.0,98.0,1551000
2024-04-18,100.0,100.0,99.0,100.0,95800
2024-04-19,100.0,101.0,99.0,100.0,522000
2024-04-22,100.0,103.0,99.0,100.0,164800
2024-04-23,100.0,101.0,99.0,100.0,160200
2024-04-24,100.0,100.0,99.0,99.0,57300
2024-04-25,99.0,100.0,99.0,100.0,179600
2024-04-26,99.0,100.0,99.0,100.0,375100
2024-04-29,99.0,103.0,99.0,102.0,669500
2024-04-30,102.0,103.0,100.0,101.0,456400
2024-05-02,101.0,101.0,98.0,98.0,2371800
2024-05-03,99.0,99.0,98.0,99.0,2134800
2024-05-06,100.0,102.0,100.0,101.0,217100
2024-05-07,101.0,101.0,99.0,100.0,152600
2024-05-08,100.0,118.0,100.0,114.0,23775700
2024-05-13,114.0,127.0,112.0,112.0,30404400
2024-05-14,112.0,118.0,108.0,108.0,5876400
2024-05-15,108.0,110.0,104.0,107.0,1380000
2024-05-16,108.0,109.0,103.0,105.0,1543500
2024-05-17,105.0,107.0,104.0,105.0,442400
2024-05-20,104.0,105.0,103.0,103.0,354400
2024-05-21,105.0,105.0,104.0,104.0,70500
2024-05-22,105.0,105.0,102.0,102.0,406100
2024-05-27,101.0,103.0,100.0,102.0,1774800
2024-05-28,102.0,105.0,102.0,104.0,793400
2024-05-29,103.0,114.0,103.0,106.0,1372100
2024-05-30,106.0,106.0,105.0,105.0,162700
2024-05-31,105.0,105.0,100.0,102.0,1469400
2024-06-03,103.0,104.0,101.0,101.0,237000
2024-06-04,102.0,104.0,101.0,103.0,111200
2024-06-05,104.0,104.0,100.0,103.0,602700
2024-06-06,103.0,103.0,101.0,102.0,190900
2024-06-07,101.0,103.0,101.0,102.0,598800
2024-06-10,101.0,102.0,101.0,101.0,344100
2024-06-11,102.0,102.0,100.0,101.0,162200
2024-06-12,100.0,102.0,100.0,100.0,563400
2024-06-13,101.0,101.0,100.0,101.0,49700
2024-06-14,101.0,101.0,99.0,99.0,657700
2024-06-19,99.0,101.0,99.0,101.0,155500
2024-06-20,101.0,101.0,99.0,100.0,276000
2024-06-21,100.0,101.0,99.0,101.0,128400
2024-06-24,99.0,108.0,99.0,102.0,900000
2024-06-25,101.0,103.0,99.0,100.0,305500
2024-06-26,101.0,102.0,99.0,100.0,262800
2024-06-27,100.0,101.0,99.0,101.0,320200
2024-06-28,100.0,101.0,98.0,100.0,1121500
2024-07-01,100.0,101.0,98.0,99.0,903000
2024-07-02,99.0,100.0,98.0,100.0,53700
2024-07-03,100.0,100.0,99.0,99.0,403100
2024-07-04,100.0,104.0,99.0,101.0,586200
2024-07-05,101.0,103.0,98.0,99.0,254600
2024-07-08,99.0,100.0,98.0,100.0,504500
2024-07-09,100.0,100.0,98.0,98.0,278800
2024-07-10,98.0,100.0,97.0,98.0,4187800
2024-07-11,99.0,100.0,98.0,98.0,234000
2024-07-12,99.0,100.0,98.0,100.0,126400
2024-07-15,99.0,99.0,99.0,99.0,313300
2024-07-16,100.0,101.0,99.0,100.0,166300
