date,open,high,low,close,volume
2024-04-16,52.0,54.0,52.0,53.0,320255900
2024-04-17,53.0,53.0,52.0,52.0,19923400
2024-04-18,52.0,53.0,51.0,51.0,60511200
2024-04-19,51.0,52.0,50.0,51.0,240777400
2024-04-22,51.0,51.0,50.0,50.0,11690300
2024-04-23,50.0,56.0,50.0,54.0,315114700
2024-04-24,54.0,55.0,52.0,53.0,163023200
2024-04-25,53.0,54.0,52.0,53.0,206826000
2024-04-26,53.0,53.0,51.0,52.0,56657900
2024-04-29,52.0,52.0,50.0,51.0,24645200
2024-04-30,51.0,51.0,50.0,51.0,4471600
2024-05-02,51.0,52.0,50.0,51.0,239110200
2024-05-03,51.0,52.0,50.0,52.0,195436700
2024-05-06,52.0,53.0,50.0,51.0,207667700
2024-05-07,51.0,53.0,50.0,52.0,158625300
2024-05-08,51.0,52.0,50.0,52.0,34914700
2024-05-13,51.0,52.0,51.0,52.0,6689400
2024-05-14,52.0,52.0,51.0,52.0,14937500
2024-05-15,52.0,53.0,51.0,53.0,48837000
2024-05-16,53.0,55.0,52.0,52.0,160136000
2024-05-17,52.0,54.0,51.0,52.0,154597000
2024-05-20,52.0,53.0,51.0,51.0,36361800
2024-05-21,51.0,52.0,51.0,51.0,10209900
2024-05-22,51.0,52.0,51.0,52.0,6175300
2024-05-27,51.0,52.0,50.0,51.0,44023100
2024-05-28,51.0,52.0,50.0,52.0,38258700
2024-05-29,51.0,52.0,50.0,52.0,51605200
2024-05-30,52.0,52.0,50.0,51.0,65379100
2024-05-31,51.0,52.0,50.0,51.0,48075300
2024-06-03,51.0,51.0,50.0,51.0,7305700
2024-06-04,51.0,51.0,50.0,51.0,10312300
2024-06-05,51.0,51.0,50.0,51.0,9681100
2024-06-06,51.0,51.0,50.0,51.0,8464100
2024-06-07,50.0,51.0,50.0,51.0,10418400
2024-06-10,50.0,52.0,50.0,50.0,35783900
2024-06-11,50.0,51.0,50.0,51.0,73471200
2024-06-12,50.0,51.0,50.0,51.0,63651000
2024-06-13,51.0,53.0,50.0,51.0,95376500
2024-06-14,51.0,52.0,50.0,52.0,51121500
2024-06-19,51.0,52.0,50.0,52.0,54245200
2024-06-20,51.0,52.0,50.0,52.0,14344200
2024-06-21,51.0,52.0,50.0,52.0,7260500
2024-06-24,51.0,54.0,51.0,53.0,108756500
2024-06-25,53.0,53.0,51.0,52.0,37586700
2024-06-26,51.0,54.0,50.0,50.0,132239500
2024-06-27,50.0,51.0,50.0,50.0,5923800
2024-06-28,50.0,51.0,50.0,50.0,27255800
2024-07-01,50.0,50.0,50.0,50.0,36933800
2024-07-02,50.0,50.0,50.0,50.0,2348100
2024-07-03,50.0,50.0,50.0,50.0,8315300
2024-07-04,50.0,52.0,50.0,51.0,19082200
2024-07-05,51.0,52.0,50.0,51.0,1435200
2024-07-08,51.0,51.0,50.0,50.0,2017800
2024-07-09,50.0,51.0,50.0,51.0,3743500
2024-07-10,50.0,51.0,50.0,51.0,62560300
2024-07-11,50.0,51.0,50.0,51.0,1885000
2024-07-12,50.0,51.0,50.0,51.0,1753200
2024-07-15,50.0,51.0,50.0,51.0,2412700
2024-07-16,50.0,51.0,50.0,51.0,3542100
2024-07-17,51.0,51.0,50.0,51.0,3719500
2024-07-18,51.0,51.0,50.0,51.0,751100
2024-07-19,50.0,51.0,50.0,51.0,524800
2024-07-22,50.0,51.0,50.0,50.0,701900
2024-07-23,51.0,51.0,50.0,51.0,4769000
2024-07-24,50.0,55.0,50.0,53.0,217816300
2024-07-25,53.0,54.0,50.0,51.0,134749900
2024-07-26,51.0,51.0,50.0,50.0,78676700
2024-07-29,50.0,51.0,50.0,51.0,9999000
2024-07-30,51.0,54.0,50.0,53.0,62929700
2024-07-31,53.0,54.0,52.0,53.0,56343100
2024-08-01,53.0,53.0,51.0,53.0,35407700
2024-08-02,52.0,53.0,51.0,52.0,3545700
2024-08-05,51.0,52.0,51.0,52.0,4246000
2024-08-06,51.0,52.0,50.0,52.0,6182600
2024-08-07,52.0,52.0,51.0,52.0,1343000
2024-08-08,52.0,69.0,51.0,68.0,192449700
2024-08-09,69.0,72.0,62.0,69.0,244220200
2024-08-12,69.0,75.0,65.0,72.0,212641400
2024-08-13,73.0,78.0,68.0,76.0,293311400
2024-08-14,76.0,79.0,71.0,71.0,191132900
2024-08-15,72.0,75.0,69.0,72.0,144854300
2024-08-16,72.0,75.0,71.0,73.0,131339400
2024-08-19,73.0,76.0,72.0,74.0,149589900
2024-08-20,75.0,76.0,72.0,73.0,69143000
2024-08-21,73.0,74.0,71.0,73.0,41588400
2024-08-22,73.0,73.0,69.0,70.0,54449300
2024-08-23,70.0,70.0,69.0,70.0,41216800
2024-08-26,70.0,73.0,68.0,69.0,76911300
2024-08-27,69.0,70.0,67.0,69.0,57423600
2024-08-28,68.0,74.0,68.0,71.0,201755200
2024-08-29,72.0,93.0,69.0,92.0,560677800
2024-08-30,95.0,95.0,60.0,90.0,304919000
2024-09-02,90.0,90.0,85.0,87.0,76660400
2024-09-03,87.0,95.0,86.0,87.0,265884600
2024-09-04,87.0,88.0,79.0,87.0,213951800
2024-09-05,87.0,88.0,84.0,87.0,122689800
2024-09-06,87.0,88.0,84.0,87.0,64145200
2024-09-09,94.0,94.0,85.0,85.0,21248300
2024-09-10,85.0,86.0,76.0,76.0,162394500
2024-09-11,76.0,78.0,70.0,77.0,190694000
2024-09-12,77.0,80.0,75.0,76.0,76518600
2024-09-13,76.0,77.0,74.0,74.0,23604100
2024-09-17,74.0,77.0,73.0,75.0,106966400
2024-09-18,75.0,82.0,73.0,81.0,215059000
2024-09-19,85.0,85.0,76.0,78.0,207431100
2024-09-20,88.0,88.0,75.0,76.0,12666800
2024-09-23,75.0,76.0,72.0,73.0,105552000
2024-09-24,73.0,75.0,71.0,72.0,174691500
2024-09-25,80.0,80.0,71.0,72.0,29754700
2024-09-26,72.0,73.0,71.0,71.0,91489500
2024-09-27,71.0,72.0,70.0,70.0,48660400
2024-09-30,70.0,70.0,64.0,68.0,162915800
2024-10-01,68.0,73.0,67.0,68.0,240491300
2024-10-02,68.0,70.0,67.0,68.0,168113500
2024-10-03,68.0,70.0,66.0,68.0,319903700
2024-10-04,68.0,68.0,65.0,67.0,67201100
2024-10-07,66.0,73.0,65.0,69.0,604083000
2024-10-08,70.0,71.0,67.0,69.0,245731700
2024-10-09,69.0,69.0,67.0,68.0,193822900
2024-10-10,68.0,70.0,66.0,67.0,285897600
2024-10-11,67.0,68.0,66.0,68.0,220798200
2024-10-14,68.0,72.0,66.0,68.0,317930000
2024-10-15,68.0,70.0,67.0,68.0,251553100
2024-10-16,68.0,76.0,67.0,71.0,719547500
2024-10-17,66.0,72.0,66.0,70.0,306438100
2024-10-18,70.0,70.0,67.0,69.0,137638100
2024-10-21,69.0,82.0,67.0,78.0,852877100
