date,open,high,low,close,volume
2024-04-16,710.0,760.0,710.0,760.0,245000
2024-04-17,818.0,818.0,812.0,812.0,37500
2024-04-18,836.0,836.0,830.0,830.0,9000
2024-04-19,850.0,850.0,838.0,838.0,40500
2024-04-22,838.0,838.0,838.0,838.0,0
2024-04-23,760.0,834.0,760.0,834.0,30500
2024-04-24,830.0,830.0,820.0,820.0,56000
2024-04-25,818.0,818.0,800.0,800.0,25500
2024-04-26,796.0,796.0,758.0,758.0,42000
2024-04-29,758.0,758.0,758.0,758.0,4500
2024-04-30,756.0,756.0,754.0,754.0,1000
2024-05-02,816.0,816.0,810.0,810.0,10500
2024-05-03,872.0,872.0,856.0,856.0,28000
2024-05-06,852.0,852.0,852.0,852.0,13000
2024-05-07,852.0,852.0,852.0,852.0,0
2024-05-08,780.0,836.0,780.0,836.0,39500
2024-05-13,830.0,830.0,830.0,830.0,3000
2024-05-14,830.0,830.0,830.0,830.0,0
2024-05-15,748.0,830.0,748.0,750.0,46500
2024-05-16,748.0,748.0,746.0,746.0,38000
2024-05-17,746.0,746.0,722.0,740.0,18000
2024-05-20,760.0,760.0,700.0,736.0,68500
2024-05-21,720.0,760.0,696.0,696.0,324500
2024-05-22,760.0,760.0,754.0,754.0,11500
2024-05-27,760.0,760.0,758.0,758.0,9000
2024-05-28,758.0,758.0,756.0,756.0,65500
2024-05-29,756.0,756.0,752.0,752.0,21000
2024-05-30,750.0,750.0,744.0,744.0,25500
2024-05-31,738.0,738.0,738.0,738.0,36500
2024-06-03,726.0,726.0,718.0,718.0,285000
2024-06-04,714.0,714.0,710.0,710.0,39000
2024-06-05,698.0,698.0,682.0,682.0,48500
2024-06-06,678.0,678.0,656.0,656.0,77500
2024-06-07,648.0,648.0,630.0,630.0,13000
2024-06-10,678.0,678.0,674.0,674.0,35000
2024-06-11,672.0,672.0,668.0,668.0,21500
2024-06-12,664.0,664.0,660.0,660.0,53500
2024-06-13,715.0,715.0,705.0,705.0,102700
2024-06-14,730.0,730.0,700.0,700.0,18100
2024-06-19,690.0,700.0,670.0,700.0,74300
2024-06-20,690.0,690.0,680.0,680.0,4900
2024-06-21,670.0,670.0,650.0,650.0,18500
2024-06-24,680.0,680.0,675.0,675.0,6000
2024-06-25,675.0,760.0,650.0,670.0,228200
2024-06-26,705.0,705.0,650.0,670.0,106000
2024-06-27,680.0,800.0,640.0,655.0,153200
2024-06-28,650.0,730.0,650.0,715.0,97900
2024-07-01,680.0,720.0,645.0,700.0,351700
2024-07-02,675.0,755.0,650.0,725.0,358400
2024-07-03,715.0,760.0,710.0,730.0,106400
2024-07-04,725.0,730.0,680.0,715.0,184400
2024-07-05,715.0,715.0,550.0,630.0,733900
2024-07-08,635.0,645.0,615.0,635.0,198900
2024-07-09,640.0,650.0,610.0,615.0,172600
2024-07-10,620.0,640.0,610.0,620.0,41200
2024-07-11,625.0,630.0,620.0,620.0,39500
2024-07-12,630.0,640.0,625.0,630.0,45000
2024-07-15,640.0,645.0,615.0,635.0,263400
2024-07-16,630.0,635.0,625.0,625.0,12100
2024-07-17,635.0,635.0,625.0,625.0,14700
2024-07-18,625.0,630.0,620.0,625.0,13600
2024-07-19,635.0,640.0,625.0,635.0,55100
2024-07-22,635.0,640.0,625.0,635.0,13800
2024-07-23,640.0,640.0,630.0,630.0,205400
2024-07-24,630.0,635.0,625.0,635.0,25600
2024-07-25,635.0,635.0,620.0,630.0,25500
2024-07-26,630.0,635.0,620.0,630.0,49200
2024-07-29,625.0,630.0,620.0,620.0,136400
2024-07-30,620.0,630.0,615.0,625.0,4800
2024-07-31,625.0,660.0,620.0,640.0,50300
2024-08-01,600.0,640.0,600.0,640.0,85000
2024-08-02,635.0,635.0,630.0,635.0,131400
2024-08-05,630.0,630.0,615.0,615.0,21000
2024-08-06,615.0,620.0,600.0,620.0,33400
2024-08-07,620.0,635.0,600.0,620.0,156800
2024-08-08,625.0,625.0,610.0,625.0,50100
2024-08-09,630.0,635.0,620.0,630.0,51100
2024-08-12,630.0,630.0,610.0,620.0,19600
2024-08-13,620.0,625.0,620.0,620.0,252500
2024-08-14,620.0,630.0,615.0,630.0,90700
2024-08-15,630.0,635.0,630.0,635.0,43500
2024-08-16,625.0,635.0,625.0,635.0,16800
2024-08-19,635.0,635.0,625.0,625.0,39800
2024-08-20,630.0,640.0,625.0,630.0,13400
2024-08-21,630.0,630.0,625.0,630.0,17500
2024-08-22,630.0,630.0,620.0,630.0,6600
2024-08-23,630.0,630.0,625.0,630.0,4700
2024-08-26,630.0,630.0,625.0,630.0,23200
2024-08-27,630.0,630.0,620.0,625.0,21400
2024-08-28,630.0,630.0,615.0,625.0,35300
2024-08-29,625.0,630.0,625.0,625.0,8700
2024-08-30,620.0,625.0,620.0,620.0,5500
2024-09-02,620.0,625.0,620.0,620.0,14400
2024-09-03,615.0,625.0,615.0,625.0,28300
2024-09-04,630.0,630.0,620.0,620.0,15600
2024-09-05,620.0,620.0,615.0,620.0,28700
2024-09-06,620.0,620.0,610.0,620.0,16700
2024-09-09,620.0,660.0,615.0,640.0,130400
2024-09-10,635.0,635.0,615.0,620.0,219300
2024-09-11,620.0,620.0,615.0,620.0,67000
2024-09-12,615.0,615.0,610.0,615.0,73100
2024-09-13,610.0,615.0,605.0,615.0,9600
2024-09-17,615.0,615.0,595.0,615.0,47400
2024-09-18,615.0,615.0,605.0,615.0,65200
2024-09-19,610.0,615.0,605.0,615.0,19000
2024-09-20,615.0,615.0,600.0,610.0,41100
2024-09-23,610.0,610.0,595.0,605.0,75900
2024-09-24,605.0,610.0,600.0,605.0,27800
2024-09-25,605.0,605.0,595.0,600.0,121100
2024-09-26,605.0,605.0,595.0,600.0,42700
2024-09-27,600.0,605.0,595.0,600.0,25800
2024-09-30,600.0,605.0,595.0,595.0,28000
2024-10-01,600.0,600.0,590.0,600.0,26500
2024-10-02,600.0,600.0,595.0,600.0,7000
2024-10-03,600.0,600.0,590.0,595.0,13900
2024-10-04,595.0,600.0,590.0,590.0,25200
2024-10-07,595.0,610.0,590.0,595.0,12500
2024-10-08,600.0,615.0,595.0,605.0,29200
2024-10-09,605.0,605.0,600.0,600.0,5800
2024-10-10,600.0,605.0,600.0,600.0,27200
2024-10-11,605.0,605.0,600.0,600.0,18800
2024-10-14,600.0,605.0,600.0,600.0,7900
2024-10-15,600.0,615.0,600.0,615.0,10100
2024-10-16,615.0,615.0,600.0,600.0,3900
2024-10-17,605.0,615.0,600.0,615.0,12600
2024-10-18,615.0,615.0,605.0,610.0,30600
2024-10-21,610.0,620.0,610.0,620.0,56700
2024-10-22,615.0,625.0,610.0,620.0,11400
2024-10-23,615.0,620.0,615.0,620.0,22600
2024-10-24,615.0,620.0,610.0,620.0,13000
2024-10-25,640.0,640.0,620.0,620.0,12100
2024-10-28,620.0,620.0,615.0,620.0,44400
2024-10-29,625.0,625.0,610.0,615.0,4800
2024-10-30,620.0,620.0,615.0,620.0,53900
2024-10-31,620.0,620.0,600.0,620.0,118200
2024-11-01,620.0,620.0,600.0,605.0,1900
2024-11-04,620.0,625.0,600.0,600.0,36400
2024-11-05,600.0,605.0,590.0,605.0,12700
2024-11-06,600.0,610.0,595.0,595.0,12200
2024-11-07,600.0,610.0,590.0,610.0,16100
2024-11-08,600.0,600.0,600.0,600.0,100
2024-11-11,610.0,610.0,600.0,610.0,52900
2024-11-12,550.0,620.0,550.0,600.0,7000
