date,open,high,low,close,volume
2024-04-16,362.0,374.0,362.0,370.0,2200
2024-04-17,370.0,370.0,364.0,366.0,2300
2024-04-18,362.0,380.0,362.0,376.0,9400
2024-04-19,364.0,364.0,360.0,362.0,15000
2024-04-22,366.0,372.0,366.0,372.0,1100
2024-04-23,372.0,372.0,364.0,372.0,7000
2024-04-24,368.0,370.0,368.0,368.0,500
2024-04-25,372.0,372.0,372.0,372.0,1300
2024-04-26,364.0,370.0,362.0,368.0,4100
2024-04-29,368.0,374.0,366.0,370.0,2500
2024-04-30,368.0,368.0,364.0,368.0,3000
2024-05-02,366.0,366.0,360.0,360.0,6700
2024-05-03,360.0,368.0,354.0,368.0,17300
2024-05-06,366.0,366.0,360.0,360.0,4300
2024-05-07,360.0,370.0,360.0,370.0,10200
2024-05-08,354.0,366.0,354.0,366.0,2600
2024-05-13,366.0,370.0,366.0,370.0,10200
2024-05-14,366.0,366.0,358.0,366.0,2900
2024-05-15,366.0,370.0,366.0,370.0,110000
2024-05-16,370.0,370.0,370.0,370.0,100
2024-05-17,370.0,370.0,360.0,364.0,1600
2024-05-20,360.0,370.0,360.0,366.0,14900
2024-05-21,362.0,366.0,362.0,366.0,2100
2024-05-22,366.0,366.0,364.0,364.0,400
2024-05-27,366.0,366.0,330.0,348.0,28200
2024-05-28,338.0,348.0,338.0,342.0,12800
2024-05-29,332.0,340.0,332.0,340.0,300
2024-05-30,340.0,346.0,332.0,346.0,7100
2024-05-31,344.0,344.0,332.0,340.0,17300
2024-06-03,336.0,340.0,336.0,338.0,700
2024-06-04,332.0,338.0,332.0,338.0,900
2024-06-05,334.0,338.0,334.0,338.0,300
2024-06-06,338.0,354.0,322.0,344.0,5700
2024-06-07,330.0,352.0,330.0,344.0,600
2024-06-10,322.0,388.0,318.0,374.0,349100
2024-06-11,368.0,374.0,356.0,372.0,47300
2024-06-12,380.0,380.0,362.0,364.0,4200
2024-06-13,364.0,378.0,356.0,374.0,4100
2024-06-14,374.0,440.0,332.0,400.0,221200
2024-06-19,386.0,412.0,310.0,316.0,515700
2024-06-20,316.0,336.0,316.0,320.0,28900
2024-06-21,320.0,324.0,310.0,318.0,28400
2024-06-24,326.0,326.0,318.0,318.0,42900
2024-06-25,318.0,336.0,318.0,318.0,3300
2024-06-26,318.0,328.0,314.0,316.0,79400
2024-06-27,320.0,330.0,312.0,320.0,29900
2024-06-28,318.0,320.0,314.0,314.0,8600
2024-07-01,310.0,320.0,300.0,314.0,1004000
2024-07-02,314.0,314.0,278.0,288.0,1648500
2024-07-03,288.0,312.0,286.0,306.0,385200
2024-07-04,306.0,312.0,296.0,302.0,42400
2024-07-05,300.0,302.0,300.0,300.0,13300
2024-07-08,300.0,330.0,300.0,310.0,125400
2024-07-09,312.0,312.0,300.0,308.0,11900
2024-07-10,312.0,324.0,302.0,304.0,28200
2024-07-11,320.0,320.0,296.0,306.0,29200
2024-07-12,306.0,310.0,302.0,306.0,46100
2024-07-15,312.0,312.0,300.0,306.0,1400
2024-07-16,310.0,312.0,290.0,310.0,57900
2024-07-17,308.0,310.0,296.0,298.0,58500
2024-07-18,302.0,316.0,300.0,304.0,23600
2024-07-19,300.0,310.0,290.0,300.0,22400
2024-07-22,298.0,298.0,290.0,296.0,16500
2024-07-23,298.0,298.0,298.0,298.0,1200
2024-07-24,304.0,304.0,288.0,294.0,15000
2024-07-25,296.0,296.0,296.0,296.0,500
2024-07-26,296.0,312.0,292.0,292.0,37100
2024-07-29,294.0,298.0,294.0,298.0,3200
2024-07-30,296.0,298.0,296.0,298.0,3300
2024-07-31,298.0,320.0,298.0,312.0,157400
2024-08-01,312.0,312.0,298.0,312.0,42100
2024-08-02,312.0,316.0,308.0,312.0,20200
2024-08-05,300.0,312.0,294.0,300.0,52200
2024-08-06,300.0,310.0,298.0,308.0,17800
2024-08-07,310.0,312.0,304.0,312.0,60700
2024-08-08,312.0,312.0,312.0,312.0,11000
2024-08-09,306.0,316.0,304.0,316.0,5200
2024-08-12,302.0,308.0,300.0,300.0,11500
2024-08-13,308.0,342.0,306.0,324.0,338500
2024-08-14,324.0,324.0,312.0,322.0,15000
2024-08-15,322.0,322.0,312.0,322.0,148000
2024-08-16,322.0,330.0,322.0,322.0,75200
2024-08-19,322.0,326.0,320.0,320.0,67800
2024-08-20,326.0,332.0,320.0,332.0,4200
2024-08-21,320.0,332.0,320.0,322.0,4800
2024-08-22,320.0,324.0,320.0,322.0,3800
2024-08-23,334.0,350.0,312.0,332.0,128700
2024-08-26,330.0,332.0,322.0,332.0,65800
2024-08-27,332.0,334.0,316.0,324.0,95300
2024-08-28,320.0,320.0,304.0,320.0,66500
2024-08-29,320.0,328.0,320.0,320.0,7100
2024-08-30,320.0,336.0,318.0,324.0,3500
2024-09-02,320.0,344.0,320.0,332.0,97600
2024-09-03,332.0,344.0,318.0,338.0,17700
2024-09-04,340.0,340.0,328.0,334.0,16400
2024-09-05,340.0,344.0,312.0,324.0,6200
2024-09-06,324.0,340.0,316.0,332.0,17200
2024-09-09,332.0,360.0,332.0,360.0,200100
2024-09-10,358.0,370.0,332.0,338.0,44900
2024-09-11,338.0,346.0,330.0,334.0,11700
2024-09-12,336.0,346.0,330.0,346.0,66100
2024-09-13,354.0,362.0,342.0,350.0,18100
2024-09-17,350.0,360.0,350.0,360.0,130100
2024-09-18,366.0,368.0,356.0,366.0,77600
2024-09-19,356.0,368.0,356.0,366.0,16200
2024-09-20,366.0,366.0,358.0,364.0,26600
2024-09-23,366.0,366.0,356.0,356.0,12200
2024-09-24,356.0,362.0,356.0,360.0,6200
2024-09-25,360.0,364.0,358.0,358.0,12800
2024-09-26,358.0,358.0,340.0,340.0,386500
2024-09-27,340.0,350.0,340.0,348.0,35200
2024-09-30,346.0,346.0,330.0,340.0,33100
2024-10-01,340.0,356.0,340.0,350.0,27300
2024-10-02,346.0,346.0,330.0,340.0,4600
