date,open,high,low,close,volume
2024-04-16,650.0,650.0,625.0,650.0,275000
2024-04-17,650.0,655.0,625.0,650.0,1075900
2024-04-18,650.0,650.0,635.0,650.0,433800
2024-04-19,645.0,650.0,630.0,635.0,648300
2024-04-22,635.0,645.0,630.0,645.0,1364300
2024-04-23,645.0,650.0,635.0,650.0,611200
2024-04-24,650.0,655.0,645.0,650.0,409600
2024-04-25,640.0,650.0,640.0,645.0,1752700
2024-04-26,645.0,650.0,640.0,640.0,387900
2024-04-29,635.0,645.0,630.0,645.0,449800
2024-04-30,640.0,685.0,640.0,670.0,745200
2024-05-02,670.0,680.0,660.0,680.0,310700
2024-05-03,680.0,685.0,665.0,685.0,155400
2024-05-06,685.0,690.0,675.0,685.0,361900
2024-05-07,680.0,690.0,680.0,690.0,117600
2024-05-08,690.0,690.0,675.0,690.0,245500
2024-05-13,675.0,685.0,670.0,680.0,889400
2024-05-14,680.0,685.0,675.0,685.0,109800
2024-05-15,685.0,690.0,680.0,690.0,111700
2024-05-16,690.0,690.0,675.0,680.0,1149600
2024-05-17,685.0,690.0,680.0,690.0,324200
2024-05-20,690.0,695.0,680.0,685.0,907700
2024-05-21,685.0,695.0,680.0,690.0,118200
2024-05-22,690.0,695.0,675.0,690.0,329300
2024-05-27,690.0,695.0,675.0,685.0,645900
2024-05-28,685.0,685.0,670.0,680.0,1021500
2024-05-29,675.0,680.0,670.0,675.0,754200
2024-05-30,675.0,680.0,675.0,680.0,109100
2024-05-31,675.0,675.0,660.0,670.0,1862600
2024-06-03,675.0,675.0,650.0,670.0,980800
2024-06-04,675.0,675.0,670.0,675.0,279600
2024-06-05,675.0,675.0,665.0,670.0,940200
2024-06-06,665.0,670.0,660.0,665.0,765900
2024-06-07,665.0,665.0,660.0,665.0,555500
2024-06-10,665.0,670.0,655.0,665.0,688200
2024-06-11,665.0,665.0,650.0,660.0,1271400
2024-06-12,660.0,670.0,655.0,670.0,852100
2024-06-13,645.0,660.0,640.0,660.0,642600
2024-06-14,660.0,665.0,650.0,665.0,471800
2024-06-19,655.0,665.0,640.0,650.0,1054000
2024-06-20,650.0,655.0,640.0,650.0,573500
2024-06-21,650.0,655.0,640.0,655.0,401000
2024-06-24,655.0,655.0,635.0,650.0,1216400
2024-06-25,650.0,650.0,620.0,630.0,2722000
2024-06-26,630.0,635.0,610.0,630.0,2542000
