date,open,high,low,close,volume
2024-04-16,5500.0,5500.0,5100.0,5450.0,18675600
2024-04-17,5475.0,5475.0,5300.0,5325.0,7093500
2024-04-18,5300.0,5350.0,5200.0,5250.0,6656800
2024-04-19,5250.0,5425.0,5100.0,5425.0,7453300
2024-04-22,5400.0,5475.0,5300.0,5400.0,2746200
2024-04-23,5425.0,5425.0,5300.0,5325.0,1510800
2024-04-24,5325.0,5375.0,5225.0,5250.0,4185900
2024-04-25,5300.0,5325.0,5225.0,5250.0,4750700
2024-04-26,5275.0,5300.0,5000.0,5050.0,4310000
2024-04-29,5075.0,5350.0,4930.0,5300.0,5375100
2024-04-30,5200.0,5400.0,5150.0,5400.0,3712000
2024-05-02,5400.0,5400.0,5025.0,5125.0,5140300
2024-05-03,5150.0,5225.0,4990.0,5025.0,3461700
2024-05-06,5000.0,5425.0,5000.0,5425.0,7939000
2024-05-07,5400.0,5400.0,5150.0,5175.0,9408100
2024-05-08,5200.0,5225.0,5100.0,5200.0,7892600
2024-05-13,5225.0,5250.0,5050.0,5150.0,6876900
2024-05-14,5175.0,5200.0,4990.0,5025.0,4844800
2024-05-15,5100.0,5150.0,5000.0,5075.0,7329400
2024-05-16,5150.0,5175.0,5050.0,5050.0,7912700
2024-05-17,5050.0,5100.0,4970.0,5000.0,7744800
2024-05-20,5000.0,5075.0,4990.0,5000.0,6096000
2024-05-21,5000.0,5000.0,4840.0,4900.0,6492200
2024-05-22,4920.0,5000.0,4900.0,5000.0,4947700
2024-05-27,5000.0,5000.0,4840.0,4950.0,5149100
2024-05-28,4950.0,4960.0,4860.0,4880.0,5910400
2024-05-29,4890.0,4930.0,4840.0,4910.0,1698700
2024-05-30,4910.0,4920.0,4850.0,4890.0,2451700
2024-05-31,4890.0,4890.0,4780.0,4780.0,8751400
2024-06-03,4780.0,4840.0,4750.0,4760.0,7516700
2024-06-04,4760.0,5025.0,4760.0,4930.0,7426400
2024-06-05,4930.0,5000.0,4910.0,5000.0,4273300
2024-06-06,5000.0,5175.0,5000.0,5075.0,12243200
2024-06-07,5075.0,5200.0,5075.0,5175.0,3592600
2024-06-10,5175.0,5200.0,5050.0,5050.0,2927700
2024-06-11,5050.0,5150.0,5050.0,5050.0,3326700
2024-06-12,5050.0,5125.0,4970.0,5025.0,2393000
2024-06-13,5050.0,5100.0,4900.0,4950.0,1494700
2024-06-14,4930.0,4950.0,4710.0,4740.0,4020800
2024-06-19,4740.0,4760.0,4680.0,4690.0,5631200
2024-06-20,4700.0,4830.0,4630.0,4780.0,3073400
2024-06-21,4780.0,5025.0,4780.0,4990.0,5342500
2024-06-24,4980.0,5100.0,4980.0,5025.0,5726800
2024-06-25,5025.0,5075.0,4950.0,5000.0,3312800
2024-06-26,5000.0,5100.0,4910.0,4960.0,3945800
2024-06-27,4970.0,4990.0,4930.0,4930.0,1022900
2024-06-28,4950.0,5050.0,4950.0,4980.0,7217700
2024-07-01,4980.0,5025.0,4920.0,4950.0,6328700
2024-07-02,4990.0,5250.0,4960.0,5150.0,23405000
2024-07-03,5200.0,5375.0,5175.0,5250.0,15435000
2024-07-04,5250.0,5400.0,5100.0,5250.0,9838800
2024-07-05,5250.0,5425.0,5200.0,5275.0,19346300
2024-07-08,5275.0,5400.0,5250.0,5250.0,8088700
2024-07-09,5250.0,5475.0,5200.0,5250.0,8588200
2024-07-10,5275.0,5300.0,5125.0,5125.0,2107500
2024-07-11,5150.0,5375.0,5150.0,5300.0,6528200
2024-07-12,5325.0,5450.0,5250.0,5375.0,4198900
2024-07-15,5375.0,5400.0,5175.0,5300.0,5487100
2024-07-16,5325.0,5325.0,5200.0,5325.0,2877300
2024-07-17,5325.0,5350.0,5200.0,5200.0,1982800
2024-07-18,5200.0,5275.0,5125.0,5125.0,3580400
2024-07-19,5175.0,5350.0,5100.0,5350.0,7087700
2024-07-22,5375.0,5400.0,5300.0,5350.0,2652100
2024-07-23,5325.0,5475.0,5300.0,5450.0,7592600
2024-07-24,5450.0,5475.0,5300.0,5450.0,2780400
2024-07-25,5450.0,5600.0,5375.0,5475.0,7953000
2024-07-26,5500.0,5550.0,5400.0,5400.0,11255900
2024-07-29,5450.0,5450.0,5300.0,5400.0,4282500
2024-07-30,5425.0,5425.0,5200.0,5325.0,5455400
2024-07-31,5350.0,5575.0,5325.0,5550.0,10188400
2024-08-01,5600.0,5600.0,5250.0,5400.0,9778700
2024-08-02,5375.0,5400.0,5325.0,5350.0,6587300
2024-08-05,5300.0,5350.0,5150.0,5300.0,6585200
2024-08-06,5300.0,5450.0,5250.0,5425.0,5007600
2024-08-07,5425.0,5450.0,5400.0,5400.0,1690400
2024-08-08,5400.0,5450.0,5325.0,5350.0,1901500
2024-08-09,5400.0,5525.0,5400.0,5475.0,4563800
2024-08-12,5475.0,5600.0,5475.0,5500.0,5071500
2024-08-13,5575.0,5575.0,5500.0,5500.0,4125500
2024-08-14,5500.0,5550.0,5450.0,5500.0,5153500
2024-08-15,5500.0,5500.0,5300.0,5400.0,5308800
2024-08-16,5425.0,5425.0,5350.0,5400.0,3047200
2024-08-19,5400.0,5425.0,5375.0,5425.0,1152400
2024-08-20,5450.0,5500.0,5400.0,5450.0,2990900
2024-08-21,5475.0,5525.0,5450.0,5450.0,3629100
2024-08-22,5400.0,5475.0,5375.0,5475.0,2466900
2024-08-23,5500.0,5500.0,5400.0,5400.0,2731900
2024-08-26,5400.0,5475.0,5375.0,5425.0,3800100
2024-08-27,5425.0,5425.0,5375.0,5425.0,3597700
2024-08-28,5500.0,5500.0,5425.0,5425.0,2391700
2024-08-29,5450.0,5450.0,5300.0,5300.0,5090500
2024-08-30,5300.0,5350.0,5250.0,5350.0,6363200
2024-09-02,5325.0,5400.0,5275.0,5275.0,5696100
2024-09-03,5300.0,5350.0,5175.0,5250.0,3086700
2024-09-04,5225.0,5275.0,5175.0,5225.0,2522500
2024-09-05,5225.0,5400.0,5225.0,5350.0,9095200
2024-09-06,5350.0,5350.0,5200.0,5225.0,4743300
2024-09-09,5200.0,5200.0,4980.0,5050.0,23187700
2024-09-10,5100.0,5100.0,4770.0,4920.0,30623900
2024-09-11,4920.0,4960.0,4820.0,4860.0,11258000
2024-09-12,4850.0,4910.0,4810.0,4900.0,12372700
2024-09-13,4900.0,4960.0,4880.0,4930.0,7280900
2024-09-17,4950.0,5150.0,4940.0,5100.0,12984500
2024-09-18,5100.0,5125.0,5025.0,5050.0,6403600
2024-09-19,5150.0,5150.0,5000.0,5025.0,7856100
2024-09-20,5025.0,5025.0,4890.0,4940.0,10831100
2024-09-23,4940.0,5025.0,4920.0,4970.0,3558200
2024-09-24,4980.0,4990.0,4920.0,4960.0,4481700
2024-09-25,4960.0,4960.0,4820.0,4930.0,10543400
2024-09-26,4920.0,4970.0,4880.0,4970.0,6183000
2024-09-27,4990.0,4990.0,4860.0,4930.0,8404900
2024-09-30,4930.0,4960.0,4840.0,4930.0,8699000
2024-10-01,4960.0,4960.0,4890.0,4900.0,4447400
2024-10-02,4900.0,4910.0,4850.0,4880.0,5797600
2024-10-03,4880.0,4930.0,4840.0,4900.0,3838700
2024-10-04,4910.0,4910.0,4860.0,4880.0,2235700
2024-10-07,4890.0,4960.0,4880.0,4930.0,4226900
2024-10-08,4930.0,4930.0,4860.0,4920.0,4057700
2024-10-09,4900.0,4930.0,4890.0,4890.0,2721500
2024-10-10,4920.0,4940.0,4880.0,4940.0,2818300
2024-10-11,4990.0,4990.0,4920.0,4930.0,1863000
2024-10-14,4930.0,4930.0,4880.0,4880.0,1938500
2024-10-15,4880.0,4920.0,4870.0,4870.0,3646500
2024-10-16,4870.0,4900.0,4830.0,4900.0,8602700
2024-10-17,4870.0,4880.0,4830.0,4830.0,10437200
2024-10-18,4840.0,4890.0,4830.0,4830.0,8588900
2024-10-21,4850.0,4860.0,4820.0,4830.0,4175700
2024-10-22,4840.0,4840.0,4790.0,4840.0,6432500
2024-10-23,4840.0,4850.0,4800.0,4830.0,4026600
2024-10-24,4830.0,4840.0,4800.0,4800.0,1470100
2024-10-25,4810.0,4820.0,4720.0,4720.0,6308900
2024-10-28,4720.0,4720.0,4640.0,4680.0,6016100
2024-10-29,4710.0,4830.0,4690.0,4810.0,6422100
2024-10-30,4840.0,4850.0,4760.0,4850.0,3176900
2024-10-31,4840.0,4860.0,4810.0,4850.0,8842000
2024-11-01,4850.0,4870.0,4770.0,4780.0,5541900
2024-11-04,4780.0,4780.0,4570.0,4700.0,6426800
2024-11-05,4700.0,4740.0,4660.0,4710.0,4021900
2024-11-06,4730.0,4740.0,4670.0,4720.0,4157500
2024-11-07,4720.0,4770.0,4620.0,4760.0,3757500
2024-11-08,4770.0,4830.0,4730.0,4780.0,3994300
2024-11-11,4740.0,4750.0,4650.0,4700.0,2801600
2024-11-12,4690.0,4750.0,4680.0,4710.0,2828400
