date,open,high,low,close,volume
2024-04-16,890.0,900.0,830.0,845.0,2725300
2024-04-17,845.0,870.0,785.0,795.0,3450200
2024-04-18,795.0,820.0,765.0,785.0,1602600
2024-04-19,785.0,785.0,725.0,730.0,4676400
2024-04-22,735.0,775.0,730.0,745.0,1324800
2024-04-23,745.0,775.0,745.0,760.0,1852400
2024-04-24,775.0,790.0,755.0,755.0,593200
2024-04-25,755.0,770.0,745.0,745.0,819700
2024-04-26,745.0,755.0,735.0,735.0,360500
2024-04-29,735.0,760.0,725.0,745.0,689900
2024-04-30,745.0,770.0,740.0,755.0,740600
2024-05-02,720.0,755.0,680.0,725.0,1256100
2024-05-03,730.0,775.0,730.0,735.0,2684900
2024-05-06,735.0,765.0,735.0,755.0,1159700
2024-05-07,765.0,785.0,740.0,740.0,1739700
2024-05-08,735.0,755.0,715.0,715.0,1356600
2024-05-13,715.0,745.0,705.0,710.0,2409400
2024-05-14,710.0,725.0,705.0,720.0,524700
2024-05-15,720.0,725.0,705.0,715.0,827500
2024-05-16,715.0,720.0,700.0,710.0,1475100
2024-05-17,715.0,735.0,710.0,725.0,1109200
2024-05-20,725.0,790.0,725.0,755.0,5582100
2024-05-21,765.0,850.0,765.0,850.0,17428400
2024-05-22,855.0,870.0,805.0,810.0,5771000
2024-05-27,815.0,820.0,755.0,755.0,3144900
2024-05-28,755.0,780.0,745.0,770.0,1592700
2024-05-29,785.0,805.0,750.0,760.0,1906800
2024-05-30,760.0,765.0,730.0,745.0,956500
2024-05-31,750.0,780.0,730.0,730.0,1004700
2024-06-03,740.0,740.0,710.0,715.0,1352500
2024-06-04,715.0,740.0,710.0,720.0,1021000
2024-06-05,720.0,730.0,685.0,685.0,3647500
2024-06-06,690.0,700.0,615.0,620.0,3982400
2024-06-07,620.0,625.0,585.0,595.0,3833200
2024-06-10,550.0,610.0,550.0,570.0,1155100
2024-06-11,585.0,645.0,570.0,615.0,3877100
2024-06-12,620.0,620.0,590.0,595.0,1382000
2024-06-13,595.0,620.0,590.0,595.0,580400
2024-06-14,595.0,595.0,580.0,585.0,745700
2024-06-19,585.0,600.0,560.0,560.0,1274500
2024-06-20,560.0,575.0,550.0,560.0,899700
2024-06-21,560.0,585.0,550.0,570.0,829500
2024-06-24,570.0,575.0,560.0,570.0,414900
2024-06-25,535.0,580.0,535.0,575.0,400200
2024-06-26,575.0,640.0,565.0,590.0,2635800
2024-06-27,590.0,600.0,575.0,575.0,428000
2024-06-28,590.0,620.0,565.0,575.0,9472800
2024-07-01,580.0,610.0,575.0,595.0,2753500
2024-07-02,600.0,610.0,585.0,590.0,987200
2024-07-03,590.0,615.0,590.0,615.0,1136100
2024-07-04,610.0,665.0,610.0,660.0,10750800
2024-07-05,660.0,670.0,640.0,645.0,1039500
2024-07-08,645.0,665.0,645.0,660.0,1320300
2024-07-09,660.0,665.0,645.0,660.0,903200
2024-07-10,655.0,665.0,650.0,660.0,482400
2024-07-11,665.0,670.0,650.0,655.0,1034000
2024-07-12,655.0,665.0,650.0,650.0,296500
2024-07-15,650.0,690.0,645.0,650.0,6848400
2024-07-16,650.0,660.0,615.0,640.0,1631500
2024-07-17,640.0,645.0,625.0,630.0,460200
2024-07-18,630.0,645.0,630.0,635.0,389600
2024-07-19,635.0,645.0,630.0,635.0,454800
2024-07-22,630.0,640.0,620.0,635.0,485900
2024-07-23,635.0,640.0,620.0,620.0,514100
2024-07-24,620.0,625.0,615.0,615.0,316400
2024-07-25,620.0,620.0,600.0,615.0,529900
2024-07-26,615.0,625.0,600.0,610.0,372800
2024-07-29,610.0,620.0,600.0,610.0,495900
2024-07-30,610.0,610.0,595.0,605.0,234200
2024-07-31,605.0,615.0,585.0,585.0,1540900
2024-08-01,580.0,605.0,580.0,590.0,428700
2024-08-02,590.0,600.0,590.0,595.0,190200
2024-08-05,595.0,610.0,575.0,580.0,619300
2024-08-06,580.0,590.0,580.0,585.0,180900
2024-08-07,590.0,600.0,585.0,590.0,344000
2024-08-08,590.0,600.0,585.0,590.0,215000
2024-08-09,590.0,595.0,575.0,590.0,353200
2024-08-12,570.0,600.0,570.0,585.0,444100
2024-08-13,590.0,605.0,580.0,605.0,2129500
2024-08-14,610.0,615.0,600.0,610.0,737900
2024-08-15,610.0,615.0,595.0,610.0,1176100
2024-08-16,625.0,625.0,610.0,615.0,891000
2024-08-19,615.0,650.0,615.0,630.0,5006500
2024-08-20,635.0,640.0,620.0,630.0,890700
2024-08-21,635.0,785.0,630.0,765.0,33909400
2024-08-22,780.0,800.0,700.0,700.0,12898000
2024-08-23,705.0,735.0,695.0,705.0,7726900
2024-08-26,705.0,765.0,675.0,745.0,8627400
2024-08-27,740.0,820.0,730.0,740.0,19619600
2024-08-28,750.0,775.0,740.0,750.0,5516700
2024-08-29,750.0,805.0,745.0,760.0,9355200
2024-08-30,760.0,775.0,740.0,750.0,3323500
2024-09-02,750.0,765.0,730.0,745.0,2174800
2024-09-03,750.0,755.0,730.0,730.0,1420700
2024-09-04,720.0,755.0,700.0,735.0,1753000
2024-09-05,735.0,750.0,720.0,720.0,1295700
2024-09-06,725.0,775.0,720.0,735.0,6149500
2024-09-09,740.0,750.0,720.0,720.0,1681000
2024-09-10,725.0,765.0,725.0,750.0,4610500
2024-09-11,750.0,760.0,730.0,740.0,2146400
2024-09-12,745.0,755.0,730.0,740.0,1053900
2024-09-13,740.0,755.0,735.0,735.0,1013600
2024-09-17,720.0,785.0,720.0,750.0,4137800
2024-09-18,760.0,765.0,750.0,755.0,1604400
2024-09-19,755.0,775.0,745.0,755.0,2030900
2024-09-20,755.0,760.0,740.0,745.0,781400
2024-09-23,745.0,770.0,735.0,755.0,1627600
2024-09-24,755.0,765.0,745.0,750.0,800300
2024-09-25,750.0,845.0,745.0,765.0,21992300
2024-09-26,765.0,815.0,760.0,765.0,6070400
2024-09-27,765.0,825.0,765.0,815.0,6929500
2024-09-30,820.0,905.0,820.0,845.0,27745000
2024-10-01,850.0,860.0,800.0,830.0,5738900
2024-10-02,830.0,840.0,770.0,780.0,5647300
2024-10-03,780.0,795.0,760.0,770.0,2724100
2024-10-04,770.0,780.0,750.0,750.0,1446700
2024-10-07,760.0,765.0,680.0,725.0,3721200
2024-10-08,725.0,740.0,715.0,720.0,2111800
2024-10-09,735.0,735.0,720.0,720.0,1396300
2024-10-10,725.0,735.0,710.0,710.0,1260800
2024-10-11,715.0,725.0,710.0,725.0,622700
2024-10-14,725.0,730.0,710.0,715.0,1596500
2024-10-15,720.0,730.0,710.0,725.0,776400
2024-10-16,725.0,730.0,720.0,725.0,814300
2024-10-17,725.0,740.0,725.0,725.0,1114700
2024-10-18,725.0,735.0,720.0,725.0,965900
2024-10-21,725.0,730.0,720.0,725.0,758200
2024-10-22,740.0,740.0,710.0,720.0,1519800
2024-10-23,720.0,720.0,705.0,710.0,1455000
2024-10-24,710.0,710.0,700.0,705.0,1517600
2024-10-25,705.0,725.0,690.0,700.0,994900
2024-10-28,700.0,705.0,685.0,690.0,1643200
2024-10-29,690.0,725.0,685.0,700.0,1050400
2024-10-30,700.0,705.0,690.0,695.0,561500
2024-10-31,710.0,715.0,690.0,690.0,249400
2024-11-01,690.0,695.0,665.0,680.0,776200
2024-11-04,680.0,680.0,620.0,650.0,1532300
2024-11-05,650.0,665.0,630.0,640.0,786600
2024-11-06,645.0,660.0,635.0,635.0,454000
2024-11-07,635.0,650.0,620.0,620.0,597200
2024-11-08,615.0,635.0,605.0,605.0,774200
2024-11-11,605.0,635.0,600.0,605.0,824000
2024-11-12,610.0,625.0,600.0,620.0,385700
2024-11-13,620.0,630.0,615.0,620.0,384500
2024-11-14,630.0,635.0,605.0,605.0,343700
2024-11-15,625.0,625.0,600.0,600.0,285500
2024-11-18,600.0,610.0,590.0,590.0,432700
2024-11-19,590.0,615.0,590.0,595.0,553200
2024-11-20,595.0,640.0,595.0,610.0,503900
2024-11-21,615.0,630.0,605.0,610.0,418500
2024-11-22,610.0,615.0,605.0,610.0,303000
2024-11-25,610.0,625.0,600.0,610.0,601700
2024-11-26,610.0,620.0,600.0,600.0,538200
2024-11-28,605.0,615.0,600.0,610.0,532700
2024-11-29,610.0,610.0,600.0,605.0,488300
2024-12-02,605.0,615.0,600.0,605.0,782200
2024-12-03,605.0,610.0,600.0,600.0,299700
2024-12-04,605.0,640.0,600.0,635.0,761700
2024-12-05,635.0,640.0,615.0,620.0,484700
2024-12-06,620.0,640.0,620.0,630.0,248300
2024-12-09,630.0,675.0,630.0,660.0,1197100
2024-12-10,670.0,675.0,625.0,640.0,2070700
2024-12-11,640.0,650.0,630.0,640.0,422500
2024-12-12,645.0,655.0,630.0,640.0,248400
2024-12-13,645.0,645.0,630.0,635.0,207100
2024-12-16,635.0,635.0,605.0,610.0,755400
2024-12-17,610.0,620.0,600.0,605.0,378600
2024-12-18,605.0,625.0,600.0,605.0,292100
2024-12-19,595.0,605.0,590.0,590.0,939800
2024-12-20,600.0,600.0,590.0,590.0,287400
2024-12-23,590.0,610.0,590.0,600.0,249200
2024-12-24,600.0,605.0,595.0,600.0,623600
2024-12-27,600.0,620.0,600.0,610.0,335500
2024-12-30,610.0,620.0,595.0,605.0,941800
2025-01-02,605.0,710.0,605.0,635.0,7117600
