date,open,high,low,close,volume
2024-04-16,316.0,328.0,310.0,328.0,823600
2024-04-17,328.0,328.0,312.0,326.0,357900
2024-04-18,326.0,326.0,318.0,318.0,361800
2024-04-19,320.0,322.0,314.0,316.0,246800
2024-04-22,318.0,322.0,308.0,320.0,918700
2024-04-23,318.0,320.0,312.0,320.0,323900
2024-04-24,320.0,322.0,316.0,322.0,351800
2024-04-25,322.0,326.0,314.0,318.0,484700
2024-04-26,318.0,330.0,314.0,330.0,1552700
2024-04-29,330.0,340.0,318.0,340.0,1110100
2024-04-30,340.0,346.0,324.0,346.0,2008900
2024-05-02,344.0,350.0,336.0,350.0,2037100
2024-05-03,350.0,352.0,340.0,352.0,746700
2024-05-06,352.0,356.0,350.0,350.0,647100
2024-05-07,348.0,350.0,342.0,350.0,942900
2024-05-08,350.0,350.0,336.0,350.0,1439700
2024-05-13,350.0,350.0,326.0,346.0,1596600
2024-05-14,346.0,348.0,340.0,348.0,258900
2024-05-15,350.0,350.0,342.0,346.0,430500
2024-05-16,346.0,346.0,342.0,346.0,275700
2024-05-17,346.0,348.0,344.0,346.0,357300
2024-05-20,346.0,346.0,340.0,346.0,340100
2024-05-21,346.0,346.0,332.0,334.0,247900
2024-05-22,334.0,346.0,334.0,346.0,780200
2024-05-27,346.0,348.0,336.0,348.0,276700
2024-05-28,348.0,350.0,334.0,350.0,1782000
2024-05-29,352.0,400.0,340.0,378.0,5075700
2024-05-30,380.0,390.0,356.0,376.0,5457700
2024-05-31,376.0,380.0,358.0,370.0,2769200
2024-06-03,370.0,376.0,360.0,376.0,1849000
2024-06-04,376.0,382.0,370.0,380.0,2361500
2024-06-05,380.0,382.0,364.0,378.0,2395700
2024-06-06,378.0,380.0,368.0,376.0,1455200
2024-06-07,376.0,380.0,370.0,380.0,527600
2024-06-10,380.0,380.0,370.0,380.0,3275700
2024-06-11,380.0,380.0,370.0,378.0,1396700
2024-06-12,378.0,380.0,370.0,378.0,1335900
2024-06-13,378.0,378.0,370.0,374.0,1102900
2024-06-14,372.0,374.0,362.0,374.0,1897300
2024-06-19,374.0,380.0,360.0,374.0,6453200
2024-06-20,370.0,376.0,364.0,376.0,930900
2024-06-21,376.0,376.0,368.0,376.0,1820200
2024-06-24,376.0,376.0,368.0,374.0,1410100
2024-06-25,374.0,380.0,370.0,380.0,805200
2024-06-26,380.0,384.0,372.0,384.0,976600
2024-06-27,384.0,388.0,376.0,388.0,3072900
2024-06-28,388.0,390.0,374.0,374.0,3721900
2024-07-01,380.0,380.0,372.0,376.0,457200
2024-07-02,376.0,386.0,374.0,386.0,441600
2024-07-03,384.0,390.0,378.0,390.0,1693100
2024-07-04,384.0,400.0,384.0,400.0,2230100
2024-07-05,400.0,400.0,394.0,400.0,482500
2024-07-08,398.0,402.0,398.0,400.0,565900
2024-07-09,400.0,410.0,398.0,410.0,343800
2024-07-10,410.0,410.0,400.0,406.0,805200
2024-07-11,406.0,406.0,400.0,406.0,636400
2024-07-12,402.0,404.0,396.0,404.0,1568600
2024-07-15,400.0,406.0,400.0,404.0,150300
2024-07-16,404.0,404.0,398.0,404.0,509600
2024-07-17,402.0,408.0,400.0,408.0,552700
2024-07-18,410.0,418.0,404.0,418.0,529200
2024-07-19,416.0,416.0,406.0,412.0,1132000
2024-07-22,406.0,412.0,406.0,410.0,244100
2024-07-23,408.0,412.0,402.0,406.0,1101400
2024-07-24,406.0,406.0,400.0,406.0,778200
2024-07-25,404.0,404.0,400.0,402.0,953900
2024-07-26,402.0,402.0,400.0,402.0,251600
2024-07-29,400.0,400.0,392.0,398.0,1220900
2024-07-30,396.0,400.0,390.0,396.0,730600
2024-07-31,398.0,406.0,394.0,404.0,1324400
2024-08-01,410.0,410.0,398.0,408.0,467400
2024-08-02,406.0,408.0,400.0,404.0,518500
2024-08-05,402.0,402.0,382.0,402.0,2017600
2024-08-06,388.0,402.0,386.0,402.0,1127600
2024-08-07,400.0,404.0,398.0,404.0,582300
2024-08-08,400.0,404.0,400.0,404.0,130300
2024-08-09,404.0,404.0,400.0,404.0,116000
2024-08-12,404.0,406.0,402.0,404.0,188700
2024-08-13,402.0,404.0,400.0,404.0,327200
2024-08-14,400.0,402.0,398.0,402.0,530100
2024-08-15,400.0,402.0,400.0,402.0,163400
2024-08-16,402.0,414.0,402.0,406.0,1426900
2024-08-19,408.0,410.0,400.0,408.0,160400
2024-08-20,400.0,410.0,400.0,410.0,308700
2024-08-21,406.0,410.0,404.0,410.0,420200
2024-08-22,410.0,410.0,404.0,408.0,564200
2024-08-23,408.0,444.0,406.0,444.0,1039600
2024-08-26,442.0,442.0,424.0,436.0,787700
2024-08-27,436.0,438.0,426.0,434.0,816900
2024-08-28,434.0,434.0,424.0,426.0,821100
2024-08-29,424.0,426.0,414.0,424.0,592300
2024-08-30,418.0,424.0,418.0,422.0,301300
2024-09-02,418.0,422.0,414.0,418.0,1019200
2024-09-03,418.0,422.0,416.0,418.0,181400
2024-09-04,418.0,430.0,416.0,430.0,1611400
2024-09-05,432.0,432.0,420.0,430.0,132700
2024-09-06,430.0,432.0,420.0,428.0,613100
2024-09-09,426.0,428.0,420.0,424.0,369800
2024-09-10,426.0,426.0,416.0,422.0,384200
2024-09-11,422.0,422.0,416.0,418.0,413400
2024-09-12,418.0,426.0,416.0,426.0,195700
2024-09-13,426.0,430.0,422.0,428.0,221500
2024-09-17,428.0,440.0,424.0,432.0,433400
2024-09-18,430.0,432.0,426.0,430.0,258700
2024-09-19,434.0,436.0,420.0,428.0,523900
2024-09-20,430.0,436.0,426.0,428.0,345400
2024-09-23,428.0,436.0,422.0,434.0,308500
2024-09-24,436.0,438.0,428.0,434.0,236600
2024-09-25,430.0,434.0,428.0,432.0,664900
2024-09-26,432.0,432.0,424.0,428.0,702400
2024-09-27,426.0,428.0,420.0,420.0,243000
2024-09-30,420.0,420.0,400.0,400.0,1030500
2024-10-01,394.0,400.0,386.0,394.0,464200
2024-10-02,394.0,396.0,384.0,390.0,580600
2024-10-03,390.0,390.0,388.0,390.0,152100
2024-10-04,390.0,390.0,386.0,388.0,133600
2024-10-07,386.0,416.0,384.0,416.0,1092600
2024-10-08,426.0,454.0,380.0,400.0,6413900
2024-10-09,394.0,396.0,388.0,392.0,250700
2024-10-10,388.0,402.0,386.0,392.0,278700
2024-10-11,400.0,400.0,388.0,388.0,112900
2024-10-14,390.0,408.0,390.0,396.0,411300
2024-10-15,396.0,398.0,394.0,394.0,76500
2024-10-16,396.0,398.0,392.0,398.0,67500
2024-10-17,396.0,400.0,394.0,400.0,82900
2024-10-18,392.0,396.0,384.0,394.0,573300
2024-10-21,390.0,398.0,388.0,398.0,39600
2024-10-22,398.0,398.0,392.0,392.0,143200
2024-10-23,394.0,396.0,386.0,392.0,296600
2024-10-24,392.0,394.0,388.0,390.0,149200
2024-10-25,388.0,392.0,388.0,390.0,223300
2024-10-28,392.0,392.0,386.0,390.0,59900
2024-10-29,390.0,392.0,386.0,390.0,751600
2024-10-30,388.0,390.0,384.0,390.0,242400
2024-10-31,390.0,408.0,388.0,396.0,1216500
2024-11-01,406.0,406.0,388.0,394.0,89900
2024-11-04,398.0,398.0,370.0,390.0,1197800
2024-11-05,380.0,390.0,372.0,390.0,841000
2024-11-06,388.0,388.0,374.0,380.0,1120300
2024-11-07,380.0,394.0,374.0,394.0,1480900
2024-11-08,390.0,394.0,382.0,394.0,545700
2024-11-11,386.0,392.0,384.0,392.0,519000
2024-11-12,390.0,392.0,386.0,392.0,252800
2024-11-13,392.0,394.0,386.0,394.0,441700
2024-11-14,392.0,392.0,388.0,390.0,301700
2024-11-15,390.0,392.0,382.0,390.0,193300
2024-11-18,392.0,392.0,384.0,390.0,134700
