date,open,high,low,close,volume
2024-04-16,122.0,122.0,116.0,120.0,83048200
2024-04-17,120.0,120.0,115.0,120.0,113666100
2024-04-18,120.0,124.0,118.0,123.0,87717000
2024-04-19,123.0,123.0,120.0,122.0,77236000
2024-04-22,122.0,126.0,121.0,124.0,71962400
2024-04-23,125.0,125.0,121.0,123.0,86916100
2024-04-24,124.0,124.0,121.0,122.0,83810100
2024-04-25,121.0,122.0,119.0,121.0,121938500
2024-04-26,121.0,121.0,118.0,120.0,172169100
2024-04-29,120.0,120.0,116.0,119.0,130750600
2024-04-30,117.0,124.0,117.0,122.0,103785200
2024-05-02,122.0,122.0,116.0,119.0,157541600
2024-05-03,119.0,120.0,117.0,120.0,95903900
2024-05-06,119.0,120.0,118.0,120.0,73555700
2024-05-07,120.0,122.0,118.0,120.0,62119300
2024-05-08,120.0,121.0,117.0,119.0,73275500
2024-05-13,118.0,119.0,117.0,119.0,123948500
2024-05-14,119.0,120.0,118.0,119.0,70694800
2024-05-15,119.0,125.0,118.0,122.0,134985300
2024-05-16,122.0,124.0,121.0,124.0,112941300
2024-05-17,124.0,125.0,120.0,123.0,192355100
2024-05-20,123.0,123.0,119.0,120.0,146267700
2024-05-21,119.0,120.0,117.0,119.0,22933200
2024-05-22,119.0,119.0,117.0,119.0,187002500
2024-05-27,119.0,119.0,117.0,118.0,131432100
2024-05-28,119.0,121.0,118.0,120.0,126809200
2024-05-29,120.0,120.0,115.0,118.0,98376500
2024-05-30,118.0,118.0,115.0,117.0,128043400
2024-05-31,117.0,118.0,116.0,118.0,93337100
2024-06-03,118.0,118.0,116.0,118.0,128011700
2024-06-04,118.0,119.0,117.0,118.0,125663400
2024-06-05,119.0,119.0,116.0,118.0,147342600
2024-06-06,117.0,118.0,117.0,118.0,137175900
2024-06-07,118.0,118.0,116.0,117.0,111905500
2024-06-10,117.0,118.0,116.0,117.0,119621900
2024-06-11,117.0,118.0,116.0,118.0,124637500
2024-06-12,118.0,118.0,115.0,117.0,124929500
2024-06-13,117.0,118.0,116.0,117.0,135460100
2024-06-14,116.0,117.0,113.0,116.0,152962300
2024-06-19,115.0,116.0,110.0,115.0,154684000
2024-06-20,114.0,115.0,112.0,115.0,169342800
2024-06-21,115.0,118.0,114.0,118.0,96551700
2024-06-24,117.0,120.0,117.0,119.0,166910800
2024-06-25,119.0,120.0,117.0,119.0,92093900
2024-06-26,119.0,120.0,118.0,120.0,143125300
2024-06-27,120.0,120.0,119.0,120.0,147546200
2024-06-28,120.0,120.0,118.0,120.0,139629500
2024-07-01,119.0,120.0,118.0,120.0,143190900
2024-07-02,119.0,120.0,118.0,120.0,127138900
2024-07-03,120.0,126.0,119.0,122.0,176567600
2024-07-04,124.0,129.0,122.0,126.0,180472400
2024-07-05,126.0,131.0,126.0,129.0,146175100
2024-07-08,130.0,132.0,130.0,131.0,134506500
2024-07-09,130.0,134.0,130.0,134.0,89143000
2024-07-10,133.0,145.0,133.0,143.0,173213800
2024-07-11,143.0,154.0,143.0,148.0,150479300
2024-07-12,148.0,154.0,146.0,153.0,167679000
2024-07-15,154.0,156.0,149.0,152.0,162132000
2024-07-16,151.0,152.0,148.0,150.0,176547900
2024-07-17,149.0,150.0,128.0,137.0,229685600
2024-07-18,137.0,137.0,124.0,134.0,230627600
2024-07-19,134.0,134.0,128.0,132.0,93752600
2024-07-22,131.0,133.0,128.0,131.0,137869300
