date,open,high,low,close,volume
2024-04-16,590.0,590.0,565.0,565.0,164100
2024-04-17,575.0,575.0,570.0,575.0,73900
2024-04-18,590.0,605.0,565.0,570.0,32600
2024-04-19,580.0,580.0,560.0,575.0,16800
2024-04-22,575.0,575.0,560.0,560.0,27400
2024-04-23,570.0,580.0,555.0,555.0,92300
2024-04-24,555.0,570.0,540.0,545.0,62500
2024-04-25,545.0,550.0,530.0,540.0,120700
2024-04-26,540.0,550.0,535.0,540.0,66700
2024-04-29,555.0,650.0,555.0,590.0,446300
2024-04-30,585.0,640.0,575.0,600.0,433900
2024-05-02,605.0,620.0,595.0,610.0,345500
2024-05-03,610.0,625.0,590.0,620.0,183300
2024-05-06,620.0,695.0,600.0,645.0,2058400
2024-05-07,650.0,685.0,630.0,670.0,2308700
2024-05-08,680.0,680.0,640.0,655.0,838500
2024-05-13,655.0,670.0,655.0,660.0,249200
2024-05-14,660.0,665.0,645.0,650.0,278500
2024-05-15,650.0,660.0,650.0,655.0,265900
2024-05-16,655.0,665.0,645.0,660.0,401800
2024-05-17,670.0,685.0,625.0,665.0,771500
2024-05-20,665.0,680.0,650.0,670.0,264300
2024-05-21,665.0,675.0,605.0,665.0,323500
2024-05-22,665.0,665.0,650.0,650.0,37300
2024-05-27,655.0,695.0,655.0,660.0,310000
2024-05-28,665.0,665.0,650.0,665.0,309500
2024-05-29,665.0,665.0,645.0,655.0,258300
2024-05-30,675.0,675.0,615.0,625.0,368100
2024-05-31,625.0,630.0,600.0,600.0,190100
2024-06-03,610.0,625.0,605.0,615.0,100700
2024-06-04,615.0,620.0,615.0,615.0,800
2024-06-05,625.0,625.0,605.0,605.0,7100
2024-06-06,605.0,605.0,585.0,585.0,172700
2024-06-07,585.0,600.0,585.0,590.0,4700
2024-06-10,600.0,600.0,575.0,580.0,71900
2024-06-11,590.0,590.0,575.0,580.0,13300
2024-06-12,570.0,575.0,540.0,550.0,178400
2024-06-13,555.0,575.0,540.0,545.0,133600
2024-06-14,545.0,550.0,535.0,540.0,48500
2024-06-19,540.0,565.0,530.0,535.0,54000
2024-06-20,535.0,550.0,530.0,530.0,82300
2024-06-21,540.0,540.0,525.0,540.0,54300
2024-06-24,540.0,540.0,500.0,500.0,1774300
2024-06-25,500.0,510.0,498.0,500.0,158800
2024-06-26,500.0,505.0,494.0,498.0,184700
2024-06-27,498.0,498.0,492.0,494.0,52200
2024-06-28,496.0,505.0,484.0,505.0,607500
2024-07-01,500.0,505.0,484.0,486.0,518700
2024-07-02,486.0,488.0,480.0,484.0,133200
2024-07-03,484.0,494.0,482.0,492.0,195200
2024-07-04,492.0,500.0,492.0,498.0,269900
2024-07-05,500.0,505.0,494.0,498.0,275400
2024-07-08,498.0,550.0,498.0,545.0,594500
2024-07-09,545.0,655.0,540.0,555.0,880700
2024-07-10,555.0,560.0,530.0,535.0,492800
2024-07-11,555.0,555.0,530.0,540.0,126900
2024-07-12,540.0,600.0,540.0,570.0,786800
2024-07-15,570.0,615.0,570.0,615.0,353900
2024-07-16,620.0,620.0,595.0,615.0,192000
2024-07-17,615.0,630.0,600.0,605.0,183700
2024-07-18,605.0,645.0,585.0,630.0,581500
2024-07-19,625.0,630.0,600.0,620.0,81900
2024-07-22,610.0,620.0,590.0,615.0,613900
2024-07-23,620.0,675.0,605.0,665.0,1019300
2024-07-24,665.0,690.0,635.0,655.0,677800
2024-07-25,675.0,730.0,650.0,675.0,709300
2024-07-26,675.0,770.0,670.0,755.0,3341300
2024-07-29,755.0,765.0,720.0,755.0,1302800
2024-07-30,745.0,755.0,740.0,755.0,260400
2024-07-31,755.0,755.0,655.0,675.0,1962700
2024-08-01,675.0,710.0,660.0,705.0,538300
2024-08-02,700.0,725.0,675.0,720.0,327900
2024-08-05,720.0,750.0,675.0,690.0,2541400
2024-08-06,700.0,720.0,675.0,685.0,259500
2024-08-07,685.0,700.0,635.0,670.0,1472600
2024-08-08,680.0,685.0,670.0,680.0,168400
2024-08-09,680.0,755.0,670.0,715.0,442200
2024-08-12,720.0,735.0,680.0,680.0,1346400
2024-08-13,685.0,725.0,670.0,725.0,2548900
2024-08-14,720.0,725.0,690.0,705.0,1128300
2024-08-15,705.0,795.0,705.0,750.0,2360100
2024-08-16,740.0,760.0,725.0,745.0,103100
2024-08-19,745.0,745.0,720.0,725.0,235900
2024-08-20,715.0,740.0,715.0,735.0,15500
2024-08-21,725.0,790.0,725.0,740.0,461200
2024-08-22,740.0,755.0,725.0,745.0,57100
2024-08-23,730.0,755.0,730.0,745.0,401400
2024-08-26,745.0,760.0,740.0,755.0,170800
2024-08-27,755.0,755.0,730.0,730.0,300700
2024-08-28,730.0,750.0,730.0,745.0,503200
2024-08-29,745.0,765.0,745.0,755.0,113500
2024-08-30,760.0,765.0,745.0,755.0,117700
2024-09-02,750.0,750.0,725.0,745.0,98800
2024-09-03,740.0,745.0,725.0,745.0,67800
2024-09-04,735.0,790.0,725.0,745.0,273500
2024-09-05,750.0,770.0,745.0,760.0,169100
2024-09-06,760.0,785.0,750.0,765.0,74800
2024-09-09,755.0,780.0,750.0,765.0,114700
2024-09-10,765.0,765.0,740.0,755.0,227800
2024-09-11,755.0,760.0,745.0,745.0,78800
2024-09-12,745.0,755.0,745.0,755.0,93100
2024-09-13,755.0,790.0,745.0,755.0,119400
2024-09-17,755.0,765.0,745.0,755.0,42900
2024-09-18,750.0,785.0,740.0,780.0,672500
2024-09-19,780.0,850.0,780.0,800.0,4844100
2024-09-20,800.0,805.0,755.0,780.0,557500
2024-09-23,780.0,795.0,755.0,765.0,569600
2024-09-24,765.0,780.0,760.0,765.0,473700
2024-09-25,760.0,770.0,750.0,750.0,323900
2024-09-26,750.0,750.0,735.0,740.0,129500
2024-09-27,745.0,760.0,725.0,760.0,375500
2024-09-30,750.0,770.0,750.0,755.0,139600
2024-10-01,755.0,770.0,745.0,760.0,181700
2024-10-02,770.0,770.0,740.0,745.0,126500
2024-10-03,745.0,775.0,740.0,770.0,570000
2024-10-04,770.0,780.0,760.0,760.0,375500
2024-10-07,765.0,785.0,755.0,770.0,320700
2024-10-08,770.0,800.0,765.0,770.0,207400
2024-10-09,770.0,785.0,770.0,770.0,104600
2024-10-10,760.0,760.0,720.0,730.0,281300
2024-10-11,735.0,755.0,725.0,730.0,252300
2024-10-14,735.0,745.0,715.0,725.0,716400
2024-10-15,725.0,750.0,710.0,725.0,279900
2024-10-16,730.0,745.0,725.0,730.0,77500
2024-10-17,730.0,745.0,725.0,725.0,332100
2024-10-18,730.0,875.0,730.0,825.0,3655700
2024-10-21,830.0,895.0,820.0,835.0,1866600
2024-10-22,835.0,835.0,800.0,815.0,236800
2024-10-23,815.0,850.0,795.0,810.0,381700
