date,open,high,low,close,volume
2024-04-16,156.0,157.0,152.0,153.0,168300
2024-04-17,153.0,153.0,149.0,149.0,1573200
2024-04-18,149.0,150.0,149.0,149.0,31400
2024-04-19,145.0,148.0,144.0,144.0,81300
2024-04-22,141.0,157.0,141.0,150.0,35100
2024-04-23,150.0,157.0,147.0,147.0,46200
2024-04-24,146.0,153.0,146.0,146.0,17700
2024-04-25,147.0,152.0,142.0,152.0,6900
2024-04-26,147.0,147.0,144.0,144.0,38400
2024-04-29,144.0,149.0,108.0,139.0,142300
2024-04-30,119.0,149.0,119.0,145.0,59800
2024-05-02,141.0,141.0,140.0,140.0,47400
2024-05-03,143.0,148.0,133.0,142.0,47000
2024-05-06,140.0,143.0,138.0,142.0,20100
2024-05-07,140.0,144.0,121.0,126.0,161700
2024-05-08,127.0,140.0,127.0,137.0,79200
2024-05-13,137.0,154.0,137.0,152.0,145300
2024-05-14,152.0,152.0,140.0,149.0,4500
2024-05-15,143.0,149.0,143.0,149.0,5700
2024-05-16,142.0,147.0,131.0,138.0,101300
2024-05-17,138.0,140.0,135.0,140.0,138100
2024-05-20,139.0,142.0,137.0,138.0,91600
2024-05-21,138.0,141.0,137.0,141.0,1500
2024-05-22,141.0,143.0,138.0,138.0,64900
2024-05-27,138.0,138.0,131.0,131.0,25800
2024-05-28,131.0,139.0,130.0,137.0,7700
2024-05-29,136.0,139.0,134.0,137.0,5800
2024-05-30,139.0,142.0,136.0,142.0,23900
2024-05-31,136.0,148.0,136.0,148.0,17800
2024-06-03,147.0,147.0,136.0,143.0,7900
2024-06-04,143.0,145.0,139.0,145.0,10300
2024-06-05,140.0,153.0,139.0,140.0,13900
2024-06-06,145.0,145.0,140.0,142.0,21000
2024-06-07,142.0,151.0,141.0,149.0,8800
2024-06-10,149.0,158.0,136.0,150.0,22900
2024-06-11,140.0,148.0,140.0,146.0,1200
2024-06-12,146.0,150.0,136.0,137.0,10700
2024-06-13,137.0,140.0,135.0,140.0,4900
2024-06-14,133.0,141.0,133.0,141.0,500
2024-06-19,136.0,140.0,134.0,140.0,2800
2024-06-20,139.0,139.0,138.0,138.0,1300
2024-06-21,138.0,140.0,138.0,138.0,1500
2024-06-24,135.0,138.0,135.0,138.0,1000
2024-06-25,139.0,148.0,135.0,142.0,62400
2024-06-26,142.0,146.0,142.0,144.0,19000
2024-06-27,143.0,147.0,139.0,141.0,4800
2024-06-28,141.0,144.0,141.0,142.0,3500
2024-07-01,142.0,149.0,137.0,146.0,28400
2024-07-02,144.0,144.0,140.0,140.0,45900
2024-07-03,140.0,142.0,140.0,142.0,5000
2024-07-04,140.0,141.0,140.0,140.0,44500
2024-07-05,144.0,144.0,142.0,142.0,12800
2024-07-08,145.0,145.0,138.0,144.0,3700
2024-07-09,144.0,144.0,143.0,143.0,300
2024-07-10,139.0,142.0,130.0,136.0,204900
2024-07-11,136.0,139.0,135.0,139.0,5300
2024-07-12,139.0,145.0,138.0,138.0,88000
2024-07-15,138.0,139.0,135.0,135.0,48200
2024-07-16,137.0,140.0,130.0,138.0,23400
2024-07-17,138.0,141.0,138.0,138.0,16200
2024-07-18,138.0,140.0,137.0,140.0,15500
2024-07-19,139.0,140.0,139.0,140.0,1000
2024-07-22,138.0,140.0,130.0,136.0,132000
2024-07-23,136.0,136.0,133.0,134.0,49700
2024-07-24,134.0,134.0,134.0,134.0,13700
2024-07-25,133.0,134.0,125.0,132.0,102600
2024-07-26,131.0,131.0,129.0,130.0,7100
2024-07-29,130.0,130.0,127.0,130.0,6000
2024-07-30,134.0,134.0,128.0,128.0,13200
2024-07-31,131.0,131.0,125.0,125.0,138500
2024-08-01,126.0,129.0,125.0,128.0,19200
2024-08-02,130.0,133.0,128.0,128.0,55900
2024-08-05,132.0,132.0,127.0,127.0,22000
2024-08-06,129.0,130.0,125.0,125.0,16900
2024-08-07,127.0,128.0,127.0,127.0,500
2024-08-08,130.0,143.0,128.0,142.0,72200
2024-08-09,142.0,142.0,130.0,130.0,25200
2024-08-12,133.0,138.0,129.0,133.0,38800
2024-08-13,136.0,136.0,133.0,135.0,7500
2024-08-14,135.0,135.0,133.0,133.0,4100
2024-08-15,133.0,133.0,128.0,128.0,18500
2024-08-16,130.0,139.0,129.0,135.0,124000
2024-08-19,136.0,143.0,133.0,140.0,83500
2024-08-20,141.0,141.0,133.0,133.0,56700
2024-08-21,137.0,140.0,129.0,136.0,21200
2024-08-22,137.0,138.0,135.0,137.0,65100
2024-08-23,138.0,138.0,130.0,137.0,18300
2024-08-26,139.0,139.0,132.0,135.0,7700
2024-08-27,137.0,137.0,135.0,135.0,29500
2024-08-28,137.0,137.0,130.0,130.0,24500
2024-08-29,133.0,136.0,133.0,136.0,16300
2024-08-30,137.0,146.0,135.0,140.0,155700
2024-09-02,140.0,144.0,138.0,142.0,58100
2024-09-03,145.0,145.0,137.0,137.0,19900
2024-09-04,140.0,184.0,140.0,184.0,4876000
2024-09-05,200.0,238.0,198.0,212.0,13514900
2024-09-06,212.0,214.0,190.0,195.0,3643600
2024-09-09,195.0,240.0,194.0,214.0,5157800
2024-09-10,216.0,230.0,210.0,212.0,1024800
2024-09-11,216.0,226.0,204.0,214.0,625700
2024-09-12,216.0,218.0,208.0,210.0,73600
2024-09-13,214.0,218.0,204.0,210.0,553300
2024-09-17,210.0,216.0,198.0,199.0,1109700
2024-09-18,199.0,208.0,199.0,204.0,176600
2024-09-19,204.0,206.0,199.0,200.0,127700
2024-09-20,200.0,210.0,193.0,195.0,102400
2024-09-23,188.0,200.0,188.0,195.0,62100
2024-09-24,195.0,195.0,185.0,188.0,64300
2024-09-25,185.0,220.0,182.0,198.0,413800
2024-09-26,198.0,208.0,191.0,198.0,43900
2024-09-27,198.0,204.0,195.0,202.0,39800
2024-09-30,200.0,202.0,193.0,197.0,70800
2024-10-01,192.0,204.0,190.0,193.0,68400
2024-10-02,192.0,206.0,192.0,194.0,281700
2024-10-03,195.0,196.0,190.0,194.0,11800
2024-10-04,194.0,194.0,190.0,190.0,35700
2024-10-07,193.0,193.0,180.0,189.0,24700
2024-10-08,189.0,195.0,181.0,188.0,879900
2024-10-09,190.0,200.0,187.0,193.0,658700
2024-10-10,193.0,200.0,173.0,191.0,129300
2024-10-11,191.0,191.0,187.0,187.0,5100
2024-10-14,187.0,188.0,185.0,188.0,1500
2024-10-15,191.0,216.0,185.0,187.0,214600
2024-10-16,188.0,193.0,184.0,190.0,568900
2024-10-17,190.0,200.0,190.0,193.0,645400
2024-10-18,194.0,197.0,185.0,191.0,121700
2024-10-21,191.0,202.0,186.0,196.0,125200
2024-10-22,197.0,200.0,190.0,194.0,64400
2024-10-23,192.0,197.0,188.0,190.0,59500
2024-10-24,190.0,192.0,188.0,189.0,37300
2024-10-25,193.0,195.0,188.0,189.0,112500
2024-10-28,186.0,193.0,186.0,190.0,7600
2024-10-29,190.0,190.0,188.0,190.0,62800
2024-10-30,189.0,193.0,187.0,191.0,12500
2024-10-31,191.0,195.0,190.0,192.0,27600
2024-11-01,189.0,190.0,187.0,187.0,52700
2024-11-04,187.0,194.0,186.0,187.0,301300
2024-11-05,187.0,187.0,179.0,179.0,327500
2024-11-06,179.0,188.0,178.0,185.0,543800
2024-11-07,185.0,185.0,173.0,181.0,60600
