date,open,high,low,close,volume
2024-04-16,525.0,525.0,500.0,505.0,3254600
2024-04-17,505.0,525.0,505.0,515.0,2487200
2024-04-18,515.0,515.0,505.0,510.0,1004400
2024-04-19,510.0,510.0,490.0,498.0,2162500
2024-04-22,500.0,500.0,490.0,492.0,521300
2024-04-23,496.0,505.0,492.0,500.0,358100
2024-04-24,498.0,500.0,494.0,496.0,217800
2024-04-25,496.0,530.0,490.0,515.0,734500
2024-04-26,515.0,515.0,496.0,496.0,417900
2024-04-29,496.0,510.0,494.0,505.0,492600
2024-04-30,505.0,560.0,500.0,535.0,5286000
2024-05-02,550.0,560.0,515.0,525.0,2326300
2024-05-03,525.0,545.0,520.0,535.0,1863800
2024-05-06,540.0,565.0,540.0,545.0,5661300
2024-05-07,545.0,560.0,545.0,545.0,2874000
2024-05-08,550.0,575.0,550.0,560.0,3953100
2024-05-13,560.0,575.0,555.0,565.0,3301100
2024-05-14,560.0,595.0,555.0,590.0,5316700
2024-05-15,595.0,625.0,590.0,610.0,7914500
2024-05-16,615.0,635.0,610.0,625.0,4062400
2024-05-17,625.0,630.0,615.0,625.0,2332400
2024-05-20,625.0,630.0,595.0,625.0,6881800
2024-05-21,625.0,635.0,600.0,600.0,2700800
2024-05-22,600.0,660.0,600.0,650.0,10405800
2024-05-27,650.0,695.0,645.0,670.0,11070700
2024-05-28,670.0,690.0,655.0,670.0,3837100
2024-05-29,670.0,675.0,645.0,660.0,3285800
2024-05-30,660.0,660.0,610.0,655.0,4018900
2024-05-31,655.0,670.0,635.0,640.0,2672600
2024-06-03,635.0,660.0,620.0,645.0,2168900
2024-06-04,645.0,660.0,640.0,645.0,1284100
2024-06-05,645.0,650.0,630.0,650.0,1265300
2024-06-06,650.0,660.0,630.0,635.0,2019700
2024-06-07,635.0,650.0,625.0,640.0,999000
2024-06-10,640.0,660.0,625.0,630.0,1949100
2024-06-11,625.0,645.0,605.0,625.0,1988400
2024-06-12,625.0,630.0,605.0,605.0,1418600
2024-06-13,610.0,625.0,605.0,615.0,1058800
2024-06-14,615.0,615.0,575.0,585.0,5717800
2024-06-19,585.0,620.0,580.0,610.0,1772400
2024-06-20,610.0,640.0,595.0,630.0,2078600
2024-06-21,635.0,645.0,625.0,625.0,2737400
2024-06-24,625.0,655.0,615.0,650.0,6370200
2024-06-25,650.0,650.0,635.0,635.0,2118700
2024-06-26,635.0,660.0,635.0,650.0,3866800
2024-06-27,655.0,685.0,655.0,675.0,4234600
2024-06-28,680.0,680.0,660.0,665.0,2847800
2024-07-01,665.0,680.0,660.0,670.0,1973900
2024-07-02,670.0,680.0,665.0,670.0,1326100
2024-07-03,670.0,680.0,660.0,670.0,2062800
2024-07-04,670.0,715.0,665.0,710.0,13271200
2024-07-05,710.0,720.0,680.0,700.0,5593100
2024-07-08,705.0,715.0,705.0,710.0,3535500
2024-07-09,710.0,730.0,710.0,730.0,7470600
2024-07-10,730.0,735.0,725.0,730.0,2959000
2024-07-11,730.0,755.0,730.0,755.0,8260500
2024-07-12,755.0,760.0,740.0,755.0,1488300
2024-07-15,755.0,790.0,750.0,790.0,12822800
2024-07-16,790.0,810.0,785.0,800.0,7376600
2024-07-17,800.0,820.0,755.0,815.0,13968200
2024-07-18,815.0,830.0,805.0,815.0,4038500
2024-07-19,815.0,835.0,800.0,825.0,7855700
2024-07-22,820.0,830.0,805.0,815.0,4194700
2024-07-23,815.0,830.0,810.0,820.0,4244500
2024-07-24,825.0,825.0,810.0,815.0,2392500
2024-07-25,815.0,880.0,815.0,870.0,21070000
2024-07-26,870.0,900.0,850.0,865.0,10706700
2024-07-29,865.0,875.0,825.0,850.0,6048100
2024-07-30,850.0,850.0,780.0,810.0,17948700
2024-07-31,790.0,905.0,790.0,890.0,21241500
2024-08-01,900.0,920.0,855.0,885.0,18365100
2024-08-02,885.0,895.0,860.0,870.0,5750100
2024-08-05,875.0,875.0,790.0,805.0,14062800
2024-08-06,815.0,840.0,795.0,825.0,10024100
2024-08-07,825.0,875.0,825.0,860.0,10542800
2024-08-08,860.0,885.0,840.0,880.0,8700600
2024-08-09,880.0,880.0,710.0,795.0,28384500
2024-08-12,795.0,820.0,775.0,805.0,8568900
2024-08-13,805.0,820.0,785.0,790.0,6182400
2024-08-14,790.0,835.0,785.0,830.0,5962700
2024-08-15,835.0,850.0,825.0,830.0,5002800
2024-08-16,835.0,835.0,815.0,830.0,2660700
2024-08-19,835.0,835.0,800.0,815.0,6218900
2024-08-20,815.0,830.0,800.0,815.0,7467700
2024-08-21,820.0,820.0,795.0,800.0,6425700
2024-08-22,800.0,815.0,790.0,805.0,2634300
2024-08-23,805.0,815.0,800.0,810.0,2531300
2024-08-26,820.0,825.0,805.0,820.0,3396400
2024-08-27,820.0,875.0,810.0,875.0,17912900
2024-08-28,875.0,885.0,820.0,835.0,16258500
2024-08-29,840.0,850.0,820.0,820.0,7461200
2024-08-30,825.0,830.0,805.0,810.0,3719200
2024-09-02,810.0,815.0,775.0,795.0,8327100
2024-09-03,790.0,835.0,775.0,815.0,8404200
