date,open,high,low,close,volume
2024-04-16,1200.0,1205.0,1110.0,1200.0,70400
2024-04-17,1200.0,1230.0,1145.0,1200.0,75800
2024-04-18,1200.0,1200.0,1150.0,1200.0,132100
2024-04-19,1195.0,1195.0,1095.0,1165.0,151200
2024-04-22,1165.0,1300.0,1115.0,1165.0,192300
2024-04-23,1125.0,1165.0,1115.0,1160.0,254800
2024-04-24,1120.0,1150.0,1060.0,1095.0,304800
2024-04-25,1080.0,1135.0,1060.0,1095.0,43000
2024-04-26,1060.0,1155.0,1060.0,1155.0,60700
2024-04-29,1155.0,1160.0,1150.0,1155.0,31000
2024-04-30,1165.0,1165.0,1140.0,1150.0,39400
2024-05-02,1150.0,1150.0,1070.0,1145.0,69100
2024-05-03,1150.0,1150.0,1085.0,1150.0,95200
2024-05-06,1115.0,1120.0,1080.0,1080.0,149100
2024-05-07,1080.0,1080.0,975.0,1035.0,194700
2024-05-08,1030.0,1035.0,975.0,1000.0,142200
2024-05-13,1000.0,1000.0,940.0,985.0,180500
2024-05-14,980.0,980.0,900.0,900.0,229400
2024-05-15,880.0,910.0,875.0,910.0,65200
2024-05-16,900.0,915.0,875.0,915.0,45100
2024-05-17,875.0,915.0,875.0,915.0,31900
2024-05-20,915.0,980.0,895.0,915.0,105100
2024-05-21,900.0,915.0,855.0,855.0,72500
2024-05-22,865.0,930.0,865.0,915.0,27100
2024-05-27,915.0,915.0,870.0,900.0,45900
2024-05-28,915.0,915.0,880.0,905.0,70700
2024-05-29,880.0,905.0,840.0,905.0,87000
2024-05-30,890.0,905.0,885.0,905.0,61200
2024-05-31,890.0,905.0,880.0,905.0,26000
2024-06-03,900.0,905.0,880.0,905.0,8100
2024-06-04,885.0,900.0,870.0,870.0,38200
2024-06-05,855.0,895.0,850.0,895.0,30700
2024-06-06,880.0,895.0,860.0,895.0,42500
2024-06-07,900.0,900.0,870.0,900.0,18900
2024-06-10,895.0,900.0,870.0,900.0,15700
2024-06-11,895.0,1000.0,890.0,900.0,108200
2024-06-12,890.0,890.0,870.0,890.0,24600
2024-06-13,870.0,900.0,870.0,900.0,4000
2024-06-14,875.0,890.0,870.0,885.0,9300
2024-06-19,885.0,890.0,845.0,890.0,24900
2024-06-20,880.0,995.0,865.0,870.0,75100
2024-06-21,870.0,870.0,850.0,865.0,21600
2024-06-24,865.0,875.0,800.0,860.0,33000
2024-06-25,850.0,850.0,825.0,835.0,33700
2024-06-26,825.0,865.0,815.0,825.0,37300
2024-06-27,825.0,840.0,810.0,840.0,11800
2024-06-28,840.0,870.0,815.0,840.0,18600
2024-07-01,840.0,840.0,810.0,830.0,28900
2024-07-02,825.0,835.0,795.0,830.0,161700
2024-07-03,820.0,845.0,800.0,800.0,174100
2024-07-04,815.0,850.0,810.0,845.0,18100
2024-07-05,845.0,1055.0,835.0,1000.0,844600
2024-07-08,1020.0,1170.0,1000.0,1055.0,1506800
2024-07-09,1055.0,1055.0,950.0,970.0,564300
2024-07-10,980.0,1045.0,965.0,1005.0,326200
2024-07-11,1010.0,1010.0,975.0,985.0,137600
2024-07-12,985.0,1010.0,960.0,985.0,65100
2024-07-15,980.0,980.0,930.0,930.0,59800
2024-07-16,920.0,1100.0,860.0,930.0,260900
2024-07-17,930.0,950.0,900.0,905.0,95400
2024-07-18,910.0,940.0,855.0,865.0,185300
2024-07-19,865.0,880.0,850.0,880.0,366100
2024-07-22,880.0,995.0,880.0,900.0,375600
2024-07-23,920.0,965.0,890.0,900.0,764300
2024-07-24,900.0,955.0,890.0,905.0,8681100
2024-07-25,920.0,955.0,920.0,925.0,314900
2024-07-26,925.0,935.0,895.0,925.0,561800
2024-07-29,920.0,960.0,905.0,955.0,237600
2024-07-30,960.0,970.0,945.0,955.0,359300
2024-07-31,955.0,960.0,950.0,955.0,349900
2024-08-01,960.0,970.0,945.0,955.0,127800
2024-08-02,955.0,955.0,935.0,955.0,29700
2024-08-05,955.0,955.0,880.0,880.0,83000
2024-08-06,890.0,890.0,865.0,890.0,32500
2024-08-07,890.0,970.0,890.0,955.0,121200
2024-08-08,965.0,980.0,945.0,980.0,476600
